/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月14日 03時40分 ～ 2024年10月14日 13時04分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

胡桃 ◆> ……そしてどうしよう。4時になるよ？   (2024/10/14 03:40:59)

月ノ美兎> お疲れ様〜またね〜♪ いや〜、どっかからドカっと増えましたねVtuberも   (2024/10/14 11:25:37)

キタサンブラック> るりさんお疲れ様～　あたしもそろそろ失礼しまーす！　皆さん、また遊びましょう！   (2024/10/14 11:25:41)

雪花ラミィ> 半公認から公認になったんだわ。これでラミィのシマは、4つ目…（前例３もあんの？）おっ、ワンちゃんさんおつかれさ……うぅぅ…（親の顔より見た広告に背筋ふるるる）   (2024/10/14 11:25:45)

おしらせ> キタサンブラックさんが退室しました。  (2024/10/14 11:25:47)

サトノダイヤモンド ◆> （そういうこと…！しゅるり、と尻尾解いて。お疲れ様、ってまた手をひらひら。）   (2024/10/14 11:25:56)

胡桃 ◆> キタちゃんもお疲れ様〜…   (2024/10/14 11:26:10)

エロガキ♂14C ◆> キタちゃんもおつかれさまあ、けど直○アルコールはやるならちゃんと許可とってねー（誰に？）   (2024/10/14 11:26:16)

エロガキ♂13HL ◆> キタサンお姉ちゃんお疲れ様〜   (2024/10/14 11:26:21)

胡桃 ◆> …………あーー！？雑談で楽しかったせいで聞きたいことあるの忘れてた！！(PON)   (2024/10/14 11:26:34)

エロガキ♂13HL ◆> るりさんもお疲れ様です〜   (2024/10/14 11:26:35)

月ノ美兎> おウマさんもお疲れ様でーす♪   (2024/10/14 11:26:44)

エロガキ♂14C ◆> （あるある…）   (2024/10/14 11:27:01)

エロガキ♂13HL ◆> 胡桃ちゃんどんまい……！   (2024/10/14 11:27:46)

雪花ラミィ> 最強ハーフエルフに転生したのに酒しか呑んでない件について。2324年冬公開（ハーフエルフ規模の告知）キタちゅわんお疲れ様〜〜！！   (2024/10/14 11:28:07)

月ノ美兎> フリーレンみたいな時間感覚していらっしゃる？？   (2024/10/14 11:28:33)

エロガキ♂13HL ◆> ちょっとログの流れで頭ぐるぐるしたから…少し小部屋言ってくる〜(ふらふら)   (2024/10/14 11:28:43)

エロガキ♂13HL ◆> また会えましたらお話してください♪   (2024/10/14 11:28:54)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが退室しました。  (2024/10/14 11:28:55)

エロガキ♂14C ◆> いってらっしゃーい、13HLくん   (2024/10/14 11:29:07)

サトノダイヤモンド ◆> お疲れ様でした、HLさん。   (2024/10/14 11:29:21)

月ノ美兎> お疲れ様でーす♪人が多いと酔いますよね〜   (2024/10/14 11:29:23)

胡桃 ◆> 行ってらっしゃーいっ！(例のアレ。ここぞとばかり。)   (2024/10/14 11:29:29)

雪花ラミィ> ちゅ♥（投げキッス）おつらみぃ〜！   (2024/10/14 11:30:14)

月ノ美兎> わたくしも昼食の時間なのでこのあたりでお暇させて頂きましょうかね？ 気をつけ着席！月ノ美兎がお送りしました〜♪   (2024/10/14 11:31:38)

エロガキ♂14C ◆> （それにしても人数比がおねーさんたち>エロガキって雑談部屋でも稀な気がするんですが、今日は一体何が起きてるんだろう。と灰になった僕は考えるのであった。三連休の魔力？）   (2024/10/14 11:31:46)

おしらせ> 月ノ美兎さんが退室しました。  (2024/10/14 11:32:30)

胡桃 ◆> はーい、美兎さんもお疲れ様〜！(しっかり起立と気をつけ、着席までのセット対応。)   (2024/10/14 11:32:36)

エロガキ♂14C ◆> 美兎いいんちょーもおつかれさまー。試運転が本格稼働に移る日を楽しみにしてるねー。（灰のまま起立、気を付け、着席。もぞもぞ。）   (2024/10/14 11:33:15)

サトノダイヤモンド ◆> あ、お疲れ様です、月ノさん…！確かに、もうすぐお昼の時間ですね…。（今日の食堂の日替わり定食はなんだろう……と思いを馳せ。）   (2024/10/14 11:33:22)

雪花ラミィ> はーい！気をつけ〜ぃ！……（着席はしないボケ）おつらみぃ〜。ラミィのシマは渡さん！！（何様？）   (2024/10/14 11:33:47)

胡桃 ◆> さて、そんな人数差もある時はあるってわかったところで…私もそろそろ……ご飯？お昼寝〜？どうしよっかな〜…(時間…空腹、お日様……。)   (2024/10/14 11:34:11)

胡桃 ◆> ラミィさんのシマはあげないからね！(堂主は悪ノリするんだよ(？)   (2024/10/14 11:34:47)

エロガキ♂14C ◆> 堂主はいつ寝てるの（ブーメラン）   (2024/10/14 11:35:09)

サトノダイヤモンド ◆> ふふ、続々と解散の流れのようですし私も倣いますね。最初は私だけだったのに皆さんが訪れてくださって、楽しい時間を過ごせました。（ぺこ。今日はこれにて失礼します。）   (2024/10/14 11:35:16)

胡桃 ◆> 内緒♡   (2024/10/14 11:35:25)

サトノダイヤモンド ◆> ええと……では、お疲れ様でした。お先に失礼します。   (2024/10/14 11:35:58)

エロガキ♂14C ◆> ダイヤちゃんもお疲れ様ー。今度キタちゃんと一緒の時は目の保養にさせてもらうねー   (2024/10/14 11:36:01)

胡桃 ◆> うん、ダイヤちゃんもまたお話しようね！(おててぶんぶんって振って。お見送り。)   (2024/10/14 11:36:01)

雪花ラミィ> え゛ええええーーご容赦を！！！（なさけなエルフ）と、もうお昼ご飯ですかー。サトちゃんもおつらみっ♥   (2024/10/14 11:36:16)

サトノダイヤモンド ◆> （14Cさん、胡桃さん、ラミィさんに手をふりふり。一礼して、お先に…。）   (2024/10/14 11:36:36)

おしらせ> サトノダイヤモンド ◆6bEJgFcMrAさんが退室しました。  (2024/10/14 11:36:40)

エロガキ♂14C ◆> お昼を前に地主と店主と灰のみとなりました。   (2024/10/14 11:36:56)

雪花ラミィ> 地主さんもご飯なので、サシ呑みやね♥   (2024/10/14 11:37:31)

胡桃 ◆> 夜に向けての営業準備かな？(この灰…何に使えるの？)   (2024/10/14 11:37:45)

胡桃 ◆> ふふ、それじゃここは店長さんと……灰の子に任せて私も行くよ〜。またね、2人とも(風で灰撒き散りませんように……！)   (2024/10/14 11:38:49)

おしらせ> 胡桃 ◆Qe8wlfS40Uさんが退室しました。  (2024/10/14 11:39:03)

エロガキ♂14C ◆> お疲れ様、堂主ー。ご飯食べてちゃんとおねんねしてよー。   (2024/10/14 11:39:17)

雪花ラミィ> 天賦素材に使えるんじゃないですか？知らんけど。（）今日はスナックらみぃ夜の部やれそうなので〜。おつらみぃ〜⭐︎   (2024/10/14 11:39:17)

エロガキ♂14C ◆> そしてフェニックスは灰から蘇れるんだよ。（てらめら）   (2024/10/14 11:40:00)

雪花ラミィ> 色被りで適当ずらしかと思ったら灰色やったんかい。今気付いたワ。したらば、ラミィは昼食に男の子を頂きにいきますか（？）   (2024/10/14 11:41:21)

エロガキ♂14C ◆> 人の灰を育成素材扱いするのは酷いと思う。（むー。）あ、でもおねーさんのおっぱいの一部になれるなら……ねーよ。   (2024/10/14 11:41:29)

エロガキ♂14C ◆> 気遣いの皮を被った渾身のボケだよ！！！ん……ついてくー。   (2024/10/14 11:42:04)

雪花ラミィ> ラミィのおっぱい育成に灰とか使わねえよ…！すまんね、ラミィボケるの大好きだから他人のボケ潰しの異名持ってるんだわ。（最悪）おうよー。じゃあ、お昼ご飯終わったぐらいにまたこっち来たら人いるかな。じゃあここはあけまっか！   (2024/10/14
11:44:14)

エロガキ♂14C ◆> ラミィおねーさんのおっぱいはお酒から分離した水だもんね（真顔）ボケ潰しとかボケの僕に相性最悪では……？ん、ならまたお昼ご飯の後にあおーね。今度は逃がさないからっ♪   (2024/10/14 11:45:50)

雪花ラミィ> そう説明した過去のラミィ、絶対しばくんだわ。んまー、ちょいちょいと食べるだけだから12時15分前後とかじゃないかな〜？分かんないケド。灰君もちゃんとご飯食べりーよー。おつらみぃ〜⭐︎   (2024/10/14 11:47:17)

おしらせ> 雪花ラミィさんが退室しました。  (2024/10/14 11:47:22)

エロガキ♂14C ◆> 自分で自分しばくなんて器用だなー、憧れないなー。ん、ちゃんと食べるよ。じゃーねー。てか灰くんって誰……！   (2024/10/14 11:48:08)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/14 11:48:11)

おしらせ> しぐれういさんが入室しました♪  (2024/10/14 12:47:18)

しぐれうい> 今日、めっちゃVtuberおらんか…？箱で仲良く楽しめるのはいいよね。個人勢はつれぇんだわ   (2024/10/14 12:48:00)

しぐれうい> あと昨日、スバル来てたみたいだけどさぁ…負けてあれな展開はわたしの脳破壊だから、やめてもろて   (2024/10/14 12:49:12)

おしらせ> エロガキ♂19さんが入室しました♪  (2024/10/14 13:03:39)

おしらせ> エロガキ♂19さんが退室しました。  (2024/10/14 13:03:51)

おしらせ> エロガキ♂19Hさんが入室しました♪  (2024/10/14 13:03:55)

エロガキ♂19H> こんにちは～   (2024/10/14 13:04:00)

おしらせ> エロガキ♂19b ◆jPpg5.obl6さんが入室しました♪  (2024/10/14 13:04:18)

エロガキ♂19b ◆> 負け負け～、今日はよく負ける日～っと、、先客発見～。こんにちは～   (2024/10/14 13:04:46)

2024年10月14日 03時40分 ～ 2024年10月14日 13時04分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
