/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月15日 13時14分 ～ 2024年10月15日 21時28分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

雪花ラミィ> おやつ食べ終わったら遊ぶ？遊ぶかい？（）   (2024/10/15 13:14:41)
パンドラ ◆> とても楽しそう、、賑やかで和やかなのはとても良いことです   (2024/10/15 21:20:54)

エロガキ♂18D ◆> え？髪長くて一緒に居て楽しい女性ですが……まぁここの人たち一緒に居て楽しいので皆好みですね、関わり深いと皆の良いところ言えますよ？   (2024/10/15 21:21:06)

エロガキ♂19Q ◆> キャラなら、結構たくさんいるなぁ..タイプも色々とあるから悩む   (2024/10/15 21:21:16)

エロガキ♂17L ◆> 俺は、そうだな外見的なスタイルとかで言うなら……宵宮(原神)かな〜   (2024/10/15 21:21:29)

栞葉るり> ちなみに盛り上げるだけならじゃんじゃん誰かの言ったことに乗ればいいだけですよ！乗る人が居なければ盛り上がりもせずにわたくしみたいに独り言を垂れ流す部屋と化します！   (2024/10/15 21:21:37)

パンドラ ◆> こういう物は内面の好みを聞かれてる事もあるのですよ？   (2024/10/15 21:21:57)

エロガキ♂18D ◆> 確かにそれはそうですね、乗るしかない、このビッグウェーブにって言うヤツですねぇ   (2024/10/15 21:22:09)

エロガキ♂19b ◆> 外見的には足がきれいな子がタイプ。内面的には普段は静かだけど、、ここぞという時は立ち上がって道を示してくれる子。だが！！！年上年下関係なく俺の守備範囲～   (2024/10/15 21:22:09)

おしらせ> エロガキ♂16rさんが入室しました♪  (2024/10/15 21:22:24)

エロガキ♂17L ◆> 性格、内面的なとこで言うなら、レム(リゼロ)だな   (2024/10/15 21:22:27)

エロガキ♂16r> こんばんは、なんかえらい沢山人おるね   (2024/10/15 21:22:37)

栞葉るり> ご機嫌麗しゅう〜   (2024/10/15 21:22:47)

エロガキ♂18D ◆> つまり19bさんは赤ん坊から年寄りまで……まさにゆりかごから墓場までいけると   (2024/10/15 21:22:47)

エロガキ♂19b ◆> こんばんは、いいところに来たな。君にもいってもらおうか！   (2024/10/15 21:23:02)

パンドラ ◆> 17Lの貴方はきっと19bの彼と恋敵になりそうですね(ふふ、)   (2024/10/15 21:23:03)

パンドラ ◆> こんばんは   (2024/10/15 21:23:16)

エロガキ♂18D ◆> こんばんは、よろしくお願い致します。パンドラさん人酔いしそうで心配ですねぇ……   (2024/10/15 21:23:17)

エロガキ♂19b ◆> ん？余裕余裕   (2024/10/15 21:23:18)

胡桃
◆> (国家の犬って聞くとどうしてかな、噛み付きたくなるよね。ならないかな？)その辺はお互い様だよね〜…タイミング合うのがちょっと難しい、かもしれないけど。よし、必要になったら今度呼ばせてもらうか…るりさんが居る時に突撃するね〜(ながらスマホ？…よく顔に落としかけるくらいかな。しっかり避けるけど。)
  (2024/10/15 21:23:22)

栞葉るり> ヤレれば誰でもいいのはちょっと引きますがまぁわからなくもないですねぇ   (2024/10/15 21:23:25)

エロガキ♂16r> 説明求める権利はあると思うんだけど()   (2024/10/15 21:23:32)

エロガキ♂17L ◆> パンドラさん？それはどうゆうことですかね？   (2024/10/15 21:23:34)

胡桃 ◆> こんばんは〜！いやー、人かが増えたね〜   (2024/10/15 21:23:38)

パンドラ ◆> そうですね、、少し息苦しいくらいではありますね、、   (2024/10/15 21:23:47)

エロガキ♂19b ◆> 好きなタイプをいいなさい。拒否する場合は自分の黒歴史を1ついうこと(強制)　こういうわけだ   (2024/10/15 21:24:05)

エロガキ♂17L ◆> (人酔いしかけてるなら無理しないでねとだけ)＞パンドラ   (2024/10/15 21:24:27)

エロガキ♂16r> ふむ、そうだねぇ。身長高い女性も好きよ   (2024/10/15 21:24:31)

パンドラ ◆> 17Lさん。貴方の好みは19bの彼と似ていると言う事ですよ(ふふ、)   (2024/10/15 21:24:46)

エロガキ♂16r> 俺より高くても一向に構わん   (2024/10/15 21:24:51)

エロガキ♂18D ◆> 無理はしないでくださいねパンドラさん…   (2024/10/15 21:25:10)

栞葉るり> むしろわたくしが噛み付く方なので…(狂犬)あ、わたくしこの辺に待機とかしないので。…というよりわたくし、こういう場所に黙って居られないタイプなので急に明日から出来るモテる会話講座とかやっちゃいますよ。お酒とかは提供しませんのでご安心を♪(にこー)
  (2024/10/15 21:25:25)

パンドラ ◆> そうですね、1度退かせて頂きますね、、ではまた、、   (2024/10/15 21:25:27)

おしらせ> パンドラ ◆r8To80Q7JEさんが退室しました。  (2024/10/15 21:25:31)

エロガキ♂19Q ◆> んー黒歴史言うの嫌だし、言うかぁ..タイプは髪が長くて、胸と尻がデカくて、お姉さん系でエロい人かなぁ..   (2024/10/15 21:25:33)

栞葉るり> お疲れ様でしたー   (2024/10/15 21:25:39)

エロガキ♂17L ◆> お疲れ様   (2024/10/15 21:25:41)

エロガキ♂19b ◆> またねー、パンドラちゃん～！   (2024/10/15 21:25:46)

エロガキ♂19Q ◆> お疲れ様   (2024/10/15 21:25:47)

エロガキ♂16r> おつでした   (2024/10/15 21:25:48)

エロガキ♂18D ◆> お疲れ様でした、またです   (2024/10/15 21:25:49)

エロガキ♂19b ◆> お疲れさま～   (2024/10/15 21:25:58)

エロガキ♂16r> 実質東堂と一緒か(雑な実質理論)   (2024/10/15 21:26:14)

栞葉るり> タッパとケツのでかい子が好きです(真理)   (2024/10/15 21:26:36)

エロガキ♂18D ◆> お酒を提供しないって一文で物凄い安心感が出る……神ですか……？(錯乱)   (2024/10/15 21:26:43)

栞葉るり> 犬です(即答)   (2024/10/15 21:26:59)

エロガキ♂19b ◆> 言い出しっぺだけど、、離席させて貰うぜー、勝負部屋の方にいってくる～   (2024/10/15 21:27:00)

栞葉るり> はーい、いってらっしゃい   (2024/10/15 21:27:13)

エロガキ♂19Q ◆> 別に胸と尻デカくなくても可愛くて、虐めがいがある人でもいいかなぁ..   (2024/10/15 21:27:14)

エロガキ♂16r> あ、ちなみに俺はお尻でかくても小さくても気にしない()   (2024/10/15 21:27:19)

エロガキ♂19b ◆> さらば！(ｼｭﾀｯ!!   (2024/10/15 21:27:20)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/15 21:27:23)

エロガキ♂18D ◆> そこ犬でいいんですね……   (2024/10/15 21:27:25)

エロガキ♂17L ◆> いってらっしゃい   (2024/10/15 21:27:27)

エロガキ♂16r> てらさ   (2024/10/15 21:27:38)

エロガキ♂18D ◆> あ、言い出しっぺが逃げt……まぁいいでしょう…   (2024/10/15 21:27:49)

エロガキ♂19Q ◆> みんなの黒歴史聞いてみたいいんだけど、話せる人とかいるん？   (2024/10/15 21:28:07)

2024年10月15日 13時14分 ～ 2024年10月15日 21時28分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
