/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月21日 21時07分 ～ 2024年10月22日 12時13分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂18Z> (ぬるん)こんばんは〜   (2024/10/21 21:07:43)
栞葉るり> 良かったですね、極激辛ファイナルじゃなくって(にこ)   (2024/10/22 02:45:13)

エロガキ♂19b ◆> まだ、、辛いだけでよかったよ...というか、、余計に寝れなくなったぞ！？   (2024/10/22 02:46:03)

栞葉るり> まぁ、引いた自分が悪いので…？堂主にクレームいれるのもお門違いですし、寝なくていいなら徹夜でいいのでは？(ぼそ)   (2024/10/22 02:47:22)

エロガキ♂19b ◆> クレームはいれないよ...でもこんど堂主にも激辛系のお菓子を食べて貰おう、、あと寝ないとね...皆が心配するからね...   (2024/10/22 02:48:42)

栞葉るり> わたくしは心配してませんよ？(しれっと)   (2024/10/22 02:50:14)

栞葉るり> 日中から待機してる人なんて寝る時間あるに決まってるじゃないですか♪(にこー)   (2024/10/22 02:50:40)

エロガキ♂19b ◆> ほなら問題ないかぁ～。んま、、多分そのうち寝落ちしてるしな...   (2024/10/22 02:51:09)

エロガキ♂19b ◆> いや、ほら、学校暇だからさぁ...パソコンカタカタしながらスマホは空いてるからわんちゃん対戦できないかなー？とか話す相手いないかなー？って思って入ってるんだけどね...んま、いないわけですよね   (2024/10/22
02:52:14)

栞葉るり> わたくしが心配してるのは、日中にやる事あるからと此処には絶対来ない人が…こんな時間まで起きてていいの？ってやつですからねぇ。少なくともエロガキの皆さんの心配はそこまでしてません、たぶん余裕はあってやっていると思うので…！   (2024/10/22
02:54:02)

栞葉るり> いないと思います、むしろこの時間のほうが居るかも…？   (2024/10/22 02:54:33)

栞葉るり> キタサンとか星さんとか、深夜でもふらふらしてていつ寝てるんですかあの人たち(ドン引き)   (2024/10/22 02:55:02)

おしらせ> ミミ ◆r8To80Q7JEさんが入室しました♪  (2024/10/22 02:58:03)

ミミ ◆> つかれたー！   (2024/10/22 02:58:08)

ミミ ◆> でもミミのミスだったー！   (2024/10/22 02:58:20)

栞葉るり> はい、お疲れ様です。…骨折り損、ですね！   (2024/10/22 02:58:32)

ミミ ◆> はんせーはんせーっ   (2024/10/22 02:58:33)

ミミ ◆> 骨はおってないよー？   (2024/10/22 02:58:56)

ミミ ◆> おにーさんねたー？   (2024/10/22 02:59:07)

栞葉るり> じゃ、わたくしはそろそろ戻るので…この人の面倒を見てあげてくださいね〜。たぶん、寝てるとは思いますが！   (2024/10/22 02:59:13)

栞葉るり> ではっ   (2024/10/22 02:59:25)

おしらせ> 栞葉るりさんが退室しました。  (2024/10/22 02:59:27)

ミミ ◆> はーい！おねーさんもねてねー！   (2024/10/22 02:59:31)

エロガキ♂19b ◆> おきてるよー   (2024/10/22 02:59:44)

エロガキ♂19b ◆> るりちゃんまたねー   (2024/10/22 02:59:52)

ミミ ◆> おきてた！   (2024/10/22 02:59:52)

ミミ ◆> ねなー！(お腹に頭突き、←)   (2024/10/22 03:00:16)

エロガキ♂19b ◆> ゴハァ！！！、、寝かすというより、、落とそうとしてないか...   (2024/10/22 03:00:51)

ミミ ◆> あれぇ？大体寝るのにー、(←)   (2024/10/22 03:01:41)

エロガキ♂19b ◆> ミミちゃんそれは、、寝かすと、、はいえないよ...   (2024/10/22 03:02:23)

ミミ ◆> そーなのー？(尻尾ゆら、)   (2024/10/22 03:02:48)

エロガキ♂19b ◆> そうだよ...相手を寝かすときはもっと、、優しくやろうね   (2024/10/22 03:03:52)

ミミ ◆> 優しくー？じゃあどーぞ！(クッキー入ってた空の籠に雑巾とかタオルとか詰めて枕かんせー、←)   (2024/10/22 03:06:20)

おしらせ> 無言時間が25分を超えたため、エロガキ♂19b ◆PSMnHTgeJoさんが自動退室しました。  (2024/10/22 03:29:11)

ミミ ◆> ミミのお仕事かんりょー！またねー！(おにーさんの頭から全部毛布被せて、)   (2024/10/22 03:29:36)

おしらせ> ミミ ◆r8To80Q7JEさんが退室しました。  (2024/10/22 03:29:40)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/22 05:13:10)

エロガキ♂19b ◆> またやってしまったぁ！！！！   (2024/10/22 05:13:18)

エロガキ♂19b ◆> ま、、まぁいいや。一旦離席です！   (2024/10/22 05:17:08)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/22 05:17:10)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/22 05:49:33)

エロガキ♂14C ◆> おはようございまーす。ってこの時間になっても稼働してるとかすごいなあ。（目ごしごし）   (2024/10/22 05:50:19)

エロガキ♂14C ◆> あ、昨夜の借り物は早々に溶けたので冷凍庫にぶち込んだことをご報告しておくね（あふ）   (2024/10/22 05:51:15)

エロガキ♂14C ◆> しかしこの……寒くて眠れそうにないのに、眠いとかいう矛盾した感覚。   (2024/10/22 05:52:41)

エロガキ♂14C ◆> とりあえずはご挨拶程度に、って事で。じゃあねー。   (2024/10/22 05:54:59)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/22 05:55:03)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/22 09:23:51)

エロガキ♂19b ◆> おはようございます～   (2024/10/22 09:24:03)

エロガキ♂19b ◆> ド平日の朝だからほんと誰もいないよねぇ   (2024/10/22 09:35:36)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/22 09:43:57)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/10/22 12:13:07)

2024年10月21日 21時07分 ～ 2024年10月22日 12時13分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
