/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2025年03月11日 06時46分 ～ 2025年03月15日 03時43分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

常闇トワ ◆> 少しだけ待ってみよかな   (3/11 06:46:21)
エロガキ♂18D ◆> 寝かせるためにイチャイチャするとかなれば、他の部屋ならそのまま個室に～とかもあるらしいですけど、この部屋のコンセプトに反しますからね…結局は、そのまま寝かせるに限る…   (3/15 02:55:14)

エロガキ♂14C ◆> 寝落ちキングこんばんは。   (3/15 02:55:29)

エロガキ♂18D ◆> あ、やっぱり戻ってきましたね。お帰りなさい。今回は大分時間が長かったですね   (3/15 02:55:41)

エロガキ♂19b ◆> ...まぁいろいろあったんや、そして最近はそこまで寝落ちしてないはず！！...寝落ちクイーンの称号にしてそこの酒飲みエルフに授与するよ   (3/15 02:56:38)

雪花ラミィ> ハィ   (3/15 02:57:40)

エロガキ♂18D ◆> 起きてた   (3/15 02:57:45)

エロガキ♂14C ◆> 寝ないと添い寝の時のラミィおねーちゃんの痴態を晒すぞー（って言えば寝落ちるんだろうか）   (3/15 02:58:47)

雪花ラミィ> あーーーこっちも晒してやるぞーーーーおらーー   (3/15 03:01:15)

エロガキ♂18D ◆> 怖すぎ…   (3/15 03:01:28)

エロガキ♂14C ◆> なんか反撃が単調だからやっぱり相当眠いんだろーな、これ。（溜息）   (3/15 03:02:01)

エロガキ♂18D ◆> あ、眠気来ました…自分はこれで落ちようかと思います。また、いつか。   (3/15 03:02:16)

エロガキ♂14C ◆> おつかれさまー。   (3/15 03:02:24)

エロガキ♂18D ◆> それでは…   (3/15 03:02:36)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (3/15 03:02:42)

エロガキ♂19b ◆> オヤスミー！！！   (3/15 03:02:52)

エロガキ♂14C ◆> まああんまり無意味に夜更かししても仕方ないから、そこの呑兵衛エルフがちゃーんと寝るのを見送ってあげようかな。   (3/15 03:06:36)

エロガキ♂19b ◆> ちゃんと寝てるのをあんまり見たことないけどね～...基本寝落ち！！(人のこといえない)   (3/15 03:09:04)

エロガキ♂14C ◆> 本当に人のこと言えないよね……（じと）   (3/15 03:11:13)

エロガキ♂19b ◆> 最近は！！最近はそこまで寝落ちしてない！！よね？...   (3/15 03:11:52)

エロガキ♂14C ◆> ヒント:信用は積み重ね   (3/15 03:12:17)

エロガキ♂19b ◆> ( ;´･ω･`)   (3/15 03:12:25)

エロガキ♂14C ◆> それくらい、信用って勝ち取るのは大変だし一度貼られたレッテルはそう簡単には剥がせるもんじゃないってことさ。   (3/15 03:13:17)

雪花ラミィ> おきてきたらみぃ   (3/15 03:13:18)

エロガキ♂14C ◆> おはよう。お布団入る？   (3/15 03:13:37)

エロガキ♂19b ◆> ならば寝落ちキングの称号を甘んじて受け入れよう...！！って起きてたんかい！？   (3/15 03:14:05)

エロガキ♂14C ◆> 大体一言言って起きてるように見せかけてそのままスヤァ……だからね、仕方ないね。   (3/15 03:16:17)

エロガキ♂19b ◆> たしかし...なんにもいえないなぁ！？   (3/15 03:18:17)

エロガキ♂14C ◆> 僕は流石にそろそろおねんねしよーかな。……ラミィおねーちゃんとはそろそろまともに遊びたいなあ、って一言残しとこ。まあおねんねしてるだろーけど。   (3/15 03:19:04)

エロガキ♂14C ◆> それじゃあおやすみなさーい。   (3/15 03:19:09)

雪花ラミィ> いや、今回ガチラミィ。   (3/15 03:19:16)

雪花ラミィ> あ、おつらみ。（）   (3/15 03:19:25)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (3/15 03:19:31)

エロガキ♂19b ◆> おやすみ～...こんな時間まで起きてるのがまーじで珍しかったな...   (3/15 03:20:02)

雪花ラミィ> またあそぼなー。もうちょい早い時間だったらギリアレとかあるんだけど…。   (3/15 03:21:14)

エロガキ♂19b ◆> もうちょい早い時間でも寝落ちモチモチしてない～？人のこと全くいえませんけどね！！   (3/15 03:22:12)

雪花ラミィ> 生粋の寝落ちコンビ爆誕（）   (3/15 03:23:01)

エロガキ♂19b ◆> 寝落ちに関して我々の右にでるものはいない！！(不名誉)   (3/15 03:23:37)

雪花ラミィ> ヤバい、爆速で顔洗ってきたせいか眠気が最悪のタイミングで消えた   (3/15 03:27:05)

エロガキ♂19b ◆> ほんとになにやってるんだか...酒を持ってこーい！！酔って眠るしかないぞもう！   (3/15 03:28:08)

雪花ラミィ> 酔わせて〜〜♥（違う）   (3/15 03:31:56)

エロガキ♂19b ◆> 仕方ないなー！！っていいたいところだけど～俺が酒を注ぐともれなくラミィちゃんが捕まってしまう...できることといえばあれをラミィちゃんのあれに注いで酔わせるぐらいしか...(セクハラ)   (3/15 03:34:06)

雪花ラミィ> 死ぬほどセクハラじゃねえか（）ダベってたらでも、眠たくなってくるっしょたぶん…。   (3/15 03:36:20)

エロガキ♂19b
◆> ここでのセクハラはもはや俺の栄養の一部...ふっふっふー、今の俺は完璧な覚醒状態だからラミィちゃんが寝落ちるからなにかあるまでは余裕で付き合えるのだっ！...なんなら休みだから昼に寝ることになっても問題はない！完璧すぎる布陣で...思う存分ダベろう！  
(3/15 03:38:19)

雪花ラミィ> 厄介やなぁ、コイツ……（）ん、ありがと。ほら、もし女の子がいたら行っていいかんねゲーム部屋の方…！   (3/15 03:41:32)

エロガキ♂19b ◆> ん？行かないよー？今回は徹底的に！！ラミィちゃんをみまもりあわよくば食べると！！   (3/15 03:43:02)

2025年03月11日 06時46分 ～ 2025年03月15日 03時43分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
