/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月19日 16時06分 ～ 2024年11月21日 03時37分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13Al> おはようエロガキ君。このテープは自動的に爆発する！   (2024/11/19 16:06:21)
エロガキ♂13Al> あいたー！　まあ、設定から違反してるわけじゃないだろうけど、相手によっては微妙なリアクションになっちゃっても仕方ないかなーとは思っておいた方が良いかも（額を抑えながら）   (2024/11/21 03:23:36)

エロガキ♂12d> (ふーたおさんはちゅーにびょうさんが好み(めもめも))   (2024/11/21 03:23:53)

エロガキ♂12d> うん、無くなっちゃった部屋があったとき   (2024/11/21 03:24:11)

おしらせ> ダヴィンチさんが入室しました♪  (2024/11/21 03:24:20)

エロガキ♂19b ◆> んま、それを承知でやってはいるけど...なんか新しい人にも   (2024/11/21 03:24:25)

エロガキ♂19b ◆> 受け入れられたりしてるからお兄さん嬉しい   (2024/11/21 03:24:33)

胡桃 ◆> おやー？昨日の朝くらいに来てた人かな。   (2024/11/21 03:24:41)

ダヴィンチ> やぁ、変な時間に起きちゃった。どちらかと言えば男の娘に分類されそうなダヴィンチちゃんだよ。なんだか難しそうなお話をしているね？   (2024/11/21 03:25:03)

エロガキ♂12d> ふーたおさん記憶力つよつよさんな感じする？   (2024/11/21 03:25:30)

胡桃 ◆> 難しそうなお話をしてる所に難しそうな性別の人が入ってくるっていのもなかなかの事件じゃない？   (2024/11/21 03:25:44)

エロガキ♂13Al> それじゃあおはよう！　人はなぜ生まれ、宇宙はなんのために存在しているのかの話を……   (2024/11/21 03:25:48)

エロガキ♂19b ◆> こんばんは～、、いやその感じならおはようかな。   (2024/11/21 03:25:52)

エロガキ♂12d> おはよー、ダヴィンチさん   (2024/11/21 03:26:03)

ダヴィンチ> そうだね。昨日の朝にもちらっと参上させてもらったよ。おはよう   (2024/11/21 03:26:03)

エロガキ♂19b ◆> んな深い話しはしてないっての(チョップ)   (2024/11/21 03:26:16)

エロガキ♂12d> 難しい性別だからどっちの意見もいえる…？   (2024/11/21 03:26:43)

胡桃 ◆> 子供に暴力ばっかり！(ぶっぶー！)   (2024/11/21 03:26:56)

エロガキ♂12d> 19bさん0   (2024/11/21 03:26:59)

エロガキ♂12d> 変に送信しちゃった   (2024/11/21 03:27:14)

エロガキ♂13Al> いたい！　暴力反対！　アンチバイオレンス！（ぴょんぴょん）   (2024/11/21 03:27:16)

ダヴィンチ> 人はなぜと宇宙の話をしてもいいけれど……結論が今の人類には早すぎるに行き着くことになりそうだね   (2024/11/21 03:27:17)

エロガキ♂12d> 19bさんと13さん仲良しだ！   (2024/11/21 03:27:31)

エロガキ♂19b ◆> なんか自然と手が...お菓子あげるから許してくれたまえ....   (2024/11/21 03:27:58)

エロガキ♂12d> こんな深夜におかし…怒られちゃいそう   (2024/11/21 03:28:22)

胡桃 ◆> でもそういう悪いことしちゃうのも子供だからねー…。   (2024/11/21 03:28:49)

ダヴィンチ> なぁに。太ったとしてもたかがお菓子のグラム程度さ   (2024/11/21 03:29:07)

エロガキ♂19b ◆> 深夜に食べるお菓子はいいぞ...   (2024/11/21 03:29:12)

エロガキ♂13Al> お菓子なんかじゃつられねーし！　機嫌を取ろうと思うならかわいいお姉ちゃんを連れてきてもらおうか！　連れてこられるものなら！   (2024/11/21 03:29:16)

エロガキ♂12d> おかしは食べないけどアニメ見たくておきる！   (2024/11/21 03:29:29)

胡桃 ◆> どうやら私達は可愛いお姉ちゃんじゃないらしいから帰ろっかー！   (2024/11/21 03:29:41)

エロガキ♂19b ◆> 可愛いお姉ちゃんならそこにいるじゃん？   (2024/11/21 03:29:48)

ダヴィンチ> 私は美人だからなー   (2024/11/21 03:29:54)

エロガキ♂12d> ふーたおさんもダヴィンチさんもかわいいお姉さんだよ？   (2024/11/21 03:30:03)

エロガキ♂13Al> あっ違……そういう意味じゃ……うおーーーーいま上機嫌になった！（スタタタターンとタップダンス（上機嫌の表現）   (2024/11/21 03:30:45)

エロガキ♂19b ◆> この子面白い！(ケラケラ)   (2024/11/21 03:31:08)

エロガキ♂12d> ちゅーにーちゃん完全にイジられてる   (2024/11/21 03:31:47)

ダヴィンチ> さて、私は創作意欲も湧いてきたし、1度離脱させてもらう事にするよ   (2024/11/21 03:32:33)

エロガキ♂12d> またね、ダヴィンチさんー   (2024/11/21 03:32:55)

ダヴィンチ> また、遊んだりお話してくれると嬉しいよ。それじゃ   (2024/11/21 03:32:59)

おしらせ> ダヴィンチさんが退室しました。  (2024/11/21 03:33:02)

エロガキ♂19b ◆> お疲れさま～！   (2024/11/21 03:33:07)

胡桃 ◆> お疲れ様〜。   (2024/11/21 03:33:22)

エロガキ♂13Al> 俺ももう部屋に入ってきた時には寝るべき時間だったからそろそろいかないと。人と……得に女の子とお話しできて……よかっ……た……（どさっ）   (2024/11/21 03:33:44)

胡桃 ◆> 13AI君が倒れてるところ悪いんだけど、私もそろそろ…(頬つんつんだけしとこう。生存確認)   (2024/11/21 03:34:25)

エロガキ♂19b ◆> そうだよ、というか子供がこんな時間に起きてるとは何事？....   (2024/11/21 03:34:32)

エロガキ♂12d> 13さんおやすみなさい…？   (2024/11/21 03:34:40)

エロガキ♂12d> ぼくはのどが痛くて眠れないーってなってるー   (2024/11/21 03:35:15)

エロガキ♂13Al> ぐう。（寝た）   (2024/11/21 03:35:25)

胡桃 ◆> 19bさんも大概でしょー？ちゃんと寝ないとドラゴンスパインだよ。   (2024/11/21 03:35:27)

おしらせ> エロガキ♂13Alさんが退室しました。  (2024/11/21 03:35:29)

エロガキ♂19b ◆> それだけは勘弁してください！！   (2024/11/21 03:35:40)

エロガキ♂19b ◆> 13AI君おやすみー   (2024/11/21 03:35:54)

胡桃 ◆> おや、12d君は風邪かな？13AI君はおやすみ、ゆっくり休むんだよ。   (2024/11/21 03:35:55)

エロガキ♂12d> ドラゴンスパイス…おいしいのかな？   (2024/11/21 03:36:01)

エロガキ♂12d> せきはでないけど息がしづらくてねむれないー   (2024/11/21 03:36:28)

胡桃 ◆> ドラゴンスパインは…言っちゃえば極寒の地みたいなものかな。とっても寒いの！   (2024/11/21 03:36:34)

胡桃 ◆> 季節柄乾燥するからね、喉も大事にしてあげないと。   (2024/11/21 03:37:11)

エロガキ♂12d> スパインだった！そんなとこ連れてかれたら風邪ひいちゃいそう   (2024/11/21 03:37:17)

2024年11月19日 16時06分 ～ 2024年11月21日 03時37分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
