/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年12月01日 11時59分 ～ 2024年12月04日 23時34分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

ナリタトップロード> 地獄じゃないじゃないですか！   (2024/12/1 11:59:26)
十六夜咲夜 ◆> 寝落ちは…ええ、ほんとに気をつけないとですわねぇ…   (2024/12/4 23:16:45)

十六夜咲夜 ◆> (一時期寝落ち常習犯、もちろん無防備なわけで…)   (2024/12/4 23:17:30)

エロガキ♂19b ◆> 寝てる女の子にはいたずらしたくなるよね～...ばれない程度にやるのがみそ！   (2024/12/4 23:17:55)

エロガキ♂18h> 襲われ放題   (2024/12/4 23:18:01)

エロガキ♂18h> よし、ぼくはぼちぼち寝ます！   (2024/12/4 23:18:40)

エロガキ♂14C ◆> （咲夜おねーさんの場合は確信犯では？って思うことがたまにあるよ…？）   (2024/12/4 23:18:45)

シャーロット・レイス ◆> 知ってる中ならそんなことにはならないですけど   (2024/12/4 23:18:47)

エロガキ♂14C ◆> おつかれさまー！   (2024/12/4 23:18:49)

エロガキ♂18h> またお話ししてください、ありがとうございました！   (2024/12/4 23:18:57)

十六夜咲夜 ◆> あら、おやすみなさい。   (2024/12/4 23:18:58)

おしらせ> エロガキ♂18hさんが退室しました。  (2024/12/4 23:19:04)

エロガキ♂19b ◆> おつかれさま～！！ゆっくり眠りなー！   (2024/12/4 23:19:10)

シャーロット・レイス ◆> おやすみなさい。しっかりと寝ないといけませんからね   (2024/12/4 23:19:18)

エロガキ♂14C ◆> そーいや咲夜おねーさんこの前はごめんねー？折角17の僕を誘ってくれたのに、時間なかったからすこーし遊んだだけになっちゃって。   (2024/12/4 23:19:59)

十六夜咲夜 ◆> (まあ、「その流れ」の時だったら覚悟はしてるつもりよw)   (2024/12/4 23:20:04)

エロガキ♂14C ◆> 添い寝をするならよく知った仲だけにしておこーって教訓だねっ。<知ってる仲なら〜   (2024/12/4 23:21:40)

十六夜咲夜 ◆> そういえば前はあっちのほうでしたわね…いえ、お気になさらずね。言い出したらそれこそ放置してるのは…(言ってて自爆感がでてきた)   (2024/12/4 23:21:49)

エロガキ♂14C ◆> （エロガキ、だからあまり歳とると微妙かな？って思うこともあるけど19bにーさんにほいほいおねーさん集まるからそんなこともないんだなーって思う僕。）   (2024/12/4 23:24:12)

エロガキ♂19b ◆> (俺はいる時間が長いだけだからそんなことはないと思うぞ...)   (2024/12/4 23:24:36)

エロガキ♂14C ◆> それより咲夜おねーさんの自爆感、ってなんのことだろ……？   (2024/12/4 23:25:42)

十六夜咲夜 ◆> さっきの確信犯っていうのがね、完全に認めてるみたいに書いてて思ったのよ…   (2024/12/4 23:26:47)

エロガキ♂19b ◆> というかそもそもこの部屋で求められてるのはやっぱショタだと思うんです！！...決して俺みたいなギリギリを生きてるようなやつではないと思うんだよね～、、俺はショタにはなりきれないからこれでやってるけど...   (2024/12/4
23:27:05)

エロガキ♂14C ◆> なーるほど？その気はなくても結果的にそーなってる、ってやつだよねー。   (2024/12/4 23:27:39)

シャーロット・レイス ◆> まあ、私は余り気にしていませんけど   (2024/12/4 23:27:54)

十六夜咲夜 ◆> 立ち回りが素で誘い受け状態だから尚更ね…   (2024/12/4 23:28:34)

エロガキ♂14C ◆> 19bにーさんのキャラのままでショタ……は前々から言ってる通りホントにアホの子になりそーで、って19でも変わらないんだけどさ。   (2024/12/4 23:28:42)

エロガキ♂19b ◆> さすがにショタになったら変わると信じたい...変わるよな、、試してみるか？いや、やめておこう。最悪な目に合あいそうな気がする...   (2024/12/4 23:29:40)

エロガキ♂19b ◆> 気にしてないのは正直超ありがたい、いつもびくびくしてるからね～...   (2024/12/4 23:30:12)

エロガキ♂14C ◆> シャーロットおねーさんは割と僕含めおっぱい好きなショタ層に結構狙われてる気がする……？咲夜おねーさんに関しては、うん…誘い受けだよね……（じー）   (2024/12/4 23:30:27)

十六夜咲夜 ◆> な、何よぉ…   (2024/12/4 23:30:40)

シャーロット・レイス ◆> 気にしてないからよく火球等ぶつけてるけどね。   (2024/12/4 23:30:50)

エロガキ♂19b ◆> ふっ...後からヒリヒリ来るから結構辛いけどな！！...   (2024/12/4 23:31:38)

エロガキ♂14C ◆> 僕はそーいう目には遭ってないからセーフ……<火球ぶつけられる   (2024/12/4 23:32:07)

シャーロット・レイス ◆> 四次元の壁を越えるからたまに   (2024/12/4 23:32:35)

エロガキ♂19b ◆> というか基本そういう目に遭うのは俺だからね～...変なキャラがついてしまった...   (2024/12/4 23:32:41)

エロガキ♂14C ◆> 咲夜おねーさんの場合、普通の添い寝の筈なのに誘ってる感あるんだもーん。   (2024/12/4 23:32:47)

十六夜咲夜 ◆> あら、そんなに興奮させちゃってるかしら？(甘やかしてるつもり)   (2024/12/4 23:33:13)

エロガキ♂14C ◆> 扉壊したり壁壊したり、ゴミ箱から出てきたりするからじゃない…？<変なキャラ   (2024/12/4 23:33:41)

十六夜咲夜 ◆> …完全にギャグ要員になってますわね…   (2024/12/4 23:34:00)

エロガキ♂19b ◆> 最近は落ち着いてるから！！...やってもいいんだけど   (2024/12/4 23:34:02)

エロガキ♂14C ◆> やんなくていいから。   (2024/12/4 23:34:14)

エロガキ♂19b ◆> ( ;´･ω･`)   (2024/12/4 23:34:24)

シャーロット・レイス ◆> 私もそろそろ寝るわね   (2024/12/4 23:34:49)

2024年12月01日 11時59分 ～ 2024年12月04日 23時34分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
