/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月13日 10時19分 ～ 2024年11月13日 22時03分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

ソフィナ・ブリビア> 悪いことしそうだから＞１５   (2024/11/13 10:19:00)
星 ◆> もちろん私もくすぐったいよ！（謎にドヤ顔、でもほら、背が高いからなかなかそういう悪戯されないし。）舐めることを想定した柵……？お菓子の家みたいな話……、作ろう！（子供心に火が点いた！）   (2024/11/13 21:35:45)

エロガキ♂14C ◆> そーやって誘われたらほいほい甘えにいっちゃうから気をつけてねっ？えへへ。>エキドナおねーさん   (2024/11/13 21:36:30)

エロガキ♂19b ◆> 俺は面白おかしいお兄さんを自称してるからね！それに女の子にホイホイ手をだしてる辺り普通に最低野郎じゃね？言ってて悲しくなってきた...( ;´･ω･`)   (2024/11/13 21:37:32)

エロガキ♂14C ◆> なんでこの人自傷ダメージ受けてんの……フォローはしないけど。   (2024/11/13 21:38:35)

星 ◆> 姫子のコーヒー、星芋ぷるっぷる、ソーダ豆汁、懲戒エネルギー、鉄窓薬王ドリンク……色々取り揃えてあるよ。   (2024/11/13 21:38:44)

星 ◆> （ろくでもないドリンクダイスになりそうだ……、）   (2024/11/13 21:39:09)

エロガキ♂14C ◆> 【ろくでもないドリンクダイス 1. 姫子のコーヒー 2. 星芋ぷるっぷる 3. ソーダ豆汁 4. 懲戒エネルギー5. 鉄窓薬王ドリンク 6.スラーダ】   (2024/11/13 21:40:14)

エロガキ♂14C ◆> こうですかわかりません！   (2024/11/13 21:40:19)

エキドナ
◆> 確かに、、ただボクも女性としては背の高い方だと思うのだけどね、、？(164cmあるからそれより高くないとこうして悪戯される事もそう無いから警戒はあまりね、？耳を庇ってた手を伸ばして、彼女の耳朶緩くふにふに撫でて)お菓子だとあまり長持ちしそうにないね、？(くす、)＞星さん
  (2024/11/13 21:40:38)

星 ◆> スラーダは！飲めるから！（仙人爽快茶とかピカ白ぶどうソーダもあるよ！詳細は調べてね！）   (2024/11/13 21:41:17)

エキドナ ◆> ボクは相手を見て言っているつもりだからね、嫌なら言わないさ、。(くす、)＞14cさん   (2024/11/13 21:41:29)

エロガキ♂14C ◆> 当たり枠無いと誰も引かないじゃん……（メタ）   (2024/11/13 21:41:46)

星 ◆> 引きたくなるくせに、（真理、）   (2024/11/13 21:42:01)

エロガキ♂19b ◆> 当たりがなかったとしても！！そこに引くものがあるから引くのが俺よぉ！！突撃ぃ！   (2024/11/13 21:42:29)

エロガキ♂19b ◆> 1d6 → (4) = 4  (2024/11/13 21:42:39)

エキドナ ◆> そろそろボクは1度離れようかな、、とても楽しかったよ、。また時間が出来たらこうしてお邪魔させてもらうよ、。   (2024/11/13 21:42:44)

エロガキ♂14C ◆> エキドナおねーさんおつかれさま。またお互い、疲れたら添い寝とかしよーねっ。   (2024/11/13 21:43:05)

星 ◆> 大体6cm差くらい……？抱きしめやすくていいね。（耳朶触られたお返しに、軽く頬を撫でて。撤退するらしいエキドナの体を放すと、ひらひら手を振って見送ろう。）   (2024/11/13 21:43:23)

エロガキ♂14C ◆> （1番表現しづらそうなの引いてるし…）   (2024/11/13 21:43:24)

星 ◆> （懲戒エネルギーとは！「1本のエナジードリンク。変な味がして、飲むと罰ゲームをしている感じになる。見ていると、ケツイがみなぎる。」である！）   (2024/11/13 21:43:58)

エキドナ ◆> またその時は抱き枕代わりにでもなってもらおうかな、？＞14cさん   (2024/11/13 21:44:08)

エロガキ♂14C ◆> 大歓迎っ！>エキドナおねーさん   (2024/11/13 21:44:22)

エロガキ♂19b ◆> エキドナちゃん、またね～！お話はまたの機会に～   (2024/11/13 21:44:22)

星 ◆> そういえば姫子は自分の淹れたコーヒーを不味いと言われるとそれなりにしゅんとするから罰としては出てこないよ、良かったね！（私は出す、）   (2024/11/13 21:45:48)

エキドナ ◆> そうだね、、けれど高い方だと思うからキミに悪戯される考えは無かったよ、、(お見送りされて、微笑みながらひら、とお手振りして消えていって)   (2024/11/13 21:45:50)

エキドナ ◆> ＞星さん   (2024/11/13 21:45:55)

エキドナ ◆> また会った時にね、失礼するよ、、＞19bさん   (2024/11/13 21:46:26)

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/11/13 21:46:29)

星 ◆> ……心配してたけど、思ったより元気そうでよかったな。（見送り、独り言。）   (2024/11/13 21:47:26)

エロガキ♂19b ◆> さて...飲むか、、(グビッグビッ)...うぇ、、ま...まぁ、飲めないことはないかな、うん...   (2024/11/13 21:47:30)

エロガキ♂14C ◆> 綺麗なおねーさんの入れてくれたコーヒーを前にまずいとは言えないよね……   (2024/11/13 21:48:12)

星 ◆> 姫子のコーヒー以外は全部、「まずいけど飲めなくはない」からコメントに困りそう……、   (2024/11/13 21:48:19)

星 ◆> （まあまずいとすら言えずに気絶するくらいだしね、私は。）   (2024/11/13 21:48:54)

エロガキ♂14C ◆> 表現に困るものが多すぎるスタレドリンクシリーズ……   (2024/11/13 21:48:55)

エロガキ♂19b ◆> でたものはしっかり飲むから...姫子ちゃんのコーヒーもしっかり飲み干すよ、、どうなるかは知らん！   (2024/11/13 21:49:51)

エロガキ♂14C ◆> （気絶したり、鍛錬扱いされたり食道が裂けそう、とか言われるコーヒーって本当に一体……）   (2024/11/13 21:50:47)

星 ◆> ……………、ふ。（遠い目をした、）   (2024/11/13 21:51:08)

星 ◆> 命を粗末にしたら胡桃に叱られるよ。……と、私も一旦出てくる。（外涼しそうだし散歩、って奔放にふらふらするよ。戻って来るかも、来ないかも。）   (2024/11/13 21:51:14)

エロガキ♂14C ◆> 星おねーさんいってらっしゃーい。お外寒いから風邪ひかないよーにねー。   (2024/11/13 21:51:41)

エロガキ♂19b ◆> 行ってらっしゃ～い！   (2024/11/13 21:51:48)

星 ◆> （寒いの割と大好き！って飛び出してった、犬。）   (2024/11/13 21:51:48)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/11/13 21:51:52)

エロガキ♂14C ◆> 犬は喜び庭駆け回り……僕は炬燵でうたた寝、と（違）   (2024/11/13 21:52:47)

エロガキ♂19b ◆> 俺はもう少し見てようかな～。面白いことが起こらないかね！   (2024/11/13 21:53:52)

エロガキ♂14C ◆> 自分で起こせばいいのでは？   (2024/11/13 21:54:22)

エロガキ♂19b ◆> いまは先客がいるからね～   (2024/11/13 21:55:19)

エロガキ♂19b ◆> それに俺の勝負の時はもう少し先なんだぜ！   (2024/11/13 21:55:37)

エロガキ♂14C ◆> ふーん？そうなんだ、何を待ってるのかは知らないけど。   (2024/11/13 21:56:19)

エロガキ♂14C ◆> とはいえ僕も23時過ぎから用事あるしなー。今からワンゲーム、そこからマッチングのタイミングによってはオーバーランしかねないという悩みどころ。   (2024/11/13 21:58:34)

エロガキ♂14C ◆> ……頃合見計らって行ってみよーかな。   (2024/11/13 22:01:47)

エロガキ♂19b ◆> この時間ならマッチするんじゃない～？   (2024/11/13 22:02:19)

エロガキ♂14C ◆> 19bにーさんは何かをのんびり待つみたいだし？とりあえずいってきまーす。多分戻らない！   (2024/11/13 22:03:10)

2024年11月13日 10時19分 ～ 2024年11月13日 22時03分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
