/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月18日 01時35分 ～ 2024年10月18日 07時33分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

胡桃 ◆> あ、私のお仕事は済ませたよ〜(レスポンス鈍い…。)   (2024/10/18 01:35:32)
エロガキ♂19b ◆> 列車がヤリ部屋直通の何かになってないか？   (2024/10/18 07:12:08)

エロガキ♂14C ◆> トパーズねーちゃんあたり再演求めつつこの辺で一旦落ちよー。   (2024/10/18 07:12:21)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/18 07:12:25)

星 ◆> これも繁殖の運命って奴のせいなんだ、お疲れおっぱいの子。   (2024/10/18 07:12:34)

エロガキ♂18Z> 惑星間デリヘル列車かもしれない   (2024/10/18 07:12:34)

エロガキ♂18Z> お疲れ様です〜   (2024/10/18 07:12:42)

栞葉るり> そんな悪い人には手錠が必要でしょうか♪(手錠がちゃがちゃ)   (2024/10/18 07:12:54)

栞葉るり> いってらっしゃいませー   (2024/10/18 07:13:03)

エロガキ♂19b ◆> お疲れさま～   (2024/10/18 07:13:19)

星 ◆> 私が悪いのか……？なのとかノリノリだよ……？   (2024/10/18 07:13:25)

エロガキ♂18Z> 手錠をしたらそのままバトル部屋に投げ込めば良いと思うの   (2024/10/18 07:13:31)

栞葉るり> なのかちゃんはノンデリなので…   (2024/10/18 07:13:37)

星 ◆> 最初から罰受けてる私！？   (2024/10/18 07:13:43)

星 ◆> そこがいいよね……。（なのいいよね、いい……。）   (2024/10/18 07:14:02)

エロガキ♂18Z> それくらいしないと星さん反省しなさそうだしね…   (2024/10/18 07:14:07)

エロガキ♂19b ◆> 本人は全力で否定してるけどね...   (2024/10/18 07:14:23)

栞葉るり> ハンデあり戦でしょうか！(いい…。ノンデリピンクすき♡)   (2024/10/18 07:14:25)

エロガキ♂18Z> (ただ、ショタチンの10歳でやるか、18の小太りでやるか迷うところ)   (2024/10/18 07:15:13)

星 ◆> 手錠されたらテレビ覗いてハヌになって抜け出すしか、ない……。   (2024/10/18 07:15:18)

エロガキ♂16r> 結構やばいな、この開拓者()   (2024/10/18 07:15:36)

星 ◆> なんかどこかにあったね、ハンデ部屋。（できてた気がする、）   (2024/10/18 07:15:48)

栞葉るり> (なおエロいことをハヌのままされる模様)   (2024/10/18 07:15:51)

星 ◆> フンッ、   (2024/10/18 07:15:55)

エロガキ♂18Z> 有利部屋かな？   (2024/10/18 07:15:58)

エロガキ♂16r> (マニアックがすぎる)   (2024/10/18 07:16:26)

エロガキ♂18Z> ハヌ…………いけなくもないのがなんか悔しい(台パン)   (2024/10/18 07:16:29)

星 ◆> そんな感じ。あと私個人の好みだと今の格好の方がいいよ。＞18Z   (2024/10/18 07:16:38)

エロガキ♂19b ◆> 有利部屋はいったことないんだよなぁ   (2024/10/18 07:16:42)

エロガキ♂16r> 猛者すぎんか18   (2024/10/18 07:17:02)

エロガキ♂18Z> んじゃ、小太りでちょっと星さんをボコボコにするか…   (2024/10/18 07:17:18)

栞葉るり> ショタ好きもこのお部屋には来ますからねぇ…   (2024/10/18 07:17:31)

エロガキ♂18Z> ほら、元は美少女でハヌの中身が美少女だと思えばいけなくもない…   (2024/10/18 07:17:50)

星 ◆> 色んなエロガキがいるからね、ショタ、ほぼ大人、性欲に素直、紳士的……。   (2024/10/18 07:18:11)

エロガキ♂18Z> ショタチンがあまりに小さ過ぎたから大きくするか迷い中〜   (2024/10/18 07:18:27)

星 ◆> まあゲームに勝ったら女とヤれるって部屋で紳士も何もないけど………。   (2024/10/18 07:18:29)

栞葉るり> んん。星さんは遊びに行くんですか？それともわたくしと夢に入るか、選ばせてあげましょう(くいくいっと手を引っ張ってみたり)   (2024/10/18 07:18:35)

エロガキ♂16r> それはそう   (2024/10/18 07:18:41)

エロガキ♂18Z> まあね〜。   (2024/10/18 07:18:58)

栞葉るり> そうですよ！！そもそもセックスしてる版権キャラもほぼいないんですからねっ   (2024/10/18 07:18:59)

星 ◆> 今のところ私が遊びに行く予定はないけど……。普通に眠いのはあるかも。（夜勤上がりのるりと寝るか……、って顔。）   (2024/10/18 07:19:28)

エロガキ♂18Z> いても1部で部屋にはまだ来てない子もいるけどね！   (2024/10/18 07:19:36)

エロガキ♂16r> 普通の版権はしないんだよなぁ()   (2024/10/18 07:20:05)

エロガキ♂18Z> (熱い視線を送っておこう。子犬のように(ぇ)   (2024/10/18 07:20:35)

栞葉るり> じゃあ、なのかちゃんの良さでも語りながら…？寝ちゃいましょうか…(がさごそ。部屋の用意をぽちり)   (2024/10/18 07:20:56)

エロガキ♂18Z> しても青年誌とかの方だしね〜   (2024/10/18 07:20:57)

エロガキ♂16r> あと年齢指定があるゲームとか()   (2024/10/18 07:21:12)

栞葉るり> セックスシーンだけ飛ばしてるとかいう漫画もありますよ！！   (2024/10/18 07:21:32)

エロガキ♂16r> それは実質してない()   (2024/10/18 07:21:43)

エロガキ♂18Z> 脱いで寝てるだけかもしれないしね   (2024/10/18 07:22:00)

栞葉るり> では、寝てきますね〜。おやすみなさい〜   (2024/10/18 07:22:14)

おしらせ> 栞葉るりさんが退室しました。  (2024/10/18 07:22:24)

エロガキ♂18Z> おやすみなさい〜   (2024/10/18 07:22:26)

星 ◆> くぁ……じゃあ私も寝てくる……。（起きたらまた……って言おうとしたけどなんか予定あった気もするな……。まあ忘れてても丹恒かなのが教えてくれるでしょ…。）   (2024/10/18 07:22:32)

エロガキ♂16r> おやすみー   (2024/10/18 07:22:45)

エロガキ♂19b ◆> おやすみなさい～   (2024/10/18 07:22:49)

星 ◆> おやすみ、またね。（手ふり、）   (2024/10/18 07:22:53)

エロガキ♂18Z> おやすみなさいー   (2024/10/18 07:22:55)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/10/18 07:22:57)

エロガキ♂18Z> 予定忘れがちだからメモ取り大事だぜ…   (2024/10/18 07:23:18)

エロガキ♂16r> ね   (2024/10/18 07:23:34)

エロガキ♂18Z> ね〜   (2024/10/18 07:24:40)

エロガキ♂19b ◆> 学校行く準備しなきゃ...サボろうかな   (2024/10/18 07:24:52)

エロガキ♂16r> 私は今日休みだからゆっくり出来る()   (2024/10/18 07:25:31)

エロガキ♂18Z> 自分はお昼からおやすみ予定かなぁ   (2024/10/18 07:26:11)

エロガキ♂19b ◆> まぁ、、授業中でもここにはいたりするからあんまり変わんないけどな！！   (2024/10/18 07:26:12)

エロガキ♂18Z> バレたら没収不可避だぁ…   (2024/10/18 07:26:36)

エロガキ♂19b ◆> ふっふっふ、、ばれても没収されません！   (2024/10/18 07:26:55)

エロガキ♂16r> 授業は真面目に受けよ？   (2024/10/18 07:27:16)

エロガキ♂19b ◆> ゲーム作ってるだけだからね...真面目もくそもないんよ   (2024/10/18 07:27:39)

エロガキ♂18Z> されないのですね？あま……優しい先生だ   (2024/10/18 07:27:49)

エロガキ♂18Z> なるほど〜。作るだけなら確かにどちらでも良いか…   (2024/10/18 07:28:13)

エロガキ♂19b ◆> むしろ推奨なんよね～...ネタになるならゲームしてても怒られん、なんなら授業中にVRしてるやつもいるし   (2024/10/18 07:28:29)

エロガキ♂16r> あぁ、大学とかならありえるか   (2024/10/18 07:28:35)

エロガキ♂16r> 授業中にVRはシュールすぎる   (2024/10/18 07:28:48)

エロガキ♂18Z> 流石にそこまでとは思わなかった…   (2024/10/18 07:29:47)

エロガキ♂19b ◆> でもちゃんと、そいつVRのゲームいま開発中だからな、、やることはやってるんですは   (2024/10/18 07:30:25)

エロガキ♂16r> ならいいのか？   (2024/10/18 07:30:50)

エロガキ♂19b ◆> たまーに、そのまま寝てるけどな   (2024/10/18 07:31:06)

エロガキ♂18Z> 合法居眠り…！   (2024/10/18 07:31:28)

エロガキ♂16r> アウトだった   (2024/10/18 07:31:29)

エロガキ♂19b ◆> 寝てても多少は許される、、許さん先生もおるけどそこはまぁ、皆何とかしてる   (2024/10/18 07:32:27)

エロガキ♂16r> なるほど   (2024/10/18 07:32:35)

エロガキ♂19b ◆> おれもよく寝てるからな！！何回おこされたか...ちゃんとゲームは作ってるのに！！   (2024/10/18 07:33:36)

エロガキ♂16r> 寝てるからだと思うよ   (2024/10/18 07:33:49)

エロガキ♂18Z> www   (2024/10/18 07:33:51)

2024年10月18日 01時35分 ～ 2024年10月18日 07時33分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
