/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月27日 20時51分 ～ 2024年10月28日 13時00分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂18D ◆> (理解～～～！！お疲れ様です……)   (2024/10/27 20:51:52)
エロガキ♂18D ◆> (体重です……)   (2024/10/28 11:51:06)

星 ◆> （わかるけど！）   (2024/10/28 11:51:16)

エロガキ♂18D ◆> あ、そうだったんですね……てかあれ飲みすぎると大変なことになるんですか？(思い返せば瓶かららっぱ飲みしてた顔)   (2024/10/28 11:51:43)

エロガキ♂19b ◆> (私の書き方がすべての原因である、反省もしてないし後悔もないがな！)   (2024/10/28 11:52:08)

エロガキ♂18D ◆> (62÷5くらいでしょうか…5.5で割ってもいいかもしれない、答えは神のみぞ知る)   (2024/10/28 11:52:45)

星 ◆> となると18Dのはどれくらいあるの？（逆にね、）   (2024/10/28 11:53:31)

エロガキ♂18D ◆> 平均的かと思いますねぇ……多分……   (2024/10/28 11:54:42)

星 ◆> （17cmで既にすべての国でもトップの国の平均レベルなんだな……ってスマホと19bを交互に見た。）……盛ってる？   (2024/10/28 11:55:38)

エロガキ♂18D ◆> (玉は大きい方だとは思いますが……重いし…)   (2024/10/28 11:55:46)

エロガキ♂18D ◆> 盛ってはいないかと思います……   (2024/10/28 11:56:10)

星 ◆> （18Dは平均……、に、ほ、ん……13.6くらいか……。）   (2024/10/28 11:56:37)

エロガキ♂19b ◆> それは神の味噌汁と言うことで   (2024/10/28 11:56:49)

星 ◆> 盛ってるのは19bへの疑惑だから……！   (2024/10/28 11:56:53)

星 ◆> 私見たことないからなー、19b（のちんちん。）……なのに聞こう！（なのにメッセージ送った。『ちんちんどうだった！？』……おかしい、いつもはすぐ返事をくれるのに……。既読無視だ……。）   (2024/10/28 11:57:56)

エロガキ♂19b ◆> ちなみに13せんちあれば子宮に届くらしい？？   (2024/10/28 11:57:56)

エロガキ♂18D ◆> なるほどです……まぁ、プロフに書かない方が想像の余地があると言うことで……   (2024/10/28 11:58:01)

星 ◆> ……昼からする話題じゃないね。（振ったのは私です、反省。）   (2024/10/28 11:58:56)

エロガキ♂19b ◆> この後星ちゃんはなのかちゃんから白い目で見られることが確定したね...   (2024/10/28 11:59:44)

エロガキ♂18D ◆> 確かに……けど何か聞けば相当コアな話題とかあったみたいですね。ムチでシバくとか、放置とか……   (2024/10/28 11:59:46)

星 ◆> なのはだいたいいつもそんな感じだから。（悲しみ、）   (2024/10/28 12:00:41)

エロガキ♂19b ◆> その話を盛り返すのはやめたまえ、、   (2024/10/28 12:01:25)

星 ◆> コアだね……。（あったの、そんな話題。罰ゲームとかかな、ってログを読……まなくてもいいか。ジェイドじゃあるまいし、）   (2024/10/28 12:01:26)

エロガキ♂18D ◆> なの、さん……ですか。何だかんだで会ったことが無いんですよね……(なるほど、そんな人なのか)   (2024/10/28 12:01:33)

エロガキ♂18D ◆> 19さんが自爆(物理的に)したと聞きまして。風の噂で。あったみたいです。真実については、自分は解りかねますが……   (2024/10/28 12:02:34)

星 ◆> なのは雑談にはあまり来ないから……ゲーム部屋でなら会うこともあるかも？   (2024/10/28 12:03:25)

星 ◆> （偶には雑談役も誰かと代わろうかなって考え中。）   (2024/10/28 12:04:22)

エロガキ♂19b ◆> なのかちゃんはね、、ヤッててすごく楽しいよ！   (2024/10/28 12:04:52)

エロガキ♂18D ◆> なるほどです。覚えておきます。でもここで会ったひとって、星さん、ホタルさん……後は、ルアンさん、花火……さん？でしたか……   (2024/10/28 12:05:29)

星 ◆> 知り合い同士のえっち事情、聞くとなんでこっちが恥ずかしくなるんだろ……。   (2024/10/28 12:06:40)

エロガキ♂18D ◆> (ヤる……ヤる……あぁ、理解。血に飢えてるなぁ)   (2024/10/28 12:06:48)

星 ◆> （血かなぁ？）   (2024/10/28 12:06:58)

エロガキ♂18D ◆> (ヤられる前にヤる……的なヤツでは？)   (2024/10/28 12:07:29)

エロガキ♂19b ◆> (女の子の体に飢えている...ほどよい肉付きでいいよね...)   (2024/10/28 12:08:08)

星 ◆> まあいいや、お昼だしご飯食べてこようかな。（立ち上がり。エディオンコイン買いに行かないとだし今日のお昼はピノコニーで済ませよう。）   (2024/10/28 12:08:58)

エロガキ♂18D ◆> では、解散ですかね？ちょうど待ってた鴨ロースうどん定食が来たみたいなので……   (2024/10/28 12:09:53)

エロガキ♂19b ◆> いってらっしゃいー！後でピノコニーのおすすめ料理教えてね～。オークロールとスラーダ以外でね！   (2024/10/28 12:09:56)

エロガキ♂18D ◆> (オークロール……うっ、頭が……)(食欲減退 +1)   (2024/10/28 12:10:28)

星 ◆> フライドポテトサンデー！（夢境でしか食べられないけど。二人に手を振って駆けて行こう、じゃね！）   (2024/10/28 12:11:02)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/10/28 12:11:08)

エロガキ♂18D ◆> ええ、またです。自分も飯食べてきます。それでは。   (2024/10/28 12:11:19)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/28 12:11:26)

エロガキ♂19b ◆> 今度食べに行こー。2人ともお疲れさま！！   (2024/10/28 12:11:30)

エロガキ♂19b ◆> さて、、静かになったな...(ゴミ箱の中に隠れ)   (2024/10/28 12:13:31)

エロガキ♂19b ◆> よし、、おれもごはんたべてこよー！   (2024/10/28 12:31:05)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/28 12:31:07)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが入室しました♪  (2024/10/28 12:43:00)

エロガキ♂15M ◆> やっほ〜☆珍しい時間に来ちゃった♪   (2024/10/28 12:43:23)

おしらせ> 藤丸立香 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/10/28 12:55:58)

藤丸立香 ◆> こんにちはー……って、ここで合ってるよね。（きょろ、見回し。偶には交代してみようと他作主人公に代理を押し付けられた少女。手には昼食代わりのウィダー的なやつ。）   (2024/10/28 12:56:03)

エロガキ♂15M ◆> こんにちは〜！誰かにここを紹介された感じかな？ようこそ〜☆(お昼のパンをモクモク無言で食べてたら入室者が。咀嚼してたものを飲み込んでから、手を振ってご挨拶)あれ？お昼はそれだけ？   (2024/10/28 12:59:22)

エロガキ♂15M ◆> ふむっ、君が来てくれたなら彼を呼んでみようかな…ちょっと待っててね〜(出入口へと消えていき)   (2024/10/28 13:00:45)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが退室しました。  (2024/10/28 13:00:51)

2024年10月27日 20時51分 ～ 2024年10月28日 13時00分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
