/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年12月15日 16時15分 ～ 2024年12月18日 02時45分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13Al> それでは！   (2024/12/15 16:15:15)
エロガキ♂19b ◆> へーい、こんばんはー！！...   (2024/12/18 01:42:33)

エロガキ♂12d> 19bさんお久しぶりですー！   (2024/12/18 01:43:09)

エロガキ♂19b ◆> お久しぶりだねぇ～、、100年ぶりぐらいかなー？それぐらいたった気がするよ～   (2024/12/18 01:44:50)

エロガキ♂12d> たまにしか来れないからあんまり覚えられてなさそうだけど…って100年も空いてないよー！？   (2024/12/18 01:47:35)

エロガキ♂19b ◆> ある程度は覚えてるよ～...完璧には、ってなるとちょっと無理だけどね！！、、色んな子と会いすぎてそれぐらいたった気がする...   (2024/12/18 01:50:08)

エロガキ♂12d> 19bさん記憶力いいんだね…？僕ら側って濃い人多いからあんまり来なくて印象薄いと覚えられにくいかなぁって思ったり…   (2024/12/18 01:53:01)

エロガキ♂12d> たくさん来てると色んな子に会うもんね   (2024/12/18 01:53:57)

エロガキ♂19b
◆> 出会いは大事にしてたいのさ、、おっぱいが大好きな子も、変に落ち着いてる子も。たまーにくる赤い子も...その他もろもろ、、女の子も君たちのこともちゃんと覚えるようにしてるのさっ！...久しぶりに来たときに誰にも覚えてられてないと寂しいかも？だし  
(2024/12/18 01:55:28)

エロガキ♂12d> おぉ…名言っぽくてかっこいい！ねね、僕はどんな感じで覚えてるっ？   (2024/12/18 01:57:26)

エロガキ♂19b ◆> ...シンプルだよ、、ほんとうにシンプル人一倍甘えたいっていう欲が強い子かなー、でもそういう子はほんとうに多いからお兄さん覚えるの大変なんだぞー！！   (2024/12/18 01:59:04)

エロガキ♂12d> あはは、ごめんなさーい   (2024/12/18 02:00:22)

エロガキ♂12d> でも覚えててもらえて嬉しいからありがとー！   (2024/12/18 02:00:45)

エロガキ♂19b ◆> なーに、謝る必要はないさ！！君みたいなこなら甘えたくなる気持ちも分かるからねぇ...俺が甘えるとくそキモいけど、12d君なら可愛い子ですんだりするかも？   (2024/12/18 02:01:36)

エロガキ♂12d> 19bさんは甘えるより甘えさせるほうが似合いそうだよね？　たくさん甘えさせてもらってるけど嫌がられてないかなぁってたまに不安になるんだー   (2024/12/18 02:04:08)

エロガキ♂19b ◆> 俺に甘えたがる物好きな女の子なんていないと思うけどね～...心配する必要はない！！嫌がる女の子なんていないよ、きっと！！...少なくともここにくるこではいないと信じようぜー   (2024/12/18 02:05:24)

エロガキ♂12d> そうかなぁ、なんて言うんだろ…頼りになる？しっかりしてる？お兄さんって感じするよ？　みんな優しいお姉さんだから大丈夫！って信じることにするー   (2024/12/18 02:07:38)

エロガキ♂19b ◆> おぉ...なかなか珍しいこというねー、ポンコツやら超人やらはよくいわれるどそういわれたのは初めてかもしれない！！そうそう、きっと優しいから、、もしかしたらこの時間に遊んでくれる子もいるかもよー？   (2024/12/18
02:09:30)

エロガキ♂12d> ポンコツは…ちょっとわかる気がするけどそういう面があってもお話しやすいお兄さんって感じ？　今日はうとうとしてるからこっちでお話だけしようかなぁって、昨日も最後寝落ちしちゃったし…   (2024/12/18 02:12:34)

エロガキ♂19b
◆> ふっ...ポンコツのイメージは定着してしまったか、、まぁ、いつもいる気さくで話しやすいお兄さんと思ってくれたまえ、、確かにきれいに寝落ちしてたよねー、、寝落ちは恐いぞー...お兄さんも寝落ち真君なんだけど、いい加減ひっぱたかれないか心配でさー！  
(2024/12/18 02:14:33)

エロガキ♂12d> あ、それー！気さくで話しやすいお兄さん！イメージにぴったり！　トップロードさんに今度あったらちゃんと謝らなきゃだ…お兄さんも寝落ちするの？全然そんなイメージなかった！   (2024/12/18 02:16:39)

エロガキ♂19b ◆> 寝落ち常習犯だよ～、、ふっふっふ、、気になるなら誰かにきいてみなーここで寝落ちする人って聞いたら真っ先に俺の名前が上がるぐらいだから！   (2024/12/18 02:18:05)

エロガキ♂12d> 意外だった…って寝落ちする人の中で定期的に来て覚えられてるのがお兄さんだけだから真っ先に上がるだけなんじゃ…？   (2024/12/18 02:19:36)

エロガキ♂12d> あれ…まさかの有言実行…？   (2024/12/18 02:26:01)

おしらせ> レオナ・ウェストさんが入室しました♪  (2024/12/18 02:26:30)

レオナ・ウェスト> 予言の成就～？（19bさんをつんつんしてみる）   (2024/12/18 02:26:44)

エロガキ♂12d> こんばんは、レオナさん   (2024/12/18 02:27:42)

レオナ・ウェスト> こんばんは。あんまり遅くまで起きてちゃよくないよー？　……って、私も人のことは言えないけど……。   (2024/12/18 02:28:21)

エロガキ♂12d> 成就しちゃったのかもしれない…(19bさんにお布団たくさん被せて)   (2024/12/18 02:28:24)

エロガキ♂12d> うん…うとうとはしてるからもうちょっとだけお話したらねるねー   (2024/12/18 02:29:17)

レオナ・ウェスト> おふとんが重い方がよく眠れるって聞くし、ずっしりしてるぐらいがいいかも？   (2024/12/18 02:29:58)

レオナ・ウェスト> はーい。寝落ちしたら心配させちゃうから、ちゃんとゆっくり寝た方がいいものね。   (2024/12/18 02:30:28)

エロガキ♂12d> じゃあお布団10枚くらい乗せる…？   (2024/12/18 02:31:00)

レオナ・ウェスト> あるだけ載せちゃったほうがいいかもー？（悪ノリ）   (2024/12/18 02:31:49)

エロガキ♂12d> 辛くなったら寝るようにするねぇ、お布団には入ってるからすぐ寝れちゃうしー   (2024/12/18 02:32:14)

エロガキ♂12d> じゃあどんどん載せちゃおー！(お布団たくさん載せてって)   (2024/12/18 02:33:04)

レオナ・ウェスト> 12dくんにもかけてあげようかー？　子守歌も……そんなに子どもじゃないかな？   (2024/12/18 02:34:36)

エロガキ♂12d> 僕はあんまり重いと暑くなっちゃうならだいじょぶ！　レオナさんの子守歌…よく眠れそうな気がするー   (2024/12/18 02:36:54)

レオナ・ウェスト> これでもアイドルだからー……人並み、ぐらいには……？（遠慮）   (2024/12/18 02:38:13)

エロガキ♂12d> アイドルの衣装すっごくかわいかった！　人並みどころかすごいアイドルなんじゃないの…？(こてり)   (2024/12/18 02:40:09)

レオナ・ウェスト> ありがとうー。アイドルの時はもっと自信が持てるけど、普段の時に言われると恥ずかしいかも……（裾を指で摘まんでもじもじ）   (2024/12/18 02:42:13)

おしらせ> 無言時間が25分を超えたため、エロガキ♂19b ◆PSMnHTgeJoさんが自動退室しました。  (2024/12/18 02:43:28)

エロガキ♂12d> そうなの…？こんなにかわいいんだもんクラスの男子にいっぱい告白されてそうじゃない？   (2024/12/18 02:43:37)

レオナ・ウェスト> そ、そんなことないよー。みんな気を遣ってよくしてくれてるし……。着替えの時とかに、困っちゃってることもあるみたいだけど……え、えへへ。（同じところで着替えてるから、体に視線を感じたりも……♥）   (2024/12/18 02:45:00)

2024年12月15日 16時15分 ～ 2024年12月18日 02時45分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
