/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月11日 18時19分 ～ 2024年10月12日 01時35分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂r16> 今週に限れば人のこと言えないがきちんと寝ろよ？   (2024/10/11 18:19:06)
エロガキ♂17K> 調子の一つも治せてないのに…。   (2024/10/12 00:30:59)

エキドナ ◆> それとこれとは別だよ、、   (2024/10/12 00:31:32)

エロガキ♂17K> 同じだ同じ、さっさと治せよな。   (2024/10/12 00:32:19)

エキドナ ◆> 可能な限りは頑張るさ、、   (2024/10/12 00:33:02)

エロガキ♂17K> 知識は溜め込むだけじゃなく活用しないとな。   (2024/10/12 00:33:31)

エロガキ♂17K> さて、俺がエキドナちゃん独占してると他に話したい奴が居ても入りづらいだろうし……そろそろ行くわ。   (2024/10/12 00:33:33)

エキドナ ◆> それは同意だけれど、キミに言われるとはね、、   (2024/10/12 00:34:07)

エキドナ ◆> もう行くのかい？出先で女の子に無茶をしないようにね？   (2024/10/12 00:34:30)

エロガキ♂17K> 名残惜しそうにしてくれるのは悪い気分じゃないな。また近いうちに。んじゃね。   (2024/10/12 00:35:06)

おしらせ> エロガキ♂17Kさんが退室しました。  (2024/10/12 00:35:24)

エキドナ ◆> また近いうちに、ね。   (2024/10/12 00:35:54)

エキドナ ◆> そんなに分かりやすいとは思っていないつもりなんだけれどね、、   (2024/10/12 00:38:06)

エキドナ ◆> 気遣いは無用だよ、と改めて言っておくべきかな、、   (2024/10/12 00:41:58)

エキドナ ◆> そう言えばボク、、今日何か食べただろうか、、？   (2024/10/12 00:59:50)

エキドナ ◆> 少し食べてたよ、思い出した、、   (2024/10/12 01:00:14)

エキドナ ◆> いつの間にかすごく占領していたね、すまない、、   (2024/10/12 01:16:13)

おしらせ> エロガキ♂19uさんが入室しました♪  (2024/10/12 01:16:16)

エキドナ ◆> 空けるとしようか   (2024/10/12 01:16:20)

エロガキ♂19u> おらァ！！ガサ入れの……お疲れ様！！   (2024/10/12 01:16:27)

エキドナ ◆> おかえりかな？   (2024/10/12 01:16:31)

エロガキ♂19u> どうだろ。天井の民なのでね。   (2024/10/12 01:16:49)

エロガキ♂19u> 空けるなら僕は塵に還るが……？   (2024/10/12 01:17:15)

エキドナ ◆> 刃物を付けた棒で突いたら落ちてきてくれるのかな？   (2024/10/12 01:17:17)

エキドナ ◆> あんまりに占領していてもね、、と悩んでいたんだよ   (2024/10/12 01:17:39)

エロガキ♂19u> そんな物騒なことしなくても石ころ投げたら落ちてきますよ？   (2024/10/12 01:17:40)

エロガキ♂19u> なーるほど。   (2024/10/12 01:17:46)

エキドナ ◆> どうしようね、、   (2024/10/12 01:18:25)

エロガキ♂19u> まま、僕はエキドナさん次第すねー。   (2024/10/12 01:18:32)

エロガキ♂19u> うーん……   (2024/10/12 01:18:56)

エロガキ♂19u> 今の僕はテンションバグなので(？)   (2024/10/12 01:19:09)

エロガキ♂19u> 落ちるなら散ります。ないなら話すか、なにかします(何か、とは)   (2024/10/12 01:19:36)

エキドナ ◆> あぁ、それと全くの別件だけど   (2024/10/12 01:19:47)

エロガキ♂19u> なんでしょ。   (2024/10/12 01:19:57)

エキドナ ◆> 少し、色々と察したよ、、ありがとうね   (2024/10/12 01:20:02)

エロガキ♂19u> 例を言われるようなことと言ったら悪事しか見当たりませんがねー？(へらへら)   (2024/10/12 01:20:30)

エロガキ♂19u> 礼！   (2024/10/12 01:20:42)

エキドナ ◆> そういう事にしておこうかな、、   (2024/10/12 01:20:49)

エキドナ ◆> 少し席を外すよ   (2024/10/12 01:21:04)

エロガキ♂19u> 了解でーす、それじゃ僕は一人で部屋の隅でも掃除してますね。   (2024/10/12 01:21:28)

エロガキ♂19u> ガサ入れしにきたはいいものの、何してますかねー。   (2024/10/12 01:22:20)

エロガキ♂19u> というか人がきませんねー。僕か？僕の奇行が原因か？うん？   (2024/10/12 01:23:59)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/12 01:24:10)

エロガキ♂19u> おら来たァ！！   (2024/10/12 01:24:16)

エロガキ♂19u> よくぞ来ました。   (2024/10/12 01:24:21)

エロガキ♂14C ◆> 水を被せに来てみたよ。こんばんは。   (2024/10/12 01:24:22)

エロガキ♂19u> え   (2024/10/12 01:24:34)

エロガキ♂19u> 僕にかけに来たの？   (2024/10/12 01:24:39)

エロガキ♂14C ◆> まあ半分冗談だけどさ。被せるとしたら19uお兄さんじゃなくて、今離席してるエキドナおねーさんだけど、ね。   (2024/10/12 01:25:09)

エキドナ ◆> 取り調べと言えば身体検査じゃないかな？   (2024/10/12 01:25:11)

エキドナ ◆> 戻ったよ、こんばんは   (2024/10/12 01:25:17)

エロガキ♂19u> おかえりこんばんは〜！   (2024/10/12 01:25:32)

エロガキ♂19u> 取り調べされそうなの僕では？   (2024/10/12 01:25:55)

エキドナ ◆> ボクに水をかけるのかい？全てお返ししてあげたら気持ちが分かるかな、、？   (2024/10/12 01:26:05)

エロガキ♂19u> 水で水を洗う戦いになら前に帰ってよろしいか？(逃げ足はある)   (2024/10/12 01:26:43)

エロガキ♂14C ◆> 占有云々、って言ってたからさー。別に雑談したいならいるのはいいんじゃない？ただ、あまり調子悪そーな雰囲気出しちゃうと、気遣う必要はないって言われても気を遣っちゃうからさ。   (2024/10/12 01:26:52)

エキドナ ◆> 友人の受け売りだけれど、警棒(意味深)で取り調べ(意味深)じゃないのかい？(くす、)   (2024/10/12 01:27:42)

エキドナ ◆> ああ、何となくそんな気はしたんだ、、すまないね   (2024/10/12 01:28:10)

エキドナ ◆> お暇するよ   (2024/10/12 01:28:13)

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/10/12 01:28:15)

エロガキ♂14C ◆> ただでさえ、眠い中バトル部屋に来たりして動きが怪しかったりする時もあるから、そーいうのを目の当たりにしちゃってると僕個人として気は遣っちゃうかな？ってお話だったんだけど……って。   (2024/10/12 01:28:40)

エロガキ♂19u> まー、仕方ないかぁ。   (2024/10/12 01:29:00)

エロガキ♂14C ◆> むぅ、追い出すつもりとかそういうのはなかったんだけど……なんかごめんなさい。   (2024/10/12 01:29:13)

エロガキ♂19u> いやいや、君の言うことも間違ってないと思うよ   (2024/10/12 01:29:59)

エロガキ♂19u> ちょーっと待ってね   (2024/10/12 01:30:32)

エロガキ♂19u> んー……   (2024/10/12 01:30:36)

エロガキ♂14C ◆> ？   (2024/10/12 01:30:39)

エロガキ♂19u> うーーーん……   (2024/10/12 01:30:41)

エロガキ♂19u> よし、少し裏行こうか！   (2024/10/12 01:31:50)

エロガキ♂14C ◆> ん、いいよ。   (2024/10/12 01:32:01)

エロガキ♂19u> 後ろの穴借りるよ？   (2024/10/12 01:32:09)

エロガキ♂19u> すみません   (2024/10/12 01:32:12)

エロガキ♂19u> しばしお待ちをー。   (2024/10/12 01:32:19)

エロガキ♂14C ◆> そういう趣味はないんだけどなぁ。   (2024/10/12 01:32:51)

エロガキ♂19u> さぁ待ち合わせにばっちこい。   (2024/10/12 01:33:17)

エロガキ♂14C ◆> 入ったよ。それじゃああっちでね。   (2024/10/12 01:34:20)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/12 01:34:25)

エロガキ♂19u> はいなー。   (2024/10/12 01:34:30)

おしらせ> エロガキ♂19uさんが退室しました。  (2024/10/12 01:34:33)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが入室しました♪  (2024/10/12 01:35:40)

2024年10月11日 18時19分 ～ 2024年10月12日 01時35分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
