/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月04日 10時49分 ～ 2024年11月04日 19時35分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

花海佑芽> おはようございます！（眠そうなのに挨拶がうるさい）   (2024/11/4 10:49:11)
おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが入室しました♪  (2024/11/4 19:12:23)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/4 19:12:38)

栞葉るり> なるほど、ヘルエスタ王国が静岡って言ってるようなもんですね(暴露)   (2024/11/4 19:12:44)

エロガキ♂13HL ◆> こんばんは♪(ぺこり)   (2024/11/4 19:12:47)

栞葉るり> ご機嫌麗しゅう〜   (2024/11/4 19:13:03)

胡桃 ◆> 犬のおまわりさんがいると聞いて…さては事件！(NGワード？何かとんでもない発言したの？ねえねえ、ねえ！)   (2024/11/4 19:13:10)

胡桃 ◆> こんばんは！   (2024/11/4 19:13:48)

天音かなた> これ後で相当怒られんか？ひよこに総攻撃されんか？あ、皆さんこんかなた〜っ。なんも言ってない言ってない言ってない違う誤解！！   (2024/11/4 19:14:32)

栞葉るり> 事件というか、騒音…？この辺でモンハンワイルズから逃げ出したラージャン(未登場)が居ると聞いて駆けつけました   (2024/11/4 19:14:35)

エロガキ♂13HL ◆> …(めもめも)   (2024/11/4 19:15:02)

栞葉るり> 何も言ってないならNGワードなんて表示出ないんですよ！！   (2024/11/4 19:16:46)

天音かなた> なんだコイツ、けっこー喧嘩腰やな…おぉん？やるんか？ぼく、激昂しちゃうぞ？飛鳥文化アタックしかせんようになるぞ？（しゅっしゅっ。シャドーボクシング）   (2024/11/4 19:17:01)

栞葉るり> 手を出したのはそちらになりますが？(前進してシャドーボクシングでわざと一発被弾)正直、ラージャンで一番ダルいのってケルビステップからのバックジャンプ繰り返す動きだと思うんですよ(削除された過去の動き)   (2024/11/4 19:18:44)

胡桃 ◆> ひよこって言うより…るりの話から考えるとどう考えてもゴリr…(飲み込んだ。)激昂するってことはやっぱり本物…というか、暴れられたら部屋が壊滅するどころじゃない被害だからここは犬のおまわりさんに任せたよ！(匙投げ、後は頼んだよ。)  
(2024/11/4 19:19:17)

エロガキ♂13HL ◆> ゴリ…ラージャン…ふむふむそういうことか〜(1人納得するようにしながら)   (2024/11/4 19:20:56)

天音かなた> これ！！これ良くねーぞ！！これ公務執行妨害とか行って留置所にするんだろ！！証拠は揃ってっからな…！？（部屋角の防犯カメラビシィィ）あー、ケルビステップね。4Gでずぅぅぅ…っとイライラしてたわぼくも。てかぼくじゃねーから。   (2024/11/4
19:21:56)

天音かなた> はい、そこのキミもお姉さんもゴリラじゃないからね。握り潰しちゃうぞ♥   (2024/11/4 19:22:38)

おしらせ> キタサンブラックさんが入室しました♪  (2024/11/4 19:22:48)

キタサンブラック> 登場即、放送禁止用語を発言してワード規制をくらったPPゴｒ……天使がいると聞いて   (2024/11/4 19:23:23)

エロガキ♂13HL ◆> もちろん天使だって分かってますよ♪(にこっ)   (2024/11/4 19:23:27)

栞葉るり> まぁまぁ、ビーム撃てないだけまだ優しい個体ですよ…！あと元気玉とか…(多彩な技)   (2024/11/4 19:23:31)

エロガキ♂13HL ◆> キタサンお姉ちゃんこんばんは〜(ぺこり)   (2024/11/4 19:23:39)

栞葉るり> ご機嫌麗しゅう〜   (2024/11/4 19:23:46)

胡桃 ◆> 狩場にキタちゃんが合流…！   (2024/11/4 19:23:47)

キタサンブラック> 狩場なのでしょうか？どうもこんばんは～　ルームのみんなオラにちょっとずつでいい、色欲をわけてくれぇ（みんなの色欲を集めて放つ、超淫妖玉？）   (2024/11/4 19:24:49)

栞葉るり> 仕方ないですね、して欲しいのであればしてあげますが…？(やれやれ)あの追いかける時間が無駄なんですよね、ガンナーだと最後のバックステップの着地点で引かれるっていう誰も得しない技でした…   (2024/11/4 19:25:29)

天音かなた> ゴ、まで出たらぼくのレーダーは察知するからダメだよ。でも動物いっぱいじゃん…！わんこと、おうまさんと、めちゃかわ天使♥よりどりみどりやんね。こんかなた〜♥   (2024/11/4 19:25:59)

栞葉るり> 多分、キタサンクラスだと一人で放ってもそこそこな威力ありそうですね…   (2024/11/4 19:26:20)

栞葉るり> ゴ……ゴマフアザラシ！！   (2024/11/4 19:26:38)

キタサンブラック> アタシ程度の色欲じゃせいぜい53万くらいしかならないと思います？   (2024/11/4 19:26:52)

キタサンブラック> ゴ……ゴルディオンハンマー？   (2024/11/4 19:27:05)

胡桃 ◆> キタちゃんでそれならバトルジャンキーと言われてる彼女は…。   (2024/11/4 19:27:30)

キタサンブラック> バトルジャンキー？   (2024/11/4 19:27:55)

栞葉るり> 色欲と煩悩まみれコンビじゃないですか！   (2024/11/4 19:28:06)

胡桃 ◆> (握力50のめちゃかわ天使を探して、部屋の隅々まで探索…探索、)   (2024/11/4 19:28:15)

胡桃 ◆> クラリスさんのことだよ＞バトルジャンキー   (2024/11/4 19:28:50)

キタサンブラック> 握力50でめちゃわかな（胸のサイズした）天使さんいますよ？   (2024/11/4 19:29:02)

栞葉るり> ちなみにこの自称天使のラージャンは頭の手裏剣(？)を鍋敷きにも使えます(個人の感想)   (2024/11/4 19:29:07)

エロガキ♂13HL ◆> かなたんは少し不憫なのが可愛いよね〜そういうところ好きです   (2024/11/4 19:29:28)

キタサンブラック> あぁ……クラリスさんてバトルジャンキーとか言われてるんですか？（ゲームフリークスなアタシとはまた違う意味でお強い）   (2024/11/4 19:29:35)

天音かなた> ゴマ、まで聞いて、ぼくなら殴ってる（にこやかな笑顔）めちょかわ天使ここだよ！！ここだよ！！オーーイ！！父さーーん！！！   (2024/11/4 19:29:43)

天音かなた> ホロクッキングくじだっけ。なんだよ〜ワンちゃんぼくの事好きすぎかよ〜♥ 不憫じゃないのが可愛いんだわ…！   (2024/11/4 19:30:34)

栞葉るり> (ハァッ☆父さーーーん！で無視を食らうトランクス。やっぱり不憫属性じゃないですか)   (2024/11/4 19:31:12)

キタサンブラック> ……（がおうぱっぱは言われずも盛るのに、おしおママに完全に胸を封じられた天使）   (2024/11/4 19:31:39)

栞葉るり> ゴマ、も駄目なら……護摩の杖もやばいのでは？おられますよ、堂主のやつ   (2024/11/4 19:32:01)

胡桃 ◆> あ、やばい。隠そう。   (2024/11/4 19:32:18)

胡桃 ◆> 隠すというか私が逃げた方がいいかもしれない？(だって装備から外さないし、護摩。)   (2024/11/4 19:33:01)

天音かなた> あくたんが羨ましいよ……まぁでも、ぼくの胸も、おっきいんだけど、サ……。ぼくは胡桃ちゃん10連で2枚抜きしたから大満足〜♥だからゆるす〜♥   (2024/11/4 19:33:44)

栞葉るり> ガチャ自慢は大罪ですよ…！(カチャリ。わたくしが許してもこいつが許すかはわかりませんよ！！)   (2024/11/4 19:34:35)

胡桃 ◆> (彼方さんに対する堂主の好感度が10あがった！)   (2024/11/4 19:35:02)

胡桃 ◆> (とんでも誤字まで許しては貰え…？)   (2024/11/4 19:35:19)

キタサンブラック> ……（高感度……敏感なんですね）   (2024/11/4 19:35:38)

天音かなた> ぼくはね、「全然引けなかった…」ってツイートに無言で当たり報告クソリプするのが趣味だから（極悪）   (2024/11/4 19:35:50)

栞葉るり> 彼方…かなた…まぁ一緒ですよね。ゴリラよりはよっぽどいいかと…   (2024/11/4 19:35:57)

2024年11月04日 10時49分 ～ 2024年11月04日 19時35分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
