/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月15日 02時51分 ～ 2024年10月15日 13時14分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/10/15 02:51:09)
常闇トワ ◆> ほらすぐに自首したwさぁ全部お酒出さない‼︎   (2024/10/15 12:40:39)

常闇トワ ◆> 全部運営に預けるよ‼︎   (2024/10/15 12:41:01)

雪花ラミィ> 人数にもよるんじゃないっすか！？三人とかなら単体性能ラミィとニアリーイコールじゃねえですか…！！（？）いやいやいや嘘ついてない嘘ついてないごめんなさい先輩許してください！！！（ジタバタジタバタ）   (2024/10/15 12:42:02)

エロガキ♂14C ◆> （ただシラフのラミィおねーさん違和感やばすぎてほどほどにアルコール入ってる方が扱いやすいとか口が裂けても言えない）   (2024/10/15 12:42:10)

常闇トワ ◆> はいはい〜子供みたいに駄々こねないの〜(子供に言う感じで優しく言う)他にもあるでしょ？   (2024/10/15 12:43:53)

雪花ラミィ> （聞こえてないはずなのにテメェコラ、みたいな顔）やぁや〜、やぁやママ…！ラミィおさけのみたいの〜！（トワ様の腰にめっちゃくちゃ抱きついて酒を情けなく守るエルフ）   (2024/10/15 12:47:18)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが入室しました♪  (2024/10/15 12:48:21)

エロガキ♂13HL ◆> こんにちは♪(ぺこっ)   (2024/10/15 12:48:28)

常闇トワ ◆> ラミィ重いし大人しく離れて〜(必死にラミィを腰から引き剥がそうとする)   (2024/10/15 12:49:14)

常闇トワ ◆> こんやっぴ〜   (2024/10/15 12:49:26)

エロガキ♂14C ◆> （昨日の下着の色の流れ的に最低でも銀河打者+ポンコツ兄さんの2名で300ラミィとしても半分で150ラミィだから、やっぱ単体200ラミィのラミィおねーさんやべーのよ）   (2024/10/15 12:49:42)

エロガキ♂14C ◆> こんにちはー>13HLくん   (2024/10/15 12:50:03)

エロガキ♂19b ◆> こんにちはー   (2024/10/15 12:50:09)

エロガキ♂19b ◆> パンツのの色を聞くのは礼儀だからいいんだよ   (2024/10/15 12:50:37)

エロガキ♂14C ◆> はいはい、トワおねーさんに迷惑かけないでねー。（ラミィおねーさん（幼）を引き剥がし引き剥がし）   (2024/10/15 12:50:52)

雪花ラミィ> 執事君こんらみぃ〜⭐︎ まあ確かにトワ様とラミィは何がとは言わないけどおもりが…あっ…（くっそ地雷）やぁや〜〜〜お酒〜〜！！！   (2024/10/15 12:51:13)

常闇トワ ◆> ありがとう14君〜お礼にそのままラミィいじってあげていいよ〜   (2024/10/15 12:51:50)

常闇トワ ◆> トワはお酒回収したらもう行くね〜   (2024/10/15 12:52:30)

エロガキ♂13HL ◆> ふふっ僕もかるーく推し(ホロメン)沢山いたから少し顔出しに来たので〜♪(後ろからにまにまと)   (2024/10/15 12:53:09)

エロガキ♂14C ◆> トワおねーさんはいつからラミィ絶対禁酒させるウーマンになったんです……？お疲れ様ですー。（てふりふり）   (2024/10/15 12:53:18)

常闇トワ ◆> 禁酒させないと暴走しちゃうからね〜事務所的にねw   (2024/10/15 12:54:05)

エロガキ♂14C ◆> パンツの色聞くのが礼儀とかどこの国の紳士なんだよポンコツにーさんは…   (2024/10/15 12:54:19)

雪花ラミィ> むぅー…はぁい、これだけがまんします…（ラミィの秘蔵ウィスキー（エロ本みたいな言い方））だけどうぞ…！   (2024/10/15 12:54:35)

常闇トワ ◆> まだ隠し持ってたの‼︎(テキパキとラミィのお酒を回収して行く)さて他のお酒も回収できたかな〜   (2024/10/15 12:55:30)

エロガキ♂14C ◆> まあ確かにホロメンx2いるもんねー……連休中はやばかったけど。   (2024/10/15 12:55:33)

常闇トワ ◆> じゃあトワそろそろ行くねぇ〜   (2024/10/15 12:55:58)

エロガキ♂14C ◆> ハコ事情ェ……ラミィおねーさんはマジで禁酒はしなくてもほどほど摂取にしないと、トワおねーさんが大変だよ？（ぽふぽふ）   (2024/10/15 12:57:11)

常闇トワ ◆> お疲れ様〜   (2024/10/15 12:57:33)

おしらせ> 常闇トワ ◆oGpXeP7rCgさんが退室しました。  (2024/10/15 12:57:44)

エロガキ♂14C ◆> 改めてお疲れ様でしたー。   (2024/10/15 12:57:57)

エロガキ♂19b ◆> お疲れさま～   (2024/10/15 12:58:13)

エロガキ♂13HL ◆> お疲れ様です♪   (2024/10/15 12:58:33)

エロガキ♂14C ◆> んあれ？ゲーム部屋人いない？   (2024/10/15 12:58:39)

エロガキ♂19b ◆> ！？   (2024/10/15 12:58:54)

エロガキ♂13HL ◆> ほんとだ〜…ちょうど2人(支援1人だからねーbお兄ちゃんとcお兄ちゃんいってくるー？)   (2024/10/15 12:59:31)

エロガキ♂19b ◆> いくかー！！   (2024/10/15 12:59:37)

エロガキ♂19b ◆> 行ってくるね～   (2024/10/15 12:59:44)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/15 12:59:46)

エロガキ♂13HL ◆> 行ってらっしゃい(手ふりふり)   (2024/10/15 12:59:58)

雪花ラミィ> あ゛ーーおつらみぃ〜。ウイスキーいかれたんきついんだが！！   (2024/10/15 13:00:04)

エロガキ♂14C ◆> 支援だけ行ってこよーかな。また戻る、かも。   (2024/10/15 13:00:04)

エロガキ♂13HL ◆> はーい   (2024/10/15 13:00:08)

エロガキ♂14C ◆> ラミィおねーさんはピーナッツ食べてなさい（口ずぼ）ではいってきまー   (2024/10/15 13:00:30)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/15 13:00:33)

エロガキ♂13HL ◆> じゃあラミィお姉ちゃんのお世話？しときますね〜(にこにこ)   (2024/10/15 13:00:33)

雪花ラミィ> 二人ともいってら〜ぃ。ラミィもおやつ持ってこよー（がさごそ）   (2024/10/15 13:01:13)

エロガキ♂13HL ◆> 行ってらっしゃ〜い   (2024/10/15 13:02:21)

エロガキ♂13HL ◆> ラミィお姉ちゃん帰ってくるのをのんびりと待っとこう…(正座待機)   (2024/10/15 13:07:01)

雪花ラミィ> ﾀﾀﾞｲﾏｰ！！   (2024/10/15 13:11:23)

エロガキ♂13HL ◆> おかえり♪(ハイタッチ)   (2024/10/15 13:11:47)

雪花ラミィ> ラミィの今日のおやつはね〜、クロワッサン生地のパンにチョコが掛かった感じのやつ。中にクリームが入ってて、ラミィのお気に入りなんよ〜。んまんま。   (2024/10/15 13:12:52)

おしらせ> エロガキ♀15kbさんが入室しました♪  (2024/10/15 13:13:40)

エロガキ♂13HL ◆> 何それめっちゃ美味しそう…！   (2024/10/15 13:14:00)

エロガキ♀15kb> くわっ！もっと遊びに行きましょう！　おしゃべりもいいけど遊びましょう！　と、アタシは訴えたい！（ででーん   (2024/10/15 13:14:02)

エロガキ♂13HL ◆> それこそ最近ラミィお姉ちゃんと話すの久しぶりだから嬉しい♪   (2024/10/15 13:14:19)

エロガキ♂13HL ◆> あっkbお姉ちゃんこんにちは〜♪その気持ちも分かる…サイコロ振りたいのは振りたい！   (2024/10/15 13:14:41)

2024年10月15日 02時51分 ～ 2024年10月15日 13時14分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
