/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月04日 19時36分 ～ 2024年11月05日 02時53分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

胡桃 ◆> (触れただけでびくびくって、)   (2024/11/4 19:36:11)
エロガキ♂19b ◆> んんー...思いが強ければ誰でもできるよ？ここっていろんな作品の子が来るでしょー？だから空間がちょーっとだけおかしくなってるのかも？俺はそれを使わせて貰ってるだけ～   (2024/11/5 00:00:17)

アナスタシア ◆> ほんま上手な人やねぇ♪ウチんとこは結構幅広くやらしてもろとるから大体なんでも揃う思うからまた来てなぁ♪   (2024/11/5 00:00:22)

エロガキ♂19Q ◆> なるほど？..そうなると、色々な世界の道具とか魔法が使えるようになるのでは！..知らんけど   (2024/11/5 00:01:35)

エロガキ♂12Ω ◆> そん時はあんじょうよろしゅうなぁ。因みに姉ちゃんはどっか遊びに行ったりせぇへんの？   (2024/11/5 00:01:59)

エロガキ♂12Ω ◆> (19b兄ちゃん何気なゴルシ枠？)   (2024/11/5 00:02:38)

アナスタシア ◆> ウチは今ちょっと休憩中やからお呼ばれするまでは暇なんやけどね、、？いつお呼ばれするか分からんからちょっと遊びに行くんには早いんよねぇ、   (2024/11/5 00:03:29)

エロガキ♂12Ω ◆> あらぁ、そらまた大変やねぇ。けったいな事もあるかもしれへんけど無理はせんよぉにな？   (2024/11/5 00:04:47)

エロガキ♂19b ◆> それは知らん～。踏み込みすぎず～やりすぎず！堂主に請求書つきつけられるていどにね   (2024/11/5 00:04:49)

エロガキ♂19Q ◆> 確かに..踏み込み過ぎたら、なんか言われそうだな..そこら辺は気を付けるか..請求書突きつけられたらダメじゃね？   (2024/11/5 00:06:24)

エロガキ♂19b ◆> 払えるだけのモラがあるからやれるのだよ！！払えないならやってません！！(そもそもやるなよ)   (2024/11/5 00:07:55)

アナスタシア ◆> 無理はしやんから安心してなぁ、♪   (2024/11/5 00:09:36)

エロガキ♂19b ◆> というわけで俺は天井はい回ってるからお構い無く～(ゴミ箱からでて壁の這い上がり天井をヒードランのようにはいまわり)   (2024/11/5 00:10:08)

エロガキ♂12Ω ◆> それならえぇなぁ、約束やで？(素知らぬ顔でゴキジェット天井にシュー！)   (2024/11/5 00:11:35)

エロガキ♂19Q ◆> お構い無くって..天井にはい回られたら気になるわ..なぁ、19b打ち落としてもいいか？..(BB弾入りの拳銃を向ける)   (2024/11/5 00:13:03)

エロガキ♂19b ◆> その手にはもうかかってるからな！対策済みさ！(ボウルでゴキジェットをガードして)   (2024/11/5 00:13:35)

おしらせ> シャーロット・レイス ◆QpkzOtGYQEさんが入室しました♪  (2024/11/5 00:13:53)

シャーロット・レイス ◆> こんばんは   (2024/11/5 00:14:16)

エロガキ♂19b ◆> レイスちゃんこんばんは～   (2024/11/5 00:14:28)

エロガキ♂19Q ◆> こんばんは   (2024/11/5 00:14:35)

エロガキ♂12Ω ◆> シャル姉ちゃんおひさー   (2024/11/5 00:14:41)

シャーロット・レイス ◆> 撃ち落とさないとね。(火球を天井の19bに放って)   (2024/11/5 00:15:49)

エロガキ♂12Ω ◆> (Gって油でテカテカしてるからめっちゃ燃えそう)   (2024/11/5 00:16:57)

エロガキ♂19b ◆> アッツ！！！(火球を当てられ地面に落下、しばらくじたばたして)開口一番に火球とばすなんて、、最高の挨拶だね！！   (2024/11/5 00:17:23)

エロガキ♂19Q ◆> 天井壊れないか？..大丈夫か？..最悪19bはいいけど..天井壊れたら洒落にならないからなぁ..   (2024/11/5 00:17:23)

エロガキ♂19Q ◆> 大丈夫か19b、水浴びさせるから待ってろよ..(ペットボトルの水を19bに掛ける)   (2024/11/5 00:18:48)

エロガキ♂19b ◆> 問題ないよ～？これぐらいから無傷無傷～あれ....人....間...？   (2024/11/5 00:19:37)

シャーロット・レイス ◆> 大丈夫よ。多少は手加減してるから、全力でやると部屋消し飛ぶから。   (2024/11/5 00:20:06)

エロガキ♂12Ω ◆> 涼しい顔しておっかねぇなぁ相変わらず   (2024/11/5 00:20:52)

エロガキ♂19Q ◆> 手加減してるならいいけど気をつけろよ..最悪19bだけが燃えるならまだしも、物燃えたりしたら..火事になって大変になるんたからな..   (2024/11/5 00:21:28)

エロガキ♂19b ◆> よいしょっと...ちょっとお兄さん可愛い後輩の手助けって言う仕事してくるね～。あ、これ以上はいらないよ！！人数多いと一方的になるからね！   (2024/11/5 00:21:52)

エロガキ♂12Ω ◆> ういうい、いってらー。   (2024/11/5 00:22:11)

エロガキ♂19Q ◆> 行ってらー   (2024/11/5 00:22:13)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/5 00:22:19)

シャーロット・レイス ◆> こんな時間だし、私も何処かに行こうかしらね。   (2024/11/5 00:24:46)

エロガキ♂12Ω ◆> お、シャル姉ちゃん暇ー？   (2024/11/5 00:25:00)

エロガキ♂12Ω ◆> 暇なら遊ぼうぜ。欲求不満なう   (2024/11/5 00:25:11)

アナスタシア ◆> こんばんは、♪   (2024/11/5 00:25:31)

シャーロット・レイス ◆> まあ、少しくらいなら、いいわよ。   (2024/11/5 00:25:36)

エロガキ♂12Ω ◆> やったぜ、今回もよろしこしこー。   (2024/11/5 00:25:52)

アナスタシア ◆> 行っといでなぁ♪   (2024/11/5 00:26:12)

エロガキ♂19Q ◆> 行ってらー楽しんで来いよ   (2024/11/5 00:26:29)

エロガキ♂12Ω ◆> んじゃアナ姉ちゃんまた今度遊ぼなぁ、そん時は仲良おしてなぁ。   (2024/11/5 00:26:29)

シャーロット・レイス ◆> 何処が開いてるかね。   (2024/11/5 00:26:36)

エロガキ♂12Ω ◆> アナザーで良いんじゃね？先行ってくるー   (2024/11/5 00:26:54)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/11/5 00:26:58)

シャーロット・レイス ◆> じゃあ、いつまで来るわね。   (2024/11/5 00:27:14)

おしらせ> シャーロット・レイス ◆QpkzOtGYQEさんが退室しました。  (2024/11/5 00:27:18)

アナスタシア ◆> は〜い、行っといでなぁ♪   (2024/11/5 00:27:18)

エロガキ♂19Q ◆> 人がだいぶ減ったなぁ..19b帰ってくるかもわからんし..どうしよ、寝ようかなぁ..アナスタシアはどうする？   (2024/11/5 00:28:41)

アナスタシア ◆> ウチももうお呼ばれしそうな雰囲気やから行っとこかなぁ、、？   (2024/11/5 00:31:16)

エロガキ♂19Q ◆> そうなん？..そしたら解散するか..19bの所同数ぽいしそこの支援して寝ようかな..   (2024/11/5 00:32:09)

エロガキ♂19Q ◆> んっ、じゃお疲れ様..後おやすみ   (2024/11/5 00:32:39)

おしらせ> エロガキ♂19Q ◆jwzTa4PnO.さんが退室しました。  (2024/11/5 00:32:42)

アナスタシア ◆> ゆっくり休んでなぁ♪おやすみ〜、♪   (2024/11/5 00:33:29)

アナスタシア ◆> ほなウチも行くなぁ、？ほなね、♪   (2024/11/5 00:34:08)

おしらせ> アナスタシア ◆r8To80Q7JEさんが退室しました。  (2024/11/5 00:34:10)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/5 01:37:58)

エロガキ♂19b ◆> 着地～そして、隠れよっと(棺おけにのそのそ)   (2024/11/5 01:38:24)

エロガキ♂19b ◆> これで...次きた人を驚かす寸法よ...ふふふ、、寝たらまぁ...そっとしといて   (2024/11/5 01:47:06)

エロガキ♂19b ◆> うーん...誰か降りてこないかな？(棺おけから這い出て)   (2024/11/5 02:03:40)

エロガキ♂19b ◆> ...遊びに行ってみよう～   (2024/11/5 02:06:20)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/5 02:06:22)

おしらせ> パンドラ ◆r8To80Q7JEさんが入室しました♪  (2024/11/5 02:46:43)

パンドラ ◆> お邪魔致しますね、、   (2024/11/5 02:47:15)

パンドラ ◆> 今日はかなり忙しい日でした、、ようやくゆっくり出来そうな気配で少しだけ疲労感を感じられますね、、   (2024/11/5 02:50:57)

おしらせ> エロガキ♂18Zさんが入室しました♪  (2024/11/5 02:53:29)

パンドラ ◆> あら、、こんばんは、？   (2024/11/5 02:53:45)

2024年11月04日 19時36分 ～ 2024年11月05日 02時53分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
