/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2025年09月21日 21時50分 ～ 2025年09月23日 22時27分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> 雪泉 ◆qtse8iJjbUさんが入室しました♪  (9/21 21:50:13)
エロガキ♂13㏄> やっぱ、有るんですねそう言うの。ちなみに僕はシンプルに大人数苦手だから静観してました、眼鏡陰キャパワー全っ開っ!!   (9/23 22:00:14)

エロガキ♂19b ◆> 置いてくことに躊躇はないからね...でもまあ、ただ置いてくだけだと可哀想なのも確か...だから～面白いのを見せてあげよう！！(部屋の隅からゴミ箱を持ってきて)   (9/23 22:00:56)

エロガキ♂13㏄> え？先輩のオナティッシュとか見せてきたら普通に訴えますよ？   (9/23 22:01:57)

エロガキ♂19b ◆> そんなことしないよ...よーく見ててね！(ゴミ箱に飛び込み13cc君の後ろにある押し入れから出てきて)じゃーん！サプライズだよ！なんてねっ   (9/23 22:03:11)

エロガキ♂13㏄> すげぇ！不義遊戯だ！…えっ？どうやったんです？実は双子でゴミ箱の底に飛び込んだ方の先輩が沈んでたりするんです？（ゴミ箱の中ｺﾞｿｺﾞｿ）   (9/23 22:05:26)

エロガキ♂19b ◆> 時空を歪めた...余の奥義よ...中々面白いでしょ～   (9/23 22:06:36)

エロガキ♂13㏄> あるいは、今見てるのが夢の中でいますぐ自殺しないと夢の中に囚われっぱなしパターン？……なんでそんな奥義有るのに女の子に不自由してるんですか？   (9/23 22:07:26)

エロガキ♂19b ◆> うーんそれは見た覚えがありすぎる血鬼術！...こんなの使って女の子やっても面白くないからね！やっぱりやるなら正々堂々！負かしてからのほうが面白い！   (9/23 22:08:32)

エロガキ♂13㏄> そんな特技あるんだったら今すぐ適当な時空からエッチな女の子連れてきてくださいよ！あるいは僕に教えてください（土下座）   (9/23 22:08:48)

エロガキ♂19b ◆> 失敗したら身体がねじまがって二度と女の子とイチャイチャ出来なくなるから教えません！！...あとこれは個人移動専用なのだぁ！！   (9/23 22:09:58)

エロガキ♂13㏄> はー！痒いところに手の届かない奥義ですねぇ⁉…でも、僕を驚かせるためにそんなリスクを犯してくれたのは感謝して上げなくも無いです……有難うございました   (9/23 22:11:15)

エロガキ♂13㏄> （ん？これって典型的なツンデレ後輩ムーブでは？今の僕は可愛いのでは？先輩に襲われかねないのでは？）   (9/23 22:12:11)

エロガキ♂19b ◆> 大丈夫大丈夫、普段から使ってるし...ちなみに成功率はじゃれつくと同じって言ったらわかりやすいかな？...っとそろそろいい時間だし女の子を探しに行くとしよう...！！   (9/23 22:12:38)

エロガキ♂19b ◆> (今あなたの心に語りかけています。襲ってほしいなら男の娘になってから出直してこい！！)   (9/23 22:13:40)

エロガキ♂13㏄> あ、お疲れ様でーす。僕はもうちょいここでダラついてますので失敗したら愚痴くらいは聞いてあげますよ♪   (9/23 22:13:47)

エロガキ♂13㏄> （今、心の中で返答してます…本当に男の娘キャラで来たら襲えるのですか…‼）   (9/23 22:14:32)

エロガキ♂19b ◆> (あったりめえだ！！男の娘は...！2度美味しいんだよ！！)   (9/23 22:15:00)

エロガキ♂13㏄> 〔覚えておきます…！〕   (9/23 22:15:17)

エロガキ♂19b ◆> 愚痴は余るほどあるからね...語り始めたら1年は拘束してしまうよ...てなわけでさらば！！また会おう少年！！   (9/23 22:15:48)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (9/23 22:15:50)

エロガキ♂13㏄> 変な人だったなぁ…さて、僕はどうしましょうか   (9/23 22:16:14)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (9/23 22:16:24)

エロガキ♂13㏄> 振られるの早いですね   (9/23 22:16:33)

エロガキ♂19b ◆> ただいま少年...もう少しお兄さんと雑談しよっか   (9/23 22:16:36)

エロガキ♂13㏄> え？何かあったんですか？滑り込みで他の人にとられたとかですか？   (9/23 22:17:09)

エロガキ♂19b ◆> いや、普通に弄りたくて戻ってきた。決して...！！そう！決して先客がいたとかそういうのではない！！   (9/23 22:18:00)

エロガキ♂13㏄> あー、あー（何らか情報を咀嚼して…納得）やったー♪構ってくれる先輩大好きです♡   (9/23 22:19:17)

エロガキ♂19b ◆> 先輩の顔を立ててくれる後輩に涙が止まらない...お礼に爆発寸前のナメック星に送ってあげるね...   (9/23 22:20:26)

エロガキ♂13㏄> そうタイミングよくナメック星が爆発寸前になってくれますかね？今この宇宙で爆発寸前なのは先輩の性欲ぐらいですよ   (9/23 22:21:55)

エロガキ♂19b ◆> 性欲は爆発だ！って名言があるくらいだから爆発寸前なのはむしろいいこと...子孫繁栄もできるしいいことだらけよ。それに爆発寸前になってくれるじゃなくて爆発寸前にすれば問題はないね。無理だけど！   (9/23 22:23:36)

エロガキ♂13㏄> 岡本太郎とナメック星人に謝りましょう、僕も一緒に頭下げてあげますから…あと先輩瞬間移動できてもエネルギー弾は出ないんですね。本当に痒いところに手の届かない…   (9/23 22:25:28)

エロガキ♂13㏄> でも、まぁ。強い能力だと思いますけどねテレポーター、「かべのなかにいる!」しても良い対人なら小石一つでも相手の血管とかに瞬間移動させられれば勝ちですし   (9/23 22:26:50)

エロガキ♂19b ◆> よく考えてみて...普通の人間はエネルギー球なんてだせないんだよ...あと謝罪は気が向いたらするから大丈夫！！...きっとなんとかなるさ、うん   (9/23 22:26:52)

エロガキ♂13㏄> 普通の人はね…できないんですよ…瞬間移動も。   (9/23 22:27:28)

2025年09月21日 21時50分 ～ 2025年09月23日 22時27分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
