/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]


https://pcmax.jp/?ad_id=rm176481
2025年01月25日 03時05分 ～ 2025年02月02日 06時00分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂12d> 起きちゃったから覗いてみたんだー   (1/25 03:05:08)
おしらせ> キタサンブラックさんが入室しました♪  (2/2 05:36:39)

エロガキ♂15J> ……ちょっと気になるな、その挨拶。(こっちもラーメンずるずる) まぁ、動いてないと死ぬ的なやつです。だから高カロリーなものをね。……アイス、この時期にアイス！だがそれがいい！   (2/2 05:36:53)

おしらせ> キタサンブラックさんが部屋から追い出されました。  (2/2 05:37:46)

おしらせ> キタサンブラック+さんが入室しました♪  (2/2 05:37:46)

キタサンブラック+> 最近、いまだにネット回線の調子が安定しない、あたしです（ぺこりっ）　ロールする気力があまりわかないので、だらだらとAIイラストのすごさを堪能しておりました（そっと、一枚差し出して。　https://tadaup.jp/7a660fd9.png
[/JumpUrl2/?url=https%3A%2F%2Ftadaup.jp%2F7a660fd9.png]）   (2/2 05:40:20)

雪花ラミィ> キーちゃんやないか〜い、こんらみ〜。早起きさんかそれとも夜更かしか……休日はどっちだって良い、休日だもの…！ん゛ん……こほん。こんこん！らみらみ！こ〜んらみ〜♥（同期考案）……か、ん〜〜、ラミィ〜〜♥（後輩の挨拶パクリ）の二種類やね。ラミィあれ、雪見だいふくたべたい。レンチンして食べたい。
  (2/2 05:40:37)

エロガキ♂15J> おはよう、こっちもはじめましての人…ウマか？よろしくな。(麺ずるずる。紅生姜も更に追加)   (2/2 05:41:05)

雪花ラミィ> こんな正確に生成出来るんや…！？…はぇ〜〜……しゅごいけど、本家ラミィラミィはAIイラストをタグ付け使用されてめちゃ荒らされてたから使い方だなあ…。   (2/2 05:41:52)

エロガキ♂15J> おぉ、かわいい挨拶だ。そういうのもアリだね。雪見だいふくのレンチンは初めて聞いた。そういうのもあるのか…今度試してみる   (2/2 05:43:31)

キタサンブラック+> なんとなく目が覚めたのが3時で、そこから眠れずAIイラストの呪文をいじくってたのは夜更かしでしょうか？早起きでしょうか……と、そちらの方は初めまして……どうも、お助けキタちゃんです。（ぺこりっ）   (2/2 05:43:49)

エロガキ♂15J> これはどうもご丁寧に。(ぺこりっ返し)朝活にしては早すぎる気もするが、ギリ早起きじゃないか？(豚骨スープずず…)   (2/2 05:46:36)

雪花ラミィ> そう言ってくれないツンデレ雪民さんもおりゅんよ〜〜…可愛いって言ってくれる子も居るけどねっ。っぱ、ラミィの可愛さはテッペン取れるっちゅー訳よ……！酒飲んでてハンデ…！！（ずるずる）   (2/2 05:47:12)

キタサンブラック+> で、ラミィさんにこのままAIでエッチなことをさせようともくろむわけですが……何かいいネタがないかな～と（本人の前で）   (2/2 05:49:28)

エロガキ♂15J> かわいいのに「かわいい」って答えて何がわるい(ドンっ！！ワ◯ピース的な音) 自分から枷を作るのはどうかと思うけどな？休肝日とかちゃんと設けてる？   (2/2 05:51:19)

雪花ラミィ> 美味しいお酒を飲ませる、とかで良いと思います（？）   (2/2 05:53:22)

キタサンブラック+> お酒で酔わせて……そこから、お尻でもマッサージします？（ほうほうっ）   (2/2 05:54:02)

エロガキ♂15J> 美味しいお酒…白い白濁とした……まっこり？をのませるわけか。なるほどなるほど。   (2/2 05:54:31)

エロガキ♂15J> 白い白濁ってなんや、寝ぼけてるんか自分。   (2/2 05:54:57)

雪花ラミィ> その後のプロセス見通せすぎだろ……！！   (2/2 05:55:24)

エロガキ♂15J> そういえば、AIイラストってすぐにはできないらしいじゃん？アレ一つ作るのにどれだけ時間かかんの？   (2/2 06:00:01)

2025年01月25日 03時05分 ～ 2025年02月02日 06時00分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
