/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月21日 07時17分 ～ 2024年10月21日 21時07分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

常闇トワ ◆> 15kbちゃんには負けてるからいつか勝ちたいな〜   (2024/10/21 07:17:23)
おしらせ> エロガキ♂18Zさんが退室しました。  (2024/10/21 20:06:21)

シラベドンナ> それでは！   (2024/10/21 20:06:23)

おしらせ> シラベドンナさんが退室しました。  (2024/10/21 20:06:26)

エロガキ♂12Ω ◆> (ぽつーん)   (2024/10/21 20:06:42)

エロガキ♂12Ω ◆> 皆元気に遊んでるっぽいなぁ。   (2024/10/21 20:07:03)

エロガキ♂12Ω ◆> まぁ俺は息を殺しておくとするか。   (2024/10/21 20:08:24)

エロガキ♂12Ω ◆> (時間的にまだ誰も来ないかぁ)   (2024/10/21 20:29:14)

エロガキ♂12Ω ◆> まぁ居座っても邪魔なだけか。出よっと。   (2024/10/21 20:36:59)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/10/21 20:37:15)

おしらせ> 栞葉るりさんが入室しました♪  (2024/10/21 20:47:22)

栞葉るり> ふぁあ…。今日もお仕事頑張りますかぁ…(ぐぐ)   (2024/10/21 20:47:44)

栞葉るり> …版権♀側の話なんですが、そういえば♂2♀1の3Pの練習するには最適なんでしたね、このお部屋。   (2024/10/21 20:48:38)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/21 20:50:43)

栞葉るり> 大抵奪い合い譲り合いでなかなか成立しないもんなんですけど。それはこの部屋にも言えることですが、飢えたエロガキが徘徊してるここで拒む人はあんまり居ないのかも…？それとぱっと見エロガキは版権♀の倍程はいると思いますし   (2024/10/21
20:50:52)

エロガキ♂19b ◆> おっと、こんばんは～   (2024/10/21 20:51:11)

栞葉るり> いらっしゃいませ～   (2024/10/21 20:51:20)

エロガキ♂19b ◆> ガキが足りなくなることは基本ないですからねー   (2024/10/21 20:52:26)

おしらせ> 愛宕さんが入室しました♪  (2024/10/21 20:53:37)

愛宕> こんばんは〜♡お邪魔するわね♡   (2024/10/21 20:53:49)

栞葉るり> むしろ足りなくても版権♀がエロガキになってしまえばいいんですし！   (2024/10/21 20:53:50)

栞葉るり> いらっしゃいませ〜   (2024/10/21 20:53:58)

エロガキ♂19b ◆> こんばんは～   (2024/10/21 20:54:08)

おしらせ> サーニャさんが入室しました♪  (2024/10/21 20:54:23)

エロガキ♂19b ◆> 確かに！というかいますもんね～   (2024/10/21 20:54:24)

サーニャ> はい、どうも〜   (2024/10/21 20:54:42)

エロガキ♂19b ◆> サーニャちゃんもこんばんは～   (2024/10/21 20:54:54)

栞葉るり> わたくしがやるとエロガキ♀20INUとか言う部屋に存在してはいけないモノが誕生してしまいますので…   (2024/10/21 20:55:16)

サーニャ> うげ、、足の奴じゃん、、   (2024/10/21 20:55:16)

栞葉るり> いらっしゃいませ〜   (2024/10/21 20:55:28)

栞葉るり> 愛宕さんは対戦に行ったりとかしないんですか〜？   (2024/10/21 20:55:41)

エロガキ♂19b ◆> いまは発作は起こってないから安心してー   (2024/10/21 20:55:49)

愛宕> そうね〜…まだ気分じゃないかな♡もう少ししたら移動するかもしれないけど♡♡   (2024/10/21 20:56:04)

サーニャ> 大丈夫かよ、、(疑いの目、)   (2024/10/21 20:56:25)

エロガキ♂19b ◆> 大丈夫大丈夫～   (2024/10/21 20:56:52)

栞葉るり> なるほど、スロースターター？なんですね。むしろ、愛宕さんは常にエンジンかかってるものだと思ったので！   (2024/10/21 20:57:13)

サーニャ> ん〜、まぁならいいかな？   (2024/10/21 20:57:56)

エロガキ♂19b ◆> それにああなるのはもっと遅くなってからだし問題なしー   (2024/10/21 20:58:49)

愛宕> ふふ♡そうかもしれないわね♡昨日来た時は艦これの方の愛宕と色々やってたわね♡♡人によっては混ざって認識しちゃってるかも…   (2024/10/21 20:59:03)

サーニャ> 遅くなったらなんのかよ！？   (2024/10/21 20:59:08)

エロガキ♂19b ◆> もしくは、、増えたらなるかも？   (2024/10/21 21:00:06)

栞葉るり> というか、愛宕さん、その衣装…どこかで…。そう、デンジャラスビースト……！(FGOにも似たようなふわふわビキニみたいな衣装あった気がする)   (2024/10/21 21:00:07)

栞葉るり> 名前は一緒ですもんね…わたくしも昔は愛宕といったらぱんぱかだったんですけど、アズレン来てからはお姉さん♡にもなりましたし。いや、どっちもお姉さんだけども！   (2024/10/21 21:00:57)

サーニャ> 増えるって何がだよって聞いてたらキリが無さそ〜、、   (2024/10/21 21:01:20)

サーニャ> 40越えのクロスファイアとかエグすぎだわ＞昨日の   (2024/10/21 21:02:30)

愛宕> ふふ♡呼び方はなんでもいいわよ♡昨日のエロガキくんに衣装指定されちゃったから…♡   (2024/10/21 21:03:50)

エロガキ♂19b ◆> さてさて、、ちょっと堂主と話したいことがあるから待ってよ～   (2024/10/21 21:03:55)

栞葉るり> ぱんかぱかな愛宕さんは()とか付けてましたしねぇ…へぇ、もしかしてそのエロガキ待ちだったり？(にや)   (2024/10/21 21:05:08)

エロガキ♂19b ◆> 調べたけどとんでもないぐらいのドスケベ衣装でしたねぇ...   (2024/10/21 21:06:51)

愛宕> もう…そんな訳じゃないのよ？♡ふふ♡プロフで判断ね♡   (2024/10/21 21:07:02)

おしらせ> エロガキ♂18Zさんが入室しました♪  (2024/10/21 21:07:34)

2024年10月21日 07時17分 ～ 2024年10月21日 21時07分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
