/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月08日 02時20分 ～ 2024年11月08日 20時19分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

胡桃 ◆> あ、眠いからすぐ居なくなるよ？   (2024/11/8 02:20:44)
胡桃 ◆> (鼻を刺激する匂い…星からしてたんだ)   (2024/11/8 17:21:57)

エロガキ♂19b ◆> 開拓に休みはないのだ...   (2024/11/8 17:22:12)

星 ◆> 霊砂みたいなこと言う……！（そういえばどこか似てるな……、）   (2024/11/8 17:22:14)

星 ◆> じゃ、そういうことで……ちょっと出てくるね。   (2024/11/8 17:22:29)

胡桃 ◆> そもそも私に案件持ち出して5分で済むわけないよね(舌出し、てへ、)   (2024/11/8 17:22:33)

おしらせ> 無言時間が25分を超えたため、人造人間21号さんが自動退室しました。  (2024/11/8 17:22:34)

星 ◆> （そうなんだ……、）   (2024/11/8 17:22:44)

胡桃 ◆> 奇跡的なタイミングで2人ともいってらっしゃーい！   (2024/11/8 17:22:53)

エロガキ♂19b ◆> 21号ちゃんもお疲れさま～   (2024/11/8 17:22:55)

星 ◆> 行ってきます、またね！   (2024/11/8 17:23:05)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/11/8 17:23:09)

エロガキ♂19b ◆> 待ったねー！！   (2024/11/8 17:23:18)

エロガキ♂19b ◆> さて....胡桃ちゃんは作業の続きかな～？   (2024/11/8 17:24:08)

胡桃 ◆> あー…なんか急にやる気が…(ダメな堂主。奥の方に机と椅子用意したけど、机に突っ伏してるだけになってる。)   (2024/11/8 17:24:20)

エロガキ♂19b ◆> えぇ....ほら、頑張って！(ペチペチ)   (2024/11/8 17:24:50)

胡桃 ◆> はぁぁぁぁ………犬でもなんでもいいから私に癒しとやる気をちょうだい！！19bさんは何かいい貢物とないの？(じと、)   (2024/11/8 17:25:46)

エロガキ♂19b ◆> んー....うちの愛犬の写真でもどうかね？(適当)俺にしか懐かない犬だよ   (2024/11/8 17:26:33)

胡桃 ◆> (ぶっぶー。堂主ポイント－5)   (2024/11/8 17:27:33)

エロガキ♂19b ◆> よし...心を鬼にしよう。堂主が作業終わらせるまで護摩は没収ね！！ちゃんと終わらせれたら....そうだな...なんでもおごってあげよう！！1000万までならだすよ！   (2024/11/8 17:29:24)

胡桃 ◆> …力の差的に私から武器を取り上げるってできなくない？でも2人きりだと、私も集中しないだろうし…一度切り上げよっかな。   (2024/11/8 17:30:28)

エロガキ♂19b ◆> 気合いと根性で？...多分無理！！俺としては作業してる胡桃ちゃんの顔を眺めてるとかでもいいんだけどねぇ...んま、集中できないならしかたない！！   (2024/11/8 17:31:46)

胡桃
◆> 私の真面目な顔に見惚れちゃうんじゃないかな？なんてね、2人も人が居るのに私がずっと無言なのも悪いしさ。とりあえず…うん、やる事済ませてからまた作業に取り掛かろうかな。(帽子…帽子……そうだ、もう今日はあげたんだった。最近帽子のストック減った気が…。19bさんの方にふらーっと歩み寄って、頭を撫でてからそのまま手を振って、)
  (2024/11/8 17:34:15)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/8 17:34:47)

エロガキ♂19b ◆> あはは！今日は胡桃ちゃんとのスキンシップ多めで嬉しい嬉しい...またね～！！   (2024/11/8 17:35:41)

エロガキ♂19b ◆> せっかくだし俺も遊びに行ってみよっと！   (2024/11/8 17:36:30)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/8 17:36:32)

おしらせ> フリーナさんが入室しました♪  (2024/11/8 20:00:46)

フリーナ> 僕が来たよ！！あれ？スターである僕のお迎えないのかい？   (2024/11/8 20:01:55)

おしらせ> エロガキ♂13Aさんが入室しました♪  (2024/11/8 20:03:26)

エロガキ♂13A> こんばんは   (2024/11/8 20:03:33)

フリーナ> やぁ！こんばんは！   (2024/11/8 20:04:20)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/8 20:04:52)

胡桃 ◆> やっほー！   (2024/11/8 20:05:02)

エロガキ♂13A> こんばんは   (2024/11/8 20:05:08)

フリーナ> 胡桃！！こんばんは！   (2024/11/8 20:05:32)

フリーナ> 僕はご飯を食べてるからね。ちょっと遅めということを先に伝えておくよ！(ムシャムシャ)   (2024/11/8 20:07:38)

胡桃 ◆> 淑女と言いながらご飯を食べながらお話に来てるの？…淑女？(小首を傾げた)   (2024/11/8 20:08:16)

おしらせ> エロガキ♂13Aさんが退室しました。  (2024/11/8 20:08:27)

胡桃 ◆> おやおや？急にどうしたのかな〜？何か用事でも思い出したとか…いってらっしゃーい！   (2024/11/8 20:09:26)

おしらせ> エロガキ♂19H ◆JytRTqQm8kさんが入室しました♪  (2024/11/8 20:09:47)

フリーナ> ここで食べていれば皆来るだろう？僕は楽しい空間は好きだからね！！...って、まだ挨拶しかしてないじゃないか！？いってらっしゃい！   (2024/11/8 20:10:00)

エロガキ♂19H ◆> こんばんは、失礼しますね……おや、お食事中でしたか？   (2024/11/8 20:10:20)

胡桃 ◆> 待機してる人とは別の19Hさんいらっしゃーい！   (2024/11/8 20:10:24)

エロガキ♂19H ◆> 今気づきました。名前ほぼ合致してるじゃないですか（びっくり）＞胡桃   (2024/11/8 20:11:01)

胡桃 ◆> フリーナはまた今度私と少しお茶しよう！   (2024/11/8 20:11:10)

フリーナ> ドッペルゲンガーかい？(ムシャムシャ)んー？構わないよ！！君の誘いならいつでも歓迎さ！！   (2024/11/8 20:11:38)

胡桃 ◆> そういうこともあるよ、19歳っていうエロガキ最年長はそんなに少なくないらかね。   (2024/11/8 20:11:45)

胡桃 ◆> じゃあ私は用事も済んだことだし、一度お暇するよ。あとは2人にお任せ〜♪   (2024/11/8 20:12:17)

エロガキ♂19H ◆> 違いますよ。顔合わせたら死ぬじゃないですかやだー（白目）フリーナさんも相変わらずお元気そうで何よりです＞フリーナ   (2024/11/8 20:12:28)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/8 20:12:49)

エロガキ♂19H ◆> おや、了解です。お疲れ様でした   (2024/11/8 20:13:05)

フリーナ> ま、、まさかさっきの人がなにか...僕は見ていないからね！！お疲れさま！！   (2024/11/8 20:13:19)

エロガキ♂19H ◆> ありそうなのが怖いですね……お食事中ならお菓子の出番はなさそうでしょうか？   (2024/11/8 20:14:21)

フリーナ> そういえば気になったんだけど...本部屋消えてないかい？僕の今日のご飯はプクプクシュークリームだよ？(ムシャムシャ)   (2024/11/8 20:14:53)

エロガキ♂19H ◆> （本日も毎度の如く回線が不安定なので、無言落ちしたら察していただけると助かります）   (2024/11/8 20:15:00)

フリーナ> (構わないさ！僕も食べ終わったらお風呂にって何をいわせるんだい！！)   (2024/11/8 20:15:40)

エロガキ♂19H ◆> え？……あ、本当ですね。仮部屋からリンクも消えてます（びっくり）ご飯と言うから何を食べてるのかと思えば……相変わらずシュークリームなんですね……（苦笑い）   (2024/11/8 20:16:24)

エロガキ♂19H ◆> （私が言わせたみたいになってる！？また護衛の方に狙われたくないので勘弁してください！（苦笑））   (2024/11/8 20:17:09)

フリーナ> さっきまでリンクはあったのに！？さすが胡桃仕事が速いね。ヌヴィレットには及ばないけどね！！   (2024/11/8 20:17:54)

エロガキ♂19H ◆> 私はお部屋が消えたこと自体先ほど知りましたが……仕事が早いのは相変わらずさすがですね（ほほぉ）   (2024/11/8 20:19:08)

2024年11月08日 02時20分 ～ 2024年11月08日 20時19分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
