/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2025年07月15日 22時11分 ～ 2025年07月19日 14時58分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13Al> 優しくしてねって言っておけば優しくしてくれる子も多いよ！   (7/15 22:11:53)
常闇トワ> い〜〜〜やちょっとね。トワは後輩に毒味をさせる系悪魔だから。ホロナルドでも後輩に優先的にテキパキ働かせて給料貰っていっとるからさ。だぁからTMTは良い加減忘れろて……！！悪魔なの、何も天使じゃねーから！   (7/17 22:38:53)

エロガキ♂18hx> こんど、おしおきだな（笑）   (7/17 22:39:21)

エロガキ♂16Hi> そんなことするからトワ様負けちゃうんじゃない…？？   (7/17 22:40:07)

尾丸ポルカ> TMTなのに日頃の行いが悪いなんてそんな……ねぇ？それにポルカ知ってるんだ、同期がなんだかんだトワ様に甘やかされてるの、ポルカ見てるから。   (7/17 22:41:19)

エロガキ♂16Hi> はぁ…ガチTMT…(合掌)   (7/17 22:41:59)

エロガキ♂18hx> チーン〇〇   (7/17 22:42:31)

エロガキ♂16Hi> ぽっ   (7/17 22:42:46)

エロガキ♂16Hi> すまん、抗えなかった   (7/17 22:42:58)

尾丸ポルカ> （コンプライアンス違反を感じてカズーの爆音）   (7/17 22:43:29)

エロガキ♂18hx> （笑）   (7/17 22:44:32)

常闇トワ> 後方腕組みポルおじ辞めろよ、いや違う、トワが甘やかしたくて甘やかしとるん違うくて、アイツらが甘えに来とるから仕方なくだな…！かなたとか見てみ、ありえんから受け止める体勢が！   (7/17 22:45:56)

エロガキ♂16Hi> ここまでテンプレなツンも中々ないぜ姉御……   (7/17 22:47:41)

尾丸ポルカ> ねねはトワ様にべたべただからね。それでも満更でもなさそうだもん、トワ様は。それにかなたんはほら、どっちかって言うとスパダリ寄りだし。受け止めるには固そうだって後輩に煽られてたけど。   (7/17 22:48:21)

エロガキ♂18hx> （静観）   (7/17 22:48:52)

尾丸ポルカ> （それにポルカよりもガキたちの方が後方腕組みしてる気がするんだ）   (7/17 22:51:53)

尾丸ポルカ> ……ってもしもーし？寝るなら皆ちゃんと布団で寝ろー？   (7/17 22:55:21)

エロガキ♂18hx> いるよー   (7/17 22:56:02)

エロガキ♂16Hi> ごめん、片手間にチャハーン作ってた   (7/17 22:56:28)

尾丸ポルカ> 炒飯って片手間に……って冷食のやつもあるもんな。とはいえ、ポルカはそろそろ寝ようと思うよ。それじゃおつぽるー。   (7/17 22:58:02)

エロガキ♂18hx> おやすみー   (7/17 22:58:17)

エロガキ♂16Hi> おつー   (7/17 22:58:20)

おしらせ> 尾丸ポルカさんが退室しました。  (7/17 22:58:30)

エロガキ♂18hx> オレもこのあたりでー   (7/17 22:58:34)

おしらせ> エロガキ♂18hxさんが退室しました。  (7/17 22:58:37)

エロガキ♂16Hi> あいさー   (7/17 22:58:39)

エロガキ♂16Hi> んじゃ、冷める前にいただきますかねー。俺も退散！……トワ様寝てるなら簀巻きにして部屋の片隅にポイしとくよー(寝てないなら自力で這い上がってくるはず…)   (7/17 23:00:12)

エロガキ♂16Hi> んじゃ、おつチャーハン   (7/17 23:00:43)

おしらせ> エロガキ♂16Hiさんが退室しました。  (7/17 23:00:51)

おしらせ> 無言時間が25分を超えたため、常闇トワさんが自動退室しました。  (7/17 23:11:08)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (7/18 20:40:35)

エロガキ♂14C ◆> こんばんは、ってしまった。ゲーム部屋行くつもりだったのにこっちきちゃったや。   (7/18 20:40:58)

エロガキ♂14C ◆> まあいっか。21時になったらゲーム部屋行こうかな。それにしてもまたそれなりに久々に来たなあ……。人、賑わってるのは何よりかな。   (7/18 20:41:45)

エロガキ♂14C ◆> 金曜の夜だとあまり人いなかったりなのかなー。あまり関係ない気もするけど。   (7/18 20:45:41)

エロガキ♂14C ◆> ログを少し遡ってるんだけど……なんかV一気に増えてない？っていうか、ホロの勢いすごくない？   (7/18 20:48:45)

エロガキ♂14C ◆> 僕個人的にはすごい嬉しい感あるけどね！勿論V以外でも色んな版権の人が参加してくれればもっと楽しいとは思うし！   (7/18 20:52:20)

エロガキ♂14C ◆> さてとー、もーすこししたらゲーム部屋かあ。……誰か来る、かな？   (7/18 20:56:12)

エロガキ♂14C ◆> それじゃゲーム部屋へいどー。   (7/18 21:00:44)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (7/18 21:00:48)

おしらせ> エロガキ♂13Alさんが入室しました♪  (7/19 13:51:35)

エロガキ♂13Al> あつい！   (7/19 13:51:47)

エロガキ♂13Al> 夏真っ盛りだね。サカってんじゃねえ…！   (7/19 13:54:32)

おしらせ> シリカさんが入室しました♪  (7/19 14:08:50)

シリカ> お水のみますか、それともアイスたべますか？（あついという叫び声に質問して）   (7/19 14:10:01)

エロガキ♂13Al> こんにちは。シリカちゃんをいただこうかなうへへへへ！   (7/19 14:10:27)

シリカ> えっと、表へ出ろ（勝負部屋へ行こう）ですか！？   (7/19 14:12:40)

エロガキ♂13Al> もう少ししたらデバイス変えるからそれまで待ってもらおうかな！それまではシリカちゃんがアイスペロペロしてるところを見せてもらおう（じーっ)   (7/19 14:13:45)

シリカ> わ、わかりました（言われるままにバニラのアイスをペロペロ）し、視線がすごいです！   (7/19 14:15:24)

エロガキ♂13Al> むふーっ♡おいしい？あーっ白いのが垂れちゃう！   (7/19 14:16:33)

シリカ> あっ！（慌てて、はむっとくわえて）んーっ   (7/19 14:17:16)

エロガキ♂13Al> そんな根本まで…（誰もとめないからこんなことに…！)   (7/19 14:19:29)

シリカ> （こぼれないようにお口の中で止めながら全部たべきって）おいしかったです！   (7/19 14:22:08)

エロガキ♂13Al> よかっまね♡俺も大満足さ…（なぜかスッキリした表情)   (7/19 14:23:24)

シリカ> お水のまなくて大丈夫ですか？（スッキリしてるし元気なのかなぁと思いつつ）   (7/19 14:24:28)

エロガキ♂13Al> もうちょっとだけど、じゃあ車初の前に飲ませてもらおうかな！（んーっと飲ませてもらう格好。悪しき甘えん坊だ！)   (7/19 14:26:14)

シリカ> じ、じっとしててくださいね？（こぼさないよう慎重に、至近距離まで寄って飲み口を差し出して）   (7/19 14:29:42)

エロガキ♂13Al> 大丈夫さ…（触りたいけど少し我慢。こくこく…と飲ませてもらって)ぷはー。よし、元気も出たし準備もできた！…やるか！   (7/19 14:30:39)

シリカ> はい、がんばります！   (7/19 14:31:11)

おしらせ> エロガキ♂13Alさんが退室しました。  (7/19 14:31:22)

おしらせ> シリカさんが退室しました。  (7/19 14:31:26)

おしらせ> 常闇トワさんが入室しました♪  (7/19 14:47:03)

常闇トワ> うー……やっぱ昼間ッからジメっててイヤや〜…。表の方は1:1で頑張っとるぽいし、静観しとろーっと。（ポッキンアイスちろちろ）   (7/19 14:48:04)

おしらせ> エロガキ♂12ALさんが入室しました♪  (7/19 14:49:13)

エロガキ♂12AL> あっつ……蒸し暑い。   (7/19 14:50:11)

常闇トワ> ぉ、こんやっぴ〜……？いやマジそれな、ただカンカンで暑いだけならまだしも蒸してんの！こういう時はね、文明の利器よ。エアコン除湿モード除湿モード……。   (7/19 14:51:41)

エロガキ♂12AL> こんやっぴー。これがおんだんか、人類がやらかしたヤバいやつ。24℃！24℃に設定してよ！   (7/19 14:53:58)

常闇トワ> 最近、人間を理解らせする最も大きな理由に温暖化が挙げられるわマジで…！悪魔も面食らっとるんよ……！お外で汗かいてきた子も来れるよう、出血大サービスの23℃な。家計簿は絶対に黒字にするトワも首を縦に振るわよ   (7/19 14:58:08)

2025年07月15日 22時11分 ～ 2025年07月19日 14時58分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
