/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月23日 01時32分 ～ 2024年11月23日 10時47分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂15R ◆> ぼくはあんまり罰部屋の方は見ないので……   (2024/11/23 01:32:35)
エロガキ♂19b ◆> どうだろう？...聞いてみたらいいかも？以外と乗り気な子もいるからねー！プリンうまい！！15R君も食べる？   (2024/11/23 10:12:22)

エロガキ♂15R ◆> プリンっ！たべるっー！   (2024/11/23 10:12:43)

エロガキ♂19b ◆> あげちゃいます！！(15R君の前にプリンをおいて)   (2024/11/23 10:13:18)

花海佑芽> （ぐーぎゅるるるるる）   (2024/11/23 10:14:13)

エロガキ♂19b ◆> 佑芽ちゃんにもプリンを～...(1.あげちゃいます！2.あげません！！)   (2024/11/23 10:14:18)

エロガキ♂19b ◆> 1d2 → (2) = 2  (2024/11/23 10:14:26)

エロガキ♂19b ◆> あげません！！(クワッ！)   (2024/11/23 10:14:37)

花海佑芽> それはもらっても断ります、約束は約束なので！   (2024/11/23 10:14:56)

エロガキ♂15R ◆> わーいっ！やったぁ！19bさんありがと〜っ！…美味しいっ(置かれたプリン開封っ！掬って食べちゃうっ)   (2024/11/23 10:15:02)

エロガキ♂19b ◆> 約束を守れて偉い！お兄さん感動しちゃった(グスン)   (2024/11/23 10:15:43)

花海佑芽> でも見てるのはつらいので寮に帰ります、わーん！！（泣きダッシュ）【という体で、ちょっとお呼ばれしたので、出かけてきます！】   (2024/11/23 10:16:26)

エロガキ♂15R ◆> あれっ…佑芽さん食べないんですか…？(プリンぱくぱく)   (2024/11/23 10:16:39)

おしらせ> 花海佑芽さんが退室しました。  (2024/11/23 10:17:15)

エロガキ♂15R ◆> 佑芽さん行っちゃった…！お疲れ様でしたっ！   (2024/11/23 10:17:24)

エロガキ♂19b ◆> あらら...また泣かせちゃった、そろそろお仕置きが飛んできそうだな～   (2024/11/23 10:17:27)

エロガキ♂19b ◆> まったねー！   (2024/11/23 10:17:37)

エロガキ♂15R ◆> ごちそうさまでしたっ！…そのうちひどい仕返しが飛んでくるんじゃないですか…？   (2024/11/23 10:18:27)

エロガキ♂19b ◆> ふっ...俺も負けたときは夜ごはんや昼ご飯を取られてるからね...食べ物の恨み！   (2024/11/23 10:19:10)

エロガキ♂15R ◆> なるほどっ…食べ物の恨みはこわいっ…！   (2024/11/23 10:19:59)

エロガキ♂19b ◆> っと...少しだけでるな！すぐに戻るほんとに一瞬！！！   (2024/11/23 10:21:31)

エロガキ♂15R ◆> はーいっ！行ってらっしゃいませ〜   (2024/11/23 10:21:47)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/23 10:21:52)

エロガキ♂15R ◆> いたずらしちゃうぞ〜！…出来ないっ…！   (2024/11/23 10:22:45)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/23 10:23:33)

エロガキ♂19b ◆> たでーま   (2024/11/23 10:23:56)

エロガキ♂15R ◆> おかえりなさ〜い！ほんとに早かったっ！   (2024/11/23 10:24:22)

エロガキ♂19b ◆> お兄さんはお節介をしに行っただけだからね！！   (2024/11/23 10:25:15)

エロガキ♂15R ◆> 把握してますっ！多分…寝ちゃってるのかな…？   (2024/11/23 10:25:57)

エロガキ♂15R ◆> 出忘れかもっ！   (2024/11/23 10:27:12)

エロガキ♂19b ◆> 寝ちゃうのはあるあるだよね～by寝落ち常習犯   (2024/11/23 10:27:14)

エロガキ♂15R ◆> あるある〜…って常習犯はよくありませんっ！ちゃんと寝ましょうっ！ぼくもあんまり人の事言えませんけど…！   (2024/11/23 10:28:37)

エロガキ♂19b ◆> ふふっ、、寝落ちの話をした夜はだいたい寝落ちしている！！.....( ;´･ω･`)   (2024/11/23 10:29:34)

エロガキ♂15R ◆> 周りが騒がしいとついついウトウトする気持ちなら分かりますっ…！けど、今日こそはちゃんと寝ましょう…！頑張りましょうっ！   (2024/11/23 10:31:16)

エロガキ♂19b ◆> ふっ！お兄さん頑張っちゃうぞ～...zzz   (2024/11/23 10:32:21)

エロガキ♂15R ◆> あっ…！言ったそばから〜！！起きて〜っ！！(身体ユサユサ)   (2024/11/23 10:33:10)

エロガキ♂19b ◆> ぐぇぇ...起きた！起きたから！！   (2024/11/23 10:33:57)

エロガキ♂15R ◆> …よしっ！起きましたね！…今のうちに寝貯めすれば良いんじゃ…と一瞬思いましたっ   (2024/11/23 10:35:42)

エロガキ♂19b ◆> 夜はゲームしちゃうから寝溜めしてても起きてるんだよねぇ   (2024/11/23 10:36:55)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/23 10:38:12)

エロガキ♂15R ◆> えぇ…どうすれば……   (2024/11/23 10:38:20)

胡桃 ◆> やっ！2人に少し聞いてもいいかな？   (2024/11/23 10:38:26)

エロガキ♂15R ◆> おはようございますっ！   (2024/11/23 10:38:30)

エロガキ♂15R ◆> はいっ！   (2024/11/23 10:38:38)

エロガキ♂19b ◆> やっほー！！なんでも聞いて！好きことから好きな部位までなんでも答えるよ～   (2024/11/23 10:39:05)

胡桃 ◆> はいはい、19bさんは女の子が好きなんだよね？そうじゃなくて、部屋の説明とかどのくらいの頻度でちゃんと目を通す？更新したらしたってわかりやすくした方がいい？   (2024/11/23 10:40:02)

エロガキ♂19b ◆> 軽くあしらわれた！説明は毎回しっかり見てるよ～   (2024/11/23 10:41:02)

エロガキ♂15R ◆> そうですね〜…ぼくは説明変わってないかざっくり目を通してから入室して、待機中にもう一度ちゃんと…という感じですねっ！   (2024/11/23 10:42:35)

胡桃 ◆> そっかそっかー！高頻度で弄り回してた頃もあったけど、今は落ち着いてる方だから大丈夫だと思ったんだけど。一応アナザーの方も含めて説明の更新には気をつけてね。   (2024/11/23 10:44:37)

エロガキ♂19b ◆> お兄さんアナザー使えない( ;´･ω･`)   (2024/11/23 10:44:54)

エロガキ♂15R ◆> わかりましたっ！   (2024/11/23 10:45:12)

胡桃 ◆> 私は少し飲み物用意して…それから書き足しでもしとこうかな   (2024/11/23 10:45:18)

エロガキ♂19b ◆> 書き足すってことは文字制限との戦いは今日も起こりそう？   (2024/11/23 10:45:55)

胡桃 ◆> 多分今日は平気かな   (2024/11/23 10:46:23)

エロガキ♂19b ◆> それはよかったよかった。いや...悪戦苦闘してるのを見ながら何かを食べても...ゴホンゴホン！！更新されたらちゃんと確認しとくね！   (2024/11/23 10:47:40)

2024年11月23日 01時32分 ～ 2024年11月23日 10時47分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
