/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月12日 22時15分 ～ 2024年11月13日 10時18分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> クラウンさんが入室しました♪  (2024/11/12 22:15:29)
エキドナ ◆> 途中で離れたりしないといけないからね、あまり落ち着けないと思うが、、それでも構わないならボクはいいよ、？(手で口元隠して考えてから彼に目線向け直して、まっすぐ目線向けて)   (2024/11/13 04:17:03)

エロガキ♂15M ◆> うん、それでも全然…むしろありがたすぎるよ(にへら…なんて砕けた笑み向ければ、出入口の扉を開けて) んじゃ、先にお部屋で待ってるねぇ〜(手をﾌﾘﾌﾘ振ってから、先に行ってしまう)   (2024/11/13 04:19:20)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが退室しました。  (2024/11/13 04:19:32)

エキドナ ◆> 先に言ったからね、？(先に出ていった彼の後追って、想像より遅くなってるのを見てから振り向いて寝顔眺めて確かめてから扉から出て行って)   (2024/11/13 04:21:34)

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/11/13 04:21:37)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/11/13 06:36:31)

星 ◆> ……昨日はここで何があったの、（自動退室の嵐にびっくりして、）   (2024/11/13 06:36:58)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/11/13 06:37:10)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが入室しました♪  (2024/11/13 08:46:14)

エロガキ♂15R ◆> (むくりっ)   (2024/11/13 08:46:19)

エロガキ♂15R ◆> ん〜…？…はっ…！ね、寝ちゃってたっ…！…皆さんも寝落ちてる〜っ！？   (2024/11/13 08:48:42)

エロガキ♂15R ◆> お騒がせしましたっ！ただの寝落ち、ですっ！…お布団は…どなたか掛けてくれたのかな…？…片付けておこっ！(固まった身体を解すのにぐーっと伸びをすると、掛かってたお布団畳み押し入れにしまい)   (2024/11/13 08:52:15)

エロガキ♂15R ◆> 出掛け…ますっ！   (2024/11/13 08:52:58)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが退室しました。  (2024/11/13 08:52:59)

おしらせ> ソフィナ・ブリビアさんが入室しました♪  (2024/11/13 09:42:15)

ソフィナ・ブリビア> 少しお顔をのぞかせていただきますわ   (2024/11/13 09:42:28)

おしらせ> 花海佑芽さんが入室しました♪  (2024/11/13 09:58:34)

ソフィナ・ブリビア> こんばんは   (2024/11/13 09:58:42)

ソフィナ・ブリビア> 間違えました　おはようございます   (2024/11/13 09:58:59)

花海佑芽> おはようございます！   (2024/11/13 09:59:40)

ソフィナ・ブリビア> かわいらしい女の子ですね   (2024/11/13 10:02:25)

花海佑芽> ありがとうございます！（わーい！）   (2024/11/13 10:03:05)

花海佑芽> ソフィナさんは、ここに来てもう長いんですか？   (2024/11/13 10:04:02)

ソフィナ・ブリビア> いえ、最近来たばかりですよ　ここのサイト自体は長いですけどね   (2024/11/13 10:04:19)

花海佑芽> そうなんですね、あらためてよろしくお願いします！（両手をとって、ぶんぶん）   (2024/11/13 10:05:40)

ソフィナ・ブリビア> こちらこそですよ   (2024/11/13 10:05:55)

花海佑芽> 午前中の予定が急になくなって、手持ち無沙汰なところでした   (2024/11/13 10:07:46)

ソフィナ・ブリビア> 午前何かあったんですか？   (2024/11/13 10:08:14)

おしらせ> エロガキ♂19Hさんが入室しました♪  (2024/11/13 10:09:07)

ソフィナ・ブリビア> いらっしゃい   (2024/11/13 10:09:16)

花海佑芽> あ、ここじゃなくてリアルの話で＞急に   (2024/11/13 10:09:32)

花海佑芽> おはようございます！   (2024/11/13 10:09:40)

エロガキ♂19H> おはようございます。朝から可愛い方たちがお話してたので入っちゃいました。   (2024/11/13 10:09:56)

おしらせ> エロガキ♀15kbさんが入室しました♪  (2024/11/13 10:10:08)

ソフィナ・ブリビア> あら、わたしはもう２４ですよ   (2024/11/13 10:10:35)

エロガキ♀15kb> 可愛いと思った？残念、メスガキでした～♪どうもこんにちは～   (2024/11/13 10:10:43)

花海佑芽> カービィさんも、おはようございます！   (2024/11/13 10:10:52)

エロガキ♀15kb> カービィではなくなんですけどね！？（己顔が肝臓様！）   (2024/11/13 10:11:25)

エロガキ♂19H> これは…女の子に囲まれてしまいましたね   (2024/11/13 10:11:52)

エロガキ♀15kb> 囲んだからには棒で殴ればいいんでしょうかね？（丸太は持ったな？ヨシ！）   (2024/11/13 10:12:24)

花海佑芽> ほかの人にも呼ばれてませんでしたっけ？＞ピンクでkbなカービィさん   (2024/11/13 10:12:57)

エロガキ♀15kb> しかし、カービィさんとかそんなピンクでも丸型でもないですし、どこぞのオグリ何とかさんのごとき食欲もないんですけどね   (2024/11/13 10:13:05)

ソフィナ・ブリビア> あら、魔法で粛清しますよ＞１５   (2024/11/13 10:13:25)

エロガキ♀15kb> 顔が肝臓こと、雪花ラミィさんにそう呼ばれてますけどぉ、けどぉ   (2024/11/13 10:13:47)

花海佑芽> じゃあタックルします！   (2024/11/13 10:13:47)

エロガキ♂19H> そんな物騒な棒はしまってください…(こちらの棒では丸太に対応できないなと思いながら)   (2024/11/13 10:13:55)

エロガキ♀15kb> ん（やっぱりいつもの配色だとソフィナさんと色被りするし、今日は赤系強めのがよし！）   (2024/11/13 10:14:50)

ソフィナ・ブリビア> なら私がかえましょうか   (2024/11/13 10:15:04)

エロガキ♀15kb> え？！なんで魔法で粛清される！？あ、アタシ！？（がビンッ   (2024/11/13 10:15:35)

花海佑芽> こうだったかな（色替え）   (2024/11/13 10:16:04)

エロガキ♂19H> みんな変わってる…   (2024/11/13 10:17:34)

花海佑芽> 男女比は三対一ですけどチーム比は二対二ですね（バランス）   (2024/11/13 10:18:10)

エロガキ♂19H> そうですね   (2024/11/13 10:18:40)

2024年11月12日 22時15分 ～ 2024年11月13日 10時18分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
