/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月27日 01時54分 ～ 2024年10月27日 20時51分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

蛍> 頼まれた事も済んだし…長く居座ってたから私もそろそろ出ないと(すっかり夜遅くなってる事に気が付いて、ちょっと欠伸出ちゃうそう。膝の上に寝かせてたパイモンが寝言零してるのは今日の夜ご飯が美味しかったから、その夢かも。パイモンを大事に抱き抱えて、ソファから立ち上がれば静かなお部屋後にして)
  (2024/10/27 01:54:04)

おしらせ> 蛍さんが退室しました。  (2024/10/27 01:54:09)
エロガキ♂18D ◆> (え、いつから彼女のレーダーを実装したんですか……？)   (2024/10/27 20:33:44)

栞葉るり> 出ない…？射精不全でしょうか。ケアが必要ですね…！！   (2024/10/27 20:34:15)

エロガキ♂18D ◆> フェリさん……言うなれば彼女は女性版19さんみたいな人なので……(風評被害)   (2024/10/27 20:34:16)

胡桃 ◆> (今日のお昼誰かさんの不穏さも感知してたけどね！(ぺし、)   (2024/10/27 20:34:24)

栞葉るり> 正直、揉めるくらいならスルーして退室したほうがいいです。スルースキルを磨きましょう   (2024/10/27 20:35:03)

胡桃 ◆> クラリスさんはもしかして時間できたのかな？(例のアレかな、お喋りかな。それともお茶？)   (2024/10/27 20:35:11)

エロガキ♂18D ◆> (その節は誠に申し訳ございませんでした！！もう完治しましたので……！！はい……！！)   (2024/10/27 20:35:12)

フェリックス ◆> フェリちゃんは別に不全じゃにゃいよー！クルシュ様に貞操を捧げるって決めてるだけにゃの！   (2024/10/27 20:35:12)

栞葉るり> (例のアレ…)   (2024/10/27 20:35:31)

フェリックス ◆> どういう意味かにゃ！？ちょっとフェリちゃんで遊んでない！？   (2024/10/27 20:35:40)

エロガキ♂18D ◆> スルースキルは磨こうと思いました、はい   (2024/10/27 20:35:42)

クラリス ◆> 時間できました〜が、至急の案件ありましたらそちら優先でOKですっ   (2024/10/27 20:35:53)

栞葉るり> (と言いつつ2日置きくらいに発症してるので今週中にも再発はあるかと…？)   (2024/10/27 20:36:06)

エロガキ♂18D ◆> (例のアレ……)   (2024/10/27 20:36:08)

クラリス ◆> みんなの視線が痛い！   (2024/10/27 20:36:22)

クラリス ◆> （わーん、と胡桃さんに甘え抱きつき）   (2024/10/27 20:37:21)

エロガキ♂18D ◆> (……多分違うのだろう、18Dはそう解釈した)   (2024/10/27 20:37:27)

栞葉るり> ノリノリで乱交してたら多少見る目は変わるかと…(消せない罪)   (2024/10/27 20:38:07)

胡桃 ◆> ううん、私の方は大丈夫だよ。一応余裕持ってここに待機してただけだから、クラリスさんが良ければ個室でも大丈夫？(私の何気ない一言がクラリスさんにダメージを与えた…？よしよし、頭撫でておこう。)   (2024/10/27 20:38:17)

胡桃 ◆> 念の為に言っておくけど…そういうあれじゃないよ？(てれてれ、)   (2024/10/27 20:38:36)

エロガキ♂18D ◆> (静かに棺桶に入ってた方が良さそうだ……あの空間には入れない……)それではごゆっくり…   (2024/10/27 20:38:52)

クラリス ◆> 了解です〜（すんすん）≫個室   (2024/10/27 20:38:53)

栞葉るり> …むしろ事務的なやつ以外で誘うとかあるんですか？   (2024/10/27 20:39:02)

エロガキ♂18D ◆> ……多分事務的なヤツ、だと思います。この部屋関係か、それかまた別の事か……(棺桶から声が)   (2024/10/27 20:39:42)

栞葉るり> わたくしも胡桃を事務的な意味でしか連れ去ってませんが！   (2024/10/27 20:39:44)

クラリス ◆> 入りました〜   (2024/10/27 20:39:56)

胡桃 ◆> 用意した…って、クラリスさんまで私を嗅ぐようになってる！？(職業柄お香というか、お線香とかの匂いしないかな…)   (2024/10/27 20:39:57)

エロガキ♂18D ◆> この中の人、殆ど胡桃さんを連れ出す時って真面目な話だけのような……(お線香とお香の香りいいですよね)   (2024/10/27 20:40:45)

栞葉るり> いってらっしゃいませ〜(先制攻撃)   (2024/10/27 20:40:47)

胡桃 ◆> 言われてみると…大体連れ出す理由は変な意味じゃないかも。…そろそろ私も我儘したい！(しない、)   (2024/10/27 20:40:52)

クラリス ◆> いったん落ちますね〜   (2024/10/27 20:41:48)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/10/27 20:41:50)

エロガキ♂18D ◆> 行ってらっしゃいませ～……やれる範囲、良識の範囲内ででなら我儘叶えて差し上げますよ？(饒舌な棺桶)   (2024/10/27 20:41:52)

フェリックス ◆> 行ってらっしゃ〜い♪   (2024/10/27 20:41:53)

エロガキ♂18D ◆> 行ってらっしゃいませ～   (2024/10/27 20:41:59)

胡桃 ◆> (真面目だけじゃないけどねって、口元に指添えて退室しとこ)   (2024/10/27 20:42:01)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/27 20:42:04)

フェリックス ◆> (フェリちゃんもこの流れでこっそり行っても良いよね、、？)   (2024/10/27 20:43:57)

栞葉るり> (どうぞどうぞ。覗きに行ってきても…)   (2024/10/27 20:44:23)

フェリックス ◆> あ、それじゃークルシュ様に呼ばれてる気がするからフェリちゃんも行ってきまーす♪   (2024/10/27 20:44:31)

フェリックス ◆> またね〜♪(お手振り、)   (2024/10/27 20:44:48)

おしらせ> フェリックス ◆r8To80Q7JEさんが退室しました。  (2024/10/27 20:44:50)

エロガキ♂18D ◆> 行ってらっしゃいませ、フェリスさん……また会えましたら。(よっこいしょと棺桶から出て……)   (2024/10/27 20:45:24)

エロガキ♂18D ◆> さて……何だかんだでるりさんと二人になるのは初めて……ですかねぇ？本日はお勤めです？   (2024/10/27 20:46:39)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/10/27 20:47:59)

栞葉るり> もちろん！(もちゃもちゃ)　休みだとしたらここに来たりはしないかも？昨日も眠すぎて寝てましたし！起きたら朝でしたが   (2024/10/27 20:48:01)

栞葉るり> こんばんは〜   (2024/10/27 20:48:17)

栞葉るり> ちょっとごはんたべます   (2024/10/27 20:48:27)

エロガキ♂17L ◆> こんばんは、あまり長居はしませんが……お邪魔しますよ(土管から出てくるかと思いきや普通に扉から入ってきて)   (2024/10/27 20:48:52)

エロガキ♂18D ◆> ……何か食べながら話してます？それは最早普通の睡眠ではありますね……おや、こんばんはです。   (2024/10/27 20:48:59)

エロガキ♂18D ◆> (……まぁ、普通に入ってくるかぁ……)   (2024/10/27 20:49:18)

エロガキ♂17L ◆> (白衣でやらんわ、あれば)   (2024/10/27 20:49:48)

エロガキ♂18D ◆> (あ、確かに白衣ですね……てことは何かの研究中、ですかねぇ)   (2024/10/27 20:50:32)

エロガキ♂17L ◆> (いや、シンプル仕事前だから白衣に変えてるだけ(メメタァ))   (2024/10/27 20:51:02)

2024年10月27日 01時54分 ～ 2024年10月27日 20時51分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
