/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月16日 16時10分 ～ 2024年10月17日 00時28分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂12Ω ◆> まぁいいや、それじゃあまた暇潰しにくるなー。   (2024/10/16 16:10:46)
エロガキ♂14C ◆> ひとくちちょーだいかぁ、なるほどなるほど。（めもめも）さてさて、もーすこしフブキおねーさんモフりたかったけど、やっぱりおねーさんハント（意味深）したいからそろそろ出かけるねー？   (2024/10/16 22:48:53)

エロガキ♂14C ◆> 少し沈み気味？の堂主とぽんこつにーさんもまたはなそーねー。ではいざゆかんっ。   (2024/10/16 22:49:44)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/16 22:49:47)

胡桃 ◆> あ、行ってらっしゃーい！   (2024/10/16 22:50:04)

エロガキ♂16r> いてらー   (2024/10/16 22:50:21)

エロガキ♂19b ◆> 行ってらっしゃい～   (2024/10/16 22:50:39)

エロガキ♂19b ◆> 写真整理してたわ...   (2024/10/16 22:51:02)

胡桃 ◆> えっとね、ちょっとお部屋の様子見てたから反応忘れてたというか？(本当はタイミング見計らって驚かしたかったんだけどね！)   (2024/10/16 22:51:06)

エロガキ♂16r> ほむ   (2024/10/16 22:52:02)

白上フブキ> いーってらーっしゃーい！（ちょうどご本人様もいるし、の声真似）白上も一瞬ドロンしましょーかねー…！まだ夜は浅いですし！   (2024/10/16 22:52:22)

胡桃 ◆> ピノとアイスの実…あれは？半分こにするあのアイス…チューパットだっけ？(今度雪見大福のお礼はとうもろこしか甘味にしてあげよう。…香菱に頼んで辛いのを敢えて…。)   (2024/10/16 22:52:27)

胡桃 ◆> おやおや、私の真似〜？(悪い気はしない！)えへへ、白上さんもいってらっしゃーい！   (2024/10/16 22:53:10)

エロガキ♂16r> 多分それ地域とか製造会社とかによって名称違ったはずなんだよね()   (2024/10/16 22:54:06)

胡桃 ◆> あ…私も少し反応遅くなるかも。   (2024/10/16 22:54:31)

エロガキ♂16r> はーい   (2024/10/16 22:55:20)

エロガキ♂19b ◆> 了解！   (2024/10/16 22:55:41)

白上フブキ> チューペットアイスですねたしか…！あれも半分こにして食べましょーねー！ではでは！一旦おつこんでした〜♪   (2024/10/16 22:56:00)

おしらせ> 白上フブキさんが退室しました。  (2024/10/16 22:56:04)

エロガキ♂16r> まぁ、あの名称統一されてなくてややこしい小麦粉で出来たあんこ挟んでるアレよりはマシだけど   (2024/10/16 22:56:18)

エロガキ♂19b ◆> お疲れさまよ～   (2024/10/16 22:56:18)

エロガキ♂16r> お疲れ様ー   (2024/10/16 22:56:25)

胡桃 ◆> はーい！白上さんはおつこんだよ〜！(狐？お化け？そんなポーズ取りながらお見送り〜。)   (2024/10/16 22:56:39)

胡桃 ◆> お出かけしてくるね！   (2024/10/16 22:57:08)

おしらせ> 胡桃 ◆Qe8wlfS40Uさんが退室しました。  (2024/10/16 22:57:11)

エロガキ♂16r> いってらー   (2024/10/16 22:57:15)

エロガキ♂19b ◆> 行ってらっしゃい～   (2024/10/16 22:59:06)

エロガキ♂19b ◆> うし、整理終わり～   (2024/10/16 23:05:33)

エロガキ♂16r> お疲れ様   (2024/10/16 23:07:20)

エロガキ♂19b ◆> ありがとうー！   (2024/10/16 23:11:32)

エロガキ♂16r> しかしどうしようw   (2024/10/16 23:11:46)

エロガキ♂19b ◆> 話すことが無さすぎて寂しい空間になってるよなぁ   (2024/10/16 23:12:17)

エロガキ♂16r> うむ   (2024/10/16 23:12:24)

エロガキ♂16r> さっきのアレの話広げても仕方ないし   (2024/10/16 23:12:35)

エロガキ♂19b ◆> それなぁ！！読書でもしてよ...   (2024/10/16 23:13:48)

エロガキ♂16r> w   (2024/10/16 23:14:03)

エロガキ♂19b ◆> 一旦離席！   (2024/10/16 23:31:40)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/16 23:31:41)

エロガキ♂16r> てらー   (2024/10/16 23:31:54)

おしらせ> エロガキ♂16rさんが退室しました。  (2024/10/16 23:40:06)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/16 23:55:45)

胡桃 ◆> え？誰この人って思った〜？私、私だよ！胡桃だよ！   (2024/10/16 23:57:30)

おしらせ> エロガキ18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/17 00:00:34)

胡桃 ◆> そして日付も変わったね〜…私はそろそろ……お？こんばんは！   (2024/10/17 00:00:58)

エロガキ18D ◆> バレましたか……こんばんはです。人いないかなと思ってきてみましたが…   (2024/10/17 00:01:24)

胡桃 ◆> バレバレ〜。私の目は誤魔化せないよ〜？   (2024/10/17 00:01:43)

エロガキ18D ◆> 隠密行動で驚かせようと思いましたが…そうも行きませんね。精進します……   (2024/10/17 00:02:20)

胡桃 ◆> 私を相手にそれが通用すると思うの？(にひひ、)いや〜…それにしても今夜は静かだね。皆週の半ばで疲れきっちゃったのかな？   (2024/10/17 00:04:28)

エロガキ18D ◆> ちょっと通用するのかなと思っていたりはしてました…そうですね、先ほどは凄い盛り上がっていたのですが…何か今日は全体的に静かですねぇ…たまにはこういう日も、いいかと…(くぴ、とスラーダを飲み…完全に晩酌モード)   (2024/10/17
00:06:14)

胡桃 ◆> ないない、私相手に18Dさんじゃそれはできないかな。私はちょっとトリップ直しに来ただけだし、特に話題もなければ落ちちゃうところだけど。(お酒〜？私は飲まないよって、首横振りぶんぶん。)   (2024/10/17 00:08:30)

エロガキ18D ◆> まぁ、ですよね……慣れないことはするもんじゃないですね…あ、そうだったんですね…何も知らずに入って申し訳ないです…(ってこれお酒だったんですね！？飲みやすいから新手のコーラか何かだと思ってましたが！？という顔をして)  
(2024/10/17 00:10:25)

胡桃 ◆> 知ってた方が怖いと思わな〜い…？「あなたの事は何でもお見通し」みたいな！(悪戯する様に怪しい顔作ってみて。)私はあっちの世界詳しくないから調べたけど…うん、晩酌に使うもの…なの、かな？(説明を少し読んで流石に驚愕してる。え、私も飲むの？)  
(2024/10/17 00:14:00)

エロガキ18D ◆> まぁ、人の心読めるわけではないですし…ある程度展開予想して(あ、たぶんこの勝負負けるな～)みたいな予測することはできますけど…まさか自分の心を読む気では……？(そう言うと身体を軽く縮こまらせ)
自分全く知らんかったので…コーラと同じようなもんかと思ってたので…まぁ、自分で晩酌してただけなので、胡桃さんは飲まなくても大丈夫ですよ……？   (2024/10/17 00:17:57)

胡桃
◆> さすがに人の心を読んで悪戯なんてしないよ〜？私はちょっと驚かしたり、そのくらい？(方掌お口に添えて、くすくすっと。)晩酌にあれを飲んでるのが凄くない…？(開拓者なら普通なのかも？旅人ならきっと飲む、星と深淵を目指して(？)もしかして私に何か飲ませるつもりでもあったのかな〜？
  (2024/10/17 00:22:52)

エロガキ18D ◆> ですよね……さすがに人の心読まれたらあんなことやこんなことが……なんて、今そこまで考えてないんですけど…でもちょっと驚かされると腰抜かすことはたまーにあるんでねぇ…後ろ気を付けないと()
何かあの世界、味覚が心p……げふん、珍味中の珍味が多いらしく…これはマシでしたが…まさか、単純に胡桃さんの話を肴に自分が飲みたかった、それだけですよ。何か飲まれます？水かお茶かココア、ありますけども…   (2024/10/17 00:28:10)

2024年10月16日 16時10分 ～ 2024年10月17日 00時28分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
