/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年12月10日 07時01分 ～ 2024年12月11日 13時23分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂17L ◆> 容量？＞17C   (2024/12/10 07:01:53)
エロガキ♂13Al> 暴力は良くないと思います…！耳元で大声出すのも不愉快だからやめた方がいいと思います…！　必要なのは思いやりとエロス！   (2024/12/11 12:26:13)

エロガキ♂13Al> あっここで「だめーっ！」とかなんとか言って抱きつきにいくべきだった！時空を操る能力があれば…！   (2024/12/11 12:29:16)

エロガキ♂19b ◆> ちなみに、お兄さんここでいろんな目に合ってるから粒子レベルで分解されない限りは！！なんとかなるかも？   (2024/12/11 12:30:01)

エロガキ♂19b ◆> ....まさか、、また寝たのか！？これほど耳元で騒がれてなお！！くっ...なんてことだ...俺もまだ修行が足りない、か   (2024/12/11 12:32:33)

トウコ> ちょっと出かけますのででますね。夜に勝負部屋に逝くかも   (2024/12/11 12:33:39)

エロガキ♂19b ◆> 逝ったら駄目だよ！？   (2024/12/11 12:33:53)

おしらせ> トウコさんが退室しました。  (2024/12/11 12:34:00)

エロガキ♂13Al> 外は寒いから気をつけてねー。ラミィちゃんも寝たかな（嗅ぎに行く）   (2024/12/11 12:34:12)

エロガキ♂19b ◆> いってらっしゃい～！！そしてそんなことはさせないからね！(首根っこを掴んで)   (2024/12/11 12:34:39)

エロガキ♂13Al> 米麹のにおいがするっ！   (2024/12/11 12:36:20)

エロガキ♂19b ◆> 駄目だもう止まらねえ...仕方ない、、多少は許してあげよう(手を離して)   (2024/12/11 12:37:22)

エロガキ♂13Al> 触ってないから大丈夫大丈夫！   (2024/12/11 12:39:40)

エロガキ♂19b ◆> ほなええかー   (2024/12/11 12:40:45)

雪花ラミィ> 許すな！！！   (2024/12/11 12:41:38)

エロガキ♂13Al> 起きてた！？   (2024/12/11 12:43:27)

エロガキ♂19b ◆> とってもキュートでラブリーなラミィちゃんにガキが飛び付くのは仕方ないでしょー？だから匂いを嗅ぐぐらいなら...いいかなぁって   (2024/12/11 12:43:37)

エロガキ♂13Al> そうだそうだ！えっちすぎるほうにも責任があると思います！   (2024/12/11 12:44:50)

雪花ラミィ> ラミィの香水、もうすぐ再販やからそこで我慢して（）   (2024/12/11 12:45:28)

エロガキ♂13Al> まさかのPR案件…！とにかく眠い時に無理しない方がいいと思います！   (2024/12/11 12:45:53)

エロガキ♂19b ◆> あー！！思い出した～！！！(くそでか声)   (2024/12/11 12:47:05)

雪花ラミィ> いいや、ラミィ三回目起きると目が覚めるから（）   (2024/12/11 12:48:09)

エロガキ♂19b ◆> たしかさ～！！昨日かその前か100年間だっけー？...ラミィちゃんと13AI君添い寝の約束してなかった？気のせい？   (2024/12/11 12:48:38)

エロガキ♂13Al> 何度でも時空を超えて巡り合ってあらゆる願いを叶えてくれるって言ってた！ギャルのパンティください！   (2024/12/11 12:50:08)

エロガキ♂19b ◆> 13AI君の中身はウーロンだったかぁ...   (2024/12/11 12:50:51)

雪花ラミィ> うちの事務所に沙花叉ってギャルがおるからね、その子のパンティあげようね。先輩特権でもぎ取ってくるから。   (2024/12/11 12:51:38)

エロガキ♂13Al> 600歳はギャルやないっていうんかあ！？   (2024/12/11 12:52:03)

雪花ラミィ> 600歳…？   (2024/12/11 12:55:22)

エロガキ♂19b ◆> 若いっていいねぇ...(遠くから眺めて)ラミィちゃんはそんなことないか...(ぼそぼそ)   (2024/12/11 12:56:05)

エロガキ♂13Al> 違ったかもしれない。適当に喋るとよくない。…とにかく後輩にセクハラなんて最低ですよ！   (2024/12/11 12:56:48)

雪花ラミィ> ふざけんなまだ214歳だよ！！！！！後輩のパンツなんてね、もぎ取れるもんよ（）   (2024/12/11 13:00:11)

エロガキ♂13Al> えへへ間違えちゃった（愛嬌）だいぶ起きてきたようでよかった。セクハラで脳を活性化させるという目論見だったのさ！   (2024/12/11 13:01:45)

雪花ラミィ> まんまと乗せられちまった…（）   (2024/12/11 13:03:56)

おしらせ> エロガキ♂17Cさんが入室しました♪  (2024/12/11 13:05:32)

エロガキ♂13Al> 寝ているあんたを倒してセクハラしても嬉しくねえからな…（ニヒル   (2024/12/11 13:05:41)

エロガキ♂17C> 随分と盛り上がっている様だね、こんにちは。   (2024/12/11 13:06:00)

エロガキ♂13Al> ラミィちゃんのリアクション芸のおかげです。   (2024/12/11 13:06:54)

雪花ラミィ> ラミィ、やはり看板娘なのか。こんらみぃ〜⭐︎   (2024/12/11 13:07:22)

エロガキ♂17C> レディの年齢を肴に盛り上がるのも如何なものかとは思うがね。昨日の借りを返そうと思ったが、眠たそうにしていたのを見て敢えてゲーム部屋へ直行したんだ。   (2024/12/11 13:08:07)

エロガキ♂13Al> 看板の割には前後の凹凸が…（しげしげ）   (2024/12/11 13:09:32)

エロガキ♂17C> ところでそこの寝落ち魔のポンコツは起きてるのか？寝てたら返事してみろよ、っと──（ポケットから小さなサイコロ取り出し投擲）   (2024/12/11 13:09:52)

エロガキ♂19b ◆> 残念起きてるよ！！ちょっとこの後やることについてチームと話してたんだー！(サイコロをラミィちゃんのほうに弾いて)   (2024/12/11 13:12:12)

雪花ラミィ> ホントそうだよな！！わーってるわ女心を。やれやれ系男子は理解ってる。（？）あ、そうだった。ラミィルーレット回してないやんけ。   (2024/12/11 13:12:48)

エロガキ♂17C> 看板娘にしちゃあ随分と清楚さが足り……いや、酒の匂いが強いと思うんだが。   (2024/12/11 13:13:00)

雪花ラミィ> やっぱ分かってねえわコイツ。   (2024/12/11 13:13:14)

エロガキ♂13Al> ほんとうは約束を履行してもらうためにお誘いしたいけど眠さのあんばいがわかってなくて言い出せないところなんだ！あんばいってなんか響きがえっちじゃない？   (2024/12/11 13:14:00)

エロガキ♂17C> 理解ある彼氏役でも欲しかったかい？だったらご生憎様、表では売れない裏メニューってヤツさ。そしてポンコツは起きてたみたいだな。何よりだ。   (2024/12/11 13:14:28)

雪花ラミィ> おめめぱちくりラミィだけど、いつ爆睡かますかはラミィのみそ汁って感じ…。寝落ちしたら、もうそれはGG。   (2024/12/11 13:15:37)

エロガキ♂13Al> その状態はかなり不安に思います！（寝た方がいいよ…のサイン）   (2024/12/11 13:17:33)

エロガキ♂17C> ある意味そこのポンコツ以上の寝落ち率だしな、このハーフエルフ。期待しないくらいがちょうど良いくらいって思ってるよ、オレは。（両肩竦め）   (2024/12/11 13:17:43)

雪花ラミィ> でも寝よう寝ようと思うと寝れないんだよなあ〜…ラミィの体をどうにかしておくれ…。   (2024/12/11 13:18:30)

エロガキ♂13Al> 体をどうにかしておくれ！？（鼻血   (2024/12/11 13:19:27)

雪花ラミィ> 1.続投 2.清楚エルフ 3.泥酔エルフ 4.ご飯を食べるエルフ 5.うるせー寝ろ！！ 6.起きろ！！   (2024/12/11 13:19:50)

雪花ラミィ> 1d6 → (6) = 6  (2024/12/11 13:19:54)

雪花ラミィ> 起きます（白目）   (2024/12/11 13:20:03)

エロガキ♂17C> 1と6の違いを教えてくれ。   (2024/12/11 13:20:10)

エロガキ♂13Al> ヤる気満々エルフってこと…！？   (2024/12/11 13:20:42)

エロガキ♂19b ◆> はぁぁぁぁ！！チームメンバーが役に立たねぇ！！...ぶっこ(ピー音)   (2024/12/11 13:20:57)

雪花ラミィ> 続投はこのまま起きるって事で、起きろはこのまま起きるってこと。   (2024/12/11 13:21:22)

エロガキ♂17C> おいおい、あまり物騒な事を口にしてるとサイコロ喉に放り込むぞ。……なんだその頭の痛い解説。要は同じだろ。   (2024/12/11 13:21:57)

エロガキ♂19b ◆> もうやだ！！若返る！！(薬グビッ！)   (2024/12/11 13:23:19)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/11 13:23:49)

2024年12月10日 07時01分 ～ 2024年12月11日 13時23分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
