/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月19日 11時13分 ～ 2024年10月19日 13時17分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13 ◆> おやすみ〜   (2024/10/19 11:13:58)
星 ◆> なんで？ゴムを着けるという行動一つ挟むことでそれは子作りというある意味聖的な意味合いを持つ行為からただの快楽を求めるための行為に変貌したことを表すから？   (2024/10/19 12:57:32)

星 ◆> わかるよ……。   (2024/10/19 12:57:39)

パッションリップ> 全部説明して納得した…！？   (2024/10/19 12:57:50)

エロガキ♂13M ◆> 自己完結したね   (2024/10/19 12:58:21)

エロガキ♂16r> 自己完結すんなw   (2024/10/19 12:58:39)

栞葉るり> まぁそうですね。だってセックスしないならゴムとか要らないじゃないですか。ゴム自体がセックスみたいなものですし(？)   (2024/10/19 12:58:41)

エロガキ♂19b ◆> ゴム、、用意しとくか   (2024/10/19 12:58:58)

エロガキ♂13M ◆> あ、ちなみに♀勝ったね。そして案の定困ってる   (2024/10/19 12:59:09)

星 ◆> 私は……私がゴミ箱に入ってるときに外から使用済みのゴムをぽいぽい投げ込まれたい……。   (2024/10/19 12:59:33)

エロガキ♂13M ◆> ゴム…ゴムにゃあ…エチケットではあるか…   (2024/10/19 12:59:34)

星 ◆> あ、違うこれゴムじゃなくてゴミ箱だな好きなの……。   (2024/10/19 12:59:42)

エロガキ♂16r> どっちにしろやばい   (2024/10/19 12:59:58)

パッションリップ> 女性優位的な意味合いで射精をきっかり禁止するならこう……おちんちんの根本をｷﾞｭｯと……   (2024/10/19 13:00:01)

エロガキ♂13M ◆> ちょ、オモロイ暴露やめてw   (2024/10/19 13:00:06)

星 ◆> あれだけ女の子がいても罰に困るんだ……確かにこれは、急務なのかも、罰リスト。   (2024/10/19 13:00:41)

栞葉るり> …リップさんにそれされたら取れると思います！！   (2024/10/19 13:00:50)

エロガキ♂16r> 裂ける裂ける   (2024/10/19 13:00:58)

星 ◆> 後面白くはないでしょ、ゴミ箱に真摯になってよ。（真剣、）   (2024/10/19 13:01:21)

パッションリップ> 筋力:A…！   (2024/10/19 13:01:21)

エロガキ♂13M ◆> 一気に赤い汁が飛び散るね。白じゃなくて赤   (2024/10/19 13:01:35)

栞葉るり> ふぅん、星はわたくしとゴミ箱を同一の扱いにするんですね(拗ね犬)   (2024/10/19 13:01:42)

星 ◆> えっ   (2024/10/19 13:02:05)

エロガキ♂13M ◆> あ〜あ、星なにやってんの   (2024/10/19 13:02:11)

栞葉るり> (弓兵の筋力は割とネタにされがち)   (2024/10/19 13:02:13)

星 ◆> な、なんで？そんなことないよ……？   (2024/10/19 13:02:14)

パッションリップ> おっと……心はガラスだぞ？   (2024/10/19 13:02:36)

栞葉るり> はい、わたくしの勝ちぃ〜(クソガキ犬)   (2024/10/19 13:02:37)

エロガキ♂13M ◆> そんな分厚い胸部装甲持ってんのに、中身がガラスじゃ意味ないにゃあ   (2024/10/19 13:03:18)

栞葉るり> VHSではしゃいでたのは…ちょっときつかったです(辛辣。ガラスの心は粉々)   (2024/10/19 13:03:19)

星 ◆> （珍しくおろおろしてしまった、）   (2024/10/19 13:03:25)

栞葉るり> いえ、中身がガラスなのは弓兵のほうです   (2024/10/19 13:03:37)

星 ◆> でも…ゴミ箱は、“イイ”よ……。   (2024/10/19 13:04:13)

パッションリップ> ゴミ箱にこんな真剣な人初めて見ました   (2024/10/19 13:04:39)

栞葉るり> 星さんがゴミの王に輪姦される薄い本ください   (2024/10/19 13:04:43)

エロガキ♂13M ◆> 今度からゴミ箱星ちゃんって呼ぼうか…？   (2024/10/19 13:04:51)

エロガキ♂13M ◆> その本買いたい   (2024/10/19 13:05:23)

星 ◆> ゴミキングに……！？   (2024/10/19 13:05:25)

エロガキ♂16r> 同じく？   (2024/10/19 13:05:29)

星 ◆> あ、その呼び方はダメだよ。私とゴミ箱が同列みたいだから。   (2024/10/19 13:05:46)

パッションリップ> わたしもマゾはまぁマゾなんですけど、こう…愛のあるいじめかたのほうが好きかな…   (2024/10/19 13:06:00)

エロガキ♂13M ◆> え、ゴミ箱の方が上？   (2024/10/19 13:06:03)

星 ◆> （別にゴミ箱が上とは言わないけど…！）   (2024/10/19 13:06:05)

栞葉るり> リップさんは鞭打ちより、肉体を使った愛でられ方が好き、と…   (2024/10/19 13:06:40)

エロガキ♂13M ◆> えぇ、ソレはちょっと可愛すぎる…   (2024/10/19 13:06:59)

エロガキ♂16r> (さっきから言ってる弓兵って無銘の話？)   (2024/10/19 13:07:09)

パッションリップ> う、うーんまぁそうですね…   (2024/10/19 13:07:13)

エロガキ♂13M ◆> いいと思うけどね、甘々   (2024/10/19 13:07:31)

エロガキ♂16r> 鞭ってねちゃんと狙わないと痛いんだよね   (2024/10/19 13:07:32)

栞葉るり> (はい、赤い人です)   (2024/10/19 13:07:36)

星 ◆> 多分そう部分的にそう＞弓兵   (2024/10/19 13:07:40)

パッションリップ> こう、おっぱいとか身体とかが好きがゆえに乱暴になっちゃうみたいのが好きっていうか…うんまぁ、はい   (2024/10/19 13:08:04)

エロガキ♂13M ◆> だれだ、ランプの精を連れてきたのは   (2024/10/19 13:08:07)

星 ◆> ゴミ箱の星です。   (2024/10/19 13:08:26)

エロガキ♂13M ◆> あ、わかる。そういうの好きぃ   (2024/10/19 13:08:35)

栞葉るり> (でもFGOもう、こやはんの配信しか見てません、ごめんなさい。今、こやはん射精してました。昨日のアーカイブ)   (2024/10/19 13:08:40)

エロガキ♂16r> まぁ、されるなら胸とか脚とかで絞り取られるのとか好きよ   (2024/10/19 13:09:08)

星 ◆> （私はトラオム辺りで振り落とされました、）   (2024/10/19 13:09:13)

エロガキ♂13M ◆> 脚！いいねぇ   (2024/10/19 13:09:47)

星 ◆> あ、お昼食べそこなったな……。   (2024/10/19 13:09:51)

エロガキ♂16r> (インドでやめたなぁ。歴史上の推しが来たら考える)   (2024/10/19 13:09:52)

パッションリップ> ではでは、わたしはこの辺で失礼します～   (2024/10/19 13:10:02)

栞葉るり> (長いんですよね、FGO。あ、ごめんなさい、もう一個謝らないと。スタレ今月まだログインしてません、星さんを三週間放置してます。元気にしてますか？)   (2024/10/19 13:10:10)

星 ◆> お疲れ様、リップ。   (2024/10/19 13:10:13)

栞葉るり> お疲れ様でしたー   (2024/10/19 13:10:17)

おしらせ> パッションリップさんが退室しました。  (2024/10/19 13:10:17)

エロガキ♂16r> おつー   (2024/10/19 13:10:18)

エロガキ♂13M ◆> おつかれ〜   (2024/10/19 13:10:21)

星 ◆> 此処で構ってくれてるから私はいいけど、るりの端末の私はどうかな。   (2024/10/19 13:10:36)

エロガキ♂16r> 胸よりも脚というか太もも派   (2024/10/19 13:11:22)

栞葉るり> 大丈夫です、わたくしの編成は追撃パにしてあるのでそもそも星さんがいません。代わりに天撃将軍がバッサバッサしてます、上着を   (2024/10/19 13:11:28)

エロガキ♂16r> 簡単に脱ぐ将軍(言い方)   (2024/10/19 13:11:56)

エロガキ♂13M ◆> 星お姉さん放置してるんじゃんw   (2024/10/19 13:13:19)

エロガキ♂16r> ちなみにうちも放置してる(将軍となのかに頑張って貰ってる)   (2024/10/19 13:13:47)

星 ◆> ……気が向いたら会ってね。   (2024/10/19 13:13:55)

エロガキ♂19b ◆> 星ちゃん放置かぁ...かわいそうに   (2024/10/19 13:14:04)

栞葉るり> (めっちゃ悲しそうにするじゃん…)   (2024/10/19 13:14:14)

エロガキ♂16r> 調和の星ちゃんはたまに使ってるよ   (2024/10/19 13:14:32)

星 ◆> （自分でも思ったよ、なんかすごいリアクションしちゃったなって……！）   (2024/10/19 13:14:37)

エロガキ♂19b ◆> ホタルパでお世話になってるよ..星ちゃんいないと成り立たないし！   (2024/10/19 13:14:58)

栞葉るり> (ここで話してるのに寂しくなるって感情移入しまくりですし…！)   (2024/10/19 13:15:17)

星 ◆> 気遣われてる……！   (2024/10/19 13:15:22)

星 ◆> （バットをぶんッと振って空気を入れ替えておいた、）   (2024/10/19 13:15:46)

エロガキ♂13M ◆> 前振りもなく振るのはやめてねぇ…(あぶないよ！？)   (2024/10/19 13:16:29)

星 ◆> ……はふ。流石に寝てない上にご飯も抜いてたら三大欲求が性しか満たされてないし何か食べて来る……。   (2024/10/19 13:16:32)

栞葉るり> (空気入れ替えたいなら蛍呼んでこないと…！)   (2024/10/19 13:16:32)

栞葉るり> いってらっしゃーい   (2024/10/19 13:16:54)

エロガキ♂13M ◆> もうそんな時間かぁ…   (2024/10/19 13:16:57)

エロガキ♂13M ◆> いってらっしゃーい♪   (2024/10/19 13:17:05)

エロガキ♂19b ◆> いってらっしゃい～   (2024/10/19 13:17:24)

星 ◆> またその内来るね、ばーいばい。（手ひら、まとめてでごめんね。）   (2024/10/19 13:17:34)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/10/19 13:17:42)

2024年10月19日 11時13分 ～ 2024年10月19日 13時17分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
