/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月30日 06時45分 ～ 2024年10月30日 20時59分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> エロガキ♂11Tさんが入室しました♪  (2024/10/30 06:45:09)
星 ◆> ……いや、まあ、今回は胡桃に注意される前に省みられるいいきっかけだったと思うけどね。間違えない人なんていないんだから、反省積み重ねていけば………………私に真面目なことを語らせないで！   (2024/10/30 20:44:40)

栞葉るり> わたくしが言いたいのは…そうですね、騒ぐのは良いですけど騒いだ結果誰かを巻き込むのは辞めてくださいね、ってことで。自分でも言ってるように混ぜこぜになる以上、管理や気遣いも絶えない部屋なので…トラブルの原因を少しでも減らしてくれたら嬉しい、ということです
  (2024/10/30 20:44:50)

エロガキ♂19H ◆> ごもっともですね。今後とも気をつけて利用させていただきます＞栞葉るり   (2024/10/30 20:46:21)

エロガキ♂18D ◆> …………すーっ……よし。少々冷静になりました… そうですね、誰かを巻き込んでトラブルとかは避けたいものではありますし最悪のパターンにはなりますから。ある程度の距離感は保ってやりたいものですね。この部屋でも、本部屋でも。  
(2024/10/30 20:46:35)

栞葉るり> 危なさそうなら片方が引っ込めばとりあえず収まりはつきますから、わたくしならトラブルの匂いを感じたならば逃げます！   (2024/10/30 20:49:32)

星 ◆> 話は、変わるんだけど……。（おず、）19Hってそんなにプロフィール簡素だっけ？（何か属性でもつける？って属性ダイスとかいう不穏な物を持ち出して、）   (2024/10/30 20:50:26)

エロガキ♂18D ◆> 自分は経験則上、静かに非表示、か狭い部屋に逃げ込むか……本当に切って別の事をするか、に落ち着きましたかねぇ…   (2024/10/30 20:50:38)

エロガキ♂18D ◆> そう言えば、いつの間にか一つになってましたねぇ。昨日か、今日辺りでしたでしょうか   (2024/10/30 20:51:06)

栞葉るり> 自分が逃げれば済む状況って、ターゲットが自分の時のみですしね！   (2024/10/30 20:51:34)

エロガキ♂19H ◆> 適当に絶倫とつけたはいいものの。生々しく挿○することなんてあんまりないことに気づきまして。お菓子並んでますよと示す事にしか使わなくなりました（）   (2024/10/30 20:51:46)

栞葉るり> え、太さの話ですか？(してない)   (2024/10/30 20:51:46)

エロガキ♂18D ◆> ……(この前の自分の時かぁ)   (2024/10/30 20:52:20)

エロガキ♂19H ◆> 勝負部屋でのプロフにはそれを書いてますが……それくらいですかね？   (2024/10/30 20:52:21)

星 ◆> じゃあ長さ1d20の太さ1d20……やめよう、化け物が生まれかねない……！   (2024/10/30 20:52:45)

栞葉るり> 絶倫でも30分で一発もいけないときありますし、確かに無駄な2文字になりがちですね…   (2024/10/30 20:52:50)

エロガキ♂18D ◆> ……言われてみれば納得ですね、その方が都合がいい……   (2024/10/30 20:52:53)

エロガキ♂18D ◆> それをダイスの神様に決めてもらう必要はないんですよ星さん……！！   (2024/10/30 20:53:21)

エロガキ♂19H ◆> どっちもMAX出してごらんなさい。空気が地獄ですし多分その後消えますよ＞星   (2024/10/30 20:53:23)

栞葉るり> 直径20cmだと成人男性の頭くらいになりますね(合法すかるふぁっく)   (2024/10/30 20:53:48)

星 ◆> 私のエロガキ化スペックを全部ダイスで……！（はぁ、はぁ……アベンチュリン、力を貸して……。）   (2024/10/30 20:54:03)

星 ◆> 長さ1cm太さ20cm……？   (2024/10/30 20:54:14)

エロガキ♂18D ◆> うーん、バケモノの子(絶対に止めた方がいいダイス)   (2024/10/30 20:54:31)

栞葉るり> それはどういう器官なんですかね…   (2024/10/30 20:54:39)

エロガキ♂19H ◆> 消したのはえぇ、先日の宴会の時でしたか。ケーキとクッキー置いてますというのを示す置き場所にしてました。他に書く事ないですしね   (2024/10/30 20:54:46)

エロガキ♂18D ◆> もはやモチかもしれない   (2024/10/30 20:54:49)

エロガキ♂19H ◆> なんですかその……何？   (2024/10/30 20:54:59)

星 ◆> どこかに需要はあるから……！   (2024/10/30 20:54:59)

星 ◆> ないか。ないね。   (2024/10/30 20:55:03)

エロガキ♂19H ◆> ないと思います（真顔）   (2024/10/30 20:55:10)

エロガキ♂18D ◆> あー、あの時ですね……なるほどです   (2024/10/30 20:55:11)

エロガキ♂18D ◆> マジでないと思います   (2024/10/30 20:55:18)

おしらせ> フリーナさんが入室しました♪  (2024/10/30 20:55:26)

フリーナ> こんばんは！   (2024/10/30 20:55:33)

栞葉るり> いらっしゃいませ～   (2024/10/30 20:55:43)

エロガキ♂19H ◆> 男子同士で揶揄うのにも限度があります。銭湯にでも行ってごらんなさい。全員からいたたまれない目で見られますよ＞星   (2024/10/30 20:55:45)

星 ◆> こんばんは、スター。   (2024/10/30 20:55:45)

エロガキ♂18D ◆> おや、フリーナさん。お疲れ様でございます、こんばんは。   (2024/10/30 20:55:47)

エロガキ♂19H ◆> いらっしゃいませ。お疲れ様です、お先に失礼していますよ＞フリーナ   (2024/10/30 20:56:09)

エロガキ♂18D ◆> (自分いやですよプレスでもされたんかって言われたり好奇の目で見られるの)   (2024/10/30 20:56:32)

星 ◆> 長さは1d7+10くらいが無難なのかな……短いのに需要があるかはともかく。   (2024/10/30 20:56:38)

栞葉るり> この前星さんとちんちんの直径の話をしたんですが(暴露)やはり20が上限だと周囲であれば丸く収まりませんか…？   (2024/10/30 20:57:13)

星 ◆> 文字通り丸めれば丸く収まるね……？   (2024/10/30 20:57:43)

エロガキ♂18D ◆> 短いのに需要があるのは一定数あるかもしれませんね……主に罰を受ける側に回る場合は……止めませんこの話？この四人ならまだしもフリーナさんがパンクしそうで   (2024/10/30 20:58:01)

エロガキ♂19H ◆> 個室や延長案件にでもならない限りそこら辺のシチュにはなり得ませんからね。考えるだけ下のスペックは無駄かなと。   (2024/10/30 20:58:10)

エロガキ♂19H ◆> それはそう。そろそろ上がりましょう……なんでこんな話になったんでしたっけ？   (2024/10/30 20:58:25)

栞葉るり> でも周囲で測るのは胸囲だったり楕円とか円じゃないものでよく使われる測り方なので…ちんちんがそれに当てはまるかというと。結構丸いですよね？(真顔)   (2024/10/30 20:58:35)

星 ◆> 極めて最近見るようになった19Hが真っ先に真理に辿り着いてる……！   (2024/10/30 20:58:39)

栞葉るり> むしろ、こういう話をしている方が雑談っぽくないですか！   (2024/10/30 20:59:06)

エロガキ♂18D ◆> 19Hさんの属性を新しく付与しようって話でしたかね？(まるで個性を付与するみたいな感覚で)   (2024/10/30 20:59:07)

2024年10月30日 06時45分 ～ 2024年10月30日 20時59分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
