/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2025年07月31日 21時07分 ～ 2025年08月09日 23時32分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

夜見れな> 拡散しないよ ~ ? あたしだけが見るの ~ ‼︎ （ふす、）   (7/31 21:07:44)
◆> 大人になったら子供みたいな夏休みはないって言うもんね。大人になりたい、って思う時もあるけどそういうの考えると子供のままでいたいな、って……。インパクトは確かに大事だけど覚えやすい名前とかも割と重要なのかも？ベリーおねーさんならすぐにしっくり覚えられる名前だし！
  (8/6 22:13:02)

早乙女ベリー> 微妙な位置なんだよぉ、19歳とかいう､‥ （溜息､）あるよね ~ ､ ２つのきもち。え、ほんと ~? じゃぁ､ ベリーのお名前覚えて帰ってね? （ふふ、）   (8/6 22:16:36)

エロガキ♂14C
◆> むむむ、お酒とかは飲めないけど今だともう成人扱いされちゃうお年頃……！すごく、すごく複雑だ……！2つの気持ちのちょうど狭間みたいな感じ。うんっ、もちろん！……あ、これはお誘いとかじゃないんだけど、ベリーおねーさんってゲーム部屋の方って行ってみたいとかってあるの？
  (8/6 22:19:45)

早乙女ベリー> そう､! そういうお年頃‼︎ ゲームのお部屋かぁ、ちょ ~っとだけ興味はあるかも､ まだあんまり理解とかしてないから行くとかはないけど、ね!   (8/6 22:21:25)

エロガキ♂14C
◆> 大人になったら何がしたい？って言われるとお酒飲んでみたい！が割と僕の中だと印象にあるんだけどね。……どっかの酔っ払いハーフエルフのせいだろうなあ。ふんふんっ、なるほどー。いやね、結構ログ見てるとゲームそのものに興味あるおねーさんはいるみたいだし、罰ゲームなしとかで遊べるなら遊びたい人いるのかなー、って思ってたんだ。
  (8/6 22:25:09)

早乙女ベリー> わかる､! ベリーも飲んでみたいが強いな ~ 。（頷き､）何されるか分かんなくておもしろそうではあるんだけど､ やっぱり未知は恐怖だから､ 最初は支援、？から入るのが良さそう、   (8/6 22:28:23)

エロガキ♂14C ◆> ね、お酒で酔ってる人を見ると楽しそうだなー、って思っちゃうんだよね。きっと人それぞれなのかもだけど。僕なんかは割とすごく分かりやすい（？）らしいけど、誰もがそうとも限らないもんね。やっぱり最初は支援から参加、が鉄板なのかも。  
(8/6 22:31:23)

早乙女ベリー> でももしお酒が得意じゃなかったら嫌だな ~､ 美味しく飲みたいよぉ、やっぱりそうかな ~ ､ いつかベリーも支援で参加しよう! あ、ベリーはそろそろおやすみしようかな、お話してくれてありがとう! また機会会えばお話しようね ~ ! （手振､）
  (8/6 22:34:00)

おしらせ> 早乙女ベリーさんが退室しました。  (8/6 22:34:02)

エロガキ♂14C ◆> 無理しないように飲めるのが1番だよね、きっと。（こくこく）うんっ、おやすみなさーい。またねー！   (8/6 22:34:57)

エロガキ♂14C ◆> うーん、最近堂主は姿は見せないけどメンテナンスはすごくしてくれてるみたいなんだよね。……不定期で多目的室使って罰なしゲーム、とか企画したら参加する人いるのかな。   (8/6 22:37:27)

エロガキ♂14C ◆> さーてと、どーしよっかな。あまり夜更かしする気はない、けど。でも罰ゲームで添い寝に付き合ってくれるおねーさんがいるならゲーム部屋行きたいなって気持ちもある。   (8/6 22:41:34)

エロガキ♂14C ◆> まだ支援だけのおねーさんとか含めて、遊んでみたい気持ちもありつつ……もーすこししたらゲーム部屋、行ってみよーかな。   (8/6 22:45:41)

エロガキ♂14C ◆> それじゃゲーム部屋行こっと。お邪魔しましたー。   (8/6 22:49:10)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (8/6 22:49:13)

おしらせ> ムアラニさんが入室しました♪  (8/7 23:20:41)

ムアラニ> (こーっそり)だれも、いないかなー？   (8/7 23:21:11)

ムアラニ> 誰もいないみたいだねー。新しいお友達が作れるかなーって思ったんだけど   (8/7 23:24:38)

ムアラニ> 夜も更けてきたし、ねよーっと！   (8/7 23:37:10)

おしらせ> ムアラニさんが退室しました。  (8/7 23:37:15)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (8/8 22:53:30)

エロガキ♂14C ◆> こんばんはー。この時間って全然人いないんだなー。おねーさんたちはやっぱりお疲れモード、なのかな。   (8/8 22:53:55)

エロガキ♂14C ◆> けど、明日から3連休だし人いたりする、のかな。……むむむ。   (8/8 22:55:38)

エロガキ♂14C ◆> 話題もなくてぼんやりしちゃう。誰かとお話したかったけど、てきとーなタイミングで切り上げるしかないかなー。   (8/8 23:00:19)

エロガキ♂14C ◆> 大人しく寝ちゃおっか、おやすみなさーい。   (8/8 23:09:05)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (8/8 23:09:09)

おしらせ> エロガキ♂14Sさんが入室しました♪  (8/9 12:10:13)

エロガキ♂14S> こんちわ～。相変わらずあっつい！てなわけでアイス作って持ってきた！（溶けないうちに冷凍庫へシュゥゥゥーッ！）   (8/9 12:11:10)

おしらせ> 無言時間が25分を超えたため、エロガキ♂14Sさんが自動退室しました。  (8/9 12:39:50)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (8/9 13:03:14)

エロガキ♂14C ◆> ……ゲーム部屋に入ったつもりだったんだ！こんにちは、そしてお邪魔しました！   (8/9 13:03:42)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (8/9 13:03:47)

おしらせ> ムアラニさんが入室しました♪  (8/9 23:20:18)

ムアラニ> 今日も遊びに来たけど〜・・・誰もいないの〜？   (8/9 23:20:45)

おしらせ> エロガキ♂13さんが入室しました♪  (8/9 23:23:18)

エロガキ♂13> こんばんは、ムアラニお姉ちゃん…   (8/9 23:23:32)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (8/9 23:25:40)

エロガキ♂14C ◆> こんばんはー。   (8/9 23:25:53)

エロガキ♂14C ◆> えっと、13くんはお部屋のルール読んできたかなあ？見直してきた方がいいと思うよ。   (8/9 23:27:13)

ムアラニ> あ、こんばんはー！はじめまして〜！(ド直球な陽キャなようで)   (8/9 23:28:44)

エロガキ♂14C ◆> ムアラニおねーさんは初めまして、だよね。よろしくね。   (8/9 23:29:43)

エロガキ♂13> ごめんなさい、ルール確認の不手際があったみたいで不快にした皆さんすみません   (8/9 23:30:08)

ムアラニ> うん、よろしくぅ！ここはお喋りする場所でいいんだよね？(部屋にあるルールを読みながら)   (8/9 23:32:06)

2025年07月31日 21時07分 ～ 2025年08月09日 23時32分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
