/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年12月11日 13時23分 ～ 2024年12月13日 00時59分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13Al> せめてご飯を食べた方がいいかも。いや、ご飯を食べて眠くなって横になったらよくないか…？（むむむ）んんん！あまり構うことで起き続ける理由を与えるのもいつか寝落ちする前振りをし続けることになりそうだから俺はゆこう…戦いの荒野へ！あとはまかせた！
  (2024/12/11 13:23:53)

おしらせ> エロガキ♂13Alさんが退室しました。  (2024/12/11 13:23:58)
胡桃> 来たのはいいけどものすごーく眠いのよ。だから私今回ばかりはすぐに寝ちゃうかも？それなら何しに来たのかって言われたりしない？へーい！kbちゃん、やってる？(なにを、)こんばんは、久しぶりに話すかな？なんだか雰囲気がいつもと違う感じがして、ちょっと気になって降りてきちゃった
  (2024/12/13 00:19:55)

エロガキ♀15kb> 師走で忙しくて、それでいて休む時間にここにきて遊ぼうか迷ってしまうし、遊びたいって出ても誰にも会えなかったりでというと、気落ちしそうでなかなか表にも出られず……でも、それはそれでいいのかなって言い訳してるような気もして……たぶん、少しアタシが疲れてるだけなんですよ。なので、セクハラしていいですか？（手をワキワキ）
  (2024/12/13 00:21:53)

胡桃> この時期は誰も彼も忙しかったりで姿を見なかったり、妙な時間にいたり…あぁ、でも一部の子供は常駐してるのかな？ログかこう…同じ色ばかりな時もあるし。そうね〜…待機に行って空振りが多い人も居るし、kbちゃんはちょっと特殊な立ち位置というか…同性で遊べる人、楽しめる人じゃないと中々来てくれないものね。おやおや、私にセクハラ〜？じゃあここはサイコロで軽い勝負といかなーい？
  (2024/12/13 00:25:29)

エロガキ♀15kb> 別に同性に限った話でもないのですが……まぁ、異性の好みは少しうるさめではありますかね。（後はサイコロとかゲームにはうるさいかも？なんて）お～って言いたいのですが、サイコロルームはちょうどバトル中みたいですし、胡桃さんも眠いって事なので軽いスキンシップ程度のつもりでしたけど、がっつりの方がよかったです？（にはは～って緩く笑いつつ）
  (2024/12/13 00:28:08)

胡桃> 異性の好みって聞くと……なんだかここでは滅多に聞けなさそうな恋バナとか〜…！……は、さすがにないかな…ないよね。(遊戯に熱くなるタイプかな？私は白熱する接戦を所望したい、)うーん…確かに私は今絶対寝落ちできる自信があるから、ガッツリなのはちょっと無理かな〜…。普通のサイコロを振って、軽く遊ぶ形式でお触りの権利を巡った方が楽しいかなって思ったの。(ソファにぽすり。両手広げてみて、)
  (2024/12/13 00:31:43)

胡桃> ありゃー…あっちは勝負ついたみたいだね。私も眠くなければ…ぐ、ぬぬ…   (2024/12/13 00:32:40)

エロガキ♀15kb> 恋バナでいうなら……うぅ～ん、個人的に少し前はるろ剣の剣心さんみたいな、細いけど強い人がカッコいいと思ってたんですけど、最近は筋肉もいいな～とか思いつつ、ただ武骨な筋肉よりしなやかな筋肉というか、低身長でもいいので綺麗な筋肉っていうか、躍動的筋肉というかがお好みでして……それでいうとアストルフォさんのあの細さで英霊で戦える筋肉質とか反則だよな～とか思うんですが、かといって武骨なあ大きな筋肉もそれはそれで良くてですね。あ～でもどこぞのザンギさんみたいな胸毛とかはちょっとやだな～とかとか？（すすぅ～っと近づいてむぎゅぅ）
  (2024/12/13 00:35:01)

おしらせ> 栞葉るりさんが入室しました♪  (2024/12/13 00:37:13)

栞葉るり> いいですよね、悟飯くん…！(がちゃ)   (2024/12/13 00:37:33)

エロガキ♀15kb> 小さい方ですか？青年の方ですか？（くわっ   (2024/12/13 00:38:17)

栞葉るり> んー、どっちも好きですね…。セル編とアル飯が、特に…！   (2024/12/13 00:39:08)

胡桃> 私がちんたら返事を用意してたらお客さん！いらっしゃーい！(kbちゃんとはむぎゅむぎゅしてた、)   (2024/12/13 00:39:39)

栞葉るり> はい、こんばんはー♪   (2024/12/13 00:40:15)

エロガキ♀15kb> 個人的に金髪より黒髪派なので、アルティメット推しですが、娘さんをほったらかし気味なパパになるのだけは問題ですが、おおむね同意できます！（むぎゅりつつ、お尻撫でつつ、ぐっと親指立て）   (2024/12/13 00:40:40)

胡桃> (流れるようなセクハラお手て。私じゃなきゃ感じちゃうね、びく、)   (2024/12/13 00:41:54)

エロガキ♀15kb> 胡桃さんがちんちんお返事用意してたら？タマタマお客が？   (2024/12/13 00:42:17)

胡桃> それはもう男根じゃないかな…？(私は逸物を用意してた？)   (2024/12/13 00:43:03)

栞葉るり> わかりますわかります。悟飯くんは黒髪のままがやっぱりかっこいーなーと…。それはまぁ、悟空さんもあんな感じなので…(めそらし。昔はかっこいい！という感じですが、今見たら大人のエゴみたいなものを悟空さんの節々に感じてしまって…。)  
(2024/12/13 00:43:31)

エロガキ♀15kb> しかし現状ちんちんもタマタマもないんですよね。（あるのはケモミミくらい？）   (2024/12/13 00:43:42)

栞葉るり> ちんちんお返事とは…ちんちんからの応答待ちみたいに聞こえるんですけども   (2024/12/13 00:44:55)

エロガキ♀15kb> そういう意味では、その筋肉としては見た目あれですけど、ピッコロさんとかいいパパなんですよね。魔人編以降のベジータさんもいいパパっぽくて好感ですが♪   (2024/12/13 00:45:05)

エロガキ♀15kb> ちんちんから声出せ！　って、子宮とか処女膜から声出せ見たいなモノですか？   (2024/12/13 00:45:32)

エロガキ♀15kb> あ、ちなみに今期で一押しは、竜帝陛下です。（あれでもう少し筋肉質だとさらによき……ヒト慣れしてない大型犬）   (2024/12/13 00:48:25)

栞葉るり> 最近のドラゴンボールは知らなくて…！カカロットで履修できる範囲…？(バーダックとか未来編とかあのへんまで)くらいしかカバーできてないんですよねぇ。セル編のベジータとか戦犯ですからね…トランクスを間接的に56そうとしてませんか？ってなりましたし！  
(2024/12/13 00:51:37)

栞葉るり> ほら、ちんちんに似たモンスターがモンハンにも居ますからね…とんでもない声で鳴きますよ   (2024/12/13 00:52:12)

エロガキ♀15kb> フルフルだったかブラブラだったか、ギギ・アンダルシアだったか知りませんが……異形のモンスターですね（帯電オチンポ？）   (2024/12/13 00:53:01)

エロガキ♀15kb> アタシは、一応超から見て、その流れで改を一応……カカロットは生配信系の方のをいくつか見て知っているんですが……悟飯君、セル編覚醒シーンはすさまじい反面、カッコよさはやっぱりお父さんと同じ道着着てる時が最高かな～と。　あと、何気にベジータさんって最初あんな悪い人だったんだ～と思ったくらいには、超では結構いいパパしてますね
  (2024/12/13 00:54:48)

おしらせ> エロガキ♂13Alさんが入室しました♪  (2024/12/13 00:56:24)

エロガキ♂13Al> ちんちんで返事しないとどやされる……？（びくびく）   (2024/12/13 00:56:34)

栞葉るり> どっちも電気属性なのがまた…(しかも今のところ同時に登場した作品はないとか。ギギネブラの方は寄生してきますし…)   (2024/12/13 00:56:41)

エロガキ♀15kb> いらっしゃいませ～　そして、胡桃さん、寝ちゃったかな？（ほっぺつつきつつ、お布団用意して）   (2024/12/13 00:57:40)

エロガキ♀15kb> よいしょっ（とりあえず、くるんで縛って、押し入れにぽぉんっと）   (2024/12/13 00:58:00)

栞葉るり> ふんふん…。それでもピッコロさんとおそろいの道着って言うのもまたエモいんですけど…！でも、そのイメージは子供のときが強かったですね〜。スーパーヒーローでもあの道着に戻ってましたけども！とんでもない悪人ですよ…！家族ができるとマトモな父親になりますが…
  (2024/12/13 00:58:34)

栞葉るり> いらっしゃいませ～   (2024/12/13 00:58:46)

エロガキ♂13Al> 寝ちゃってたらいたずらするしかないね……（ぶいーーーって音を立てる何かを握ったまま押し入れにもぞもぞ……）   (2024/12/13 00:58:49)

胡桃> ちょいちょーい！起きてるってば！(どんがらがっしゃん、)   (2024/12/13 00:59:00)

エロガキ♀15kb> ビリビリするオチンポとか極悪ですね。で、フルフルさんは何かこぉ……そのままアレの形って印象ですが、ギギネブさんってむしろ吸い込む、吸い付く、寄生するってイメージが強いかと（あ、起きてらした？）   (2024/12/13
00:59:18)

栞葉るり> 起きてるなら返事してくださいよ〜   (2024/12/13 00:59:26)

胡桃> いやー、ごめんごめん。眠気もそうだけど、ちょっと気分が悪くって……あれ？私なにか返事漏らしてる？   (2024/12/13 00:59:49)

2024年12月11日 13時23分 ～ 2024年12月13日 00時59分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
