/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月18日 07時34分 ～ 2024年10月19日 00時17分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂18Z> 優しい先生でも居眠りしたらそりゃ怒る   (2024/10/18 07:34:14)
胡桃 ◆> (ワインしか出てこなくてわかんなかったよ。)   (2024/10/19 00:03:05)

エミリア ◆> それでも眠気は無くなるから眠れなくなっちゃうのよね、、＞14Cさん   (2024/10/19 00:03:11)

エロガキ♂14C ◆> 気がつけば博識愛宕おねーさんの知恵袋になってる。その膨らみには知識が詰め込まれてたんだね……。   (2024/10/19 00:03:35)

愛宕> 人間の体って、膝の裏とか……ほかにもいくつか目以外で光を感じる部位があるそうだから、目を閉じてても周囲の明かりで朝と錯覚することがるから、部屋は極力暗く……もしくは常夜灯程度にした方が良いそうよ   (2024/10/19 00:04:04)

おしらせ> エロガキ♂14Y ◆k8pvtbSZDcさんが入室しました♪  (2024/10/19 00:04:20)

胡桃 ◆> あ、ちょ…！(知識欲抑えられない草神様が後ろで目を光らせちゃってる！)   (2024/10/19 00:04:24)

胡桃 ◆> 14Y君こんばんは！   (2024/10/19 00:04:40)

エロガキ♂14C ◆> 真面目に体に良くはないから、何処かのタイミングでまとまった睡眠が取れるよーな機会を作るのもいいのかも？>エミリアおねーさん   (2024/10/19 00:04:43)

エロガキ♂19b ◆> こんばんは～   (2024/10/19 00:04:49)

エロガキ♂14C ◆> 14Yくんこんばんは。   (2024/10/19 00:04:49)

エロガキ♂14Y ◆> 負けたぁ…！悔しい！こんばんは〜！(少しヤケクソみな挨拶)   (2024/10/19 00:04:56)

エミリア ◆> 朝に寝るせいで朝日に起こされるのね、きっと＞お部屋暗く   (2024/10/19 00:05:01)

エミリア ◆> こんばんは、また小さな子ね？   (2024/10/19 00:05:13)

胡桃 ◆> (なるほど…愛宕さんの知識は脳じゃなくて胸に…？)＞14C君   (2024/10/19 00:05:24)

愛宕> あら、胸にはちゃんとぬくもりと夢が詰まってるわよ～？　頭は空っぽに近いけど、元気くらいは詰まってるかしら？   (2024/10/19 00:05:57)

エミリア ◆> 最近は寝ようとしても起こされちゃうのよね、、ちゃんと寝ないとパック、、は居ないけどスバルに怒られちゃうわね＞14Cさん   (2024/10/19 00:06:06)

エロガキ♂14C ◆> 悔しそーにしてるけどかなり可愛がられてたみたいだね？>14Yくん   (2024/10/19 00:06:07)

エロガキ♂14Y ◆> 小さいからって舐めてると痛い目みるぞ〜(ジリジリ…少しビックリさせてやろうかとエミリアに近づきつつ)   (2024/10/19 00:06:11)

エロガキ♂14C ◆> （そう思ってたけど愛宕おねーさんの胸には夢と温もりが詰まってるそーです。）   (2024/10/19 00:06:54)

エロガキ♂14Y ◆> 可愛がられるのはオレのキャラ的に合わないんだょぉ…。ヤリチンが手玉に取られてちゃダメでしょ…！>14c   (2024/10/19 00:07:18)

エミリア ◆> あら、私だって女の子だからって舐めないでもらえるかしら？(氷矢浮かせて警戒中よ/魔法使えるんだからね、？)   (2024/10/19 00:07:44)

エロガキ♂14C ◆> 寝ようとして起こされるのは辛すぎる……誰かと一緒とかなら落ち着いて寝れたりするのかなー？僕なんかはそーだけど。>エミリアおねーさん   (2024/10/19 00:07:57)

エロガキ♂19b ◆> 14歳でヤリチン！？マセガキだねぇ...   (2024/10/19 00:08:08)

エロガキ♂14C ◆> 頭空っぽのおねーさんの口からとても出てくると思えない知識量なんですよ、愛宕おねーさん……   (2024/10/19 00:08:31)

愛宕> ヤリチンも、チン使えねば　ただのガキ～ね   (2024/10/19 00:08:40)

エロガキ♂14C ◆> （ぶふっ）   (2024/10/19 00:08:51)

エミリア ◆> あ、でもそれはあるかも知れないわね、、安心感が最近無いからゆっくり落ち着けないのかも、、？＞14Cさん   (2024/10/19 00:09:07)

エロガキ♂14Y ◆> ぐっ…魔法は卑怯だぁ…(魔法を見せられてしまえば近づくのをやめてしまう) 対戦部屋とか罰部屋なら、遠慮なくセクハラできるのによぉ…くそぉ…>エミリア   (2024/10/19 00:09:32)

愛宕> 知識なんて生きていれば身につくもので、本当に頭のいい人は私みたいなのとは違うわよ～♪   (2024/10/19 00:09:45)

エロガキ♂14C ◆> （堂主はきっと後ろの草神様に引っ張られてるんだろーな、とか眺めてる）   (2024/10/19 00:10:14)

エロガキ♂14Y ◆> しれっと五七五で罵るのやめてね？>愛宕   (2024/10/19 00:10:24)

エミリア ◆> 卑怯なんかじゃないわ、私だって頑張ってるもの(氷矢消して、、)＞14Yさん   (2024/10/19 00:10:30)

エロガキ♂14Y ◆> つかそこ笑うな！>14c   (2024/10/19 00:10:41)

エミリア ◆> (主の貴女はあまり無理しないで休める時にしっかり休んでね？)   (2024/10/19 00:11:08)

愛宕> 五七五って響きがちょうどいいのよね～   (2024/10/19 00:11:19)

エロガキ♂14Y ◆> ほっ…(矛先収めてくれたので安心)   (2024/10/19 00:11:23)

エロガキ♂14C ◆> 不安な時って緊張しちゃうから寝付けなくなるし、眠りも浅くなると思うよー？誰かを抱き枕にしちゃえばどーかな（さらりと）>エミリアおねーさん   (2024/10/19 00:11:27)

エロガキ♂14C ◆> 僕は愛宕おねーさんのセンスに巻き添えくらっただけだから悪くないですー。   (2024/10/19 00:11:54)

エロガキ♂14Y ◆> 主さんは美味い飯食って、ゆっくり寝て、健やかに生きてくれ、うん   (2024/10/19 00:11:57)

エミリア ◆> うーん、、朝に起きてる人に抱き枕になってもらおうかしら、、？＞14Cさん   (2024/10/19 00:12:28)

エロガキ♂14C ◆> （……はっ、まさか堂主ったら胸に夢と温もりを詰めに……？後でしばかれそうだからこれ以上はやめておこう。）   (2024/10/19 00:13:10)

エロガキ♂19b ◆> ちょっと試したいことあるから試してきます～、、杞憂じゃなければいいんだが   (2024/10/19 00:13:11)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/19 00:13:13)

エロガキ♂14C ◆> んあ？いってらっしゃい。なんだろ。   (2024/10/19 00:13:24)

胡桃 ◆> 乗った！   (2024/10/19 00:13:27)

エミリア ◆> 行ってらっしゃい、？   (2024/10/19 00:13:29)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/19 00:13:30)

エロガキ♂14Y ◆> いってら~   (2024/10/19 00:13:31)

愛宕> あらら、おもうところあったのかしらね～   (2024/10/19 00:13:40)

エミリア ◆> あれ？行ってらっしゃい？   (2024/10/19 00:13:46)

エロガキ♂14Y ◆> まぁ、ゴタゴタはあっちに任せて…   (2024/10/19 00:14:15)

エミリア ◆> そういう事ね！それなら私も、、！(飛び出し、)   (2024/10/19 00:14:19)

おしらせ> エミリア ◆r8To80Q7JEさんが退室しました。  (2024/10/19 00:14:22)

エロガキ♂14C ◆> 朝なら二度寝する人もいるからいいかもねっ？もちろん僕もいるとかならお付き合いするよー。>エミリアおねーさん   (2024/10/19 00:14:27)

エロガキ♂14C ◆> 一気に行ったなあ……けど、僕はお留守番しておくよ。   (2024/10/19 00:15:01)

エロガキ♂14Y ◆> おぉ…！すごい勢いで飛び出していった…   (2024/10/19 00:15:12)

エロガキ♂14Y ◆> いったい彼女は何に合点がいったんだろ…不思議だ…   (2024/10/19 00:15:54)

エロガキ♂14C ◆> まあ子供の僕たちには知らなくていいこともあるのかもしれないし、気にせず愛宕おねーさんのほんわかに一緒に浸ってよ？   (2024/10/19 00:17:01)

2024年10月18日 07時34分 ～ 2024年10月19日 00時17分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
