/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月19日 17時10分 ～ 2024年10月19日 23時22分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

ゆんゆん> この時間は微妙かもね…また夜になれば人が集まるかもだけど   (2024/10/19 17:10:58)
エロガキ♀13ε> キャラとしてですが、半分こっちに引っ張る魔法とか使えたらいいなとは思いました……   (2024/10/19 23:08:57)

エロガキ♀15kb> お口をふさぐ方法として、チンポはここでは最適解かと？   (2024/10/19 23:09:05)

栞葉るり> ウマ娘としては裁かれるべき発言ですが、あくまで法律の中ではセーフなのでわたくしはうごきません   (2024/10/19 23:10:22)

百城千世子> 上のちんぽは黙ってるけど下のちんぽはどうかな、ぐへへ。ってことかな？   (2024/10/19 23:10:33)

胡桃 ◆> ごめん！！一瞬だけεさんも個室いい！？   (2024/10/19 23:10:47)

エロガキ♂18Z> (つまりこうかな。版権悪役♀側にガキを引っ張って戦わせる事をあ、やばいって感じたガキ側がまじで支援に来て勝ちを狙ったって流れ？になるのか)   (2024/10/19 23:10:51)

胡桃 ◆> すぐに返すから！   (2024/10/19 23:10:54)

エロガキ♀13ε> え、はい…？   (2024/10/19 23:10:56)

エロガキ♀15kb> 黙るどころか喘ぎますね   (2024/10/19 23:11:00)

エロガキ♀15kb> ごゆっくりどうぞ～   (2024/10/19 23:11:08)

エロガキ♂18Z> 行ってらっしゃい〜   (2024/10/19 23:11:14)

栞葉るり> いってらっしゃいませ   (2024/10/19 23:11:26)

百城千世子> あ、のどちんぽのこと？   (2024/10/19 23:11:49)

胡桃 ◆> あ、すぐ終わるからここ残っててもらっても大丈夫だからね！   (2024/10/19 23:12:13)

栞葉るり> なんか今日のきたさん、最初からギアフォースくらいありません？(フィフスはR18〜)   (2024/10/19 23:12:14)

エロガキ♂18Z> (栞葉さんにフランクフルトを渡しておこう。犬は好きだしね)   (2024/10/19 23:12:27)

エロガキ♀13ε> ん、待ち合わせ……？   (2024/10/19 23:12:29)

胡桃 ◆> 待ち合わせに…！   (2024/10/19 23:12:32)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが入室しました♪  (2024/10/19 23:12:59)

エロガキ♂18Z> 強かった…！！(でも満足する戦いだった)   (2024/10/19 23:13:05)

エロガキ♂18Z> こんばんは〜   (2024/10/19 23:13:11)

栞葉るり> (フランクがじがじ)   (2024/10/19 23:13:24)

エロガキ♀15kb> 今、ふと思ったのですが   (2024/10/19 23:13:25)

エロガキ♂13HL ◆> こんばんは〜(ぺこり)   (2024/10/19 23:13:26)

エロガキ♀15kb> あ、こんばんは～   (2024/10/19 23:13:34)

百城千世子> こんばんは   (2024/10/19 23:13:37)

栞葉るり> ご機嫌麗しゅうー   (2024/10/19 23:13:42)

エロガキ♀15kb> レイドシステム、面白そうだな～と   (2024/10/19 23:13:44)

エロガキ♂18Z> (マスタードをフランクフルトにぬりぬり)   (2024/10/19 23:13:49)

栞葉るり> (もうないので！)   (2024/10/19 23:14:04)

胡桃 ◆> 入れ違いだけど私は落ちるね〜！13HL君もまた今度ねー？   (2024/10/19 23:14:05)

エロガキ♂13HL ◆> どーぞどーぞお話してくださいませ〜(ログ追いつつ)   (2024/10/19 23:14:09)

エロガキ♂18Z> レイドボスキタさん…！？   (2024/10/19 23:14:13)

胡桃 ◆> (るりさんもお茶会楽しみにしてるねー！)   (2024/10/19 23:14:15)

胡桃 ◆> みんなまたねー！   (2024/10/19 23:14:23)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/19 23:14:24)

エロガキ♂13HL ◆> 胡桃ちゃんまたね〜？(手ふりふり)   (2024/10/19 23:14:24)

エロガキ♂18Z> (なかった)   (2024/10/19 23:14:25)

エロガキ♂18Z> お疲れ様です〜   (2024/10/19 23:14:29)

百城千世子> いってらっしゃい   (2024/10/19 23:14:33)

栞葉るり> (ええ、ひまができたらで！)   (2024/10/19 23:14:33)

エロガキ♀15kb> 1対3以上になった場合に……レイドボス扱いを採用して、一人側はボス化……試合中、支援参加者を受けられなくなる代わりに、5d12とか6d10ダイスで戦ったらちょっと面白そう？   (2024/10/19 23:14:56)

エロガキ♂18Z> あー、たしかに面白そう   (2024/10/19 23:15:23)

エロガキ♂13HL ◆> おおー……ボス化して強くなる的なやつですね…。)   (2024/10/19 23:15:30)

エロガキ♂18Z> どんな感じの出目になるか見てみよっと   (2024/10/19 23:16:01)

エロガキ♂18Z> 5d12 → (11 + 7 + 4 + 5 + 2) = 29  (2024/10/19 23:16:06)

エロガキ♂18Z> 6d10 → (3 + 3 + 7 + 5 + 4 + 10) = 32  (2024/10/19 23:16:13)

エロガキ♀15kb> レイド挑戦者は何人でもOKですが、優先権は最初の2名とかで？   (2024/10/19 23:16:14)

栞葉るり> まぁ版権♀のが全体的に少ないですから。あってもいいかもですねぇ、対等の勝負で負けたい勝ちたいという人もいるでしょうし   (2024/10/19 23:16:37)

エロガキ♀15kb> 5d12は、5～60まで、なので、期待値が32～33になりますね。   (2024/10/19 23:16:41)

エロガキ♂18Z> ふむふむ〜   (2024/10/19 23:17:10)

エロガキ♂18Z> レイドボス仕様……試験的でも良いから試しにしてみたいな〜   (2024/10/19 23:18:15)

エロガキ♀15kb> 6d10も6～60なので、期待値が33　これを3・4人で上回るというなら結構面白かな～とちょっと思ってしまいました。まぁこれ以上難しいルール付けるのはアレですが！   (2024/10/19 23:18:45)

エロガキ♂18Z> まあ、ダイス目だけレイドボス仕様にしてあとは一緒にしたら良いしね〜。   (2024/10/19 23:19:31)

百城千世子> 特殊ルールは面白そうだよね。普通に使いたい人との兼ね合いが難しいけど、人が少なそうな時間帯とかだったら   (2024/10/19 23:19:42)

エロガキ♂13HL ◆> せっかくの楽しいお部屋だから…みんな居なくなるのは確かに避けたいですね…(過去ログ読んできた…気をつける…)   (2024/10/19 23:20:02)

栞葉るり> ルールが別サイトでURL表示になる日も近い…。けど、そうなるとちょっと敷居上がるんですよぇ。もしくは特殊ルール専用のお部屋を用意する方が良いか…   (2024/10/19 23:20:22)

エロガキ♀15kb> まぁ、本家さんがあるのに、勝手にこれ以上部屋増やすな～な案件になりそうですが、つい思いついてしまった   (2024/10/19 23:20:27)

エロガキ♂18Z> まあ、案の1つって事にしましょ〜   (2024/10/19 23:21:04)

おしらせ> 無言時間が25分を超えたため、エレンさんが自動退室しました。  (2024/10/19 23:21:29)

栞葉るり> 専用部屋を増やすと罰部屋も増えるのが…ここがネックですねぇ。まぁ特殊ルールなのでそのまま部屋でやっちまえってのもアリですが   (2024/10/19 23:21:44)

エロガキ♀15kb> エレンさんの霊圧が？！   (2024/10/19 23:22:01)

栞葉るり> 尾サメの子…おやすみなさい(ばさ)   (2024/10/19 23:22:02)

エロガキ♂18Z> お疲れ様です〜   (2024/10/19 23:22:05)

エロガキ♂13HL ◆> エレンさんおやすみなさいませ〜   (2024/10/19 23:22:18)

2024年10月19日 17時10分 ～ 2024年10月19日 23時22分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
