/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月11日 13時57分 ～ 2024年11月12日 22時15分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

レモン・アーヴィン> えっと、大変なことってどんなことですか？   (2024/11/11 13:57:53)
エロガキ♂15M ◆> みんなお風呂入ってたりする時間か…遅めの夕飯かな？ボクはどっちも済ませてきたけどね(ｷﾗｰﾝ☆)   (2024/11/12 20:52:25)

エロガキ♂19b ◆> えずらがやばいからね～...飯食べながら観戦しよーっと   (2024/11/12 20:52:50)

エロガキ♂15M ◆> ん、しっかり食べるんだよ〜   (2024/11/12 20:53:45)

エロガキ♂19b ◆> ただ飯したいな～...焼き肉、、すき焼き..バイキング～   (2024/11/12 20:55:54)

エロガキ♂15M ◆> 人の金で食べる肉は美味い！ってやつ？気持ちはわかる！   (2024/11/12 20:59:34)

エロガキ♂19b ◆> 一番高いのだとなおいいよねぇー   (2024/11/12 21:00:59)

エロガキ♂19b ◆> ちょっと離席するね～...やることできちゃった   (2024/11/12 21:04:23)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/12 21:04:26)

エロガキ♂15M ◆> は、離席してたら行っちゃってた！？   (2024/11/12 21:06:54)

エロガキ♂15M ◆> いってらっしゃーい！   (2024/11/12 21:07:08)

エロガキ♂15M ◆> ……ボクもか〜えろ   (2024/11/12 21:07:17)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが退室しました。  (2024/11/12 21:07:24)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/12 22:05:43)

エロガキ♂14C ◆> 短文って難しい……！こんばんはー。   (2024/11/12 22:05:54)

エロガキ♂14C ◆> 今日はあまり人の来ない日なのかなー。さっきもゲーム部屋マッチングしたけど後から全然人来なかったしー。   (2024/11/12 22:07:36)

エロガキ♂14C ◆> もー一戦くらいやりたい気持ちもなくはないけど、人が集まんないんじゃなあ。   (2024/11/12 22:09:37)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/11/12 22:12:20)

エロガキ♂14C ◆> あ、クラリスおねーさんだー。お昼ぶりー。   (2024/11/12 22:12:49)

クラリス ◆> こんばんは〜（0時過ぎなら心置きなく参戦できるんですけどね〜）   (2024/11/12 22:13:05)

エロガキ♂14C ◆> （もしかしてここのお部屋騎空士多い……？）   (2024/11/12 22:14:06)

クラリス ◆> （多いかも？）   (2024/11/12 22:14:24)

エロガキ♂14C ◆> 僕は23時に一旦離脱して、その後帰ってくるかどーかかなー？その頃に1番盛り上がりそーで……（がっくり）   (2024/11/12 22:15:01)

おしらせ> 中野 一花さんが入室しました♪  (2024/11/12 22:15:19)

2024年11月11日 13時57分 ～ 2024年11月12日 22時15分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
