/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2025年01月04日 10時57分 ～ 2025年01月15日 21時50分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂19b ◆> よし！！いこうー！！何だかんだお昼の用意もしないと！！   (1/4 10:57:30)
エロガキ♂18hx> モヤモヤが取れそうな感じ？   (1/15 21:43:41)

キタサンブラック.> そういえば、胡桃さん、最近いらっしゃいませんね。（会話を何かしら作らないとですかね。）   (1/15 21:46:09)

十六夜咲夜 ◆> 言われればそうね、忙しいのかしら？   (1/15 21:46:44)

エロガキ♂17L ◆> ……確かにそうだな   (1/15 21:48:27)

キタサンブラック.> お部屋のできたころから２～３か月が一番元気が良いのもわかっているとはいえ。胡桃さん以外にも最近この人見かけてないな～って人も増えてきましたけど……年末年始でお忙しいだけ、と思いたいというか、いろいろな人にまたお会いしたいな～と思ったり……
  (1/15 21:49:02)

キタサンブラック.> 勿論、それだけじゃ空気が止まっちゃうので新しい方がいらしてくれるのもありがたいですけど、こぉ……何か風が欲しいってやつですかね。こういうの   (1/15 21:50:05)

十六夜咲夜 ◆> まあこの時期は、っていうのはあると思うわね。   (1/15 21:50:26)

エロガキ♂17L ◆> まぁキタサンが言いたいことはわかるかも……   (1/15 21:50:39)

2025年01月04日 10時57分 ～ 2025年01月15日 21時50分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
