/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月22日 12時13分 ～ 2024年10月22日 21時47分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

星 ◆> お腹いたぁい……（よわよわ星ちゃん、）   (2024/10/22 12:13:20)
エロガキ♂19b ◆> 1d1 → (1) = 1  (2024/10/22 21:28:12)

おしらせ> アストルフォ ◆za77rifW.Yさんが入室しました♪  (2024/10/22 21:28:27)

星 ◆> （一面ダイスとかいう概念上の存在。）   (2024/10/22 21:28:29)

ミミ ◆> お！こんばんは！   (2024/10/22 21:28:45)

エロガキ♂19b ◆> いただきます....(パク...)んんん！！っ！辛！！！んぉぉああ！！！！   (2024/10/22 21:28:54)

アストルフォ ◆> こんばんは〜☆   (2024/10/22 21:28:56)

ミミ ◆> あはー！おにーさんおもしろーい！   (2024/10/22 21:29:11)

ミミ ◆> (きゃっきゃっ、)   (2024/10/22 21:29:48)

アストルフォ ◆> いっつもガキ側で入ってたし、試しにこっちがわになってみた(ﾄﾞﾔｯ！)   (2024/10/22 21:30:08)

エロガキ♂19b ◆> はぁはぁはぁ....水...くれぇ、、あ、こんばんは...   (2024/10/22 21:30:34)

アストルフォ ◆> なになに？激辛料理対決？   (2024/10/22 21:30:38)

ミミ ◆> ううん！おにーさんが辛いの食べてただけー！   (2024/10/22 21:31:01)

星 ◆> ああ、こんばんは。対決……ではないかも。自害？   (2024/10/22 21:31:03)

星 ◆> （19bの口に精製浮羊乳を注ぐ女、）   (2024/10/22 21:31:13)

ミミ ◆> どっち？おにーさん？おねーさん？(アストルフォさんじぃ、)   (2024/10/22 21:31:47)

アストルフォ ◆> あぁ、お兄さんの一発芸見てた感じだ。体張るねぇ〜   (2024/10/22 21:32:05)

エロガキ♂19b ◆> んんっ！！うまい！！んんん！！！うまい！！   (2024/10/22 21:32:12)

おしらせ> キタサンブラックさんが入室しました♪  (2024/10/22 21:33:09)

キタサンブラック> かゆ　ウマ   (2024/10/22 21:33:16)

ミミ ◆> あ！星おねーさん！ミミもすたーれいる？始めた！   (2024/10/22 21:33:17)

ミミ ◆> ウマのおねーさんもこんばんはー！   (2024/10/22 21:33:27)

エロガキ♂19b ◆> こんばんは～   (2024/10/22 21:33:38)

星 ◆> あ、キタサン。こんばんは。（19bの口に白濁を注ぎながら、）   (2024/10/22 21:33:49)

キタサンブラック> そして、なんとなくそんな気はしてましたけど、やっぱりその人かな～と思ってしまったキタちゃんでした。　どうも、お先に居るお三方   (2024/10/22 21:33:55)

エロガキ♂19b ◆> んんんん！！！んんんん！！！！   (2024/10/22 21:34:02)

アストルフォ ◆> こんばんは〜♪   (2024/10/22 21:34:07)

キタサンブラック> そして、そっちのシャルルマーニュな方は、まぁそうかな～って感じでどうも～   (2024/10/22 21:34:13)

星 ◆> お。じゃあ私の活躍存分に見ていってね。（いい子。頭撫でて。）   (2024/10/22 21:34:44)

エロガキ♂19b ◆> が、ガチャは次の後半まで...我慢するんだぞ....   (2024/10/22 21:35:10)

ミミ ◆> えへへ〜♪(耳ぴくぴく、)   (2024/10/22 21:35:27)

アストルフォ ◆> ありゃ？やっぱ気づいた？まぁ、名前は伏せておいてね？   (2024/10/22 21:35:27)

星 ◆> （空になった瓶をしまい、もう一本取り出して。）ごちそう、さまがきこえない。はいぱーりら、ぱりらぱーりら。（どぼぼぼぼ、）   (2024/10/22 21:36:59)

アストルフォ ◆> あ、ちなみにボクの性別は男だよ♪>ミミ   (2024/10/22 21:37:01)

ミミ ◆> おにーさんだー！(きゃっきゃっ、)   (2024/10/22 21:37:28)

エロガキ♂19b ◆> んんんっ！！んんんっ！！んんんんん！！！っっ(机バンバン！！)   (2024/10/22 21:38:12)

アストルフォ ◆> そうそう、お兄さん♪かっこよくて、かわいい、おにいさん！(胸張ってドヤ顔) ふふん♪   (2024/10/22 21:38:26)

星 ◆> あ、もう一戦始まりそう。……キタサンは借りを返しに行かなくていいの？   (2024/10/22 21:38:33)

キタサンブラック> まぁ、アタシも両サイド陣営ですので？　是非にメスガキとして、アストルフォさん、ブリジットさんやほか男の娘さんはお相手してみたいところ♪   (2024/10/22 21:38:43)

キタサンブラック> ん～……1対1ですし、邪魔するほどでもないかな～と？   (2024/10/22 21:39:13)

星 ◆> （瓶が底を尽いたのでおしまい。ちゃんと飲んだね、と19bを褒めておいてあげよう。）   (2024/10/22 21:39:28)

アストルフォ ◆> あ、男の娘で思い出した。一応、プロフに明記しておこっと。苦手な子もいると思うしね   (2024/10/22 21:39:49)

星 ◆> そっか、キタサンは人数のバランサーやってることが多いもんね。   (2024/10/22 21:40:05)

ミミ ◆> かっこいい、、？でもミミもかっこいーおねーちゃん誰からね！(対抗胸張り、)   (2024/10/22 21:40:23)

キタサンブラック> +1ならまぁ悪くないんですけどね……わざわざアタシが均衡崩す必要もないかな～っていう   (2024/10/22 21:40:38)

エロガキ♂19b ◆> ガハッ....あ、ありがとう...辛いのは収まったよ...   (2024/10/22 21:40:41)

キタサンブラック> まぁでも……アストルフォさん、ブリジットさん、マーレさん、クリムさん、木下さん……その辺りの人がいたら、迷いなくエロガキサイドに入っちゃうかもですけど♡（ぐへへへへ～）   (2024/10/22 21:41:46)

アストルフォ ◆> ちっこい身体してるのに頼もしいねぇ(ミミちゃんの頭なでなで、耳をふにふに)   (2024/10/22 21:41:56)

キタサンブラック> と、いうのは半分冗談でも……まぁ、割と男の娘さんが好きなのは否定できず   (2024/10/22 21:42:05)

星 ◆> （均衡……均衡レベル……うっ）オア……そ、それは……二人で行ったらいいんじゃ？（男の娘への圧に押されつつキタサンとアストルフォを見た。）   (2024/10/22 21:42:56)

星 ◆> オス娘プリティーダービー…。   (2024/10/22 21:43:05)

ミミ ◆> うへへ〜♪おにーさんミミにのーさつされてる〜？セクハラだ〜♪(耳ぴく、きゃっきゃっ、)   (2024/10/22 21:43:27)

アストルフォ ◆> な〜に言ってるだこの子わ(星ちゃんの頭を軽くチョップ)   (2024/10/22 21:43:41)

星 ◆> 辛いものにはやっぱり乳製品だよね。（わかるよ、と19bの懐にもう何本か忍ばせておいた。）   (2024/10/22 21:43:49)

キタサンブラック> 牝男子プリティーフェイス？   (2024/10/22 21:44:04)

星 ◆> いて。……？（そんなツッコミ入れられること言ったっけの顔、）   (2024/10/22 21:44:28)

キタサンブラック> 女子は突っ込まれる側なので、大体大丈夫なんですよ（まがお   (2024/10/22 21:45:04)

ミミ ◆> ミミは罰まではいけないと思うから支援だけしてるー！   (2024/10/22 21:45:04)

アストルフォ ◆> あれ？ボクのほうが可笑しい…？(星ちゃんとキタちゃんのリアクションに困惑)   (2024/10/22 21:45:24)

星 ◆> あ、均衡が……。   (2024/10/22 21:46:35)

星 ◆> と、もう少し見守ってたいけどお風呂に入ってこようかな……。   (2024/10/22 21:46:55)

アストルフォ ◆> 崩れたね   (2024/10/22 21:46:57)

キタサンブラック> ムム、アタシもお風呂待ちで動けないんですよね   (2024/10/22 21:47:18)

ミミ ◆> 行こっかなぁ、？(支援尻尾ゆら、)   (2024/10/22 21:47:25)

ミミ ◆> じゃー！いくー！   (2024/10/22 21:47:33)

ミミ ◆> またねー！   (2024/10/22 21:47:36)

おしらせ> ミミ ◆r8To80Q7JEさんが退室しました。  (2024/10/22 21:47:44)

2024年10月22日 12時13分 ～ 2024年10月22日 21時47分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
