/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月25日 01時03分 ～ 2024年10月25日 12時24分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂19b ◆> こんばんは～   (2024/10/25 01:03:54)
ミミ ◆> お嬢もひどいよねー、ミミじゃなかったら1人であれの3倍辛いってことー、死人が出るねー！(きゃっきゃっ、)   (2024/10/25 12:07:39)

エロガキ♂18D ◆> (まだ見ぬ関係者の皆様……南無三……神よ、あの人たちに救いを与えたまえ……と言った顔でフリーナさんを見ながら…胡桃さんは原石160で買えると…)   (2024/10/25 12:07:44)

エロガキ♂18D ◆> 辛いものに慣れてなければ間違いなく死んでましたね……あ、葬儀はちょうど適任者が居ましたね、そう言えば……(堂主を見ながら)   (2024/10/25 12:08:49)

胡桃 ◆> (大丈夫、絶対くるよ！往生堂で祈願しておく？(いつものお祈り要素)もう片方のピックアップ…？(情報追えてない顔してる、)   (2024/10/25 12:09:25)

フリーナ> かなり賑やかになってきたね..ぼくはこういうふんいきがすきだよ(シュバルマラン婦人を抱きかかえながらやり取りを見ており)   (2024/10/25 12:09:29)

ミミ ◆> んー？お嬢の匂いするー？(ソファ後ろから飛び乗って、首元に鼻すん、)＞胡桃おねーさん   (2024/10/25 12:09:36)

星 ◆> んぐ、フリーナはいつ頃ゲームに参加するの？しばらくは見学？（ゴミ箱から取り出したベロブルグソーセージをもぐもぐ咥え（サービスショット）ながら訊ねてみた。）   (2024/10/25 12:09:49)

フリーナ> 確か..もう片方はナヒーダだったかな？、、それと僕がゲームに参加すると勝敗にかかわらずヌヴィレットが飛んでくるかもよ？   (2024/10/25 12:10:27)

胡桃 ◆> フリーナはお茶会が好きだもんね？お茶会のことならフリーナに聞けば間違いないと思うよ。(今度クッキーか何かに苦いものか辛いものでも仕込んでおいたら楽しそうかも、なんて邪悪な笑みを浮かべたとか、)   (2024/10/25 12:10:35)

エロガキ♂18D ◆> (サービスショットと言うならゴミ箱から取り出すのを止めろ……！！)   (2024/10/25 12:10:40)

星 ◆> （なんで……？）   (2024/10/25 12:10:53)

ミミ ◆> ミミは死なないよー！？耳が死ぬと弟たちも死んじゃうかもだからね！(杖振りかざして警戒、)＞18Dおにーさん   (2024/10/25 12:11:04)

胡桃 ◆> 昨日は色々お話をしてたからね〜…(首元に寄るミミちゃんの頭をぽんぽん、)   (2024/10/25 12:11:26)

エロガキ♂18D ◆> お茶会ですか……それもまた一興ではありますね。ちょうどブラックジャックも出来る人も居ますしね。居酒屋での茶会も楽しそうです。   (2024/10/25 12:11:37)

星 ◆> ヌヴィレットがエロガキ達にえっちな罰を受けることに……！？（ヌヴィレット、をスマホで画像検索した。これは需要あるね、）   (2024/10/25 12:11:45)

フリーナ> そう！！胡桃はよくわかってるね！お茶会は淑女の必修科目さ。お茶会における礼儀作法を学びたいなら、僕が教えてあげよう。   (2024/10/25 12:12:12)

エロガキ♂18D ◆> (サービスショットにしては同時にゴミ箱から取り出した物を食うと言うものに対して色々思うことがあるんですよ……！)   (2024/10/25 12:12:17)

ミミ ◆> そかー！おねーさんは寝れたー？(きゃっきゃっ、)＞胡桃おねーさん   (2024/10/25 12:12:21)

エロガキ♂18D ◆> 弟さんの為にもミミさんは死ぬわけにはいきませんね……！どうか強く生きて欲しい……(しんみりした顔で頭を撫でながら)茶会における礼儀作法ですか……それは興味ありますね…   (2024/10/25 12:13:19)

胡桃 ◆> (私のサービスショット？うーん……。(閃いた顔。ソファから降りて立ち上がると護摩の杖出して、脚に絡ませるようにしながら悲しいけど胸を杖に押し付けた。そう、ポールダンス的な…肉感が足りてなくて…色気が薄いとか言われそう。)   (2024/10/25
12:13:19)

星 ◆> まあ、もし胡桃が来てくれなかったらその時はこっちで胡桃を目一杯吸うことにしようかな……。（胡桃の帽子（るりの唾液漬け）の入ったジップロックを取り出してまた口と鼻を覆ってすーはーした。そろそろ薄れてきたしるりのよだれ補充しなきゃな……。）  
(2024/10/25 12:13:38)

星 ◆> 胡桃がえっちなことしてる！！！！！！！   (2024/10/25 12:14:17)

ミミ ◆> おねーちゃんだからね！ミミは死なないよー！(元気いっぱい、)   (2024/10/25 12:14:36)

フリーナ> 18D君は淑女だったのかい！？(驚き)   (2024/10/25 12:14:42)

エロガキ♂18D ◆> (やめなさい！！はしたない！！そんな事をやるのならもっとピンク色の部屋とかでするものでしょう！！充分サービスになるんですよそれは！！！星さんに充てられたか、くっ……！！！こっちもこっちでとんでもないことしてる！！！)  
(2024/10/25 12:14:46)

星 ◆> （音声入力で知り合い全員にメッセージで送ろう。ほぼ全員が誰？って返事をしたかもしれない。）   (2024/10/25 12:14:58)

胡桃 ◆> 星はその…如何わしいものを吸ってるようなやり方まだやってたの！？(あると思わないじゃん。なんでそんなちゃんと保存してるの？あと補充するのは唾液なんだって驚いた顔してる。)   (2024/10/25 12:15:11)

ミミ ◆> ミミはそろそろ行くねー！   (2024/10/25 12:15:30)

エロガキ♂18D ◆> 淑女では無いです！！れっきとした男子でございます！！嗜みと礼儀の観点から知るのは大事だと思っただけです！！   (2024/10/25 12:15:33)

ミミ ◆> またねー！(扉ばん、)   (2024/10/25 12:15:38)

おしらせ> ミミ ◆r8To80Q7JEさんが退室しました。  (2024/10/25 12:15:41)

胡桃 ◆> 私はちゃんと寝たよ？   (2024/10/25 12:15:41)

胡桃 ◆> あ、遅かった！ミミちゃん、またお話してね〜！   (2024/10/25 12:15:55)

エロガキ♂18D ◆> ミミさん……ありがとうございました……お疲れ様でした…うぅ、この空間の癒しが行ってしまわれた……   (2024/10/25 12:16:05)

胡桃 ◆> …相変わらず扉の扱いが雑な子だった。   (2024/10/25 12:16:10)

星 ◆> （最近みんな扉くん（謎概念）に対する扱いが酷いのでむしろ丁寧に扱うようになってるのがこのナナシビトだ。）   (2024/10/25 12:16:41)

フリーナ> ミミちゃん、お疲れさま！次はケーキをご馳走するよ   (2024/10/25 12:16:42)

エロガキ♂18D ◆> (帽子を唾液に漬け込む事に関してはもう突っ込む気になれないよ……情報が濃厚すぎて処理が追い付かない…)   (2024/10/25 12:17:21)

エロガキ♂18D ◆> (扉どころか壁や窓ガラス割る人も居ますからね   (2024/10/25 12:17:43)

エロガキ♂18D ◆> そろそろこの部屋壊れるのでは……？)   (2024/10/25 12:17:56)

フリーナ> (そんな人もいるのかい！？)   (2024/10/25 12:18:20)

星 ◆> 如何わしくないよ、胡桃の帽子のるりよだれ漬けだよ！（私の大事な宝物だぞ！ってむっとした。補充するのは胡桃のよだれでもいいんだけど。）   (2024/10/25 12:18:29)

星 ◆> （ちなみに18Dに弁明すると帽子をよだれに浸すところまでは私は関与してないと言っておきたい、）   (2024/10/25 12:19:08)

エロガキ♂18D ◆> (えぇ、常連の中で何かしらぶっ壊して入る人が居ますので……堂主に修理代金聞けばよろしいかと…)   (2024/10/25 12:19:40)

胡桃 ◆> そんな商品を売った覚え…違う、私があげたんだった！(涎塗れだったから、星にあげたのを思い出した。私の涎って…ここじゃダメだよって、護摩の杖くるくると軽く扱って収めて。ソファにぽふっと倒れた、)   (2024/10/25 12:20:52)

エロガキ♂18D ◆> あー、ハイ、ｶｼｺﾏﾘﾏｼﾀ～(そのよだれ漬けを保管して持っているという事実と胡桃さんの帽子のよだれ漬けという発想に絶句した顔。さながら現物無量空○)   (2024/10/25 12:21:22)

胡桃 ◆> 1万モ…1万原石で！(どどん、)   (2024/10/25 12:21:27)

星 ◆> というか18D、ミミがこの空間の癒しって……。（残った面々を見た。美少女、美少女、超天才銀河打者美少女。……贅沢が過ぎない？）   (2024/10/25 12:21:55)

胡桃 ◆> …確かに。(星に同調した。)   (2024/10/25 12:22:25)

星 ◆> 胡桃、ここじゃダメって言い方は完全にえっちだからやめた方がいいよ。（つかつかつか、と近付いて肩をぽんとした。さっきの軽率な行動も含めて、胡桃は十分えっちだよ。後ここによだれ入れて。（袋ぱかぁ、））   (2024/10/25 12:23:12)

フリーナ> 僕たちみたいな美少女を見たら欲情してしまう気持ちもよくわかる..でもそう言う気持ちは胡桃にぶつけるといい！彼女なら喜んで受け止めてくれるよ！   (2024/10/25 12:23:32)

星 ◆> （意外と欲情することには寛容なんだ……。）   (2024/10/25 12:23:57)

おしらせ> 栞葉るりさんが入室しました♪  (2024/10/25 12:24:06)

星 ◆> あっ、よだれヌシ様。   (2024/10/25 12:24:17)

2024年10月25日 01時03分 ～ 2024年10月25日 12時24分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
