/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月27日 11時40分 ～ 2024年11月29日 16時31分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂19b ◆> 気合いと根性で勝つよ～！(負け続き)   (2024/11/27 11:40:35)
エロガキ♂19b ◆> まぁ...沢山増えるのは否定しない。ほんとに何人いるんだろうね？   (2024/11/29 00:02:58)

エロガキ♂12Ω ◆> あれじゃね？ニャルラトホテプみたいに観測するだけ存在する謎概念的な存在だよ俺達   (2024/11/29 00:03:41)

Caster> は、はぁ……よくわからないケド……。   (2024/11/29 00:03:46)

エロガキ♂12Ω ◆> ロリトリア姉ちゃん真面目だなー。   (2024/11/29 00:04:52)

エロガキ♂12Ω ◆> 深く考えないで取り敢えずノリで生きれば人生楽だぞ。(謎の達観)   (2024/11/29 00:05:20)

エロガキ♂19b ◆> んま、いっぱいいるってことよ...(お菓子バリバリ)   (2024/11/29 00:05:44)

Caster> その呼び方なんだかムカつきますね。杖で殴る前に呼び方を改めてくれますか！真名だって明かしてないんですから。   (2024/11/29 00:05:46)

エロガキ♂12Ω ◆> でもキャスターってどっちかと言うと車輪の付いたゴロゴロイメージすんだよな。ロリトリア姉ちゃんの2段階進化後みたいな感じの乳王姉ちゃんよりマシじゃねぇ？   (2024/11/29 00:07:14)

Caster> その俗物みたいな呼称については知らないけど……初対面の相手に対して随分距離感が近いですね。全員こんな感じなんですか？   (2024/11/29 00:10:35)

エロガキ♂19b ◆> それは人によるね～...グイグイいく人もいれば距離感ある人もいる～。俺はそこまでグイグイは..どうだろ？   (2024/11/29 00:11:50)

エロガキ♂12Ω ◆> 遠慮なく接する事で姉ちゃんにも気を遣わせない気安い関係性を築いていくスタイルなのだよ。撃って良いのは撃たれる覚悟のあるやつって言うしな。19兄ちゃんも結構愉快なタイプだぜー？   (2024/11/29 00:12:15)

エロガキ♂12Ω ◆> アホな様に見えて結構人の事見てて気遣いの上手いメンタルイケメンだから困った時は存分に頼るが宜しい。(ハードル激増)   (2024/11/29 00:12:59)

エロガキ♂19b ◆> ふっ...俺が愉快？寝言いってんじゃねえよっ...   (2024/11/29 00:13:20)

エロガキ♂12Ω ◆> 警察に捕まる様な愉快犯だろうが。   (2024/11/29 00:14:11)

Caster> 訳の分からない会話にもう着いていける気がしないなぁ……。私にはまだ早かった……。   (2024/11/29 00:14:52)

エロガキ♂12Ω ◆> おっと、大人の会話が過ぎちまったなー。ごめんなロリトリア姉ちゃん。   (2024/11/29 00:16:50)

エロガキ♂19b ◆> それはすまないねぇ...俺はみんな楽しめるをモットーに生きているがそれが叶わない今...俺の存在価値は....まるで聖杯の泥に飲まれるように消えていって....   (2024/11/29 00:16:53)

Caster> ……12歳が大人を語るんですか？   (2024/11/29 00:17:29)

エロガキ♂12Ω ◆> (欲望と言う欲望詰め込みまくった煮凝りみてぇなアンリ・マユではある)   (2024/11/29 00:17:35)

Caster> 大人の会話というか……内輪の話を叩きつけられて、理解が追いつかないだけというのが正しいような気もしますケド   (2024/11/29 00:18:50)

エロガキ♂12Ω ◆> 幾つになってもガキみてぇな大人も居るんだし、大人みたいにませてるガキが居たって良いだろー？   (2024/11/29 00:19:16)

エロガキ♂12Ω ◆> こういう時の掛け合いは理解しちゃ駄目だぞ、脊髄反射やノリで打ち返すんだ。   (2024/11/29 00:20:01)

エロガキ♂19b ◆> 身内会話は面白くない...古事記にもそう書いてある。やっぱりここはCasterちゃんの話をするべき...というか俺は今のことCasterちゃんがロリなことしかわからない....まぁ、それでも充分魅力的だけど   (2024/11/29
00:20:16)

エロガキ♂12Ω ◆> 身内ノリが過ぎたのはすまんこと謝っとこ。んでロリトリア姉ちゃんはどっか遊びに行ったりせんの？   (2024/11/29 00:26:15)

Caster> そのつもりはありませんけど。   (2024/11/29 00:29:24)

エロガキ♂12Ω ◆> おおう、ド直球な否定。   (2024/11/29 00:29:51)

エロガキ♂19b ◆> 寝る前に待機しにいこうかな...あんまり俺がいすぎると変になるかもしれんからな(傲慢)というわけであとはお二人でゆっくりと！！....(なんかこのタイミングでいくの変な感じ！でもいっちゃいます！！)   (2024/11/29
00:33:27)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/29 00:33:32)

エロガキ♂12Ω ◆> お、おう？19兄ちゃんいってらー。   (2024/11/29 00:33:47)

Caster> 空気悪くしてごめんなさい。私も今日は大人しく下がることします。   (2024/11/29 00:34:07)

おしらせ> Casterさんが退室しました。  (2024/11/29 00:34:12)

エロガキ♂12Ω ◆> 何か気ぃ使わせたなー   (2024/11/29 00:34:26)

エロガキ♂12Ω ◆> 二人共色々気にせんでなー   (2024/11/29 00:34:35)

エロガキ♂12Ω ◆> 俺も少しぬけますかね   (2024/11/29 00:34:49)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/11/29 00:34:51)

おしらせ> フォフォさんが入室しました♪  (2024/11/29 14:15:20)

フォフォ> この小娘...働きすぎなんだよ...たまには俺様が身体を使っても何にも問題はないよな...行くとこがないからぶらついてたらここに着いちまったが...   (2024/11/29 14:17:00)

フォフォ> 小娘は寝たみたいだな...ならしばらくはこのまま俺様が使わせて貰うぜ...しかしかといってもやることがねぇんだよな...さっきまで戦いもあったみたいだが...完全に出遅れたな...これも小娘がグズグズしてるからだぜ   (2024/11/29
14:25:32)

フォフォ> ッチ...来る時間を間違えたか？小娘の休憩にはなったからいいが次にこんな機会があれば時間を遅らせるのも悪くないかもな...戻って身体をかえしてやるか   (2024/11/29 14:39:07)

おしらせ> フォフォさんが退室しました。  (2024/11/29 14:39:11)

おしらせ> エロガキ♂17C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/29 14:39:48)

エロガキ♂17C ◆> ……ん？どうやらすれ違いだったらしいな。ま、致し方ない。（まだしっかりと感じられる人がいた気配に瞬きしつつ、炬燵へと脚を入れて身体を寝かせ。）   (2024/11/29 14:41:17)

エロガキ♂17C ◆> やれやれ、もう少し人が増えるかと思ったが生憎間が悪かったらしい。人数は多い方が燃えるんだが、やはり休日の昼間くらいが狙い目か？   (2024/11/29 14:43:09)

エロガキ♂17C ◆> まあいい、たまにはこんな穏やかな雰囲気の中で休んでいるのも悪くはないか。暫くのんびりとさせて貰うとしようか。   (2024/11/29 14:46:21)

エロガキ♂17C ◆> ……いや、のんびりとは言ったが寝るつもりは毛頭ないんだ。ないんだけど、陽射しがとても心地良い。   (2024/11/29 14:56:14)

エロガキ♂17C ◆> 昨日のように盛り上がる気配もなし、となればこの眠気に身を任せて一眠りしてくるのも悪くないな。   (2024/11/29 14:59:27)

エロガキ♂17C ◆> では、眠りに落ちてしまう前にこれにて。   (2024/11/29 14:59:45)

おしらせ> エロガキ♂17C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/29 14:59:54)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/29 16:31:00)

2024年11月27日 11時40分 ～ 2024年11月29日 16時31分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
