/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年12月09日 11時24分 ～ 2024年12月10日 07時01分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/9 11:24:49)
エロガキ♂17L ◆> おはよう   (2024/12/10 06:44:58)

星 ◆> おはよう、   (2024/12/10 06:44:58)

雪花ラミィ> ラミィぽんじゃないよーーー   (2024/12/10 06:44:59)

雪花ラミィ> おはああらみぃ！！   (2024/12/10 06:45:04)

エロガキ♂17C> ……恐ろしいな、人の増え方が。おはよう。   (2024/12/10 06:45:12)

胡桃 ◆> 佑芽ちゃんおはよー   (2024/12/10 06:45:25)

エロガキ♂18Z> ラミィさんはお服を脱いで抱き枕にされようね〜(ぇ)   (2024/12/10 06:45:48)

花海佑芽> はい！　わかりません！！（えっへん）＞1+2×3÷4   (2024/12/10 06:45:50)

エロガキ♂17C> キレがない。煽られてそんな幼い反応しない。   (2024/12/10 06:45:51)

エロガキ♂17L ◆> (ここだと、ログ的に流れるから星一旦連れ出して聞いた方がいい気がしてきた人)   (2024/12/10 06:45:55)

エロガキ♂18Z> 2,5だお   (2024/12/10 06:46:18)

星 ◆> 私より攻略サイトの叡智様を頼った方がいいよ、   (2024/12/10 06:46:31)

エロガキ♂18Z> あとYouTubeの解説もわかりやすいよ   (2024/12/10 06:46:53)

エロガキ♂17C> 1+2×3÷4→1+6÷4→1+1.5→2.5   (2024/12/10 06:47:03)

エロガキ♂17L ◆> そう？あまりサイトは信用出来なくて……   (2024/12/10 06:47:10)

雪花ラミィ> 2.5…？   (2024/12/10 06:47:32)

星 ◆> （こいつら寝てるのか寝てないのか分かりづらい時間に集まってきてるな……、）   (2024/12/10 06:47:57)

花海佑芽> 勉強になります！（メモかきかき）＞公式   (2024/12/10 06:48:15)

胡桃 ◆> でも編成とかのシナジーは宛になる方だと思うよ。誰がメインでダメージ稼いで、誰がフォローに回るとか…原神もそうだから   (2024/12/10 06:48:19)

エロガキ♂18Z> 7時間睡眠したから高みの見物(ぐでん)   (2024/12/10 06:48:29)

エロガキ♂17L ◆> あ〜、そうか、原神ベースに考えれば早いのか……   (2024/12/10 06:48:50)

エロガキ♂17C> 朝っぱらから何故に四則演算の解説してるんだろう（遠い目）   (2024/12/10 06:49:49)

エロガキ♂17L ◆> 景元の編成は……まぁ一旦置いとくか…脳のリソースが足りなくなる   (2024/12/10 06:50:05)

胡桃 ◆> メインのアタッカー、サブのアタッカー(フォロー兼用)、フォロー、フォローみたいな感じだからね、こっちは。スターレイルはそこにデバフとか込みになるから寧ろ詳細を確認するためには攻略の方が信憑性はあると思うよ？   (2024/12/10
06:50:13)

エロガキ♂17C> そして佑芽さんはこっちで見かけるのは久しぶりだね。   (2024/12/10 06:50:13)

星 ◆> スターレイルは基本アタッカー+サブアタッカー+バッファー+耐久枠（存護、豊穣）で組めばいいから……ま、椒丘復刻待ちかな。   (2024/12/10 06:50:13)

エロガキ♂17L ◆> なるほど、助かる＞星   (2024/12/10 06:50:58)

星 ◆> 胡桃は賢いねぇ～、寝て。（よーしよしよし、ぺち。）   (2024/12/10 06:50:58)

胡桃 ◆> 原神はデバフとか考えなくて済むからそこは楽なんだけどね…   (2024/12/10 06:51:05)

エロガキ♂17C> （なんか一気飲みした時みたいになってないかな、このハーフエルフ。（なでわしゃ））   (2024/12/10 06:51:27)

胡桃 ◆> 私はこれで寝てない訳じゃないよ   (2024/12/10 06:51:35)

エロガキ♂17L ◆> そうなんだよな……デバフ、バフで俺も頭悩ませてるんだよね＞胡桃   (2024/12/10 06:51:47)

エロガキ♂17C> 原神って相手の耐性下げれるのなんてごく僅かだしね。   (2024/12/10 06:51:53)

エロガキ♂18Z> まあ、デバフはねぇ   (2024/12/10 06:52:52)

星 ◆> ま、胡桃は言わなくても適度な所で寝るから大丈夫か。（毎回寝落ちする奴はバットが唸るぜ、）   (2024/12/10 06:52:53)

花海佑芽> ごぶさたしてます（えへ）最近ポケポケとか、学マスもあたしの出番多いイベントがあったりしてですね！   (2024/12/10 06:53:15)

エロガキ♂18Z> 19さんケツバット確定……！   (2024/12/10 06:53:17)

胡桃 ◆> 風元素と…一部の元素スキル、爆発、あとは聖遺物次第かな。まぁそこまで突き詰めるような難易度って螺旋とかになるわけだけど。特化させればなんでも強いよ、インフレはあるけど…   (2024/12/10 06:53:17)

エロガキ♂18Z> ポケポケは楽しいぞう()ぐでたま   (2024/12/10 06:53:44)

星 ◆> （あれはもうバットで叩いたからってどうにもなんない、）＞18Z   (2024/12/10 06:53:53)

エロガキ♂17C> ポケポケは流行ってるみたいだね…って18Zくんがまさにはまってたね……   (2024/12/10 06:53:59)

エロガキ♂17L ◆> ちなみに、豊穣キャラナターシャと白露しか居ないんだけど、今後復刻とかで引いといた方がいい豊穣居る？＞星   (2024/12/10 06:54:17)

エロガキ♂17C> （医者が匙を投げた）   (2024/12/10 06:54:17)

エロガキ♂18Z> 諦められている……流石19さんだな…   (2024/12/10 06:54:21)

エロガキ♂18Z> 別に星5を狙わなくてもリンクスとかギャラガーを手に入れて完凸したら星5並になるよん   (2024/12/10 06:55:11)

星 ◆> 豊穣なら……フォフォかな。あと羅刹と霊砂。   (2024/12/10 06:55:17)

エロガキ♂17C> そこに痺れもしないし憧れもしない。   (2024/12/10 06:55:25)

星 ◆> ただナターシャとギャラガーいればとりあえず困ることはないかな……。   (2024/12/10 06:55:42)

胡桃 ◆> (フォフォちゃん、がたっ、)   (2024/12/10 06:55:53)

エロガキ♂18Z> ポケポケとりあえずあらかた揃えたからね(ハマる)   (2024/12/10 06:55:57)

エロガキ♂17C> （堂主の何かに刺さったようです）   (2024/12/10 06:56:08)

花海佑芽> （なお新SSRは引けないままピックアップ期間終了しました……＞学マス）   (2024/12/10 06:56:10)

星 ◆> （好きなんだ……、）   (2024/12/10 06:56:21)

エロガキ♂17C> （肩ポン>佑芽さん）   (2024/12/10 06:56:26)

胡桃 ◆> (学マスは何系のゲームなの？)   (2024/12/10 06:56:28)

エロガキ♂17L ◆> ギャラガー……あ〜、あのイケおじか   (2024/12/10 06:56:30)

星 ◆> ウマ娘系……？   (2024/12/10 06:56:37)

エロガキ♂18Z> 白露はデバフ解除がないのとランダム回復だからきついのよね   (2024/12/10 06:56:38)

エロガキ♂17C> 育成ゲーだよね…？   (2024/12/10 06:56:53)

胡桃 ◆> 好きとかじゃなくて、前に誰かが私と相性良さそう？みたいなこと言ってたから   (2024/12/10 06:56:55)

胡桃 ◆> (音ゲーかと思ってた、)   (2024/12/10 06:57:05)

エロガキ♂18Z> イケおじは色々と相性良いからオヌヌメ   (2024/12/10 06:57:21)

エロガキ♂17L ◆> ちなみに回復量って、最大HP依存であってるよな？   (2024/12/10 06:57:28)

星 ◆> ……ラミィは大丈夫？酔いつぶれてない？   (2024/12/10 06:57:38)

エロガキ♂18Z> 寝たな……   (2024/12/10 06:57:47)

エロガキ♂17C> ラミィちゃん、ちゃんと起きないと怖いおねーさんがバット振っちゃうらしいよー。（？）   (2024/12/10 06:57:52)

エロガキ♂17L ◆> 白露よりはナターシャ育てた方が早いか……なら、ギャラガーは……うん引いてから考えるか   (2024/12/10 06:58:10)

星 ◆> キャラによるかな。ギャラガーとかは撃破特攻で伸びるし……、＞回復量   (2024/12/10 06:58:20)

エロガキ♂18Z> まちまちよねー。回復量は   (2024/12/10 06:58:45)

エロガキ♂17L ◆> ゑ、キャラによって変わるん？   (2024/12/10 06:59:08)

エロガキ♂17C> キャラによって回復量を伸ばすための参照ステータスが違うんだよね。   (2024/12/10 06:59:29)

花海佑芽> （アイドルマスターはだいたい、先に育成ゲーム出してから音楽ゲーム出すんですけど、学園は最後発で、今のところ育成ゲームのみです！）   (2024/12/10 07:00:08)

エロガキ♂17L ◆> 原神見たく最大HP参照じゃないんだ……   (2024/12/10 07:00:13)

エロガキ♂18Z> 17くんに言われた。   (2024/12/10 07:00:21)

星 ◆> ……ちょっと、確かに。あまりにもスタレ色に話題が偏ってるから、修正。（ずずず、）   (2024/12/10 07:00:24)

星 ◆> 学マスはるりの影響で始めたけど面白いね、全員もれなくクセが強くて……。   (2024/12/10 07:00:55)

エロガキ♂17C> 新しいソシャゲに手を出せるほどの余裕がないアレ…   (2024/12/10 07:01:14)

雪花ラミィ> ねてな   (2024/12/10 07:01:34)

エロガキ♂18Z> (ドルフロ2とか、新しいゲームをしまくってる人)   (2024/12/10 07:01:38)

エロガキ♂17C> （ブーメラン）   (2024/12/10 07:01:42)

星 ◆> （だめだこりゃ、）   (2024/12/10 07:01:46)

エロガキ♂18Z> あ、起きた   (2024/12/10 07:01:46)

2024年12月09日 11時24分 ～ 2024年12月10日 07時01分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
