/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月20日 12時41分 ～ 2024年10月20日 21時56分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ13♂AC ◆> あっ、大丈夫だよ♪心配してくれてありがとねー   (2024/10/20 12:41:39)
エロガキ♂18Z> はーい、ありがとうございます〜。お疲れ様です〜   (2024/10/20 21:26:28)

おしらせ> エロガキ♂17Bさんが退室しました。  (2024/10/20 21:26:30)

エロガキ♂18Z> お、エキドナさんが活躍した   (2024/10/20 21:26:50)

エロガキ♂18Z> 接戦だぁ……   (2024/10/20 21:27:37)

エロガキ♂18Z> おー。引き離した。   (2024/10/20 21:28:24)

エロガキ♂18Z> 途中までは接戦だったけど、押し切られたかー。惜しい   (2024/10/20 21:29:10)

エロガキ♂18Z> (コーラをチビチビと飲んで〜)   (2024/10/20 21:30:46)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/10/20 21:32:09)

エロガキ♂18Z> こんばんは〜   (2024/10/20 21:32:18)

エロガキ♂17L ◆> 時間的にあまり入れませんが……こんばんは   (2024/10/20 21:32:22)

エロガキ♂18Z> 隙間時間ってやつですね〜   (2024/10/20 21:32:46)

エロガキ♂17L ◆> えぇ、そんなところです   (2024/10/20 21:32:56)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/20 21:34:14)

エロガキ♂18Z> なにか作業等でしたらお疲れ様ですよ〜   (2024/10/20 21:34:17)

胡桃 ◆> 見つけたぁ！   (2024/10/20 21:34:19)

エロガキ♂18Z> おかえりー   (2024/10/20 21:34:25)

エロガキ♂17L ◆> ん？こんばんは   (2024/10/20 21:34:41)

エロガキ♂18Z> 胡桃さん忙しそうだ……(レモン味の飴玉を上げとこう)   (2024/10/20 21:34:56)

胡桃 ◆> …と思ったら隙間時間だと申し訳ないなぁ。17Lさん今度時間のある時に私に付き合ってもらってもいい？   (2024/10/20 21:35:12)

胡桃 ◆> 完全に疲労回復のために渡されてる…？(レモン味の飴。確か疲労回復にレモンがいいんだっけ、なんて思いながら受け取って。)   (2024/10/20 21:36:13)

エロガキ♂17L ◆> 僕ですか？時間ある時でしたら構いませんよ、今日から22は少し時間が開かないので……23でしたら空くかと思うのでそのときでも構いませんか？   (2024/10/20 21:36:40)

胡桃 ◆> こ、こんばんは！(挨拶が遅れてやっきてきた。)   (2024/10/20 21:36:42)

エロガキ♂18Z> そりゃ、胡桃さん昼からずっと忙しそうにしてますからね…(追加でもう2〜3個を渡しておこう)   (2024/10/20 21:37:08)

胡桃 ◆> そんなに多くは時間使わせないと思うけど、念のためにその日程でお願いしていいかな？極力手短にするから！   (2024/10/20 21:37:49)

エロガキ♂17L ◆> かしこまりました。では時間空き次第こちらに顔出しますね   (2024/10/20 21:38:35)

胡桃 ◆> そう思う？これでも結構休み休みだよ、でもありがと！(飴ちゃんかぁ…夜食べたら虫歯になるかな？明日にしよう…。)   (2024/10/20 21:38:48)

エロガキ♂18Z> (乱交久しぶりに見たけど、すごいなぁ……)   (2024/10/20 21:38:56)

胡桃 ◆> す、凄い事務対応みたいでカッコイイね…(？)うん、突然お邪魔してごめんね。じゃあまた今度ね！   (2024/10/20 21:39:21)

エロガキ♂18Z> 休み休みなら良し。しっかりまた休んで無理なくですよ〜   (2024/10/20 21:39:33)

エロガキ♂17L ◆> はい、また23日に、では自分はこの辺りで失礼しますね   (2024/10/20 21:40:05)

エロガキ♂18Z> お疲れ様です〜   (2024/10/20 21:40:17)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/10/20 21:40:19)

胡桃 ◆> 私としては3:3くらいなら罰部屋で乱れて…こほん。個室より罰部屋の方が楽しそう！(言い直した意味。)   (2024/10/20 21:40:19)

胡桃 ◆> はーい！17Lさんお疲れさまだよ。   (2024/10/20 21:40:30)

エロガキ♂18Z> 入り乱れは楽しいけど、ついつい盛り上がりすぎて時間が足りなくなるからね〜。個室は個室でも楽しいからそれぞれに良さがありますよね〜   (2024/10/20 21:41:37)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが入室しました♪  (2024/10/20 21:41:49)

胡桃 ◆> あ、こんばんは！   (2024/10/20 21:42:00)

エロガキ♂12Ω ◆> よっすよっす。   (2024/10/20 21:42:03)

エロガキ♂18Z> こんばんは〜   (2024/10/20 21:42:07)

胡桃 ◆> あ、12Ω君丁度いいから数分連れ去っていい？(にっこり。)   (2024/10/20 21:42:25)

エロガキ♂18Z> 拉致…！？   (2024/10/20 21:42:59)

エロガキ♂12Ω ◆> ん？今度は何もした覚えは無いはず。俺は無実です。(震え声)   (2024/10/20 21:43:03)

胡桃 ◆> 監禁。   (2024/10/20 21:43:07)

胡桃 ◆> そして…葬儀…！(しないよ。)   (2024/10/20 21:43:19)

エロガキ♂18Z> 12くん……南無三……   (2024/10/20 21:43:26)

胡桃 ◆> ほんのすこーしだから、身構えなくて大丈夫だよ。   (2024/10/20 21:43:35)

胡桃 ◆> 少し待っててね〜。   (2024/10/20 21:43:41)

エロガキ♂18Z> 葬儀したらびっくり過ぎますぜ…   (2024/10/20 21:43:47)

エロガキ♂12Ω ◆> あ、遺灰は何か燃えるゴミと一緒に捨てといてクレメンス。   (2024/10/20 21:44:01)

胡桃 ◆> 作ったよー！   (2024/10/20 21:44:15)

胡桃 ◆> 後、こっちは残ってていいからね。ほんとすぐ終わるから！   (2024/10/20 21:44:28)

エロガキ♂18Z> はーい、了解だよー。   (2024/10/20 21:44:30)

エロガキ♂12Ω ◆> うい、では逝ってまいりまする。   (2024/10/20 21:44:33)

エロガキ♂18Z> 行ってらっしゃい〜   (2024/10/20 21:44:37)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/20 21:44:37)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/10/20 21:44:46)

エロガキ♂18Z> (ダンボールにしとこう)   (2024/10/20 21:44:58)

エロガキ♂18Z> 濃い乱交で良きだな〜(観戦)   (2024/10/20 21:47:26)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが入室しました♪  (2024/10/20 21:50:41)

エロガキ♂18Z> ん？向こうは1-3か   (2024/10/20 21:50:47)

エロガキ♂18Z> おかえりー   (2024/10/20 21:50:51)

エロガキ♂12Ω ◆> ただいまー。   (2024/10/20 21:50:57)

エロガキ♂18Z> いやー、罰部屋がすごい(ほくほく)   (2024/10/20 21:51:27)

エロガキ♂12Ω ◆> 覗き見とか良い趣味してんなー。   (2024/10/20 21:51:48)

エロガキ♂18Z> そりゃー、勝った側だからね〜(なお支援)   (2024/10/20 21:52:46)

エロガキ♂12Ω ◆> 自分のお陰でって副音声でのマウント感が凄いわー。   (2024/10/20 21:53:19)

エロガキ♂18Z> って思うけど、実際は約立たず！(ここ大事)   (2024/10/20 21:54:10)

エロガキ♂12Ω ◆> よくあるよなー。支援で入ったけど振るわなかったの。(肩ぽん)   (2024/10/20 21:54:45)

エロガキ♂18Z> 1-3はキツそうですねー   (2024/10/20 21:54:53)

エロガキ♂18Z> そうそう…。なんなら普通に参加しても振るわないっていうね(ズーン)   (2024/10/20 21:55:33)

エロガキ♂12Ω ◆> 勝つ時は勝つでしょ、2-4で前に負けたし。   (2024/10/20 21:55:35)

エロガキ♂18Z> 上振れが凄かったらそうだね〜   (2024/10/20 21:56:04)

2024年10月20日 12時41分 ～ 2024年10月20日 21時56分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
