/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月12日 23時32分 ～ 2024年10月13日 03時48分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エキドナ ◆> 窓から出入りする不審者ならすぐ治るよ   (2024/10/12 23:32:33)
エロガキ♂13HL ◆> …ん。そうだね。1回された……あれで余計にちょっと身体が変になったのかも   (2024/10/13 03:01:41)

エロガキ♂13UC> 贅沢な奴だな～……俺なんて今日は何もしてないのに   (2024/10/13 03:02:11)

エロガキ♂13HL ◆> ふふっごめん忘れて。そうだよねー。すみません(ぺこり)   (2024/10/13 03:02:31)

エロガキ♂19b ◆> あっははさっきおとなしかったのはそれが理由か～、13HLも大人になったんだな～   (2024/10/13 03:02:40)

エロガキ♂13HL ◆> いやそれはあんまり関係ないかも？   (2024/10/13 03:03:05)

エロガキ♂19b ◆> 俺は手当たり次第に食ってるからいつ刺されてもおかしくないなぁ(ガクブル)   (2024/10/13 03:03:18)

エロガキ♂13HL ◆> 贅沢なのにそんなこと言っちゃダメだよね……うん、サンゴさんがいいんだったら楽しんでおいでー？(下のちょろっと見た)   (2024/10/13 03:04:11)

サンゴ ◆> https://tadaup.jp/13030414762950/ [/JumpUrl2/?url=https%3A%2F%2Ftadaup.jp%2F13030414762950%2F]   (2024/10/13 03:04:38)

エロガキ♂13UC> サンゴは、今なんか探してるっぽい、お？   (2024/10/13 03:04:45)

サンゴ ◆> パスワードはNTD   (2024/10/13 03:04:49)

サンゴ ◆> 1時間で勝手に消してくれるの強すぎ   (2024/10/13 03:05:28)

サンゴ ◆> 鬼使いやすいから即ブクマ   (2024/10/13 03:05:46)

エロガキ♂13HL ◆> 凄いね♪   (2024/10/13 03:06:29)

エロガキ♂13UC> えっと、ログイン登録ひっすなんかなこれ？   (2024/10/13 03:06:43)

サンゴ ◆> 会員登録もなしだよ   (2024/10/13 03:07:23)

エロガキ♂19b ◆> パスって大文字～？   (2024/10/13 03:07:53)

サンゴ ◆> NTD   (2024/10/13 03:08:03)

サンゴ ◆> 半角だよ   (2024/10/13 03:08:13)

エロガキ♂13UC> あー、理解した。　オレのIPフィルター越しだとエラーになるのか   (2024/10/13 03:08:19)

エロガキ♂19b ◆> んー、見れんな俺もユニコーンと同じか？   (2024/10/13 03:08:55)

サンゴ ◆> あっ。お試しでR18設定してるから弾かれてる？   (2024/10/13 03:09:09)

エロガキ♂13HL ◆> 同じく見れはしない……   (2024/10/13 03:09:15)

エロガキ♂19b ◆> 登録すればいいのか？   (2024/10/13 03:09:23)

エロガキ♂13UC> サンゴのメスガキ顔だった   (2024/10/13 03:09:36)

サンゴ ◆> サンゴは会員登録せずにアップロードして閲覧もできてるよ   (2024/10/13 03:09:49)

エロガキ♂19b ◆> 俺はやっぱ見れんな、PCでやれってことかぁ？   (2024/10/13 03:10:58)

サンゴ ◆> https://tadaup.jp/308b88442.jpg [/JumpUrl2/?url=https%3A%2F%2Ftadaup.jp%2F308b88442.jpg]   (2024/10/13 03:12:37)

サンゴ ◆> これどう？   (2024/10/13 03:12:46)

エロガキ♂19b ◆> いけるね～メスガキ顔が見えるわぁ   (2024/10/13 03:13:08)

エロガキ♂13HL ◆> 可愛いね〜   (2024/10/13 03:13:24)

エロガキ♂19b ◆> わからせたい顔してるよね～   (2024/10/13 03:14:07)

サンゴ ◆> パスワード設定しないとなんか一覧に載っちゃう。鬼ウケる〜   (2024/10/13 03:14:09)

サンゴ ◆> まぁ1時間で消えるからいいけど   (2024/10/13 03:14:19)

エロガキ♂13UC> https://tadaup.jp/308bbb85e.png [/JumpUrl2/?url=https%3A%2F%2Ftadaup.jp%2F308bbb85e.png]   (2024/10/13 03:14:46)

エロガキ♂13HL ◆> サンゴさん……可愛いね〜…そういう顔好きだよ…(頭なでなで…)   (2024/10/13 03:15:18)

エロガキ♂19b ◆> いいねぇ～俺にも見えるぞ！！   (2024/10/13 03:15:21)

エロガキ♂13UC> AI生成だから、ま、想像より丸くなるよな。一番右は最初にモデリングミスったやつな   (2024/10/13 03:15:31)

サンゴ ◆> これユニコーンのイメ画か〜いいぢゃん♡女装しよ   (2024/10/13 03:16:29)

エロガキ♂13UC> この丸さだと、お前ならそういうと思ったよ！？もっと俺は男顔のイメージだばーかばーか   (2024/10/13 03:17:09)

エロガキ♂13HL ◆> 女装…なるほど……？   (2024/10/13 03:18:01)

エロガキ♂13UC> ま、でもありがとな。せっかく失敗でも作ったもん、人に見せらんないのは勿体ない品   (2024/10/13 03:18:08)

サンゴ ◆> 久しぶりにサンゴもAI遊びしよっかなー   (2024/10/13 03:18:53)

エロガキ♂13HL ◆> 作れるのがそもそもすごいと思う……！   (2024/10/13 03:19:48)

エロガキ♂13UC> 最近は、AIイラストは生成サイトが多いから、結構簡単だぞ？   (2024/10/13 03:20:24)

エロガキ♂13HL ◆> そうなんだ！   (2024/10/13 03:21:26)

エロガキ♂13UC> おう、なんか適当に好きなキャラとかのモデリング探せば余裕よ。　なんかあるか？   (2024/10/13 03:21:56)

エロガキ♂13HL ◆> ふふっ…また考えときますね……僕のキャラデザか…どんなのだろ？   (2024/10/13 03:23:53)

サンゴ ◆> チャットしながらだと高速生成使わなくていいから節約できる〜   (2024/10/13 03:24:16)

サンゴ ◆> サンゴはPIXAIだよ。版権もの強いから   (2024/10/13 03:24:37)

サンゴ ◆> 今回は一発勝負   (2024/10/13 03:25:18)

エロガキ♂13UC> あ、俺と同じじゃねぇか   (2024/10/13 03:25:37)

サンゴ ◆> やば、深夜なのにだいぶかかってる。しくったかぁ   (2024/10/13 03:28:45)

サンゴ ◆> PIXAIは他の人の出力したのも引用して参考にできるから勉強が鬼捗るよ   (2024/10/13 03:29:30)

エロガキ♂13UC> https://tadaup.jp/308d124d3.png [/JumpUrl2/?url=https%3A%2F%2Ftadaup.jp%2F308d124d3.png]   (2024/10/13 03:29:30)

エロガキ♂13UC> ちょっとかじれば、俺でもこのくらいは速攻作れるから、便利だよ   (2024/10/13 03:29:56)

サンゴ ◆> LoRAでキャラ選択して好みのセックスのLoRAぶちこめば鬼楽勝♡   (2024/10/13 03:31:29)

サンゴ ◆> できたけど指が7本ある呪物できたからやり直し。余計なことしたわ〜   (2024/10/13 03:33:18)

エロガキ♂13UC> ハンド補正系入れるといいんじゃねぇの？   (2024/10/13 03:34:46)

おしらせ> 胡桃 ◆Qe8wlfS40Uさんが入室しました♪  (2024/10/13 03:35:46)

サンゴ ◆> https://tadaup.jp/308dcf801.png [/JumpUrl2/?url=https%3A%2F%2Ftadaup.jp%2F308dcf801.png]   (2024/10/13 03:36:17)

胡桃 ◆> おやおや、君達は元気だね？2人は寝ちゃってそうだけど   (2024/10/13 03:36:18)

エロガキ♂13UC> と、部屋主さん寝なくて大丈夫？　あと、部屋に抵触しちゃってたかな？   (2024/10/13 03:36:19)

サンゴ ◆> いやーもちろんパーフェクトハンド入れたんだけど他のLoRAと相性悪いかも   (2024/10/13 03:36:43)

エロガキ♂13UC> うっわ、マジこの顔ムカつく。　いいメスガキ顔じゃん   (2024/10/13 03:36:45)

サンゴ ◆> でもサンゴってAIにするとだいぶあんた誰感あるよね。ｱﾆﾎﾟｹのデザインの強さ鬼感じるわ〜   (2024/10/13 03:37:49)

サンゴ ◆> はろ〜。サンゴたっぷり寝てるからまだ元気   (2024/10/13 03:38:11)

胡桃 ◆> ううん？私は何となく降りてきただけだよ、ちょっと息抜きってところかな〜。   (2024/10/13 03:38:16)

エロガキ♂13UC> pkmnはタッチが独特だからな～   (2024/10/13 03:38:19)

エロガキ♂13UC> なんか試合起こりそうな雰囲気じゃねぇから、ずっとこんな調子なんよな～   (2024/10/13 03:38:49)

サンゴ ◆> このお部屋のこたつ感、鬼まったりしちゃう   (2024/10/13 03:39:27)

胡桃 ◆> この時間じゃ仕方ないよね〜…大体の人は寝てるだろう時間帯だしさ。まだ起きてるなんて君達くらいだよー？   (2024/10/13 03:40:11)

おしらせ> 無言時間が25分を超えたため、エロガキ♂19b ◆jPpg5.obl6さんが自動退室しました。  (2024/10/13 03:40:24)

エロガキ♂13UC> 悪ガキ、エロガキ、メスガキは悪い子だから遊ぶ時間～なんつってな♪   (2024/10/13 03:41:01)

胡桃 ◆> ここは差が激しいよ〜…人によってはすっごくログ流れる時もあるし。今みたいにまったりしてる時もあるし、ワタシデスラよく把握してないからね   (2024/10/13 03:41:11)

胡桃 ◆> 19b君、おやすみ。いい夢見るんだよ〜   (2024/10/13 03:41:26)

胡桃 ◆> お子様が夜遊びってことだね(くす)私は適当なタイミングでまた戻っちゃうけどさー…   (2024/10/13 03:43:07)

エロガキ♂13UC> 試合もおきねぇしさ～　おっぱいおっきいお姉ちゃんもいねぇんじゃ、ここでだらだらするくらいしかねーじゃん？   (2024/10/13 03:43:21)

胡桃 ◆> 悪かったね！私の胸は君が求めるようなものじゃなくって！   (2024/10/13 03:43:52)

エロガキ♂13UC> でないと、そこのサンゴに女装しろ～女装しろ～って言われるしな   (2024/10/13 03:43:58)

エロガキ♂13UC> ん？まぁ、ちっちゃいな（けけけ   (2024/10/13 03:44:12)

胡桃 ◆> んー？そうなの？…女装したらいいんじゃない？似合うかもよ〜？   (2024/10/13 03:44:28)

エロガキ♂13UC> やめろ……男の娘増やそうとすんな！   (2024/10/13 03:44:50)

サンゴ ◆> 下手っぴ。ユニコーンくん下手っぴさぁ……胡桃っちを堪能するならここ♡(お尻を指先でつんつん)おっきなお胸よりずーっと鬼捗る♡   (2024/10/13 03:45:27)

胡桃 ◆> 大丈夫！需要はあるよ〜…ねぇねぇ、君…ファッションモデルとか興味ない〜？(フリル付きとか、ひらひらとかとか可愛いお洋服の雑誌見せて)   (2024/10/13 03:46:05)

エロガキ♂13UC> だーかーら、ここ雑談所だから、そういうの俺は控えてんだっての～やりたくなるじゃんかばーかばーか   (2024/10/13 03:46:06)

サンゴ ◆> シたくなったら多目的か2ショいけばいいぢゃん♡   (2024/10/13 03:46:55)

胡桃 ◆> ちょ…またお尻！もしかして私の需要ってそっちなの？(子供の悪戯に目を細め、じとー。)   (2024/10/13 03:47:23)

エロガキ♂13UC> どんだけ肉食だよ……ってか相手がOKしなかったらだめだろが   (2024/10/13 03:47:34)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/10/13 03:48:14)

サンゴ ◆> うーん。たしかに今はOKしないかも(こたつの中の猫状態)   (2024/10/13 03:48:18)

胡桃 ◆> 一応線引きはわかりやすくしてるから、そこは確かに配慮次第かな〜。また良い感じに文を整えたいとだね…私の為に！(公私混同中)   (2024/10/13 03:48:21)

2024年10月12日 23時32分 ～ 2024年10月13日 03時48分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
