/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月19日 06時26分 ～ 2024年10月19日 11時13分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂14Y ◆> アカネは余んないだろ、オレなんか即指名するだろうし   (2024/10/19 06:26:22)
エロガキ♂18Z> (3日徹夜は歩きながらうたた寝する)   (2024/10/19 10:58:59)

栞葉るり> でも、人体の不思議なところはそれだけ起きてても一日くらい泥のように寝ると戻るんですよね、体調   (2024/10/19 10:59:32)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/19 10:59:53)

星 ◆> 私は……まだ大丈夫。ちゃんと隙間隙間に寝てるし。（数分意識が飛ぶとも言う。るり、おいで～と端っこに座って両腕伸ばした。ちょっと眠くなれるように温もり分けて欲しい。）   (2024/10/19 10:59:58)

エロガキ♂19b ◆> 普段寝れなくても学校にいけば寝れるから、問題ないな...よし！   (2024/10/19 11:00:04)

エロガキ♂18Z> こんにちはー   (2024/10/19 11:00:05)

蛍 ◆> 誰かは言ったよ。「週5の労働が2日で癒える訳ない 」って。(実際どうなの？)   (2024/10/19 11:00:23)

蛍 ◆> こんにちは。   (2024/10/19 11:00:30)

栞葉るり> というか、星さん昨日ちゃんと寝ました…？(じろ。急に険しくなる視線)   (2024/10/19 11:00:35)

エロガキ♂14C ◆> 寝落ちしたであろう相手の普段なら見えない所に跡を残すのって最高に楽しいよ（これだけが言いたかった言い逃げ犯。）   (2024/10/19 11:00:38)

星 ◆> 続々と、こんにちは。   (2024/10/19 11:00:39)

エロガキ♂18Z> まあ、余りに寝れなかったら星さんがバットで殴って夢境の世界に連れて行ってくれそうではある   (2024/10/19 11:01:01)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/19 11:01:01)

星 ◆> 寝てない。（ずっと見てたいものがあったし、）   (2024/10/19 11:01:10)

エロガキ♂19b ◆> こんに、、ほんとにいい逃げしやがった   (2024/10/19 11:01:17)

栞葉るり> いらっしゃいませ～。それの難点は相手がログに気づかないまま部屋がタイムオーバーで消えることです…！   (2024/10/19 11:01:20)

エロガキ♂18Z> 行ってらっしゃい〜   (2024/10/19 11:01:27)

蛍 ◆> なんだったんだろう、今の。(一応見送りしといた。)   (2024/10/19 11:01:29)

蛍 ◆> あまり寝れてない人は看護師長呼んでくるから安心して！(満面の微笑み。)   (2024/10/19 11:02:13)

星 ◆> 夢境はドリームプールで行ってね……。   (2024/10/19 11:02:41)

エロガキ♂18Z> 看護師長がいるなら安心だ〜   (2024/10/19 11:02:55)

栞葉るり> と、ご飯冷めるので食べないと…(ぱくぱく)   (2024/10/19 11:03:21)

エロガキ♂19b ◆> 看護師長とドリームプールで一緒に夢境へ～   (2024/10/19 11:03:23)

エロガキ♂18Z> ドリームプールに入りながら寝たら溺れそうなんだよね…寝相悪い人なら…   (2024/10/19 11:03:49)

エロガキ♂18Z> ご飯は卵かけご飯にカリカリベーコンチップスを入れて食べたなぁ(美味かった)   (2024/10/19 11:04:25)

星 ◆> そういえば昨日、列車組のみんなでお鍋食べに行ったんだよ。（ドヤ顔自慢、季節感じた……。）   (2024/10/19 11:04:32)

エロガキ♂18Z> ちゃんこ鍋かな？チゲ鍋かもしれない   (2024/10/19 11:05:06)

エロガキ♂19b ◆> 昨日...なんも食ってねえや...何か食べなきゃ！？   (2024/10/19 11:05:34)

栞葉るり> (ご飯食べながら聞いてる配信で急にゴ◯キブリの話されるやーつ。気にしませんが)   (2024/10/19 11:05:35)

エロガキ♂18Z> タイミングが悪い…＞配信   (2024/10/19 11:06:27)

星 ◆> （そういえば虫食べるんだっけって視線を向けた、）   (2024/10/19 11:06:43)

おしらせ> サーニャさんが入室しました♪  (2024/10/19 11:06:50)

蛍 ◆> (私は思った。ここに来る人達のためにやっぱり看護師長は連れてこよう。あと…ノエルとか。)   (2024/10/19 11:06:53)

サーニャ> はいどーもぉ！   (2024/10/19 11:06:59)

エロガキ♂18Z> こんにちはー   (2024/10/19 11:07:04)

栞葉るり> (はい。クモは苦手ですが食べられます(天下無双))   (2024/10/19 11:07:09)

サーニャ> ちわー   (2024/10/19 11:07:16)

星 ◆> （脚多いもんね……。）   (2024/10/19 11:07:20)

エロガキ♂19b ◆> こんにちは～   (2024/10/19 11:07:26)

栞葉るり> おっわ、やっべ……。葛葉さんじゃないですか(ひれ伏す犬)   (2024/10/19 11:07:40)

エロガキ♂18Z> (虫かぁ…)   (2024/10/19 11:07:45)

星 ◆> 兄じゃん。（姉）   (2024/10/19 11:07:50)

蛍 ◆> こんにちは、皆元気…これさっきも言った？(あやふやになる記憶。)   (2024/10/19 11:07:52)

栞葉るり> 兄ではない(素)   (2024/10/19 11:08:01)

サーニャ> ここでそっちの名前やめようなー？＞ずは   (2024/10/19 11:08:21)

エロガキ♂18Z> なら従兄弟？   (2024/10/19 11:08:22)

エロガキ♂19b ◆> 権力者が来たか～...んま、ここじゃ皆平等～   (2024/10/19 11:09:24)

サーニャ> (知ってるV男ばっかりだからVのお試し中って感じです、もうちょっとしたら寝ますからお気になさらず〜)   (2024/10/19 11:09:40)

栞葉るり> (なんでお昼から寝るの…？)   (2024/10/19 11:09:58)

おしらせ> エロガキ♂13 ◆za77rifW.Yさんが入室しました♪  (2024/10/19 11:10:12)

蛍 ◆> (お昼寝だろ？byパイモン)   (2024/10/19 11:10:22)

エロガキ♂18Z> まあ、配信者は大体昼から寝る人多いしね   (2024/10/19 11:10:32)

サーニャ> ｽｰｰｯ(寝てないからッスね〜)   (2024/10/19 11:10:33)

エロガキ♂18Z> こんにちはー   (2024/10/19 11:10:40)

エロガキ♂13 ◆> (ﾁﾗｯ) …こんにちは〜☆(手ﾌﾘﾌﾘ〜)   (2024/10/19 11:10:42)

星 ◆> （桂乃芬呼ぼうかな……と配信業の先輩方を眺めた、）   (2024/10/19 11:10:42)

エロガキ♂19b ◆> ふはははは！！やっぱ俺の予想は間違っていなかった！！賑やかになる予感は的中したぞぉ！！(錯乱)   (2024/10/19 11:10:52)

栞葉るり> (たしかに。昨日スパキン配信してましたよね、アブラハムさんと)   (2024/10/19 11:10:56)

蛍 ◆> こんにちは！そして私は……入れ替わりで落ちるね(くす。)   (2024/10/19 11:11:04)

エロガキ♂18Z> お疲れ様です〜   (2024/10/19 11:11:19)

サーニャ> ちわーす、サーニャで〜す(お手振り、)   (2024/10/19 11:11:21)

星 ◆> お疲れさま、蛍。   (2024/10/19 11:11:23)

栞葉るり> お疲れ様〜。後ほどお茶しましょーね！なんとなく察してますが、内容は！   (2024/10/19 11:11:35)

エロガキ♂13 ◆> おつかれさま〜♪   (2024/10/19 11:11:37)

サーニャ> お疲れ様でぇす！   (2024/10/19 11:11:44)

エロガキ♂19b ◆> 蛍ちゃんまたねー！お疲れさま～   (2024/10/19 11:11:50)

サーニャ> ダメだわ、テンション上げてたけど変な方向しか行かねぇし誤字直しすげぇから私も寝ますわ〜   (2024/10/19 11:12:32)

蛍 ◆> 皆またね。(お手を振って裾とかひらひらさせて私は帰るね。)あ、うん。お茶の件は…都合がつく時、私達がタイミングいい時に会おう。   (2024/10/19 11:12:41)

エロガキ♂13 ◆> なかなか配信でも見れないレアキャラいたから入室しちゃったよねぇ(ﾗｯｷｰ♫)   (2024/10/19 11:12:43)

栞葉るり> さてさて、わたくしも晩ごはんを買って帰りましょうか(けぷ)   (2024/10/19 11:12:59)

おしらせ> 蛍 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/19 11:13:05)

星 ◆> るりも行くの？   (2024/10/19 11:13:18)

サーニャ> 何しに来たって感じっすけどまたその内来るんで〜、はい。じゃあおやすみなさいっすね   (2024/10/19 11:13:31)

栞葉るり> いえ、わたくしはここに残ります。(立ち止まりスマホ)   (2024/10/19 11:13:38)

栞葉るり> あ、おやすみなさーい   (2024/10/19 11:13:44)

エロガキ♂13 ◆> え、るりお姉さん外出中？まっさか〜w   (2024/10/19 11:13:50)

エロガキ♂19b ◆> おやすみなさい～   (2024/10/19 11:13:50)

おしらせ> サーニャさんが退室しました。  (2024/10/19 11:13:54)

2024年10月19日 06時26分 ～ 2024年10月19日 11時13分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
