/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月17日 21時34分 ～ 2024年11月18日 13時25分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/11/17 21:34:34)
クラリス ◆> みんな考えるのは同じ！≫めちゃくちゃ混む   (2024/11/18 12:43:27)

エロガキ♂19b ◆> あと、お弁当箱を持ってきて席を占領する人もいるのはやめてほしいのだ！！   (2024/11/18 12:44:03)

エロガキ♂15R ◆> 並ぶと休憩時間無くなっちゃうのでぼくはお弁当派っ！   (2024/11/18 12:44:08)

エロガキ♂15R ◆> ギルティ…！   (2024/11/18 12:44:41)

クラリス ◆> どんなお弁当？≫15Rくん   (2024/11/18 12:45:27)

エロガキ♂15R ◆> 野菜餡掛けと春巻の入ったお弁当ですっ！   (2024/11/18 12:46:33)

クラリス ◆> 本格的だ！？   (2024/11/18 12:47:02)

エロガキ♂19b ◆> おぉ...うまそう！！   (2024/11/18 12:47:36)

エロガキ♂15R ◆> ご飯炊けてて材料あれば数分で完成しますよ？   (2024/11/18 12:48:35)

エロガキ♂15R ◆> (春巻は冷食)   (2024/11/18 12:48:51)

クラリス ◆> （ちゃんとしてるなぁ…19bさんも料理男子だし）   (2024/11/18 12:49:36)

エロガキ♂19b ◆> お弁当作ったりはするけど学食があるとそっちのが楽ってなってしまうぜ...   (2024/11/18 12:50:30)

クラリス ◆> 19bさんは量の兼ね合いもありそう≫学食のほうが楽   (2024/11/18 12:51:46)

エロガキ♂15R ◆> 慣れですっ慣れっ！(お休みの日はレンチン多め)   (2024/11/18 12:52:38)

エロガキ♂19b ◆> 確かにお弁当だと足りないんだよねぇ...   (2024/11/18 12:52:48)

クラリス ◆> レンチンは正義！   (2024/11/18 12:53:01)

エロガキ♂15R ◆> レンチンはよい文化っ！   (2024/11/18 12:53:39)

エロガキ♂15R ◆> あっ、そろそろお昼休み終わってしまいますのでこれで失礼しますっ！   (2024/11/18 12:54:33)

エロガキ♂19b ◆> スーパーに売ってるレンチン商品いいよねぇ   (2024/11/18 12:54:44)

エロガキ♂19b ◆> お疲れ様！！   (2024/11/18 12:54:51)

クラリス ◆> 午後もがんばって〜   (2024/11/18 12:55:00)

エロガキ♂15R ◆> お二人共お疲れ様でしたっ！   (2024/11/18 12:55:04)

エロガキ♂15R ◆> ありがとうございますっ！頑張りますっ   (2024/11/18 12:55:19)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが退室しました。  (2024/11/18 12:55:20)

クラリス ◆> 19bさんって大食いかつ早食いだったりします？（ログの時間見つつ）   (2024/11/18 12:58:14)

エロガキ♂19b ◆> 早食いではないよ～。食べながら打ってるからね、、平均より少し遅めかも   (2024/11/18 12:59:03)

クラリス ◆> あらら、じゃあ遠慮なく食べるほうに集中してください！   (2024/11/18 13:00:52)

エロガキ♂19b ◆> まぁ、画面は極限まで暗くしてるけどね...大丈夫大丈夫もう食べ終わったから！   (2024/11/18 13:01:33)

クラリス ◆> 紳士淑女のたしなみですね！≫画面は暗く   (2024/11/18 13:03:28)

エロガキ♂19b ◆> 実際はパコパコしてて外には見せられないことが沢山...紳士淑女とはいったい....？   (2024/11/18 13:04:52)

クラリス ◆> 外に見せない配慮できる時点で紳士淑女の資格ありですよ！（正当化）   (2024/11/18 13:06:37)

エロガキ♂19b ◆> そう？なかなか嬉しいことを言ってくれるじゃないか！お返しは次回も生殺しがいいかな？   (2024/11/18 13:08:05)

クラリス ◆> （身も蓋もない話ですけど生殺しがイヤだったらそもそも夜遅くに入らないんですよね〜）   (2024/11/18 13:09:29)

エロガキ♂19b ◆> (確かに！このスタイルは変えなくてよさそうだな)   (2024/11/18 13:10:57)

クラリス ◆> えるしっているか、クラリスはまだアフター部屋に入ったことがないんだぞ   (2024/11/18 13:12:59)

エロガキ♂19b ◆> アフター部屋はまだ使用回数がすくないからねぇ....連れ込まなきゃ！(使命感)   (2024/11/18 13:14:25)

クラリス ◆> 時間が取れないんですよ、多目的室がアフター用途で使われてた頃はむしろ常連だったのに！（机ばんばん）   (2024/11/18 13:15:46)

おしらせ> エロガキ♂11Tさんが入室しました♪  (2024/11/18 13:16:37)

エロガキ♂11T> こんにちは～   (2024/11/18 13:16:57)

クラリス ◆> こんにちは〜   (2024/11/18 13:16:59)

エロガキ♂19b ◆> おぉ...忙しいんだね、、そんな欲求不満ならいつか連れ込んだときに大爆発しそう～   (2024/11/18 13:17:02)

エロガキ♂19b ◆> こんにちはー！   (2024/11/18 13:17:05)

クラリス ◆> （2秒差で負けた…）   (2024/11/18 13:17:19)

おしらせ> 澪さんが入室しました♪  (2024/11/18 13:17:45)

澪> ふぅ。お久しぶりです   (2024/11/18 13:17:53)

エロガキ♂11T> (悔しがるクラリスお姉さんかわいい～)   (2024/11/18 13:17:58)

クラリス ◆> こんにちは〜   (2024/11/18 13:18:13)

澪> こんにちは   (2024/11/18 13:18:19)

エロガキ♂11T> (クラリスお姉ちゃん、アフターないんだ…結構意外かも)   (2024/11/18 13:18:28)

クラリス ◆> （古戦場が忙しかったせいもありますけどね≫アフター処女）   (2024/11/18 13:19:06)

エロガキ♂19b ◆> こんにちはー！   (2024/11/18 13:19:25)

エロガキ♂11T> 今日はおやすみなので、めっちゃ時間あるよ～(なるほど、イベント来るとそうなるよね～)   (2024/11/18 13:19:35)

エロガキ♂11T> 澪お姉さん、こんにちは～   (2024/11/18 13:20:02)

澪> なるほど……私は２時間ほどまったりになりそうですね……２時間でできることもありそうですが   (2024/11/18 13:20:17)

エロガキ♂11T> (机バンバンたたいちゃって…そんなにクラリスお姉ちゃんは…エッチな気分なのかな？…)   (2024/11/18 13:21:19)

クラリス ◆> 勝負で待機込み30分、罰で30分、アフターで1時間…足りるかな   (2024/11/18 13:21:41)

エロガキ♂11T> 澪お姉さん、２時間まったりできるのいいですね   (2024/11/18 13:21:45)

エロガキ♂19b ◆> (最近のクラリスちゃんはいいところで終わらされてばっかだからね...いったい誰がそんなことを...)   (2024/11/18 13:21:59)

澪> ……あら、確かに勝負までできちゃいそうですね？？？？今から入る必要がありそうですが   (2024/11/18 13:22:14)

エロガキ♂11T> それならみんなで勝負部屋いきます？   (2024/11/18 13:22:28)

エロガキ♂11T> (クラリスお姉ちゃん、生殺しが続いてるのか…ニヤニヤ)   (2024/11/18 13:22:58)

クラリス ◆> ほかの子で満たされてるから私とは無理に最後までする必要ないんですよねわかります！！   (2024/11/18 13:23:02)

澪> 私はいっても大丈夫ですよ？   (2024/11/18 13:23:12)

クラリス ◆> 私はもうすぐ休憩終わり（しくしく）   (2024/11/18 13:23:33)

澪> あら……それはお疲れ様です   (2024/11/18 13:23:44)

エロガキ♂11T> クラリスお姉ちゃん…残念です…   (2024/11/18 13:23:50)

エロガキ♂19b ◆> 俺はもうすぐ授業！(聞くだけだからこっちに集中できる)   (2024/11/18 13:24:09)

エロガキ♂11T> (残念なんで、クラリスお姉ちゃんのお尻をなでなで…)   (2024/11/18 13:24:16)

エロガキ♂11T> いや、授業きちんと聞いたほうがいいでしょ…   (2024/11/18 13:24:38)

澪> なるほど……そういえば平日ですもんね。みなさん忙しいと   (2024/11/18 13:24:39)

クラリス ◆> （慣れた様子で軽く、ぺしっ）   (2024/11/18 13:24:45)

エロガキ♂11T> (ぺしっと叩かれて…今度はクラリスお姉ちゃんのおっぱいをツンツン…(笑))   (2024/11/18 13:25:18)

2024年11月17日 21時34分 ～ 2024年11月18日 13時25分 の過去ログ
「版権♀VSエロガキの雑談部屋」
現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
