/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月07日 09時26分 ～ 2022年12月09日 01時15分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

八重神子 ◆> 妾も昼間は暇なことが多い故客が来ぬ時はだらだらしておるしのぅ   (2022/12/7 09:26:27)
ライネス> ふむ…それなら今度の聖夜にでもお願いしてみればいいんじゃないかな？（じぃーっと明らかな誘いを見つめつつ）　おや、いらっしゃ…い。猫…耳…？（新たな入室者を見れば…ほう？と不思議そうな目）   (2022/12/8 23:27:45)

キャル> どうするー…？言われても、とりあえず話に来ただけって感じだから…ね？…ん。　猫耳が珍しかったりするのかしら。   (2022/12/8 23:29:49)

中野一花> えーっ…！お姉さんがせっかくお誘いしてるのにぃ…？   (2022/12/8 23:29:52)

小春六花> おっけーおっけー。   (2022/12/8 23:32:46)

ライネス> 珍しいかと言われると、はっきりと言い切りにくい所はあるが…随分と自然に動かしてるのは確かに珍しいね。…と、まずは自己紹介か。私はライネス。度々ここに遊びに来させてもらっている一人さ（よろしくと、一礼を）＞キャル　義姉上のそれはただの甘えん坊だろう。抱かれながら眠られたら誰がベッドまで運ぶと思ってるんだい？（重いとは言わないが私の体力は平均…より少し劣りかねんよ）
  (2022/12/8 23:33:17)

小春六花> ちょいと私も抜けておくねー。おつさま！   (2022/12/8 23:33:18)

おしらせ> 小春六花さんが退室しました。  (2022/12/8 23:33:22)

ライネス> おや…お疲れ六花。   (2022/12/8 23:34:33)

キャル> アタシたちの場所じゃ結構いるから、普通かとは思っていたのはあるかしら…。アタシはキャル…。まぁ、今日からちょこっと顔を出し始めてるからゆっくり覚えてくれると嬉しいわ。(一礼に対して軽く自己紹介を交わして)   (2022/12/8 23:36:18)

キャル> お疲れ様ー…。まぁ時間が時間だから仕方がないわよね。   (2022/12/8 23:36:28)

おしらせ> 桜衣乃さんが入室しました♪  (2022/12/8 23:37:20)

桜衣乃> 呼ばれて飛び出て桜衣乃でーす♪キャルちゃん、こんばんは！(上から白スク水姿で降りてくるJK、今度は猫耳さんにご用事ですっ)   (2022/12/8 23:38:33)

中野一花> そこはライネスちゃんが運んでくれるもんね〜？(ニヤニヤしながらライネスちゃんを見つめて)   (2022/12/8 23:40:14)

ライネス> 六花にすればまだまだこの時間は元気な印象だが…いや、まぁいい。…あぁ。出会って早々に白い水着美少女に連れ去られた哀れ（？）な猫娘として大事に覚えていよう（言葉だけでいうと何とも不思議な表現になるものだと思いつつ見送る構え）   (2022/12/8
23:40:40)

キャル> ん、朝ぶりね…。元気そうでどっかのあいつを思い出しそう…なんて。   (2022/12/8 23:43:14)

ライネス> 誰が運ぶか。そこまで面倒を見る義理立てもなければ…労力に見合う報奨がないじゃないか。（我が儘言うんじゃないよってじとー）   (2022/12/8 23:44:13)

桜衣乃> お約束を忘れないうちに果たそうと思いまして！ちょっとだけ奥のお部屋きてくれませーんか？(と、待ち合わせの扉にキャルちゃんを誘おうとしますが、鍵は大丈夫なんでしたっけ？)   (2022/12/8 23:44:48)

キャル> そういえば朝にそんな事言っていたような気がするわね…。　待ち合わせに行くのは構わないのだけれど。その先は分かんないわよ？(鍵は大丈夫よ。   (2022/12/8 23:45:53)

桜衣乃> じゃあ、みなさん申し訳ありませんがキャルちゃん借りていきますね〜！私もどうなるかわかりませんがー！(と、待ち合わせの扉を開けば一名さまご案内…。)   (2022/12/8 23:47:32)

おしらせ> 桜衣乃さんが退室しました。  (2022/12/8 23:48:13)

キャル> 来たばかりで悪いけどそういうわけで少し失礼するわ…。また明日にでも顔を出すからその時に宜しくしてくれると嬉しいわ。   (2022/12/8 23:48:43)

おしらせ> キャルさんが退室しました。  (2022/12/8 23:48:49)

中野一花> …ワガママ〜……んーっ…んー…お姉さんからのキスでどう？(ツヤツヤのピンクの唇を指差しつつ…)   (2022/12/8 23:51:16)

ライネス> こういう場だし、そういう事もあるだろうさ。精々楽しい夜を過ごしてくるといい。（いってらっしゃいと手をひらひら）＞キャル　義姉上のキスがあるならやろうなんて言ってしまえば…結構な俗物にならないか。いや…義姉上とのキスじゃ足りないとかそういう意味でもないんだけどさ（キスの為ならって柄でもなくないか？主に私が）
  (2022/12/8 23:55:45)

中野一花> じゃあ、キスでいいよね〜っ♪(おいでおいでー！と)   (2022/12/9 00:01:44)

ライネス> 別に良いと認めたわけじゃ…はぁ、多分言っても聴かないタイプか。言っておくが…義姉上が寝たら私は添い寝じゃなくて、ベッドに放って遊びにいくからな？（やれやれと諦めたように義姉上の側までいってっ、んっと両手を広げよう）   (2022/12/9
00:04:26)

おしらせ> 無言時間が25分を超えたため、アリアルさんが自動退室しました。  (2022/12/9 00:10:15)

中野一花> あははっ！それでいいよーっ…んしょっと…(ライネスちゃんをしっかりと抱き寄せて、胸の中に顔を収めさせて)   (2022/12/9 00:10:44)

ライネス> んむっ…と、あっちの姉らしい人も力尽きたか。（きっと私の使い魔がアリアルに毛布とかかけてくれた事にしておこう。と…一花に抱き寄せられて）にしても、すっかり義姉上呼びが慣れたが…この前、君の妹らしき子を見たよ。何気に私が義姉上呼びなのも不思議な話なんじゃなかろうか
  (2022/12/9 00:13:36)

中野一花> お姉ちゃんとは呼んでくれないからだめ〜…。…えっ？ホント？だれかな…四葉とか…五月ちゃんあたりかなぁ…   (2022/12/9 00:22:09)

ライネス> 私が呼ばなくても君の妹たちがそう呼んでいるんじゃ…？いや、確か三玖だったかな。容姿はかなり似ていたが…義姉上より髪がロングの。   (2022/12/9 00:24:50)

中野一花> ん〜……お姉ちゃんとは呼んでくれないんだよね〜…基本的には名前呼びだし…？(つんつん)あ〜！三玖が来てたの？顔…出せたらなぁ…   (2022/12/9 00:26:47)

ライネス> なんだそうなのか…ん？だったら私も尚更名前呼びで良いのでは？？（つつかれても抵抗なんてせずに身体を預けているよ）まー、そこは時の運だからね。でも顔出していたことがあるのとないのじゃ大きな違いだし、機会があれば会えるさ   (2022/12/9
00:28:19)

中野一花> …お姉ちゃんって呼ばれるのはね…心がきゅんとするんだよ…(なでなでと後頭部の辺りをゆったりと撫でていって…)   (2022/12/9 00:31:41)

ライネス> なるほど。ちなみにの確認だが、義姉上と呼ばれるのは？（んっ…と撫でられたら小さくぴくっと驚くけれど。すぐに身体の力を抜いて…むしろさっきまでより凭れ掛かるように）   (2022/12/9 00:34:03)

中野一花> ん〜〜〜……ちょっとだけ嬉しいかな。珍しい呼ばれ方だったりするし…ちょっと面白いしね〜   (2022/12/9 00:35:45)

ライネス> なら義姉上ぐらいが丁度いい塩梅なのは変わらないか…。今更他人行儀に名前を呼ぶのも、義姉上を普段からきゅんとさせるのも必要ないし。（そんな結論に一人でにたどり着くのだった）   (2022/12/9 00:37:46)

中野一花> それはそれでお堅い気もするけど…まぁ〜、私もそれで慣れちゃったし？(抱き寄せて、ライネスちゃんの髪に鼻先を埋めて)   (2022/12/9 00:41:17)

ライネス> そう言ってくれるな…これでもかなり口調は砕けてる方だと我ながらに思うが、一応これでも貴族の端くれではあるんだよ？（んっ、ちょっと擽ったいと少し身もだえ）   (2022/12/9 00:45:13)

ライネス> これは…寝たな、義姉上？（顔を逸らして見上げるように後ろの様子を窺って）   (2022/12/9 00:57:23)

おしらせ> レムさんが入室しました♪  (2022/12/9 00:58:49)

レム> フフッ…♪ (ひょこっと物陰から2人の姿を覗くレムです…♪)   (2022/12/9 01:00:04)

おしらせ> 響さんが入室しました♪  (2022/12/9 01:01:20)

響> ふふ…(やや遅れて戸口に立つ先客と共に様子を伺い)   (2022/12/9 01:02:43)

レム> おや…レムと同じ考えのお方がいらっしゃるとは思いませんでした…♪ (仲良しの2人を2人で微笑ましく見つめてしまっています…♪)   (2022/12/9 01:03:55)

おしらせ> 無言時間が25分を超えたため、中野一花さんが自動退室しました。  (2022/12/9 01:06:20)

ライネス> やはり寝落ちたか…。意識のない人間は軽いとは言えないんだがな…（ぽそぽそと集中しつつ魔力を全身に巡らせ…よいしょっと一花はベッドに寝かせておこう）それで、別に私達は見世物じゃないが…いつまでそうしてるつもりだい？   (2022/12/9
01:08:32)

響> 偶然かな…？姉妹で仲が良いのは目の保養になるからね(寝静まってしまったのかもしれないね…お姉さんの方へおやすみなさいと)   (2022/12/9 01:09:01)

レム> レムも同感ですよ…♪ おや、バレてしまったみたいですね…ふふっ　(お姉様が寝てこちらに声をかける貴女の前に2人で近寄って) こんばんは…♪ 仲良ししてたみたいだったので覗き…ではなく、観察していたんですよ…ライネス様   (2022/12/9
01:12:10)

おしらせ> クレーさんが入室しました♪  (2022/12/9 01:13:47)

クレー> こんばんはっ♪   (2022/12/9 01:14:06)

ライネス> あぁ、こんばんわ。相変わらず君達が来るのはなかなかに夜が更けてからだね。…ちなみに一応、念のために言っておくがあくまで義姉上と呼称してるだけで姉妹ではないよ私達は（むしろ向こうにはすでに姉妹だらけだろうし…とメメタァ）おやクレーも……なんだか小さい子達が集まってきた感じ？（レムに関しては別に小さいってイメージはないけど）
  (2022/12/9 01:15:02)

2022年12月07日 09時26分 ～ 2022年12月09日 01時15分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
