/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月07日 17時28分 ～ 2023年03月08日 22時08分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

倉田ましろ> んむぅー（むすぅっとして）   (2023/3/7 17:28:31)
胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> あ、む、ぢゅる、れる、ぅ♡♡（唇重ねて、擦り合わせていく♡　口周りいろんな粘液でベタベタにした状態で、それでも舌を突き出して、相手のこと求めちゃう♡♡　――「最後にもういっかい注いで…？♡」なんて、掠れた声で、囁いちゃって…♡♡）
  (2023/3/8 14:41:01)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> んぁ、む……♥ふぁ、よくばり…♡でも、してあげる…♥(ぐり、くり…♥もっかい。と言われたら、キスしたままで腰の振りは強く。子宮いじめ本格化…♡最後の最後に強烈なのかましてやる…♡って)   (2023/3/8
14:44:20)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> よくばりなのは、悪魔だもの…♡♡　んぁ♡　はぁ――ぉぉ、ぉ、お…っ♡♡（ごぢゅ、ぐぢゅ、ごぢゅ、ごぢゅ♡　自分の一番奥のところが踏みにじられ、潰されるのを感じつつも、全部受け入れて、期待しちゃう♡♡　ふり、ふり♡　って自分からも媚びるように腰を揺らしていて、きゅんきゅん♡　腟内締め付ける♡）
  (2023/3/8 14:47:11)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あは……♡♡堕ちろ…♡雑魚悪魔…♡(耳元にボソボソ…♡ほら、はやくおちろ…♡ってささやきながら、腰振りたくってアピール♡がつ、がつ♡最後だから必死に降って、射精の準備……♡♡)   (2023/3/8 14:51:20)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> ぁ、あ"っ♡　っっっっっっっ～～～♡♡　おぉ、ぉぉ…♡　堕ちる、堕ちちゃ…♡　がゔ好き、すきぃ♡　ガヴに溺れちゃう、ぅ♡♡　いく、イクイク、ぅ♡♡（媚び媚びアピールしちゃって、鳴いて、跳ねて…♡♡　ちんぽきゅうう♡　って締め付けるままのけぞって、アクメしちゃって……♡♡）
  (2023/3/8 14:53:25)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> い、っく……♥サターニャ…すき、すき♥(そのまま、腰振り、中に向けて、びゅるるるぅ…♡びゅぐるぅう~…♡って、射精かましていって……♥)   (2023/3/8 14:55:31)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> っっ♡　ぅ、ふぅぅ、ふぅぅ"♡♡　や、っば…これ…染み付けられちゃ…♡♡（たっぷりと子種流し込まれて、震えて、震えて――子宮、喜んで全部飲み干していっちゃう…♡♡　――そして強い絶頂が通り過ぎたところで、ぐったりと倒れ込んだ）
  (2023/3/8 14:56:47)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ん、っふぅぅ~……♥す、き……♡♡(くて。ソファに2人で横になれば、まだキスを続けながら、よしよしとサターニャの頭を撫で、撫で……ぇ♡   (2023/3/8 15:16:26)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> ふー…はぁ…はぁぁ…♡♡　ああ…駄目になりそ……♡♡（一緒にソファに倒れ込んで、汗だくの体を擦り付けていった）――…ああ、そろそろ限界だから…ちょっと休むわ…おやすみ…♡♡   (2023/3/8 15:17:18)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> 【じゃあ、ちょっともう時間ギリギリだから失礼するわね…また遊んでちょうだいね。おやすみ】   (2023/3/8 15:21:03)

おしらせ> 胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙさんが退室しました。  (2023/3/8 15:21:07)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 【おやすみ~……♡】   (2023/3/8 15:26:35)

おしらせ> 無言時間が25分を超えたため、天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが自動退室しました。  (2023/3/8 15:51:37)

おしらせ> 倉田ましろさんが入室しました♪  (2023/3/8 16:53:18)

倉田ましろ> ふぅ…今日もまた寝すぎちゃってたなぁ…いいことなんだけど…ちょっとなぁ（七深ちゃんと会いたかったけ寝てたなら仕方ないよねぇ…）   (2023/3/8 16:54:54)

おしらせ> 広町七深さんが入室しました♪  (2023/3/8 17:09:35)

広町七深> しろちゃん〜寝てたんだね。広町も寝ちゃって今起きたよ〜（眠そうに）   (2023/3/8 17:11:07)

倉田ましろ> そう朝からぐっすりねぇ。大丈夫寝る？（よしよし）   (2023/3/8 17:11:59)

広町七深> 朝から今まで寝てたの〜？寝すぎだよ、ふふっ（ぎゅ）   (2023/3/8 17:12:43)

倉田ましろ> 朝から１３じまでだねぇ、ねすぎたよぉ（ぎゅう）   (2023/3/8 17:13:53)

広町七深> 寝てるしろちゃんも可愛いから〜広町は許しちゃう（正面からぎゅ♡）   (2023/3/8 17:15:26)

倉田ましろ> えへへ、ありがとう七深ちゃん（ぎゅうってだきつきかえして♡）   (2023/3/8 17:16:35)

広町七深> しろちゃんは可愛いなぁ〜♡ふふっ、暖かいよ〜（すりすり）   (2023/3/8 17:17:49)

倉田ましろ> 七深ちゃんもかわいいよぉ♡？えへへ、あったまる（すりすりぎゅう）   (2023/3/8 17:18:28)

広町七深> え〜？しろちゃんの方が可愛いよ、ん〜♡（すりすりしながら、頬にちゅ♡）   (2023/3/8 17:19:37)

倉田ましろ> いやいや、七深ちゃんのほうがかわいいよ、ふふ♡（すりすり、ちゅっちゅっとほっぺにキスして）   (2023/3/8 17:20:39)

広町七深> しろちゃん、時間ある〜？広町と夕飯までお部屋行かない〜？（ぎゅ〜♡）   (2023/3/8 17:21:40)

倉田ましろ> あるにはあるけど、私も夕飯くらいの時間しかないけどそれでもいいなら？（ぎゅう♡）   (2023/3/8 17:22:35)

広町七深> うんうん〜♪夕飯までのんびりしよ〜？広町が立てるね〜   (2023/3/8 17:23:10)

倉田ましろ> うん、わかったぁえへへ♡   (2023/3/8 17:23:32)

広町七深> 行こ〜♡（抱き着きながら一緒にね〜）   (2023/3/8 17:24:30)

おしらせ> 広町七深さんが退室しました。  (2023/3/8 17:24:43)

倉田ましろ> 行こう♡（抱きつきながら一緒にいって）   (2023/3/8 17:25:10)

おしらせ> 倉田ましろさんが退室しました。  (2023/3/8 17:25:13)

おしらせ> 倉田ましろさんが入室しました♪  (2023/3/8 19:44:36)

倉田ましろ> ふぅー、ちょっとだけ来てみた...(はふっ)   (2023/3/8 19:45:11)

倉田ましろ> (私もひとりさんによく嫉妬しちゃうときあるなぁ)   (2023/3/8 19:56:24)

おしらせ> 倉田ましろさんが退室しました。  (2023/3/8 20:04:01)

おしらせ> 天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが入室しました♪  (2023/3/8 20:38:50)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 微妙なとこ蜂に刺された…なんだろ、アナフィラキシーまで行かないけどこのショック症状出てるだろって確信する頭痛…   (2023/3/8 20:39:43)

おしらせ> 天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが退室しました。  (2023/3/8 20:43:12)

おしらせ> 謎のヒロインXオルタさんが入室しました♪  (2023/3/8 20:47:28)

謎のヒロインXオルタ> …2階はお熱いご様子なので、邪魔しないようにしましょう…ふふ、ただいまです…と…   (2023/3/8 20:48:04)

おしらせ> 琴葉茜さんが入室しました♪  (2023/3/8 20:49:48)

琴葉茜> きょうも元気で可愛い茜ちゃんやで♡（がちゃっ。どや顔だぶるぴーす。そのままソファにくずれおちるうち。今日はお外におでかけデーでした。疲れた。元気とはいったい。）　まぁ表でやっとる以上後入りして悪いって事は無いんやろうけど、どうしても気後れはしてしまうよな。いや別に表でするのが悪い訳では決してないけど。　おかえりなさい？
  (2023/3/8 20:51:44)

謎のヒロインXオルタ> …こんばんはです、お疲れの様ですね…(入って来てドヤって崩れ落ちる騒がしい来客の方の頭をそっと撫でて)公共の場ですから、どの行動が最善かなどは私にも分かりませんが、そはせっかく複数の分室があるのですから…ね？   (2023/3/8
20:55:03)

琴葉茜> ふふっ、えっちゃんが優しい――…（撫でられつつ甘えるように頭擦り寄せつつ）　あ、うん。だから別にうちも文句ある訳やないしな、というか羨ましいまである（イチャつくのええよな…って遠い目）　あっそうそう、忘れんうちに渡しておこか。はい和菓子。（どこからともなく取り出す小さな箱。きんつば。10個入やで。）
  (2023/3/8 20:57:21)

謎のヒロインXオルタ> そうですね、人の姿を羨ましく思うからこそ、自分も羨ましがられる側になりたくて繋がりを求めるなら…それは自然なサイクルでしょうし、あとは…独りよがりにならない様には気を付けませんとね(と茜さんを撫でながら、我思うゆえに我あり、突然の哲学)…おぉっ！
きんつば！ ありがとうございます…っ！(しかし和菓子を差し出されれば途端に関心は移る、クソチョロい、小さい箱を開けて…涎がちょっと漏れてます)   (2023/3/8 21:01:37)

琴葉茜> ふふっ、微妙に刺さるわ（突然の哲学を傍聴しつつの痙攣、ﾋﾞｸﾞﾝﾋﾞｸﾞﾝｯ　断末魔的なやつ）　あ、お好きやった？ならよかったわ、和菓子の中じゃメジャーなようで微妙にマイナー寄りやと思うしなきんつば。うちは好きなんやけど…まあまあ立ち食いもなんやし座って座って（そんなチョロえっちゃんにソファを勧める、そして座らせてごく自然に当然のような顔でお膝に頭をのっけようとする）
  (2023/3/8 21:06:35)

謎のヒロインXオルタ> 刺さるものがあるのは、意識できる証ですから…(悶絶する茜さんを尻目にきんつばに瞳を輝かせる私、じゅるり…香ばしさだけで蕩けてしまいそう…)ふふ、和菓子であるなら何でも来いな私です、マイナーであってもしっかり押さえましょう…では早速…(と促される様にソファーに腰掛けると、茜さんが私を膝枕…)いいんですか？
お菓子のカスが落ちるかもしれませんよ？   (2023/3/8 21:10:37)

琴葉茜> えっちゃんは難しいことをゆう…　あっ、そっち？（まぁいつぞやのギル祭だかの和菓子祭りにきんつば居った筈やから知ってるとは思うたが（メタい）、えっちゃんの膝をお借りするつもりが、いつのまにかうちの膝の上にえっちゃんの頭がッ…これは、順逆自在の術…ッ！
そんな訳があるか。）　あぁ、ええでええで。どうせあとでお風呂入るし（それはそれとして膝枕はする。そしてもくもくと和菓子を頬張るであろうえっちゃんを眺めつつ頭を撫でる。これや。）   (2023/3/8 21:15:11)

謎のヒロインXオルタ> (なんだか二人してだらしない恰好で、私は更にだらしなく和菓子を食べようとする…自堕落の極みですね)では、いただきます♡(と言葉だけは行儀よく、それ以外は褒められませんけど…あーん、ぱくっ…)んむぅ～♡(と即落ち2コマな早さで瞳を輝かせてぱくぱくです…抗えない美味しさ、茜さんに頭を撫でられてごろごろ…ねこえっちゃんです)
  (2023/3/8 21:22:17)

琴葉茜> はい、どうぞどうぞ♡（あぁ髪さらさら手触りええなぁとか頭撫でつつの、緑茶のペットボトルにストローぶっ刺すといい具合にもぐついたところでタイミングよく横からスッと差し出してやな。全自動和菓子食べさせるマシーン爆誕。）　…いい感じにくつろいどるしガードゆるゆるやしちょっとくらい際どいとこお触りしてもバレへんかなー……と思わんでもないけどそこまですると流石に後入りさんが入りづらくなりそうやな。膝枕とかしとる時点で手遅れかもしれんけど。
  (2023/3/8 21:26:51)

謎のヒロインXオルタ> (もぐもぐ、美味しく頬張っている所に口内の水分が足りなくなってきたと思えばナイスタイミングでストローの口先が出てくる、ちゅる～ッと吸い上げて緑茶で潤いを得るとまたもぐもぐ…頭を撫でられる心地良さに溺れればすっかり餌付けされてます、並のチョロインよりチョロくなってます…)んんっ…♡
はふっ…♡ …む、何ですか？ 私の体に興味津々ですか？(なんてごろごろしてる体をちょっと捩る、スカートから生える足の太腿がちらりと覗いて)…ぁ、やっぱり恥ずかしいです…(羞恥心が勝ちました、へっぽこです)   (2023/3/8 21:32:56)

琴葉茜> （そしてちょっと濃い目の緑茶の苦味が口内を洗い流して次の一口がいっそう甘いとかそういうやつ。言うて初対面から会うの何度目かって筈なんやけど猫っぽい感じがするにしてはガードゆるゆるすぎてちょっと心配になる。餌付けしといて言う話ちゃうけども。）　んー？そら興味ないほうがおかしいやろ――…む、惜しい（あとちょっとで捲れて奥が見えそうやったけど羞恥心が勝ってしまった。いや普通恥ずかしいと思うしへっぽことまでは言わんけど）　…まぁイタズラしようにもよう考えたらこの状態、お胸もお股もよう触れんからな…かわりにこっち触ってみよかな（頭撫でてた指がそそっと伸びて、耳朶のあたりをさわ、さわ…首筋まで、つつぅー…っ♡）
  (2023/3/8 21:38:35)

琴葉茜> （そんなディープかな…？ってかお）   (2023/3/8 21:40:00)

謎のヒロインXオルタ> …ふふ、素直で宜しいです…///(見えるか見えないか、多分ぎりぎりくらいで恥ずかしさが勝って、曲げていた足が伸びていく…ちなみに公式には下着は黒らしいです、FGOアーケードで見えなくもないです…)まぁ…その、和菓子のお礼もありますので、少しくらいのイタズラは…許しますよ？
レンさんからお伺いした限りは茜さんはやらしー人の様ですし…/// …ぁっ、ふぁ…そ、そんなとこ…(そんな茜さんの手が、頬張る私の頭を、後頭部をさわさわ…なでなで、くすぐったくて、また身を捩る、さっきよりも荒くて、スカートもはらり…っ)   (2023/3/8
21:46:44)

琴葉茜> こういうのは基本、素直に行くのが一番やろしなぁ…♡（あーざんねん、と伸びてくお足を見送りつつの。…ほほう、黒。まぁアーケードはパンツどうこうすっとばしてアウトな子とかおるけども）　ふふっ、それはどうやろな………ちゃうんや、殺す気は無かったんや（目線反らしつつの謎の挙動不審）と、まあそれはそれとして、うちがすけべなのは確かやけども♡　…そんなとこて、頭とか、首とかやでー…？（頭を撫でては首筋をくすぐり、また頭を撫でて…とか繰り返しつつ…　身を捩るたびに捲れていくスカートの端、もうちょっと、もうちょっと…♡　さすさす、なでなで…♡）
  (2023/3/8 21:54:04)

謎のヒロインXオルタ> もぐもぐ…レンさんは生きてますから…(何なら朝方会ったばかりですしね…ときんつばをひとつ、また一つと頬張りたい気持ちと、茜さんのイタズラも甘んじて受け入れてもどかしいというか、もじもじ、気持ちよくて、くすぐったくて、恥ずかしい気持ち…色々ない交ぜで、顔が赤くなる…っ///)触り方が、いやらしいん…ですっ…んんっ…///　ふぅ…///(気持ち良さよりは、くすぐったさの方が勝ってけど体は自然と反応して、身をくねらせる…不可抗力ではあるのだけど足も震えて、曲げちゃって、無自覚に、黒の下着がちらりと…顔を覗かせて…でもそちらを意識する余裕もなくて…///)
  (2023/3/8 22:03:54)

琴葉茜> あ、うんそれはそう（なんなら数日前にうちも会っとる。…和菓子とイタズラ、好物と天秤に掛けてくれるって、これある意味すごい高評価やな…♡
とうとう捲れて、けど当人は気づいてなさそうな黒い下着を横目にチラ見しながら、うぅん…って考える間もお耳の輪郭を指でつつー…♡って撫で回し、）　…そら、いやらしく触っとるもの♡
…さすがにここまですると、もう後入りは期待できそうにないし…お部屋とか、誘ってもええかな－…♡（そっと身を屈めて、耳穴に唇寄せると吐息混じりの囁き声、ふぅ…って吹き込んで…♡）   (2023/3/8 22:08:55)

2023年03月07日 17時28分 ～ 2023年03月08日 22時08分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
