/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2020年11月22日 21時58分 ～ 2020年12月19日 21時46分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

アツコ・カガリ> こんばんはっ！！   (2020/11/22 21:58:52)
カタリナ・クラエス> （農作業姿でやってkite   (2020/12/17 02:03:08)

ソフィア・アスカルト> ふぁ…ぁ…あ、カタリナ様…こんばんわ…（ぺこり…♪）   (2020/12/17 02:03:32)

カタリナ・クラエス> （農作業姿でやってきては、肩に抱えた鍬を下ろして、ほおっかむりを解く）ふぅ、今日も頑張ったわね……って、あらソフィアも来ていたのかしら（にっこりと微笑んでは。鍬を傍に立てかけて。何を読んでるのと片隅まで近づいていく）  
(2020/12/17 02:04:31)

ソフィア・アスカルト> あ、これですか……？先日発売されたロマンス小説の最新刊ですよ…♪1人でしたので楽しんでいました…♪（傍に近づいてくる貴女を意識してかほんのり頬を赤くしつつも嬉しそうに表紙を見せながら微笑み）   (2020/12/17
02:06:41)

カタリナ・クラエス> 後で読ませてね？（にっこりと笑って最新のものならまだ読んでないわねと）……（少し泥だらけの手を、タオルを手にして軽く払って）   (2020/12/17 02:08:28)

ソフィア・アスカルト> …！えぇ、もちろんですわ…♪（また話すことができるような約束を交わすと嬉しそうににこりと微笑み）ぁ、カタリナ様、こちらにも泥が…（貴女の頬に泥が付いていることに気がつくと自分のハンカチで優しく泥を拭い）   (2020/12/17
02:11:35)

カタリナ・クラエス> もうソフィアったら…洗ってからでないとハンカチが汚れるんじゃないかしら（手を取り止めようとするけれど、自分の手が汚れてるのに気づいて）でも、ありがとう……（にっこりと微笑みかけて）うん、やっぱり洗いに行く方がいいかしら  
(2020/12/17 02:14:28)

ソフィア・アスカルト> いえいえ、このくらい何も問題ありませんわ…♪カタリナ様のほっぺが汚れてしまっている方が問題ですし…   (2020/12/17 02:20:20)

カタリナ・クラエス> 　【どうします、ソフィアに時間があるなら動いてみます？】   (2020/12/17 02:23:45)

カタリナ・クラエス> ………そうね。ハンカチはそのためにあるのだからいいのかしら（拭くためのものだものと何枚かあるものねと。……いいえ、何枚もあってもまずは綺麗にしてから使わせるものでは？　ソフィアの行為を無下にするわけにもいかないと思います。　つかれましたー）　
  (2020/12/17 02:25:16)

おしらせ> 無言時間が20分を超えたため、ソフィア・アスカルトさんが自動退室しました。  (2020/12/17 02:40:52)

カタリナ・クラエス> ……ソフィアも疲れていたのかしら……（そっと手を洗いに行ってついでに毛布を取ってきてかけてやり、栞を挟んで、彼女の読んでいた本を手に取り）少し借りるわね（傍に座って読み始める）   (2020/12/17 02:42:38)

おしらせ> 無言時間が20分を超えたため、カタリナ・クラエスさんが自動退室しました。  (2020/12/17 03:02:59)

おしらせ> ソフィア・アスカルトさんが入室しました♪  (2020/12/18 00:27:45)

ソフィア・アスカルト> 昨日はあのまま寝てしまいました…申し訳ありません…（しゅん。）   (2020/12/18 00:28:16)

ソフィア・アスカルト> 今夜も寝落ちしてしまう前に失礼しますね…。またお会いすることが出来たら光栄ですわ…。（ぺこり。）   (2020/12/18 00:36:40)

おしらせ> ソフィア・アスカルトさんが退室しました。  (2020/12/18 00:36:43)

おしらせ> カタリナ・クラエスさんが入室しました♪  (2020/12/18 02:03:33)

カタリナ・クラエス> いやー、まさか土ボコの練習をしていたら、温泉を掘り当てるなんて…広いお風呂最高ォ！！（バスタオルを巻いて、お風呂の中をバシャバシャ）   (2020/12/18 02:04:52)

おしらせ> カタリナ・クラエスさんが退室しました。  (2020/12/18 02:24:33)

おしらせ> 紺さんが入室しました♪  (2020/12/18 22:34:41)

紺> ふぅ…今日はちょっと寒かったわね…（少しうとうとしながらこたつに入って）はぁ…落ち着く…   (2020/12/18 22:42:11)

おしらせ> 無言時間が20分を超えたため、紺さんが自動退室しました。  (2020/12/18 23:02:23)

おしらせ> 佐倉杏子さんが入室しました♪  (2020/12/19 00:58:51)

佐倉杏子> ふぅー。今週も終わったねー…。っても、あたしにゃ関係ないけどさ。(おこたにもぞもぞ潜り込み)   (2020/12/19 00:59:59)

おしらせ> 無言時間が20分を超えたため、佐倉杏子さんが自動退室しました。  (2020/12/19 02:02:52)

おしらせ> サクナヒメさんが入室しました♪  (2020/12/19 10:36:50)

サクナヒメ> ふへぇ、寒い朝と言うのは狩りに出る気が削げるのう。こうして火にあたっておるのが一番じゃ。だらけていると文句言うきんた〇やタマ爺もここには居らぬし、白干でもかじりながら大の字に寝てやるのじゃ。（部屋に入るなり暖かな場所に陣取る生意気そうなメス神。場所はよくある日本家屋の土間付きの畳の間ってことにしておきましょうか。囲炉裏にでもあたってやがります。完全にだらけモードである。はよ狩りに行け。）
  (2020/12/19 10:44:14)

サクナヒメ> はぁ…とはいえ、何時までも火にあたっているわけにはいかぬかぁ…。今日の食料くらいは確保せねばならぬし、ぼちぼち田起こしもせねばのう。（ひとしきりおやつ（白干）をかじり終えたか、ここでようやく重い腰を上げ始めるサクナ。気だるそうに装備している鎌や鍬の感覚を確認しながら、部屋を後にして）
  (2020/12/19 11:08:10)

サクナヒメ> わしが活躍する稲作アクション、「天穂のサクナヒメ」。これは強く勧めるぞぅ。是非一度手に取ってみるのじゃ（何の宣伝）   (2020/12/19 11:10:19)

おしらせ> サクナヒメさんが退室しました。  (2020/12/19 11:10:22)

おしらせ> エミー ローズさんが入室しました♪  (2020/12/19 16:06:09)

エミー
ローズ> あら、こんなところにお部屋があったのね！寒いしちょっと寄っていこっーと♪(誰もいない無人の部屋を見つけると中へ入り、都合よく中にあったコタツへ体を潜らせ)それにしてもソニックのやつ、いっつもすぐにいなくなるんだからー！(ボーイフレンド(自称)の事を思い浮かべながら唇を尖らせると、コタツの中で足をバタバタさせて)
  (2020/12/19 16:12:54)

おしらせ> 無言時間が20分を超えたため、エミー ローズさんが自動退室しました。  (2020/12/19 16:33:24)

おしらせ> エミー ローズさんが入室しました♪  (2020/12/19 20:29:35)

おしらせ> 無言時間が20分を超えたため、エミー ローズさんが自動退室しました。  (2020/12/19 20:51:16)

おしらせ> 吉田優子さんが入室しました♪  (2020/12/19 21:46:42)

2020年11月22日 21時58分 ～ 2020年12月19日 21時46分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
