チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2024年01月30日 07時15分 ～ 2024年02月09日 14時49分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

甘雨> ぁ、私は今日は大丈夫です。朝は元気な事が多いので…っ（お休み明けで元気いっぱいですよ、って小さくガッツポーズ。ぐ、ぐっ♡――ありがとうございますって微笑んで、ふわ♡）…そうですね…一人より二人。私も、誰かと一緒でいる事が好きです。――だから、モダニアとお会い出来て、とても嬉しいです…♡（朝誰かとお会い出来る事が、そもそも稀ですし…――少し慌ててやんわりと、手を取ってくれる相手の手指。きゅ♡と握り返して、指絡めかえして…）…ううん、大丈夫です。モダニアがいるので、今は、平気です――（有難うございます、って、その手を大事そうに、祈るように口元に運んで…ちゅ♡と。指に口づけて）……？（モダニアは大丈夫ですか？と小首を傾げるそぶり）
  (2024/1/30 07:15:44)

モダニア> そうなんですねっ！朝が元気はとても羨ましいです……わたしは朝は弱い方なので。でもっ！今朝は早起き出来て良かったですっ……！甘雨にも逢えましたっ♡（わたしも頼りない小さな拳を握ると、嬉しそうに上下に振りながら）んっ……♡く、擽ったいですっ……甘雨っ♡でも……心が温かくなります……えへへ♡わたしも……少し寒いです。も…もう少し、甘雨に近付いて良いですか……？♡（指に受け取った柔らかい感触に顔を赤くしながら照れ、艶のある溜息を漏らして。指を絡めて緩く握ると、そっと身体を寄せて正面から控え目に重心を掛けますっ……♡）
  (2024/1/30 07:23:44)

甘雨> そう、なんですか？…（大丈夫…？って少し気遣うような視線。）――はい、モダニアに、お会い出来ました…多分、この瞬間は、きっと二度とない事なんだろう、って、いつも、思ってます。（どちらかが少しボタンを掛け違えただけで。二度と巡り合えないような。…そんな一期一会と。ふふっ、なかよしなかよし♡って握り合った手。上下にふんふん♡）…ぁ、ごめんなさ――……え、と。…はい、どうぞ…♡（大丈夫ですよって、握り合ってた手、ゆるって解いて…いらっしゃいますか？って腕を広げて。…えへへへ♡って、少し気恥しそうにはにかんで）
  (2024/1/30 07:30:48)

モダニア> はいっ！大丈夫ですっ……！甘雨こそ、もう少しゆっくり出来るならちゃんと休んで下さいっ♡わたしもそう思いますっ♡だからこそ……偶然に逢えた事に感謝したいですっ！（両手の細い指を絡めながら、ぎゅ……♡指先からも少し火照る熱を伝えて、緩くにぎにぎ……ですっ♡）あっ……♡お邪魔します……？これは違う気がしますけど……こういう時は、何てお礼を言えば良いのか……♡ありがとうございますっ、甘雨……♡（絡めた指を名残惜しそうに離すと、腕を広げた甘雨の胸に正面からぎゅ……♡っと抱き着き♡胸をぷにっ♡と当てながら緩く擦ると、体温に縋る様に甘えますっ……♡）
  (2024/1/30 07:38:40)

甘雨> ん…っ♡（…やんわりと。モダニアの細い腰に、背中に腕を回して、ぎゅーー…っ♡…お互いの境界がなくなるように。柔らかい胸の膨らみ同士が触れて、潰れて、こすれあう感覚に、少しくすぐったげに吐息を詰まらせて…それでも心地よさげに。頭に髪に、すり♡って頬を寄せて…）…はい、大丈夫です――今、この時間も、ゆっくりしてますから……――ほんとは、少しだけ人肌恋しかったので……モダニアのからだが、温くて、気持ちがいいです……♡（ほう、って、緩んだ吐息。緩くささやいて…好意を伝えるように、髪に触れる頬、ふに…♡すり…♡）
  (2024/1/30 07:43:20)

モダニア> えへへ……♡甘雨も暖かいですっ……♡もっと……欲しくなっちゃいますっ……♡んっ……♡（正面から隙間が無いくらい密着すると、衣服越しに柔らかい胸の形を何度も変えて。双丘を合わせながら、少し身体を揺らすと顔を真っ赤にしながら甘い溜息を、はー…♡っと唇から溢し）わたしも……気持ちいいですっ♡甘雨の体温、とても優しくて……♡もっと下さいっ……♡（背中に手を回してぎゅー……♡っと強く抱き着き、頬を擦りながら太腿も触れ合って脚を絡めたくなってますっ……♡）
  (2024/1/30 07:49:49)

甘雨> …そう、ですね、もっと、もっと♡…って、欲張りに、なっちゃいますね…♡（心地良い時間。人肌の温かさと柔らかさと。ふにゅ♡に…っ♡って少し身じろぎするだけで形を変えて潰しあう胸の膨らみからの甘い刺激に、ん…♡って、淡く甘い吐息。）…ぁ♡（抱き貸されると、ふるっ♡と小さく震えて…何か我慢するみたいに、モダニアの首筋に顔をうずめて…んーーーっ…♡…口をつぐんで、ぎゅー…っ♡ふるふる…♡）
  (2024/1/30 07:54:01)

モダニア> んっ……♡き、気持ちいいですっ……♡甘雨っ……♡（一度、ふにっ♡と形が潰れた胸を離せば、今度は衣服越しに硬くなった先端を探る様に。少しの引っ掛かりを感じると、緩く擦る様に動きながら肩をぴくっ……♡と振るわせてっ）あ……あの、甘雨……♡その……良かったら……少しお部屋に行きたいです……だ、駄目ですかっ？（脚をもじもじと内股で揺らしながら、恥ずかしそうに小声で耳元で囁くと、密着したままで熱い吐息と一緒に言葉にしてっ……♡）
  (2024/1/30 08:00:34)

甘雨> ……ぁっ♡んっっ♡…（弱い先端同士が、すりすり♡って擽りあってしまうと、人肌の温かさより、おなかの奥を疼かせるような甘い疼きの方が少しずつ強くなってきてしまって…ぎゅ、ぅ…♡ってモダニアに回した手に、少し力がこもっちゃって…♡少しだけ、少しだけって、自分に言い訳しながら、自分からも、す、り…♡――その一回だけで、ひくんっ♡って、肩を小さく震わせちゃって…♡）……え？……ぁ…♡……ぇ、と、そう――です、ね……？…えっと、じゃあ、少しだけ……♡（ぽぅ♡って、熱に浮かされたような顔で、こくん、って頷いて…♡ぁ、でも、鍵のかかったお部屋だと、私は入れないですけれど――。大丈夫です？って淡くかしげる小首）
  (2024/1/30 08:06:13)

モダニア> ふぁ……♡んんっ……♡きゃ……ぅ♡（衣服越しに丘の先端の尖りが擦り合うと、涙目で肩を跳ねさせて少し顎を上げてしまうと恥ずかしそうに顔を真っ赤にしながら……♡）はいっ……♡甘雨が無理しない程度に……少しだけ一緒に居たいですっ♡お部屋を立てますっ……♡行きましょう……えへへ♡（鍵は大丈夫ですっ……♡と頷きながら、絡めた指をぎゅ……♡誘う様に引っ張ればお部屋から出ますっ……♡お待ちしてますっ♡）
  (2024/1/30 08:11:08)

おしらせ> モダニアさんが退室しました。  (2024/1/30 08:11:45)
ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> そうかそうか...!♡♡そろそろイきそうか...?♡（手のひらでクリトリスを撫で回しながら弱点を責め上げて...）   (2024/2/5 22:41:15)

モリガン ◆> あぁんもうだめぇ！！いくいくぅ！！！（刺激とともに腰おも振って思いっきりいってしまう）はぁあああああああん…   (2024/2/5 22:42:47)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> 【ごめんなさい、急用で落ちます！お相手感謝です！！】   (2024/2/5 22:48:08)

おしらせ> ﾈﾛ･ｸﾗｳﾃﾞｨｳｽさんが退室しました。  (2024/2/5 22:48:10)

モリガン ◆> 【こちらこそ感謝です！！またお願いします！】   (2024/2/5 22:48:35)

おしらせ> モリガン ◆i6fJKa45IIさんが退室しました。  (2024/2/5 22:48:38)

おしらせ> 後藤ひとりさんが入室しました♪  (2024/2/6 01:09:03)

後藤ひとり> 少しだけ……(ごろん)   (2024/2/6 01:09:10)

おしらせ> 無言時間が25分を超えたため、後藤ひとりさんが自動退室しました。  (2024/2/6 01:34:35)

おしらせ> BBペレさんが入室しました♪  (2024/2/6 02:49:21)

BBペレ> どうもー、BBちゃんでーす♡　最近は楽しいコンテンツが増えてウハウハでして、ここに来るのも久々になっちゃいました。ええ、某ぱるぱるなワールドとか！　まぁなにはともあれ、いつも通りぼんやりと誰が来るかなーとか待ってみましょうか（ソファに腰を沈めてのんびり）　――それにしても今夜は特に冷え込みます、我ながらこの格好は正気の沙汰じゃありませんが、そういう霊基なので仕方ありませんね
  (2024/2/6 02:50:55)

BBペレ> まぁさすがにこの時間では厳しいですかねえ。ではではBBちゃんはでなおしまーす♡   (2024/2/6 03:09:03)

おしらせ> BBペレさんが退室しました。  (2024/2/6 03:09:07)

おしらせ> ﾈﾛ･ｸﾗｳﾃﾞｨｳｽさんが入室しました♪  (2024/2/6 19:11:41)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> ......相変わらず人がおらぬな...まぁ良い、待機だ！（と、ソファに座って...）   (2024/2/6 19:12:12)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> ....誰も来ぬな...（退屈そうにゴロゴロ...）   (2024/2/6 19:49:35)

おしらせ> 茅森月歌さんが入室しました♪  (2024/2/6 20:23:25)

茅森月歌> おっすおっす、あたしの登場だよーん。   (2024/2/6 20:24:22)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> ん！うむ、よくきた！（初対面の相手に声をかけては嬉しそうに...!）余はネロ・クラウディウス！よろしく頼むぞッ（勢い自己紹介を繰り出して...）   (2024/2/6 20:26:06)

茅森月歌> あたしは茅森月歌、歌が得意なだけのその辺のバンドマンさ……（ふっ、カリスマ感だしつつも多分もう遅い）んー、よし。ネロっちと呼ぼう。（うん、とあだ名を決定）   (2024/2/6 20:28:45)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> ほぅ！バンドマンとな...!つまり奏者！（違います）なるほど...余ほどとはいかぬまでも中々センスのありそうな風体だな...（歌が得意、の一言に反応しては相手の姿を眺めて）うむ、では月歌と呼ぶとしよう。（あだ名を気にすることもなくこちらも呼び名を確定させて）
  (2024/2/6 20:31:12)

茅森月歌> まぁ、奏者かどうかは知らないけどギターなら奏でられるぜ？…んー、ネロっちもアーティストなの？あたしのオーラがわかるなんて只者じゃないね。（お？と隠れてない方の目をキラキラさせつつ相手をじー…と見つめ返して）おー、仲いい奴らからはみんなそう呼ばれてるからオッケー。
  (2024/2/6 20:33:56)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> 読んで字の如くだ、奏でる者を指す...!アーティスト...そうさな、余ほどのアーティストもそうそうおらぬだろう、、、月歌、其方なかなか見る目があるな？いや、余のオーラがそうさせてしまうのか...!（調子に乗りまくる皇帝...）うむうむ、では仲良くしていこうではないか！（ソファに座ったまま手招きをして...）
  (2024/2/6 20:36:51)

茅森月歌> なるほどなるほど、これは今度はギター持ち込むしかないかなー。お、ネロっち一人称珍し〜。もなにゃんみたい！余ってかわいいよね！（ソファに手招きされればそのまま、わーいモッシュダイブするみたいソファにぼすっと）   (2024/2/6
20:40:01)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> 余っ！？（一人称を褒められたことがないためよく分からない驚き方をして）ふふっ、か、可愛いか...、良いぞもっというが__おぶふぅ！（ダイブしてきた相手に下敷きにされて変な呼吸音が捻り出て...）   (2024/2/6
20:43:43)

茅森月歌> 余、かわいいよね。（変な驚き方だなぁとしげしげり）おー、ネロっちかわいー。うめき声まで迫真でさいこー！（下敷きにしながらいかしてるー！ってほおずりすりすり）   (2024/2/6 20:45:14)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> 余が可愛いのは当然だが、、余が可愛い？余っ？（思考が照れとややこしさでバグり始める...）ぱ、パワフルだな月歌....だが若々しさを感じられて余は嬉しい...（苦しそうに答えながらゆっくり起き上がって...）   (2024/2/6
20:47:29)

茅森月歌> 余がかわいい。ネロっちも可愛いと思うよ？？（なんかバグってるってつんつん）まー、ロッカーなんてパワーが有ってなんぼじゃん？反逆の翼を翻す的な。（ほいほい、って横にすすっと移動しては）   (2024/2/6 20:48:51)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> そうだな、余は可愛い、そのとおりだな？（なんとか自我を取り戻して...）なるほどな、、ノッブもそんな事を言っておった...（ギターを水着で弾く信長を思い浮かべながら...）確かに、芸術とは生命の力を表現する物...そう考えればアーティストこそ力が余らせるほどであるべきだな...!（うむうむ）
  (2024/2/6 20:54:46)

茅森月歌> そうそう、ネロっちはかわいい。（あ、復活した）そうそう、とりあえず反抗してメッセージをじゃーんと叩きつけてからが本物なのよ。後はどこまで乗せられるか的な。（うんうん、わかるわー。武道館でライブした時そんな感じだったよ）まぁ、あたしはいつでも元気なんだけどね！
  (2024/2/6 20:57:20)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> 月歌もしかし可憐でとても良いな...うむ、余の好みだ（目線が怪しく...）反抗...確かにノッブも同じことを言っておった...（ふわふわした感じの反抗感を思い返して...）元気は良いことだ、少女は笑顔が一番似合う故な...（ふふふ、と微笑みながら相手を眺めて...）
  (2024/2/6 21:00:58)

茅森月歌> おー？そう？まぁ、美少女とはよくテレビで言われたけどさ。（うんうん、なになに？その視線。（じー））まー、ロッカーなんてみんなそんなもんだよね。ノッブってやついいやつじゃん。わかり会えそう。（いやー、ロックについて語ってみたいな〜）これくらい元気じゃないとやってらんない世の中だしね。（んー？とこちらも相手を見つめて、いいぼでーしてるやんけー？）
  (2024/2/6 21:04:00)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> テレビ、、そうか、現代のアーティストはそういう物に出る物だったな...（目線を柔らかくしてはなるほど、と）良いやつ...、、どうだろう、良いやつかな？...まぁかなりロックではあるな？（うむ、と今度呼んでこよう、なんて言いつつ...）そうさな、......、どうした？何か気になるか？（相手の目線に感じるものを気が付いては見つめて...）
  (2024/2/6 21:09:11)

茅森月歌> そうそう、まぁ一年で解散しちゃったんだけどね。（へてへぺりんこ♡）ロックなやつならいいやつじゃん？　とりあえず仲良くはなれると思うんだよ。（気になる気になる。けど今は眼の前のネロっち）んー？よく見るとえっろい格好してるなー、って。  
(2024/2/6 21:11:08)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> ホウコウセイノチガイ、というやつだな？（ノッブが言っry）仲良くはなれそうだな、それは間違いない...（ぅーむ）ほぅ...そうか、そう見えるか？（足を組み直しながら相手の目を見つめて...）   (2024/2/6 21:15:46)

茅森月歌> 方向性の違いとか音楽性の違いとかそういうやつかなー。（まぁ、多分。2/16あたりにあきらかになるかもね(?))やったぜ、仲良くなったらネロっちに一緒にモッシュしないか提案してみっかー。（ふむふむ）うんうん、パンツとか見えないし、おっぱいアピールしてるじゃん？？（さすが異世界、すけべがすぎるぜ…！
  (2024/2/6 21:18:01)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> モッシュ？おいしそうだな？（うむ？...）むっ、コレは男装だぞ、胸はアピールしているのではない...!勝手に主張してしまっているだけだ...!（胸を張りながらポーズを取って...!）   (2024/2/6 21:20:31)

茅森月歌> ステージから客先にダイブするやつ。（さっきやってみせたやつ）え、何。ネロっちの世界ってみんな男もノーパンでスカートはいてるの？？   (2024/2/6 21:22:41)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> ほぅ？そう言うのが流行りなのか...（想像しながら...）...........ローマでは主流だったのだ！！（嘘である...いや、真実ではない...？）   (2024/2/6 21:25:04)

おしらせ> 後藤ひとりさんが入室しました♪  (2024/2/6 21:25:45)

後藤ひとり> お、お邪魔します……(ちら)   (2024/2/6 21:25:52)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> うむ！こんばんはだな！（勢い挨拶...）   (2024/2/6 21:26:34)

茅森月歌> 流行りというかなんなら危なすぎて禁止になってる。（うんうん）　……ローマって変態の隠語ってこと？   (2024/2/6 21:27:10)

後藤ひとり> 私も客席にダイブしたことありますよ……(こくん)   (2024/2/6 21:27:16)

茅森月歌> やほやほー、はじめましてー。   (2024/2/6 21:27:21)

茅森月歌> いいよねー、アレめっちゃロック   (2024/2/6 21:27:28)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> ロッカーが増えたな...（ほう）   (2024/2/6 21:28:02)

後藤ひとり> 私もバンドメンバーなので……(得意げ)   (2024/2/6 21:29:13)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> まぁ普通に怪我しそうよな...（ふむ）ローマはローマだ！浪漫だ！変態とはなんだ！？（ぎゃーす）コレは男装であり芸術なのだッ...普通とはちがうのだ！（ぎゃーすぎゃーす！）   (2024/2/6 21:29:24)

茅森月歌> 私、伝説のバンドのギタボ（どやぁ）。　まぁ、普通にもみくちゃで危ないよねー。（うんうん）なるほど……全裸のダビデ像みたいなやつかぁ。   (2024/2/6 21:31:03)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> 余はローマ皇帝！（自慢話に乗ろうとする暴君）ダビデ、ヴィーナス、まぁあの時代の芸術は人間讃歌の側面が強かったゆえな...。   (2024/2/6 21:33:42)

茅森月歌> 人間讃歌はよくわからないけど、ネロっちはとりあえずスケベを尊んでそう。   (2024/2/6 21:34:53)

後藤ひとり> えっち皇帝…   (2024/2/6 21:35:48)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> まぁそうさな...性も芸術の一つ....おい誰がエッチ皇帝だ！？   (2024/2/6 21:36:06)

茅森月歌> ねろっち。   (2024/2/6 21:36:55)

後藤ひとり> ねろえっち…   (2024/2/6 21:39:00)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> おぉい？！（ネロ憤怒...）なんだ、そう言う其方らは全くエロくないと言うのか！？（ネロ混乱...）   (2024/2/6 21:40:26)

茅森月歌> え、エロいよ？   (2024/2/6 21:40:47)

後藤ひとり> なんの事やら…   (2024/2/6 21:41:25)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> 何のことやらと言うがな、淫乱ピンク、其方が一番アレだからな、エロいからな！？（怒りのあまり物凄い物言いを...）   (2024/2/6 21:44:52)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> 月歌....ストレートに言われると少し戸惑うぞ...（ううむ）   (2024/2/6 21:45:15)

後藤ひとり> な、なんで！？私は普通の陰キャなのに……   (2024/2/6 21:45:24)

茅森月歌> 普通の陰キャがばんど始めるシチュはまぁまぁエロイと思うんだよね。（うん）　   (2024/2/6 21:46:39)

茅森月歌> えー、そこで戸惑っちゃうの？？（じー   (2024/2/6 21:46:53)

後藤ひとり> な、なぜ……   (2024/2/6 21:47:50)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> 猫背で隠れてあるが、くやしいが其方が一番エロい、身体がな...!（、、、）あと髪がピンク色は普通に淫乱だからな...   (2024/2/6 21:49:39)

茅森月歌> ピンクは淫乱……でも、ネロっちも赤いしえっちじゃない？興奮の色じゃん。   (2024/2/6 21:50:15)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> 興奮の色...まぁ間違いではないが...情熱だ、コレは情熱の赤だ！（ふんす   (2024/2/6 21:52:24)

茅森月歌> 情熱もエッチじゃない？   (2024/2/6 21:53:24)

後藤ひとり> 黄色は……どうなんでしょう   (2024/2/6 21:53:43)

茅森月歌> あたしー？さぁ……どうだろうねぇ……？   (2024/2/6 21:55:04)

後藤ひとり> 自分でエッチって言ってますからね…   (2024/2/6 21:56:28)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> 黄色.....まぁそう言うイメージはないな...月歌本人は十分エロいが....（、、、）そもそもなぜこんな話を...（急に冷静に...）   (2024/2/6 21:56:50)

茅森月歌> なんで！？あたしそんなにまだえろいようそなくない！？   (2024/2/6 22:00:16)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> それがむしろ、エロいのかもしれんな...隠しきれぬエロさ？   (2024/2/6 22:01:05)

後藤ひとり> スタイルはいいですよね…   (2024/2/6 22:01:06)

茅森月歌> スタイルのことを二人が言うのは反則じゃない？   (2024/2/6 22:01:55)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> はっはっは、しかし余の評価から逃れられるとは思わぬことだ。月歌、、其方は！、エロい！（ドンッ！）   (2024/2/6 22:05:25)

茅森月歌> ノーパン男装の人に言われるのなんか納得いかない！   (2024/2/6 22:06:01)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> 其方のスカートの丈も大概だぞ？（ジー...）   (2024/2/6 22:08:22)

後藤ひとり> わ、私はアニメだとスタイル良くないので……(こくん)   (2024/2/6 22:08:43)

茅森月歌> 普通の制服！   (2024/2/6 22:10:52)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> 普通.....（スカートを凝視して...）   (2024/2/6 22:13:31)

後藤ひとり> じーっ……   (2024/2/6 22:13:39)

茅森月歌> な、なにさー……   (2024/2/6 22:14:37)

後藤ひとり> わ、わかりません…   (2024/2/6 22:16:48)

茅森月歌> じー……（相手のジッパーを下ろす音）   (2024/2/6 22:17:32)

後藤ひとり> あっ……(脱がされ)   (2024/2/6 22:20:53)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> ほう....（思ったよりすごい、とひとりの体を見ては感心して...）   (2024/2/6 22:21:10)

後藤ひとり> そ、そんな見ないでください……///   (2024/2/6 22:24:06)

茅森月歌> ほうほう……（ダイナマイトゴトウバディをじっくり見ながらやっぱりね）   (2024/2/6 22:25:03)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> まぁまぁ良いではないか、ほら背筋も伸ばしてだな...（いつの間にか隣に座っては相手の肩を抑えて背筋を...）   (2024/2/6 22:25:38)

後藤ひとり> いやあの……き、着てもいいですか……///(うぅ)   (2024/2/6 22:26:52)

茅森月歌> この亀甲縛りボンテージを？？（そこで拾った）   (2024/2/6 22:27:59)

後藤ひとり> ジャージですっ！   (2024/2/6 22:29:32)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> ジャージはボッシュートだな...（ぬがしぬがし...）   (2024/2/6 22:30:02)

茅森月歌> ジャージー牛柄マイクロビキニならあるよ、ほら。   (2024/2/6 22:31:04)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> ジャージ柄の意味あるのかそれ（つい突っ込んでしまう...）こっちはどうだ？（ギリギリバニーガール...）   (2024/2/6 22:32:49)

茅森月歌> 気品あるブラウン的なやつ？（つまりはただの茶色）   (2024/2/6 22:34:15)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> なるほど...?   (2024/2/6 22:34:28)

後藤ひとり> ふ、普通のピンクを…   (2024/2/6 22:34:36)

茅森月歌> 普通のピンクのマイクロビキニじゃただの乳首だけどいいの？   (2024/2/6 22:37:05)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> ピンクのバニーガールとな...（普通ガン無視である）   (2024/2/6 22:38:30)

後藤ひとり> ち、ちがいますっ！   (2024/2/6 22:39:16)

後藤ひとり> あ、あと少し眠く…   (2024/2/6 22:42:08)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> むぅ、なら仕方がないな...（ジャージを返しては着せて...）   (2024/2/6 22:42:34)

茅森月歌> 眠いなら仕方ないか〜   (2024/2/6 22:43:24)

後藤ひとり> すみません…また時間ある時に……(？)   (2024/2/6 22:44:03)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> 時間があれば良いのだな？（言質確保？   (2024/2/6 22:45:14)

茅森月歌> ま、一年もあればまた会えるって。   (2024/2/6 22:45:50)

後藤ひとり> は、はいっ！   (2024/2/6 22:46:23)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> ならばまたその時を楽しみにしておこう...!（うむ   (2024/2/6 22:47:15)

茅森月歌> のんびりやってこーぜ。だから今日は寝てきなよ   (2024/2/6 22:49:30)

後藤ひとり> は、はいっ！ではまた…   (2024/2/6 22:49:35)

おしらせ> 後藤ひとりさんが退室しました。  (2024/2/6 22:49:36)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> お疲れ様だな。   (2024/2/6 22:50:47)

茅森月歌> おつかれさまー。   (2024/2/6 22:51:39)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> 思わぬ盛り上がりだったな...（ゴロゴロ）   (2024/2/6 22:53:04)

茅森月歌> 案外盛り上がったねぇ（スカートの中のぞきーの）   (2024/2/6 22:57:42)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> ......覗いても何もないぞ（ジト）   (2024/2/6 22:58:15)

茅森月歌> え、ネロっちジオングだったの？？（無が……広がってる…！？？   (2024/2/6 23:01:11)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> そう言う意味ではない...（何も起こらないと言う意味だ、と）まぁ見たいのなら見るが良い（そもそもスカート捲らなくても見えてるわけで...）   (2024/2/6 23:02:44)

茅森月歌> まー、もう時間も遅いもんねー。あたしも寝ないといけないし。　後3歳わかければなー。スカートに顔突っ込んで舐め回したんだけど。   (2024/2/6 23:04:21)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> 今すごいことさらっと言ったな...、まぁよい。余もそろそろ寝ようか...。今日は楽しかったぞ！また今度遊ぼう。先に失礼する！   (2024/2/6 23:06:27)

おしらせ> ﾈﾛ･ｸﾗｳﾃﾞｨｳｽさんが退室しました。  (2024/2/6 23:06:29)

茅森月歌> じゃーなー、ネロっちー   (2024/2/6 23:07:38)

おしらせ> 茅森月歌さんが退室しました。  (2024/2/6 23:07:40)

おしらせ> ﾈﾛ･ｸﾗｳﾃﾞｨｳｽさんが入室しました♪  (2024/2/7 20:54:45)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> ...今日も待機だな！（ソファに座ってはくつろいで...）   (2024/2/7 20:55:34)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> だ、誰も来ぬ...（ぐす...）   (2024/2/7 21:13:30)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> .....（ゴロゴロ...）   (2024/2/7 21:20:55)

おしらせ> 無言時間が25分を超えたため、ﾈﾛ･ｸﾗｳﾃﾞｨｳｽさんが自動退室しました。  (2024/2/7 21:46:47)

おしらせ> 後藤ひとりさんが入室しました♪  (2024/2/8 01:21:05)

後藤ひとり> ねむっ……   (2024/2/8 01:25:37)

おしらせ> 後藤ひとりさんが退室しました。  (2024/2/8 01:41:07)

おしらせ> 後藤ひとりさんが入室しました♪  (2024/2/9 13:28:52)

おしらせ> 和泉 愛依さんが入室しました♪  (2024/2/9 13:48:52)

和泉 愛依> こんにちは～♪さすがにもういないかな～？   (2024/2/9 13:50:08)

後藤ひとり> あ、い、居ますよ……こんにちは…(ご飯の支度してました…とお辞儀をして)   (2024/2/9 13:50:29)

和泉 愛依> あ～、よかったぁ♪ ご飯の準備って、これからお昼ご飯？(ちょっとおそめ？と、首をかしげる素振りをしてから、うちも軽い会釈を返して)   (2024/2/9 13:52:39)

後藤ひとり> あ、はい今ちょうど食べ終えてて……遅起きしちゃって朝ごはんが10時半くらいだったのでお腹すいてなくて……(お腹を押えつつ…よろしくお願いしますと)   (2024/2/9 13:54:00)

和泉 愛依> アハハ、なるほどね～♪もしまだ後片付けとかが残っているならよかったら遠慮なくやってきてね？(お気になさらず～、って片手をひらひら)   (2024/2/9 13:56:16)

後藤ひとり> あ、は、はい。軽い食事なのでそこまでかかりませんが…(軽く片付けながら…)あ、ご、後藤ひとりです………よろしくお願いします。   (2024/2/9 13:58:31)

和泉 愛依> ご丁寧にありがとね♪うちは和泉愛依っ、ヨロシクね？気軽に何度でも呼んでくれたまえ～、うちもひとりちゃんって呼ばせてもらうしっ(後片付けしているのをやや遠目に眺めながら)   (2024/2/9 14:03:30)

後藤ひとり> メイさんですね…よろしくお願いしますっ…アレですね…私が言えたことでは無いけどこんな時間に来るなんて珍しいですね……。(片付けも済ませて改めて近寄って……)   (2024/2/9 14:05:36)

和泉 愛依> マジでそれね～、ちょっと時間できちゃって暇しててさ。誰か話せそうな人いないかな～なんて思ってたらひとりちゃんの姿見つけて、なんか超助かっちゃったみたいな♪
