/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年02月24日 03時12分 ～ 2023年02月25日 13時44分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

犬走椛> 他の人にはお尻を…   (2023/2/24 03:12:01)
おしらせ> 錦木千束さんが退室しました。  (2023/2/24 22:22:00)

おしらせ> 中野三玖 ◆WY5HuZnICQさんが入室しました♪  (2023/2/24 23:09:00)

中野三玖 ◆> (2階はぜっっっっ…たいに溺れる気しかしない…)   (2023/2/24 23:09:34)

中野三玖 ◆> ……静か   (2023/2/24 23:10:37)

中野三玖 ◆> …んっ…ふああ…   (2023/2/24 23:14:19)

中野三玖 ◆> (ソファの上で眠ったせいで…身体が…)いたた…   (2023/2/24 23:19:34)

中野三玖 ◆> (くたぁ…と腰を浮かせながらソファの上でうつ伏せになってて)   (2023/2/24 23:25:39)

おしらせ> 無言時間が25分を超えたため、中野三玖 ◆WY5HuZnICQさんが自動退室しました。  (2023/2/24 23:51:38)

おしらせ> ユニさんが入室しました♪  (2023/2/25 05:40:32)

ユニ> ふぁあああ……。おはよう、世界。此処に来るのも久し振りになってしまったね。(大きく口を開けて欠伸、目尻に涙溜めて指先でくしくしと擦り)…昨日は賑わっていたようだね、あちらこちらで意識を失っている身体が見受けられるよ。其処だけを見たならば完全に事件現場なのだが、通報なんてしやしないよ。したところで鼻先で笑われるだけさ。とは言え、冷えるね…ロゼッタ。日が昇ればそれなりに暖かくなる頃合いなのだが。(両手で自身の二の腕を擦って、ふるり。ひんやりとしている室内の気温を変えようと辺りを見回し…)確かこの辺に…。あった。(壁に張り付いているタイプの操作盤。これをこうしてあーして…えーい、承認っ！)
  (2023/2/25 05:48:17)

ユニ> 1d50 → (42) = 42  (2023/2/25 05:49:20)

ユニ> (ゴゴゴゴゴ。唸るエアコン。聞いたこともない音に口元をヒクリ。明らかに熱い人工的な風がぼくの顔を撫でるよ)あ、あれ。……ま、まぁ、これくらい暑いほうが部屋が暖まるのも早くなる、というものさ。(何事もなかったかのようにエアコンの側を離れて熱風から逃れるように…風の届かない場所へ移ろうか。熱風を浴び続けるにはこの制服では少々暑すぎるのでね…あせあせ)……さて、と。気を取り直して、今日はどんな話をしようか。
  (2023/2/25 05:54:23)

ユニ> 特にこれと言って考えてきた訳じゃないのだがね、ネタなんて用意しちゃいないよ。プリコネのアニバーサリーもそろそろ終盤…というか、逆に本番と言った所かな。本命は復刻やリベレイターではなく、月末のフェスだろうしね…。多くの者が石を溶かす様が今から思い浮かぶよ…勿論、ぼくを含めて、ね。アニバのフェスはヤバいわよ(声真似)と言われるだけあって、天井を踏むだけで数ヶ月はサボっても問題ない量のマスターコインがおまけでもらえるからね…まぁ、そこはプライズの方のヒキ次第でもあるのだが。ぼくは去年は天井…くっ。おのれサイゲ…この守銭奴、悪魔の使いめ…。……危うく殺意の波動に飲まれるところだった。いけないいけない、クールに冷静にならなければ、ふぅー…はぁーっ…よし。天井一回踏んだだけで20万ものマスターコインがおまけとして貰えてしまったものでね…こんな数、見たことなぁい、となったわけさ。定期的に使うものでもあるしね。あればあるだけ育成をサボれるという便利な代物だからね
  (2023/2/25 06:03:45)

ユニ> 最終日にリセマラするだけで〜……と言いつつ、マスターコインショップは一度でもレベルカンストさせないと解禁されなかったような。うぅむ…初心者へのアピールポイントとしてはなかなか弱い部分ではあるのは否めないか。…まぁ、世の中にはソシャゲに限らず色んな娯楽が溢れているよ。その中で…どれに触れようがどれを選ぼうが君たちの自由さ。其処にぼくの意志を干渉させるべきではない、とも思っているからね。飽くまでもこれは祖国、母国への恩返しのようなものだ。新規が増えるのは嬉しいことだが、長続きしなくては意味もない…本当に心から夢中になれるものを、自分自身の手で見つけ出す事が大事なんだ。
  (2023/2/25 06:11:56)

ユニ> ……しかし暑いな。OKロゼッタ、どうにかなんないかな？(胸元を扇ぎ、流石に暑くなってきた。適切な温度とは言い難い異様な熱気に包まれた室内、唸り続けているエアコンを視界の中央に捉え…眉をヘの字に寄せた悩ましげな表情と困惑した視線を送ってしまうよ。ここはロゼッタにお任せだ、頼んだぞ、ロゼッタ)
  (2023/2/25 06:20:06)

ユニ> 1ｄ1+24 → (1) + 24 = 25  (2023/2/25 06:21:10)

ユニ> ロゼッタの力技をぼかぁ見てしまったよ。でも、咎めたりはしないさ、お前は賢い子だ。偉いぞ、ロゼッタ。   (2023/2/25 06:22:39)

ユニ> もうじきこの部屋も賑わう…ぼくらの出番は此処までだ。帰ろう、ロゼッタ。部屋の温度もそのうち戻るさ。今は…暑いけれども。この現場を抑えられない限りは誰の仕業とも判らずに事件は迷走する事だろう。…さ、帰って続きに取り掛かろう。気分転換には丁度いいくらいだったよ…では、またね。
  (2023/2/25 06:26:03)

おしらせ> ユニさんが退室しました。  (2023/2/25 06:26:27)

おしらせ> 結月ゆかりさんが入室しました♪  (2023/2/25 07:15:47)

結月ゆかり> …死ぬほど寝ましたね。昨日の仮眠合わせたら12時間くらいでしょうか。恐ろしくスッキリしました！(むん)   (2023/2/25 07:16:43)

結月ゆかり> とりあえずこっちでのんびりしましょうか(こくん)   (2023/2/25 07:17:06)

結月ゆかり> ん、流石にお腹すきましたね…。食べて来ましょうか   (2023/2/25 07:38:48)

おしらせ> 結月ゆかりさんが退室しました。  (2023/2/25 07:38:52)

おしらせ> 雷電将軍さんが入室しました♪  (2023/2/25 09:22:57)

雷電将軍> …おはようございます(昨夜は珍しく夜中まで起きていたのもあって、少し眠そうに。欠伸を噛み締めながら室内のソファまで辿り着けば腰掛けて。眠気が覚めるまでこうしていよう)   (2023/2/25 09:24:09)

雷電将軍> やはり皆さん、お休みの日だから出掛けているのでしょうか…？(瞑想をしていたが目を開けてはぽつりと独り言。あまり長居し過ぎてもあれかと感じて顎に手を添え考え方)   (2023/2/25 09:47:30)

雷電将軍> さて、私もそろそろ…(少しずつ眠気が取れてきた。目をぱちっと開いては足早に退散。)   (2023/2/25 10:09:09)

おしらせ> 雷電将軍さんが退室しました。  (2023/2/25 10:09:14)

おしらせ> 結月ゆかりさんが入室しました♪  (2023/2/25 11:26:44)

結月ゆかり> (けぷ)…おや、影ちゃんの気配が。今日は天気良かったからゆかりさんもお出かけしてご飯済ませちゃいました。お昼も要りませんし、夜までは食べなくていいですねえ…(ころころ。ソファの上でうつ伏せに寝転んで)   (2023/2/25 11:28:24)

結月ゆかり> ……まだ寝たりないんですか。しょうがないですね…(腕枕に顔を埋めて、うつらうつら)   (2023/2/25 11:40:39)

おしらせ> 無言時間が25分を超えたため、結月ゆかりさんが自動退室しました。  (2023/2/25 12:05:41)

おしらせ> 結月ゆかりさんが入室しました♪  (2023/2/25 12:51:21)

結月ゆかり> まさか本当に寝てしまうとは…(もそり)そろそろ真面目に待機しましょうか(しゃき)   (2023/2/25 12:52:00)

おしらせ> 中野二乃さんが入室しました♪  (2023/2/25 13:07:45)

中野二乃> こんにちは、うろ覚えで初めてかわからないけど   (2023/2/25 13:08:39)

結月ゆかり> ん、いらっしゃいませ。…そうですね。衣乃さんのお部屋で…お話したような気がします。と言ってもあんまり楽しい内容ではなかったですけどね…(めそらし)   (2023/2/25 13:09:37)

中野二乃> そういえば、そんなこともあったわね。相性とかいろいろあるから難しいわね、あとゆかりさんの個体（メタい）が多くて混ざっていたらごめんね   (2023/2/25 13:11:54)

結月ゆかり> …あっ。此処のお部屋に関してだけ言えば、目の前のゆかりさんだけですよ。他のお部屋のは多分違います、ここにしか生息していないゆかりさんですからね！   (2023/2/25 13:14:32)

中野二乃> 同じ人が他の部屋行ったりとかもあるかと思っていたけど、そうでもないのね。そういえば以前は少しお話しただけだったわね   (2023/2/25 13:18:39)

結月ゆかり> まぁ、そういう場合もありますよね。ゆかりさんは…どうなんでしょうね、果たして(うふふふ)ん、そうでしたね。しかも仲良くなる感じの和気藹々したような   (2023/2/25 13:20:19)

結月ゆかり> 感じとは結構離れたやつでしたけども…。   (2023/2/25 13:20:39)

中野二乃> ま、といっても別に私たちが直に険悪なわけじゃないし、嫌いな子の友達も嫌いってなるわけじゃないと思うのよ   (2023/2/25 13:22:55)

結月ゆかり> ん、そうですね。そもそもニ乃さんの事は何も知りませんでしたからね…。ゆかりさんも別に衣乃さんと険悪ってわけでもないですよ？お互いに殴り合いみたいな言葉ぶつけ合いますけど、嫌って言ってる訳じゃなくって、お互いに遠慮してないだけですから…(あはは)
  (2023/2/25 13:26:54)

中野二乃> それじゃ誤解か、仲が良くて気を遣うって概念すらとっぱらう関係なのね、そーいうのなんかいいわね。そっか、その距離感はなかなかできないからちょっと浦和ましいわ   (2023/2/25 13:29:34)

結月ゆかり> あー、まぁそんな感じですね。結果的には…ですけど。お陰でその場に居る他の人に心配されたり誤解されたりもありますけれども、関係は良好ですよ、実は。そうでしょうか…？何でも話せるっていうところは気遣わなくていいと思うんですけども、一歩間違えたら疎遠にすらなりかねない感じでしたし、ね
  (2023/2/25 13:32:44)

中野二乃> 互いに距離感が近いと嬉しいのも悲しいのもより強く感じるんだろうなと思うわね、フィルターが薄いから近いゆえにってところはありそうね   (2023/2/25 13:36:41)

中野二乃> そこまで仲がいいのなら簡単に崩れるなんてことはなかなかないと思うけど、こればっかりはなにがきっかけになるかわからないからね   (2023/2/25 13:38:47)

結月ゆかり> そういうのもあるかも知れませんね…まぁ、逆に近過ぎて当たり前に言える言葉を素直に言えなかったり、照れ臭くなったりもするんですけどね！良いことだけじゃないかも知れませんね…。そうそう、喧嘩間近まで行って仲良くなるとかもありますしね…でも、そんな風に考えられる人だけじゃないので難しいところですよ、本当に。だからこそ上手く行ったときは喜びもひとしお…なのかも知れませんが(くす)
  (2023/2/25 13:40:43)

中野二乃> もう、そこまでいくと付き合っているんじゃないかってくらいに思えてくるわね。長年苦楽を共に超えたパートナー感がにじみ出てるような気がするわ。それだけの人なら大事にしないとね……って私に言われるまででもないわね。心配とか不安もあるけどなんか大丈夫そうなきがしてきたわ
  (2023/2/25 13:44:58)

2023年02月24日 03時12分 ～ 2023年02月25日 13時44分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
