/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月01日 20時37分 ～ 2023年03月02日 10時37分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

森久保乃々> ひとりさんを好きにして…？！   (2023/3/1 20:37:11)
花隈千冬> 自称未来人の合法ロリ巨乳で脇出しで彼氏がいなくて、お酒が恋人で毛深い人じゃないですか。   (2023/3/2 08:44:09)

京町セイカ> しれっととんでもない暴露するのやめなさいよ！   (2023/3/2 08:44:34)

琴葉茜> レンちゃんどころか魔女兵器単体でもぜんぶで531件やからな…　じゃ、そゆことでうちはお先に。今日もがんばってなー（のそのそ退室…　　えっ毛深い？　ぎょっとした顔）   (2023/3/2 08:45:04)

おしらせ> 琴葉茜さんが退室しました。  (2023/3/2 08:45:07)

花隈千冬> （ひゅーひゅー）   (2023/3/2 08:45:36)

京町セイカ> ……茜ちゃん絶対察してた…あぁ…   (2023/3/2 08:46:12)

レン> …うん、そんな感じ。頼られたってやっぱり出したいし。(普段はこんなこと言わないけど、まぁ此処で言うぶんにはいいよね。)ぁ、俺もそろそろだな。じゃ、雪崩れちゃうけど…先に出てくよ、またなっ！(腹痛くらいじゃお仕事休めないのが現代人の辛いとこ。お返しは…正面からぎゅー、っと。がんばれ、がんばれ…♡茜の後に続いて、とたたたた。……え？パンダだから毛深くて当然じゃない？って首かしげつつ、退室！)
  (2023/3/2 08:48:05)

おしらせ> レンさんが退室しました。  (2023/3/2 08:48:09)

花隈千冬> あ、お疲れさまです。頑張っていきましょう。   (2023/3/2 08:50:04)

京町セイカ> お疲れ様でした。またねー   (2023/3/2 08:50:42)

花隈千冬> そしたら、私もそろそろ準備してきますね。お疲れさまです。   (2023/3/2 08:52:03)

おしらせ> 花隈千冬さんが退室しました。  (2023/3/2 08:52:08)

京町セイカ> 今日も頑張ってね、ちーちゃん…さて、じゃあ私もいこうかなー   (2023/3/2 08:54:19)

おしらせ> 京町セイカさんが退室しました。  (2023/3/2 08:54:24)

おしらせ> 天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが入室しました♪  (2023/3/2 09:19:48)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> っは。教授の電話で起こされるなんて夢だろ。と思ってたら現実だったわ……やぁぁ〜。   (2023/3/2 09:20:47)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/2 09:55:18)

後藤ひとり> おはようございます……   (2023/3/2 09:55:24)

おしらせ> 無言時間が25分を超えたため、天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが自動退室しました。  (2023/3/2 09:58:00)

おしらせ> 白金燐子さんが入室しました♪  (2023/3/2 10:00:54)

白金燐子> おはようございます（ちらっ）   (2023/3/2 10:01:10)

おしらせ> 小春六花さんが入室しました♪  (2023/3/2 10:01:57)

小春六花> どうもどうもー！　初めましての人おはようござまーすっ！   (2023/3/2 10:02:15)

白金燐子> すごい元気ですね…   (2023/3/2 10:03:03)

おしらせ> 天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが入室しました♪  (2023/3/2 10:04:22)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> うへぁー。落ちてたぁ   (2023/3/2 10:04:38)

小春六花> あ、うるさかった？ごめんね？　そして、そっちはおかえりー？   (2023/3/2 10:05:04)

白金燐子> おはようございます　いえ、友達に似てるなぁとおおっただけなのでうるさいというわけではないです…   (2023/3/2 10:06:04)

白金燐子> おもったとうったつもりだったのになぁ…   (2023/3/2 10:06:56)

後藤ひとり> 私も寝かけてました…   (2023/3/2 10:07:55)

後藤ひとり> あ、は、初めまして……後藤ひとりです……   (2023/3/2 10:08:32)

小春六花> ほえほえ、私みたいな友だちがいるんだー？（ふんふん   (2023/3/2 10:08:56)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 課題に張り付く日々、再来   (2023/3/2 10:09:54)

後藤ひとり> また！？   (2023/3/2 10:10:04)

白金燐子> 白金燐子といいます…　あ、はいあこちゃんっていうんですけど似てるなぁと（はい）   (2023/3/2 10:10:35)

後藤ひとり> よろしくお願いします燐子さん…(ぺこ)   (2023/3/2 10:11:10)

白金燐子> 課題がんばってください…（卒業したからその概念なくなった人）   (2023/3/2 10:11:13)

小春六花> そうなんだぁー！似てると言われるのはちょっとうれしいかも！あ、卒業おめでと！   (2023/3/2 10:11:25)

白金燐子> よろしくお願いしますひとりさん…（ぺこっ）　嬉しいんですか？あ、ありがとうございます…   (2023/3/2 10:12:14)

小春六花> そりゃあ、お友達に似てるってことは仲良くなりやすいってことじゃん？   (2023/3/2 10:13:38)

後藤ひとり> あ、はいぜひ仲良くしてくれると嬉しいです……   (2023/3/2 10:13:45)

白金燐子> そ、それはそうですね…（こくっ）　はい、仲良くしたいです…   (2023/3/2 10:15:21)

後藤ひとり> ですね……燐子さん私と同じくような……雰囲気出し……   (2023/3/2 10:15:44)

小春六花> ふたりともバンドマンだしそらそー…なんじゃない？　   (2023/3/2 10:16:27)

後藤ひとり> あ、そうなんですね……   (2023/3/2 10:18:03)

白金燐子> 別に無理しなくても大丈夫ですよ、こうして話すだけでもいいわけですし…   (2023/3/2 10:18:50)

おしらせ> 青葉モカさんが入室しました♪  (2023/3/2 10:19:38)

青葉モカ> ババババババ(機関銃でひとりを攻撃   (2023/3/2 10:19:53)

おしらせ> 青葉モカさんが退室しました。  (2023/3/2 10:19:55)

後藤ひとり> あ、いえ無理という訳では………(あわあわ)……なんというか……陰キャ同盟に引き込めそうだなって……   (2023/3/2 10:21:19)

小春六花> この子すぐ引き込もうとする……（つんぷに   (2023/3/2 10:21:35)

白金燐子> 陰キャ同盟ですか…たしかにいいかもしれないですね…（すこしゆらいでるようだ）   (2023/3/2 10:22:35)

後藤ひとり> ですよね……なので暗黒のこちら側へ……(えへへ……)   (2023/3/2 10:23:25)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あたしは中立位置に。(いそいそ   (2023/3/2 10:25:07)

小春六花> じゃあ私は陰キャ同盟に……（ぼっちちゃん風立ち絵に切り換え……）   (2023/3/2 10:26:10)

後藤ひとり> ガヴさんも私達よりでは……   (2023/3/2 10:26:26)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ささらちゃん呼ぶぞ(ぢぃ   (2023/3/2 10:26:54)

白金燐子> 暗黒…いいですね…（あと一息かもしれない）   (2023/3/2 10:27:57)

小春六花> どういうことなの……。それはどういう脅しなの……   (2023/3/2 10:28:06)

後藤ひとり> 誰！？   (2023/3/2 10:28:23)

後藤ひとり> はい……という訳なのでぜひこちらへ……いつでも待ってますよ……(じい)   (2023/3/2 10:28:45)

白金燐子> さとうさららちゃん…   (2023/3/2 10:28:54)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> カオスな場にしちゃうぞ☆ってこと   (2023/3/2 10:28:59)

白金燐子> じゃあ、入ろうと思います…（ゆらゆら）   (2023/3/2 10:29:34)

小春六花> えぇ……わたし突っ込まなきゃダメな奴じゃん……。   (2023/3/2 10:29:36)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 突っ込まなきゃ行けないねぇ〜   (2023/3/2 10:29:56)

後藤ひとり> 良かった………(ぴとっ)   (2023/3/2 10:30:32)

後藤ひとり> 突っ込むとは！？   (2023/3/2 10:30:39)

白金燐子> いいものですねぇ…（ふにゅあ）   (2023/3/2 10:31:10)

白金燐子> （いおうとしたけどやめよう）   (2023/3/2 10:31:47)

小春六花> （燐子さんぢいぃ）   (2023/3/2 10:32:00)

後藤ひとり> あ、そういえばバンド仲間でもあったんですね……(ふと思い出して)   (2023/3/2 10:32:17)

白金燐子> ど、どうしました？（じー）   (2023/3/2 10:32:21)

白金燐子> あ、はいロゼリアでキーボードをしてます…（はい）   (2023/3/2 10:32:59)

小春六花> 何か言おうとしたこと、いっちゃいなよ……（ね？）   (2023/3/2 10:33:33)

小春六花> 私も陰になっとくのー！燐子さんとなかよくなるのぉー！   (2023/3/2 10:33:54)

後藤ひとり> キーボードですか………私のバンドでは無いんですよね……ギターとギターボーカルとベースとドラムだけです……(こくん)ていうかRoseliaって……確かだいぶ有名なような……すごい……   (2023/3/2 10:34:32)

白金燐子> 何もいおうとしてないですよ…（めそらし）   (2023/3/2 10:34:42)

白金燐子> あ、はいしってます。動画も見たので（うまかったですと）有名といわれたらまー有名です…   (2023/3/2 10:35:50)

小春六花> だいぶ有名だよね……   (2023/3/2 10:36:37)

後藤ひとり> あ、ありがとうございます……私達なんてまだまだ……です…(へへへ…)偉大なる大先輩でした……   (2023/3/2 10:37:10)

2023年03月01日 20時37分 ～ 2023年03月02日 10時37分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
