/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月20日 20時13分 ～ 2023年03月21日 18時20分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

朝倉可憐> だいたい女の子だから大丈夫かな…そしたら…。   (2023/3/20 20:13:58)
おしらせ> 倉田ましろさんが入室しました♪  (2023/3/21 10:18:11)

倉田ましろ> はふっ、こんにちは…（ふわぁ）   (2023/3/21 10:18:32)

おしらせ> 堂領姫子さんが入室しました♪  (2023/3/21 10:37:40)

堂領姫子> こんにちは   (2023/3/21 10:37:59)

倉田ましろ> こんにちは   (2023/3/21 10:38:11)

堂領姫子> はじめまして、堂領姫子です。貴女の事はみちほから聞いていますよ   (2023/3/21 10:39:21)

倉田ましろ> 倉田ましろです。あ、そうなんですね。   (2023/3/21 10:40:27)

堂領姫子> ましろさんですね、改めてよろしくお願いします。ええ、そうです。みちほは友達ですので   (2023/3/21 10:43:26)

倉田ましろ> はい、よろしくおねがいします。ふむ、なるほど友達ですか（ふむっ）   (2023/3/21 10:47:21)

堂領姫子> ええ、みちほ共々よろしくお願いしますね、ましろさん。みちほとは一緒に生徒会もしてるんですよ   (2023/3/21 10:50:07)

倉田ましろ> はい、わかりました。生徒会をすごいですね。   (2023/3/21 10:53:05)

堂領姫子> ありがとうございます。突然抜擢された形なので最初は戸惑いましたけどね(汗)今はみちほと一緒に頑張っています   (2023/3/21 10:56:24)

倉田ましろ> どういたしまして。ふむなるほどでもできるだけですごいと思います。   (2023/3/21 10:57:12)

堂領姫子> ありがとうございます、ましろさん。……ましろさんも一緒に生徒会どうですか？なーんて   (2023/3/21 10:58:52)

倉田ましろ> 私は生徒会には向いてない人間なので、どっちかっていうとつくしちゃんとかがその系統なので、はい。   (2023/3/21 10:59:46)

堂領姫子> 残念ですね、まあ無理に誘うのもあれですし。つんつん   (2023/3/21 11:00:45)

倉田ましろ> 私がまとめる側は無理なのでね。どうしました？   (2023/3/21 11:03:46)

堂領姫子> なら仕方ないですね、よろしければまた遊びにでも来てください。…いえ、なんとなくつんつんしたくなりましたので   (2023/3/21 11:04:38)

倉田ましろ> 遊びにいけたらですかね。可愛い理由だったなぁ   (2023/3/21 11:05:21)

堂領姫子> バンドでお忙しいでしょうから、気が向いたらでいいめすよ。…可愛い理由？   (2023/3/21 11:07:19)

倉田ましろ> そんなに忙しいことはないですよ、呼ばれたらいくだけなので。こちらのことなのでおきになさらず   (2023/3/21 11:09:51)

堂領姫子> なるほど、そういう感じでの参加ですか。……そうですか？わかりました。それにしても、なんとなくみちほに雰囲気似てますね。つんつん   (2023/3/21 11:17:01)

倉田ましろ> そうですよ、だからゆっくりしてるわけです。そうですよ？似てますか？私にはわからないことですが。   (2023/3/21 11:19:23)

堂領姫子> なるほど…だからゆったりしてるんですね。…ふふ、そうですね。髪型や髪色が似ていますね。（そっと隣に座ろうとして）   (2023/3/21 11:26:57)

倉田ましろ> そうですねぇ、今日の出演は違うところなので。そうなんですね、とそろそろ行く時間だからすいませんがこれにてお疲れ様でした（ぺこっと頭を下げてそのままで定期）   (2023/3/21 11:28:09)

おしらせ> 倉田ましろさんが退室しました。  (2023/3/21 11:28:11)

堂領姫子> お疲れ様です   (2023/3/21 11:33:33)

堂領姫子> ごめんなさい、ましろさん。急に背後がバタバタして返事遅れてしまいました。…またよろしくお願いしますね   (2023/3/21 11:34:17)

おしらせ> 堂領姫子さんが退室しました。  (2023/3/21 11:34:26)

おしらせ> 倉田ましろさんが入室しました♪  (2023/3/21 16:33:58)

倉田ましろ> こんにちは…（はふっ）   (2023/3/21 16:34:19)

おしらせ> クレーさんが入室しました♪  (2023/3/21 17:31:17)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/21 17:32:00)

後藤ひとり> ウトウト……   (2023/3/21 17:32:08)

クレー> こんにちはー♪(とびらをがちゃり…と開けてクレー参上～！)…お用事終わって遊びに来たのー！   (2023/3/21 17:32:15)

後藤ひとり> あ、お疲れ様でした……ごゆっくり休んでくださいね   (2023/3/21 17:32:43)

クレー> ひとりお姉ちゃん朝ぶり～♪   (2023/3/21 17:32:56)

倉田ましろ> こんにちは   (2023/3/21 17:33:01)

後藤ひとり> 2人ともこんにちはです…   (2023/3/21 17:33:19)

クレー> はじめまして！クレーだよ♪よろしくね白髪のお姉ちゃん♪   (2023/3/21 17:34:52)

倉田ましろ> ひとりさんはねむそう？   (2023/3/21 17:35:12)

後藤ひとり> さっき起きました……   (2023/3/21 17:35:29)

倉田ましろ> 倉田ましろです…よろしくねっ   (2023/3/21 17:35:55)

クレー> ありゃま、おはよう～！>ひとりお姉ちゃん   (2023/3/21 17:36:01)

倉田ましろ> おきたばかだった   (2023/3/21 17:36:09)

クレー> ましろお姉ちゃんは歌ったり演奏するひと？(きょと)   (2023/3/21 17:39:40)

後藤ひとり> 寝起きですね……(こくん)   (2023/3/21 17:40:24)

倉田ましろ> 歌うほうですね…下手だけど…   (2023/3/21 17:40:39)

倉田ましろ> 寝起きはつらいよね（よしよし）   (2023/3/21 17:40:59)

クレー> そうなの？歌える人はカッコイイってクレーは思うよ♪(にっこり)   (2023/3/21 17:42:31)

倉田ましろ> そうだよ…？そっかありがとう（にこっ）   (2023/3/21 17:43:12)

後藤ひとり> いや、だ、大丈夫です……(には)   (2023/3/21 17:43:28)

後藤ひとり> (にへ)   (2023/3/21 17:43:32)

倉田ましろ> 本当に大丈夫…？（ぷにぷに）   (2023/3/21 17:44:13)

後藤ひとり> 大丈夫ですよ……(ぎゅ)   (2023/3/21 17:45:27)

クレー> ひとりお姉ちゃんおーきーてー(クレーもひとりお姉ちゃんのほっぺをむにむーに…♪)   (2023/3/21 17:47:47)

倉田ましろ> 大丈夫ならいいんだけど…（よしよし）   (2023/3/21 17:48:13)

後藤ひとり> もう起きてますかはだ、大丈夫ですよ……///(むにむにされたりよしよしされたり照れて)   (2023/3/21 17:49:07)

倉田ましろ> すやぁってねないようにね？（ぷにぷに）   (2023/3/21 17:52:44)

クレー> ひとりお姉ちゃん起きたって♪(ましろお姉ちゃんに笑顔をむけて…一応、クレー鬼じゃないからね！)…って、クレーは逆にお用事でつかれちゃったからのんびりなの…はふー   (2023/3/21 17:53:20)

後藤ひとり> もう眠気はないですからね……クレーちゃんこそゆっくり休んでください……   (2023/3/21 17:54:19)

クレー> ありがとうひとりお姉ちゃん…！帰ったらご飯食べておやすみするよ(こくこく)   (2023/3/21 17:58:53)

後藤ひとり> ならよかったです……お腹空いた…   (2023/3/21 17:59:22)

倉田ましろ> おなかすいた…   (2023/3/21 18:00:57)

クレー> もう夜ごはんの時間だもんね～(時計を見たらいい時間でお外も暗くなって)…クレーの夜ごはん何かなぁ(うーん)   (2023/3/21 18:01:48)

後藤ひとり> 私はスパゲティを食べます……   (2023/3/21 18:02:29)

倉田ましろ> 私はご飯となにか…をたべる…   (2023/3/21 18:04:31)

クレー> クレーもご飯と何かかな…！   (2023/3/21 18:06:47)

クレー> スパゲティもいいね♪うんうん   (2023/3/21 18:07:48)

後藤ひとり> ご飯もいいですよね………シンプルで   (2023/3/21 18:09:15)

クレー> ごはんものといえば、オムライス最近たべてないからオムライスもいいなーって昨日思った   (2023/3/21 18:12:56)

クレー> 食べる予定いまのところないけどね(昨日は炒飯！)   (2023/3/21 18:13:26)

後藤ひとり> 炒飯もいいですね……中華もので……昨日はとんかつ食べました……   (2023/3/21 18:15:21)

クレー> とんかつもいいね♪   (2023/3/21 18:16:46)

倉田ましろ> 昨日は…やきとりとたきこみごはんといろいろだった…   (2023/3/21 18:17:46)

後藤ひとり> 揚げ物食べすぎると苦しいですが……焼き鳥も好きです……   (2023/3/21 18:19:10)

クレー> やきとりもいいねー♪(こくこく)、やきとりはクレーも好き♡唯一苦手なのがレバーだけど…   (2023/3/21 18:19:36)

後藤ひとり> チキンならファミチキとか唐揚げとか…骨ありは苦手ですね   (2023/3/21 18:20:42)

2023年03月20日 20時13分 ～ 2023年03月21日 18時20分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
