/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年01月22日 16時02分 ～ 2023年01月23日 22時49分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クレー> クレー栄養ドリンク飲めないや…。   (2023/1/22 16:02:46)
胡桃> ──っは、ふ…♡、ん…んぅ♡(重ねた唇をゆっくり離してから、両手で支えるようにぎゅ…♡と、強い腕同士でピッタリ密着しちゃって…)　ん、ふふ…♡シてきた、っていうのが…私から見た場合の感想…だけど…♡(全然嫌じゃなかった…♡なんて、小さく呟いてから、とろんとした愛らしい顔、頬に指を添えてなで、なで♡身を寄せてくる彼女をしっかり片腕で支えたまま、顔を寄せて…ぽそり♡)…まだ、時間…大丈夫、なの？そういえば…。大丈夫なら…人目のつかないとこ、いこっか…♡なんて…♪
  (2023/1/23 10:57:42)

甘雨> 私は最近出番とかなかったですし、なんだかもう、日向で日向ぼっこしているおばあちゃんの気分で――（えへへへ♡そんな中今回の海灯祭で出番いただけたのは行幸！！だったのですけれど）…ん…っ♡（ちょっと敏感になってる先端、つんってされて、ひくんっ♡）――今でも先生は、ヒナさんの頭皮嗅いだり、イオリさんの足を舐めたり、あまり変わってない気もしますけど…（くすくす。割とオープンに変態行為するのも好き。）――ん……♡（ほっぺにあてられた手に、すり…♡って頬すりよせて）……ぁ、えっと、そろそろ、午前中の後始末してこようかと、思ってましたけれど――え、ええと……じゃあ、その、少し、だけ………？（折角お会い出来ましたし。少し名残惜しいのもあり。…お返事するように、ぎゅ♡）
  (2023/1/23 11:00:55)

胡桃> …確かに。ちょっとだけ羨まｓ…げふんげふんっ。(がは、ごほっ。オープン変態行為にちょっとだけ、ほんのちょっとだけだよっ。憧れくらいはあるしっ)……と、色々蹴っちゃうけど、お部屋、立てたよ。まぁ、そんなに手のこんだことはしないし…ね？いこっか♡(お返事を受け取って安堵したように、にこり♡…片手を取ってから先導するように、こっちだよ♡って)
  (2023/1/23 11:04:22)

甘雨> 不思議な魅力がありますよね。…普通傍にいたら、ただの不審者なんですけれど――（先生はこうオーラがあるというか。ついつい色々許しちゃいそうな…？ふふふ♡）……ぁ、はい、ちょっとだけ、です――♡（自分に言い聞かせるようにつぶやきながら。こくん、って頷いて…手を引かれるように、一緒になって）（ててててー）
  (2023/1/23 11:06:47)

おしらせ> 甘雨さんが退室しました。  (2023/1/23 11:07:01)

おしらせ> 胡桃さんが退室しました。  (2023/1/23 11:07:07)

おしらせ> クレーさんが入室しました♪  (2023/1/23 11:46:19)

クレー> こんにちは～…♪…ってはにゃ…！なんか元素力の強い跡を感じたのっ…！(びくっ)   (2023/1/23 11:47:34)

クレー> 海灯祭……ふふん♪実はクレーも遊びに行ったんだよ！(海灯祭PV…！良かった♡)…西風騎士団のみんなで遊びに行って…アルベドお兄ちゃんと一緒に歩いてたら…七七ちゃんと出会って…♡そしたら、意気投合しちゃって、クレー七七ちゃんの手をつないでたったったー♡と一緒に海灯祭見て回っちゃったの…♪おっきい鶴さんとかキラキラしててすごかったね♡花火も2人で見たの…！
  (2023/1/23 11:53:32)

クレー> まあ、クレーは絶賛海灯祭攻略中なんだけどね…あはは。よし、じゃあまた後で！   (2023/1/23 11:55:00)

おしらせ> クレーさんが退室しました。  (2023/1/23 11:55:42)

おしらせ> 小春六花さんが入室しました♪  (2023/1/23 18:00:15)

小春六花> 仕事から解放されたもの、りっか。（7）　   (2023/1/23 18:01:11)

小春六花> 冬はなんとも嫌いだなぁ……千冬ちゃんは大好きだけど……   (2023/1/23 18:11:03)

おしらせ> 桜衣乃さんが入室しました♪  (2023/1/23 18:34:19)

桜衣乃> あ、六花ちゃん今日はお早いですね〜♪こんばんは〜♡   (2023/1/23 18:34:42)

小春六花> 出勤になると電車の中暇だしねー……（おててふりふり）   (2023/1/23 18:39:23)

桜衣乃> あ〜、まだ帰り道でしたか〜？お疲れ様です〜♪（おててふりふり……走ってる電車の中に…？）   (2023/1/23 18:41:55)

小春六花> まぁそういう感じ？電車に揺られてがたんごとんとねー？（はふー。）   (2023/1/23 18:42:34)

桜衣乃> 道中気をつけて帰ってくださいね〜♪　……まぁ私も電車の中なのですが……   (2023/1/23 18:43:18)

小春六花> そんなもんだよねぇ……この時間だし。   (2023/1/23 18:45:34)

桜衣乃> みなさんこれからお帰りの時間ですね〜。　とりあえず、月曜日お疲れ様でした…♪私はちょっと野暮用がありまして、ゆっくりお話をしようと思ったらもう少しかかるので……一緒にがたんごとん揺られてますね〜   (2023/1/23 18:46:55)

小春六花> そー？私ももうしばらく揺られてるけど……。野暮用ねぇ……ウリとか買いみたいな。   (2023/1/23 18:48:20)

桜衣乃> えーっと……どちらかというと、ネズミ荘の仲間が例のころころに……なので……   (2023/1/23 18:50:09)

小春六花> どこもかしこも掛かってらっしゃる。   (2023/1/23 18:50:50)

桜衣乃> ………なので、これから数日学校に来るな〜って……お達しでちゃいました……   (2023/1/23 18:51:15)

小春六花> 良くも悪くも籠もってえっちできるじゃん？平日出しリモートとかもありそうだけど。   (2023/1/23 18:51:52)

桜衣乃> リモート受業は東小金井ではやってないので……まぁ、良くも悪くもその通り、ですね……。図らずも……   (2023/1/23 18:52:36)

小春六花> じゃあ今日は籠もるための準備みたいな？   (2023/1/23 18:53:04)

桜衣乃> うーん……なんて言えばいいのか……どちらかというと、介護……？   (2023/1/23 18:53:43)

小春六花> うーん。最低限にしときなよ？   (2023/1/23 18:54:03)

桜衣乃> ……さらに、私以外、全滅してるみたいなので……   (2023/1/23 18:54:40)

小春六花> 可哀想だからってそばにいたりしたらだめだよ。   (2023/1/23 18:54:44)

小春六花> ご飯はドアの前に置く、食べ終わった食器はすぐに消毒してから洗う、誰かがトイレに行ったらマスクをつけてすぐに消毒して換気。   (2023/1/23 18:55:29)

桜衣乃> その辺は大丈夫、かと…？とりあえず、買い出しがありますので……。はい、なんの因果かその対策ができてしまっていますので……ちょっとそのご用事で、買い出しに……   (2023/1/23 18:56:21)

桜衣乃> ……実際身内がかかると、こんなにも焦るものなんですね……   (2023/1/23 18:56:54)

小春六花> なるほどなぁー……一番控えるべきは自分がかかることだから、そこだけ気をつけてねー。   (2023/1/23 18:58:10)

桜衣乃> はーい……気をつけます、ね。   (2023/1/23 18:58:41)

小春六花> すっごいしょんぼりしてる！   (2023/1/23 18:58:54)

桜衣乃> ……私だって、しょんぼりすることくらい……ありますよ？   (2023/1/23 19:01:42)

小春六花> まぁー、家族が罹って心配になるのはわかるけどー。いいことにも目を向けつつ、あんまり気負ってるとへばっちゃうよぅ？   (2023/1/23 19:03:59)

桜衣乃> はい、わかってます…♪…とりあえず今週は大人しく、私もお部屋に籠もろうと思いますから……いつもは会えない人達に会えるかもしれないことに期待しつつ、六花ちゃんのおかえりをお待ちしたりしてますね♪   (2023/1/23 19:11:22)

小春六花> そうなー。それがいいと私も思うよー。今日とかお昼もそれなりに盛況っぽさあったし。　いい人見つけて耽ってこ。   (2023/1/23 19:13:03)

桜衣乃> はーい♡　…さて、ちょっとだけ落ち着いた感じなので、改めてお部屋に入りますね〜……と。（電車→お部屋にin！）   (2023/1/23 19:16:41)

小春六花> ほいほーい。いってらー？   (2023/1/23 19:17:08)

桜衣乃> むしろ……ただいま、という感じで……。   (2023/1/23 19:19:56)

小春六花> ほいほい、そしたらおかえり。（きりかえがはやいこはる）   (2023/1/23 19:25:11)

桜衣乃> えへへ……そしたら、ちょっとだけ朝したご相談の件ですが、今大丈夫ですか…？   (2023/1/23 19:27:46)

小春六花> あ、はーい。だいじょぶだよー？   (2023/1/23 19:27:58)

桜衣乃> では、待ち合わせにご用意しましたので……お願いします〜   (2023/1/23 19:28:45)

小春六花> はぁーい。いこいこー。   (2023/1/23 19:28:54)

桜衣乃> 【では、こちらは失礼して…】   (2023/1/23 19:29:30)

おしらせ> 桜衣乃さんが退室しました。  (2023/1/23 19:29:34)

おしらせ> 小春六花さんが退室しました。  (2023/1/23 19:29:35)

おしらせ> ユフィリア・マゼンタさんが入室しました♪  (2023/1/23 21:56:32)

ユフィリア・マゼンタ> お邪魔します。今日はとても冷え込みますね…？皆さん暖かくしているといいのですが…   (2023/1/23 21:57:12)

おしらせ> 桜衣乃さんが入室しました♪  (2023/1/23 22:11:46)

桜衣乃> もどりましたー。（奥のお部屋からがちゃり…）…おや、こんばんは〜♪こんな夜分にいらっしゃいませ〜♡   (2023/1/23 22:13:07)

ユフィリア・マゼンタ> お返事が遅くなって申し訳ありません。こんばんは…。貴方は…何やら楽しんできた直後のようですね…？   (2023/1/23 22:16:56)

桜衣乃> 大丈夫ですよ〜♪いえいえ、ちょっと奥ではお話をしてただけなので……。　はじめまして、私は桜衣乃、16歳！グループアイドル「フルーツタルト」でアイドルやってます♪よろしくお願いしますねっ♪   (2023/1/23 22:20:23)

ユフィリア・マゼンタ> 衣乃ですね。よろしくお願いします。わたしはユフィリア・マゼンタと申します。マゼンタ家の令嬢ではありますが、ここではただの1人の訪問者として扱っていただけたら光栄です。   (2023/1/23 22:22:47)

桜衣乃> ご令嬢さん…！どおりで、凛としてらっしゃると思いました……（失敬ながら、頭の天辺から足元までじーっと眺めまして…）ユフィリアちゃん、ですね♪もちろん、ここでは対等な関係でお友達になっていただければ幸いです…♡   (2023/1/23
22:26:26)

ユフィリア・マゼンタ> ふふ、ありがとう。そこまで特別なことはありませんがね？（見つめられてはくすり、と柔らかい笑みを浮かべ。）そう言って貰えて良かった、これからもっと仲が良くなれたらいいですね？   (2023/1/23 22:28:44)

桜衣乃> はいっ、いっぱいお話とか、遊んでいただけると嬉しいです♪さしあたってはユフィリアちゃんの好みのお話のジャンルや、苦手なものを先に聞いておきたいですね〜。（ひとまず温かいお茶をご用意して、ユフィリアちゃんに差し出します…♪）   (2023/1/23
22:33:59)

ユフィリア・マゼンタ> 好みのジャンル、ですか…そう、ですね？少しだけメタいお話にはなりますが、蜜事やそれに準ずるお話には私自体として参加はしずらいので恥じらいが多くはなりますが、嫌いでは無いですよ…？苦手なもので言えば…背後さんがやっているげーむ、などのお話で盛り上がっているところには入りづらいですね。自身の作品やそこにいる誰かの作品についてなら、全然歓迎ではありますがね…？（ふむ…改めて聞かれると少し考え込んでから答え…。暖かいお茶をだして頂けると小さく会釈をしてから受け取り…）
  (2023/1/23 22:38:05)

桜衣乃> ふむふむ〜、あー……やっぱりそういうお話がしたくて…ってわけじゃない人がいるのもわかりますから、そのときは自分にあったお話のお部屋に入ってくださいね。　…ふふ〜ん、嫌いじゃない、ってことは…そっちのほうが好きなんですね…♡いきなりそんなお話を持ち出すほど私も節操なしではありませんが、そんなお話でも密かに盛り上がっちゃいましょうね…♡（口元に手を縦に当てて、こしょこしょ…♡）　普段は雑談に華を咲かせてもいいお部屋ですし、ユフィリアちゃんのところのお話をしてくださってもいいですからね♪あ、私はNGなしですよ〜♪（私も一緒にお茶をいただきます♪）
  (2023/1/23 22:44:58)

ユフィリア・マゼンタ> そういうことに、なりますね？（目を逸らし）えぇ、その話はまた後々でいいのかと…雑談、あまり他人と親しく話をするのが得意では無いので、上手くできるか若干の不安はありますがね…？NGなし、心が広いのですね？（くす。）  
(2023/1/23 22:49:14)

2023年01月22日 16時02分 ～ 2023年01月23日 22時49分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
