/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月04日 07時46分 ～ 2022年12月06日 13時35分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> 雷電将軍さんが入室しました♪  (2022/12/4 07:46:39)
フィー> ふぃーはFFやDQみたいなのやってないので…。   (2022/12/6 12:29:57)

雷電将軍> 私もあまりRPG…なのですかね、そういうのはそこまでです。どちらかといえばアクション？(撫でながら抱きつくことによって効率よく元気をもらえるのだ(?)   (2022/12/6 12:31:07)

小春六花> でもフィーちゃんはお家に帰ってきたら私の性処理をするって役目があるのに無視してるから……（？）やっぱりゆーすてらってぽんこつだな……（最低な風評）   (2022/12/6 12:34:57)

小春六花> いうて、FF14は……うん、アクションと言うか、覚えゲーというか……。覚えゲーのたぐいなのかな。初見はアクション。   (2022/12/6 12:35:46)

雷電将軍> 性処理だなんて…なんて大胆な(わぁわあ、そういう関係性？って感じの目)それだと初見以降はノットアクションってことになりませんか！？   (2022/12/6 12:37:14)

小春六花> カリカチュアだからね……フィーちゃん。んー…なんだろう……アクションじゃないんだよね。相手の攻撃はほぼ必ず同じ順番だし。　ただ、避け方とか動き方が確立されるまでは精密に瞬間の判断が求められる的な。   (2022/12/6 12:39:10)

小春六花> いや、覚えても高難易度だと常に精密な動作を求められるんですけどね！   (2022/12/6 12:39:29)

雷電将軍> そうやって聞くと中々に難易度が高そうな作品ですね……覚えゲーと言われても納得ですが…。   (2022/12/6 12:44:53)

フィー> 六花さんの精処理するのは全然かまわないですよ？（くすっ   (2022/12/6 12:45:19)

小春六花> 例えば、こう……4:4で分かれて分散ダメージ受けたあと更に二人一組になって爆弾を処理したりだとか   (2022/12/6 12:46:59)

雷電将軍> まさかの意外と乗り気だった……。   (2022/12/6 12:47:02)

フィー> 雷電将軍さんも興味があるようでしたら…？   (2022/12/6 12:47:20)

小春六花> 電ちゃんは責められるのが好きみたいなのでフィーちゃんの独壇場ですね。   (2022/12/6 12:47:45)

雷電将軍> チームワークが求められるゲーム…ですかね？ちょっと私手が震えますよ(弱メンタル)   (2022/12/6 12:48:19)

雷電将軍> 待ってください何サラッと言ってるんですか！？   (2022/12/6 12:48:45)

小春六花> 高難易度が大縄跳びと呼ばれる所以ですね。（遠い目）   (2022/12/6 12:48:48)

フィー> なるほど？（じぃ   (2022/12/6 12:49:58)

雷電将軍> あー、考えただけで胃が痛くなりますね、他の人に迷惑かけたくないので延々と1匹狼したくなります(うぇえ)   (2022/12/6 12:50:29)

雷電将軍> 否定はしないというか、嫌いじゃないというか…(目逸らし目逸らし)   (2022/12/6 12:51:10)

フィー> じゃあ、今度襲ってあげますね♡   (2022/12/6 12:51:46)

小春六花> 怖くないよ！（   (2022/12/6 12:52:35)

雷電将軍> お、お手柔らかに…(?)   (2022/12/6 12:53:52)

小春六花> まぁ高難易度いかない選択もあるしねー。（うんうん   (2022/12/6 12:54:07)

小春六花> まぁ、どっちにしてもおつかいおわってからですなぁ…フィーちゃんの。   (2022/12/6 12:55:54)

雷電将軍> ゆるゆる難易度で徐々に慣れて‥といった感じに場数を踏んでいきたいですね(うんうん)   (2022/12/6 12:56:06)

雷電将軍> もうそろそろお出かけの時間帯ですね、気をつけて…。   (2022/12/6 12:56:20)

フィー> いってまいりまーす   (2022/12/6 13:02:08)

おしらせ> フィーさんが退室しました。  (2022/12/6 13:02:11)

雷電将軍> いってらっしゃい！   (2022/12/6 13:02:23)

小春六花> いってらー   (2022/12/6 13:02:39)

雷電将軍> もう午後ですね、時間の流れが早くて嫌になってしまいます…(ソファにごろ寝)   (2022/12/6 13:04:24)

小春六花> 今日はお昼寝でもしてますー？   (2022/12/6 13:07:12)

おしらせ> 八重神子 ◆zj4nGVXxckさんが入室しました♪  (2022/12/6 13:08:12)

小春六花> あ、噂をほんのりしたら。   (2022/12/6 13:08:25)

雷電将軍> どうしましょうか…悩みどころですね…(うーぬ)   (2022/12/6 13:08:30)

八重神子 ◆> 覗きにきたら4:4頭割りの文字が見えて入ってきてしもぅた   (2022/12/6 13:08:37)

雷電将軍> おや、神子じゃないですか(ひらひら)   (2022/12/6 13:08:49)

小春六花> 頭割りから更に所定の位置に散開はよくやるよね（？）   (2022/12/6 13:09:14)

八重神子 ◆> よくやるのぅ……（影に手ひらひら）4:4頭割りから集合エラプ捨て8方向散開は毎回やっておる気がする   (2022/12/6 13:10:09)

雷電将軍> 久しぶりな気がしましたが…気のせいですかね(ﾜｶﾗﾅｲ)   (2022/12/6 13:10:19)

八重神子 ◆> 昨日は久々の休みで惰眠を貪っておったからのぅ....   (2022/12/6 13:10:45)

小春六花> ……むーたんでもやってたなぁ……それ。   (2022/12/6 13:11:23)

雷電将軍> スーパーブラックみたいですからね、そんな休みを取ってもバチは当たりませんよむしろ私が許します(どやっ)   (2022/12/6 13:11:42)

八重神子 ◆> がぶがぶは悪い文明……今日は幸い遅番じゃからな、さっきまでずっと毛布に包まっておった   (2022/12/6 13:12:40)

小春六花> このあとしごとってことじゃん……。   (2022/12/6 13:14:12)

小春六花> 何も幸いじゃねぇ…！　   (2022/12/6 13:14:22)

雷電将軍> 今日は私がフリーダムな日でしたので…ここでゆったりしてます、というかこのあと労働なのおかしくないですか？？(真顔)   (2022/12/6 13:14:36)

八重神子 ◆> しかも明日は早番....じゃが木曜は休みじゃからな（呼び出されそうな予感の顔）まぁ夕方からなのはもう慣れてしもうた   (2022/12/6 13:17:26)

雷電将軍> 休みなのに呼び出されるのもおかしくないですかね…(ｷﾞｩ、と服の裾を掴んで)   (2022/12/6 13:18:41)

小春六花> これが、ゆりって……こと……！？（きゃー   (2022/12/6 13:19:28)

八重神子 ◆> これも全ては3.3のガチャに注ぎ込むためじゃ.....というのは半分冗談じゃが、まぁまだ休みがあっただけマシじゃな   (2022/12/6 13:20:25)

雷電将軍> あなたも…その、百合でしょう？(ドン！)   (2022/12/6 13:20:35)

雷電将軍> 神子がどんどんブラック企業の思考に染まってる気がして困るんですが…取り敢えず今だけでもゆっくりしてください？(膝トントンして膝枕もあるよ！みたいな顔)   (2022/12/6 13:21:35)

小春六花> 幼馴染百合的なえもいえろの波動を感じた（こなみかん）そんな二人の気持ちを私に向けさせてねとりゆりはーれむものにしたい。（冷静な感情   (2022/12/6 13:22:01)

八重神子 ◆> 大丈夫じゃ……社も八重堂もしっかり回しておるからのぅ……（影の膝に顔埋め）なんじゃ、お主も混じりたいのなら影の胸は空いておるぞ   (2022/12/6 13:24:11)

雷電将軍> 神子は眷属兼親友ですからね、自慢の(ピース！)ねとりゆりはーれむ…なるほど崇高な野望が六花にはあると…(ほほぅ?)   (2022/12/6 13:24:43)

雷電将軍> 多忙でそのうち死にませんか？流石の私も見過ごすわけにはいきませんよそんな案件…(頭なでなで、「いつもお疲れ様です」と)   (2022/12/6 13:25:43)

小春六花> 八重さんの乳は！？　ほうほう……なんかよくわからないけどてえてえ関係。なるほど。   (2022/12/6 13:25:47)

雷電将軍> 神子の胸触ろうものなら痛い目合いそうですが…(ごにょごにょ)膝枕は神子が使ってますが…六花もそばへ来ますか？(ソファの空きスペース指差し)   (2022/12/6 13:27:33)

八重神子 ◆> その眷属兼親友を引きこもって放っておいたのは誰やら（頭を上向けジト目じとーって）仙狐がそうそう簡単に死ぬわけないじゃろう？（六花に向けて胸を指差しーの）   (2022/12/6 13:28:06)

小春六花> 結局、八重さんの乳はなんで駄目なんだろう……（とりあえず開いてるって話の電ちゃんの隣りに座ってお乳をにぎー…っと）   (2022/12/6 13:29:46)

雷電将軍> …それは、その…そういう時もあります…(ジト目されれば視線を逸らしてすっとぼけ)私もそうは思っていませんが心配なんですよ？   (2022/12/6 13:31:47)

八重神子 ◆> ダメ、というか……さすがに仕事の前にスイッチが入ったら困るじゃろ？休みの日ならいくらでも相手はしてやれるんじゃがな（影のふとももに顔擦りーの）   (2022/12/6 13:31:48)

小春六花> えー…スイッチ入れて仕事させるのって興奮す……（げふんげふん）その休みの日が一生なさそうでみんな不安なんよ。   (2022/12/6 13:32:32)

雷電将軍> 六花はなんで私の胸を触るんですか！？(顔赤くしてはイタズラしてきた手に軽めのチョップ)…あと六花には同意ですその休み絶対来ないですよね？？？   (2022/12/6 13:32:56)

八重神子 ◆> 昨日は休みじゃったぞ？丸一日寝ておったがな（後頭部をふとももに乗せて下から影の乳を指でつんつん）   (2022/12/6 13:33:26)

小春六花> え、八重さんが許可くれたし……？（チョップされたら、だめ？って上目でウルウル）　寝ちゃってたならしかたないんだけどさぁ！   (2022/12/6 13:34:30)

雷電将軍> 昨日は私が仕事でした！から！…お互いこうやってゆっくり出来ないのが悲しいですよ…(しょんぼり顔してたけど神子からも触られれば咳払いを3回ほど)   (2022/12/6 13:35:10)

2022年12月04日 07時46分 ～ 2022年12月06日 13時35分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
