/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年07月14日 12時57分 ～ 2023年07月17日 00時35分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

銀狼> オッケー、ピロートークとか、お酒でセイカの心が緩んだ時ね。（らーさ。楽しそうに敬礼しつつ）―――さ、て、と。人と逢う事もできたし、まったりダベる事も出来たし。…私はそろそろお昼ご飯にしようかな。…おなかすいた。（あと土日の仕事に備えて買い物とかもしてこなきゃ。…雨、降ってこないといいなーって、ちらっと窓の外見やりつつ）
  (2023/7/14 12:57:25)

銀狼> こわっ（びくっ！８本！それもう触手では…！？）   (2023/7/14 12:58:26)
東北ずん子> 結構エッチしてるとおもったんですが♥そうでもなかったですね♥きくりさんと、セイカさんはそういうなかだとおもったのに♥(きくりちゃんの突起の部分……きゅ…ちいさく下着の上からうねるようにして♥……そのままわれめ、くちゅ、くちゅ♥せいかちゃんにも聞こえるように♥下着の上からでも水音響くように、上下にずり、ずり♥なぞり…いじって♥)
  (2023/7/16 22:13:28)

京町セイカ> うん、私も大好き♡(なんて言いつつもう一度ずん子ちゃんと唇を重ねて…)   (2023/7/16 22:15:42)

廣井きくり
◆> だって、まだ会ってそんなに経ってないし…//んぅうぅぅ♡♡そこぉっ♡だめっ♡♡ほんとにだめぇぇ♡♡（下着越しにクリトリスを拗られると前屈みになって腰をガクガクさせて♡）んっ♡んぁぅぅっ♡だめぇ♡♡んんっ♡もう…イッちゃうぅっ♡♡（くちゅっ…♡くちゅっ…♡恋人の前で水音を聞かされながら責め続けられる屈辱的なシチュエーションなのに体は今までにないくらい興奮しちゃって♡撫でられてる下着の一部をビショビショにしながら、もう限界が近いことを知らせるように割れ目をぶるるっ♡て震わせて）
  (2023/7/16 22:23:39)

廣井きくり ◆> ……ぁっ…//……っ///（これは浮気症な私への罰…そう自分に言い聞かせて二人から目をそらせばセイカちゃんへの思いを伝えるためにまた快楽に耐えていって♡）   (2023/7/16 22:25:30)

東北ずん子> んぅ(ちゅ、ちゅ♥ちゅ♥セイカさんと舌と舌♥唇と唇…ねつっぽい情熱的なキス、たのしみ♥)きくりちゃんの、えっちぃ♥もぅ……んうぅ♥くちゅ、くちゅって、おまんこ…(いたずらされただけでだめになっちゃうんだ♥なんて、いたずらっぽく……ちゅ、ちゅ♥きくりちゃんにせいかさんとのキス音、しっかりきかせて♥指を少し下着の中に入れて……直接……おまんこ、くち♥指に小さく入れて、つよいしげきあたえちゃう♥)
  (2023/7/16 22:33:30)

京町セイカ> んぶうっ♡じゅるっ♡んふうっ♡(こちらへ目を向けるきくりちゃんにだらしなく鼻の下を伸ばした見せたこともないような顔でずん子ちゃんとのベロキスを楽しむところ見せながら…)きくりひゃ…まら、わらひのほうが…すき…？(絶頂間近の恋人へ、再び質問して)
  (2023/7/16 22:36:01)

おしらせ> 無言時間が25分を超えたため、廣井きくり ◆Vd27lRtH6HXIさんが自動退室しました。  (2023/7/16 22:51:18)

東北ずん子> (あ、じかんかかりすぎちゃったでしょうか   (2023/7/16 22:51:34)

京町セイカ> (ありゃ…)   (2023/7/16 22:51:45)

東北ずん子> ねちゃったみたいですねぇ、セイカさんはどうしますー？（セイカさんのほっぺつんつん   (2023/7/16 22:54:40)

京町セイカ> えー？じゃあもうちょっと…♡(つんつんされると目を細めて)   (2023/7/16 22:55:20)

東北ずん子> もうちょっと、ですかぁ……ふふ、セイカさんにいたずらしようとしたんですが(あらためてむきなおって、ぎゅう♥だきつき、ちゅ、ちゅ♥舌と舌のえっちなきす。むにゅ、むにゅ♥胸をしっかり押し付けて)   (2023/7/16 22:56:06)

京町セイカ> えっ…私に？(今度はこちらに抱きつくずん子ちゃん…そういえば、ずん子ちゃんとこういうシチュになるのはじめてね…なんてまだ呑気なことを考えながら)   (2023/7/16 22:57:48)

東北ずん子> ……あれ、セイカさんと何かすることなかった、です、なかったかも(なんとなく色々してるときとかに会ういめじ、ぎゅう   (2023/7/16 22:58:29)

京町セイカ> えへへ、でも仲良くできる子が増えるのはお姉さん嬉しいわよ〜？(自分よりやや背の高いずん子ちゃんに抱きしめられるとなんだか小さくなっちゃった気分)   (2023/7/16 23:04:14)

東北ずん子> わたしも、仲良くしたいですぅ♥(ぎゅ、ぎゅっと、しっかり上からつつみこんで、おおきなおっぱいでふににゅ、ふにゅ、柔らかな胸押し付けるようにもたれかかり、ぎゅ、ぎゅ…しっかり上からおおいかぶさるようにしちゃいます)   (2023/7/16
23:09:34)

京町セイカ> わ、わあっ…♡(ふにっとした柔らかい体に包まれるとなんだかこちらも解されるような気持ちになって…)えへへ…♡(なんてだらしなく顔を緩ませながら抱きつき返しちゃう)   (2023/7/16 23:11:29)

東北ずん子> ふふふ、セイカさんといっぱいなかよくするのもたのしみにしてますね♥(ぎゅう、ぎゅう♥しっかり腰をくっつけ、すり、すり。じーっとかおをみながら、ちゅ♥口づけ啄み♥   (2023/7/16 23:12:29)

京町セイカ> んっ…♡軽い口付けを繰り返されながら抱き返す力強めるとこちらの大きな胸も押しつぶされるようになって…ずん子ちゃんの胸と乳首をくりくりと擦り付け合うように…)こちらこそ♡はなすことはあったんだけどねー…   (2023/7/16 23:14:02)

東北ずん子> んにゃ……(乳首と乳首がふれあって。心地よさを感じながらぎゅーっともたれ♥)ま、ほら、私も遊び人だからなぁ(ほっぺをかるくすりよせ　……どうします、このまま表でゆっくり、がいいです？   (2023/7/16 23:20:02)

京町セイカ> そうね…私ももうあまり時間がないしねー(ほっぺすりすりされると目を細めながらこちらもむぎゅっと顔をおしつけていく)   (2023/7/16 23:20:59)

東北ずん子> そうですかー、今度にでも、もっと激しいことさせてくれるとうれしいです(ぎゅー♥   (2023/7/16 23:22:00)

京町セイカ> うん、きくりちゃんともどもね♡(ぎゅーっ)   (2023/7/16 23:23:45)

東北ずん子> ふふ、そうですね♥いろいろしましょうか♥(顔をよせて、ちゅ、ちゅ♥あまくくちづけしちゃいます♥   (2023/7/16 23:24:58)

京町セイカ> んんっ♡ふ、むうっ♡(ずん子ちゃんの口付けにあわせてこちらも唇をとがらせてずん子ちゃんの口をしゃぶるように…)   (2023/7/16 23:28:49)

おしらせ> 無言時間が25分を超えたため、東北ずん子さんが自動退室しました。  (2023/7/16 23:50:22)

おしらせ> 無言時間が25分を超えたため、京町セイカさんが自動退室しました。  (2023/7/16 23:53:55)

おしらせ> 雷電将軍さんが入室しました♪  (2023/7/16 23:59:02)

雷電将軍> 今夜は皆さんそれぞれ何かやってるのでしょうか……(暑い暑い、と手で顔に向けて仰ぎながらの登場です。)   (2023/7/16 23:59:42)

おしらせ> ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ ◆96.bXirfZe6Sさんが入室しました♪  (2023/7/17 00:01:53)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ ◆> 各々連休を謳歌中……とか？…ライライやっほー…？(ひょっこりと姿を現せばそのまま側まで   (2023/7/17 00:03:11)

おしらせ> ジル・ワーリックさんが入室しました♪  (2023/7/17 00:04:33)

ジル・ワーリック> 閃光の異名を持ち重力を操る女騎士……？   (2023/7/17 00:04:52)

雷電将軍> ええ、おそらくそうでしょう。こんばんはアニス(ソファに座り夏の虫の声を聴いていると個性的なニックネームが聞こえてきました。そばに来た彼女には頭を下げて)   (2023/7/17 00:04:55)

雷電将軍> わわっ、こんばんは。   (2023/7/17 00:05:12)

ジル・ワーリック> あ、お邪魔させていただきますね。   (2023/7/17 00:05:16)

雷電将軍> ふふ、お客さんがたくさんきてくれて嬉しいです。   (2023/7/17 00:06:05)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ ◆> …じゃぁライライはコレから如何なっちゃうのかなー…？(そのままじぃっと、下から見上げる様に…)と、ジルもやっほー…？結構久し振り…？   (2023/7/17 00:06:23)

ジル・ワーリック> えぇ、久方ぶりですね、パレッティア卿   (2023/7/17 00:06:56)

雷電将軍> これから、ですか…？(見上げられると首を傾げながら考え込みます。休日が終わる現実が脳裏をよぎれば首ブンブン)   (2023/7/17 00:09:06)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ ◆> …何か相変わらず呼び方堅苦しいよねジル…？(もっとこう、こうっ両手でカモン、的なジェスチャー)…あ、あれ…ひょっとしてライライ明日って…？(何やら忙しそうなライライを見ると何処か申し訳なさそうに…  
(2023/7/17 00:10:43)

ジル・ワーリック> そうでしょうか、少なくともそういった家系の方であるならば相応の礼を尽くすのが礼儀ではありませんか？そちらの方は将軍の肩書を持たれていると伺っていますが。   (2023/7/17 00:12:40)

雷電将軍> ふむ…ジルという名前なのですね。私は雷電将軍と申します…(二人のやり取りを聞いていて名前を知った様子。何卒よろしくお願いします、と名乗っておいて)   (2023/7/17 00:13:11)

雷電将軍> いえいえ予定は何もありませんよ、連休最終日は穏やかに過ごす予定です(平日のことを考えると気分が凹むのでキッパリ忘れることに。申し訳なさそうな顔をするアニスを見ては目を丸くさせて)   (2023/7/17 00:14:41)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ
◆> だって別に王女って言っても、私がその後王に成る訳じゃないしどーせ…そもそもジルは気にしすぎじゃ…？(ｷｮﾄﾘ)あ、そっかなら良かった…明日お仕事って人も居るだろうし…如何かなってちょっと心配しちゃったや……後は寝るか寝ないか問題…？寧ろ寝落ちするかの戦い…？(人の事言えないので割と困った笑顔
  (2023/7/17 00:17:07)

雷電将軍> お仕事があるのでしたらこの時間帯まで起きていませんからね私は…(ふふふ。お仕事前夜は基本的に早寝を心がけているとかなんとか)そう、ですね…どうせなら夜更かししたいので睡魔との戦いです(自身の頬をぺちぺちー)   (2023/7/17
00:19:36)

ジル・ワーリック> それ言ってしまえば私はもはやただの反乱軍で反逆者のようなのものですが……それでも礼節までは忘れていないつもりですからね……。　仕事は臣民のためにしっかり頑張ってください。   (2023/7/17 00:22:55)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ
◆> あー、まぁそうだよねー…朝早い時はこんな時間まで起きてらんないし私も……問題は私昨日そんな寝てないって言う………ん、夜更かし目指すのは良いけど…それ痛くないの…？(自らのほっぺをぺちるライライ…確かパワータイプ云々と前に聞いた覚えが…？)へぇ…ジルは反乱軍かぁ…まぁダメな時は戦うのも大事だよねー…其処まで思い詰めさせる前に行政王家が何とかしないといけないんだけど………やーほら、私基本魔学研究してたらオッケー的なとこ有るし…？
  (2023/7/17 00:24:47)

雷電将軍> …アニス、眠れる時はちゃんと眠った方がいいと私は思いますよ。無論貴女も承知しているとは思いますが(じー、と彼女を見つめては真面目そうな顔。)ああ、大丈夫ですよ。流石に力の調整くらいはできますし…！(そう言っては彼女の肩を優しくポンポン！)  
(2023/7/17 00:27:19)

ｱﾆｽﾌｨｱ・ｳｨﾝ・ﾊﾟﾚｯﾃｨｱ
◆> …普段から眠そうにしてるライライがそれ言っちゃうの…？(じー…大体記憶の中のライライも同じだよね？と、負けじと見返し)え……Σ…ぁ……ホントだ…や、そりゃそっか、でないと日常生活不便だもんね…？…でもどんな仕組みなんだろライライの力って…(ほぅ、と、…優しい手付きに安堵の一息…そうなると次の疑問は本人達の謎…？
  (2023/7/17 00:33:27)

ジル・ワーリック> 研究職の王族というのはぞんがい多いものだそうですし…。王の家系であればなおさらですね。　まぁ、シヴァのドミナントなだけなんですが……。   (2023/7/17 00:35:50)

雷電将軍> 私は平日とかはしっかり寝てますから(真顔。彼女の意見をスパッと反論するのです。)仕組みについては…まあそうですね、もう神の不思議なパワーくらいの解釈で良いかと……(疑問を浮かべる彼女にはそんな発言をしてから体を伸ばします)   (2023/7/17
00:35:56)

2023年07月14日 12時57分 ～ 2023年07月17日 00時35分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
