/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月23日 02時29分 ～ 2022年12月23日 22時13分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

レム> 向かいますね、クレーちゃん♪   (2022/12/23 02:29:37)
クレー> それは明日来た人に任せることにする！   (2022/12/23 21:04:32)

桜衣乃> んふふ、おやすみになるって言い回し面白いですね…♪それじゃあ、お言葉に甘えておやすみになりましょうか…♡（と、クレーちゃんのお膝に頭を載せようと…）   (2022/12/23 21:05:50)

クレー> え、何か変だった？///   (2022/12/23 21:07:11)

クレー> えへへ…よしよし(クレーのお膝の上にきた衣乃お姉ちゃんをそっと頭をのせてあげると、頭…ふわふわなピンク髪をクレーの手でなでなでしてあげて…♡)   (2022/12/23 21:08:33)

桜衣乃> おやすみする、でいいですよ♪おやすみになる……って、まるで宿屋の店主さんみたいです♪　……ふぅ…♡……クレーちゃんのお膝、やわらか〜い……♡（ふとももにほっぺ擦り付けて、なでうけしてとろ〜ん…♡）   (2022/12/23 21:09:15)

クレー> 言われてみれば……///クレー日本語へたっぴすぎる…(恥ずかしさにきゅうー…って顔赤くなっちゃって…)、クレーのおひざ小さいからあまりごろごろできないかもだけど……(なでなで♡)   (2022/12/23 21:11:53)

桜衣乃> いえいえ、日本語として間違ってるわけじゃないですから……面白いな〜って思っただけで♪　……いえいえ、クレーちゃんのお膝……気持ちいいですよ…♪小さくて柔らかくて…♡（すりすり♡）   (2022/12/23 21:14:14)

クレー> あぅ……//衣乃お姉ちゃん……(なでなで…♡衣乃お姉ちゃんの髪の毛ふわふわしてていい匂いで…ずっと撫でれるなぁ♪とか思いながら…なでなで♪)   (2022/12/23 21:15:45)

桜衣乃> ……んふ……。ふ、ぅ……。どうしましょう…。今日は気持ちがぐるぐるしてて……ちょっと、疲れちゃいました……。（ごろん……と、クレーちゃんのお腹にお顔を埋めて、抱きついてすりすりすり…）   (2022/12/23 21:20:35)

クレー> ゆっくり休んでいいよ…？明日の今頃は……//わかんないけど…お疲れならちゃんとゆっくりした方がいいと思うの…♪(クレーのおなかに顔埋められて吐く息がちょっとくすぐったくて…ぴくり//)   (2022/12/23 21:23:15)

桜衣乃> ……明日は、クリスマスでしたか……。ふふ、クリスマス……。私もクリスマス…楽しみにしてたんですが……。今年は……　　　はぁぁぁぁ……（くそでかため息）   (2022/12/23 21:26:59)

桜衣乃> ……クレーちゃん、もし私が来られなかったら……そういうことだと思ってくださいね……。私はもうだめかもしれません…。   (2022/12/23 21:27:40)

クレー> ありゃりゃ…だいじょうぶ…？(よしよし…)   (2022/12/23 21:28:01)

クレー> あにゃあ…そうなんだ……   (2022/12/23 21:28:19)

クレー> じゃあ、クレーとクリスマスイブイブする…？//   (2022/12/23 21:29:00)

桜衣乃> ……実はこのあと、予約済みなんです…。……なので、……クレーちゃんとは、明日の性の6時間の本番ですね……。   (2022/12/23 21:30:50)

おしらせ> 東北ずん子さんが入室しました♪  (2022/12/23 21:31:22)

クレー> そうなんだ…？でもこれるかわからないんだもんね   (2022/12/23 21:31:33)

東北ずん子> クレーといぶいぶできるとききました(ぎゅう   (2022/12/23 21:31:54)

クレー> ううん、元気だしてほしくて言っただけだから大丈夫っ。予定あるならしょうがないのっ。   (2022/12/23 21:32:03)

クレー> ずん子お姉ちゃんこんばんはっ♪   (2022/12/23 21:32:17)

桜衣乃> ……もし来たら、そのときはきっと傷心の中にいるので……クレーちゃんにいっぱい慰めックスしてほしいです……。   (2022/12/23 21:32:30)

クレー> ええっ……そんなこと言われたら心配になっちゃうよ……   (2022/12/23 21:32:58)

桜衣乃> ずん子さんこんばんは…♪クレーちゃん、連れていきますか…？   (2022/12/23 21:34:48)

桜衣乃> 心配しないでください、お仕事とかじゃないんです。……私の一世一代賭けた大勝負……に行くだけですよ…♪   (2022/12/23 21:35:45)

クレー> えええっ……！な…なにそれ……(ごくりっ)   (2022/12/23 21:36:20)

東北ずん子> 衣乃さんはがんばれー？   (2022/12/23 21:36:49)

クレー> じゃあ……ぎゅううう…！……(衣乃お姉ちゃんの頭をぎゅうう…ってクレーのお腹の中に入れちゃうくらい強くはぐしちゃって…)クレー、モンドでクレーちゃんは運がいいねってよく言われるからおすそ分けしてあげる…！   (2022/12/23
21:37:56)

桜衣乃> えへへ……♡クレーちゃんの加護があれば、きっと大丈夫ですね……♡……はい、きっと本懐を遂げてみせます…♪そのときは、お赤飯用意してくださいね♡   (2022/12/23 21:39:01)

クレー> が、がんばれー！   (2022/12/23 21:41:02)

東北ずん子> がんばれ、がんばれ♥   (2022/12/23 21:41:10)

クレー> あとクレーになにかできることある？>衣乃お姉ちゃん   (2022/12/23 21:44:28)

桜衣乃> そうですね〜……　ちょっとひとつ聞いてみたいんですが、待ち合わせに運悪く間に合わなかった……そんなとき、次に会うときはなんてお詫びすればいいでしょうか…？   (2022/12/23 21:47:02)

クレー> それはお部屋で会う約束をしていて…間に合わなくてお部屋もなくなっちゃってるんだよね？   (2022/12/23 21:48:24)

桜衣乃> いえ、現実のお話です……   (2022/12/23 21:50:22)

クレー> とにかく誠心誠意あやまる…！   (2022/12/23 21:50:45)

東北ずん子> 用事があってこれなかった、ってだけ一言あればいいとおもいますけど(現実ならなおさらちゃんと理由はひつようですよねってぼんやり   (2022/12/23 21:51:44)

クレー> うん……こうこうこういう事情でこうなってしまい申し訳ありませんでした…   (2022/12/23 21:52:35)

クレー> って…クレーじゃ全然参考にならないかもだけど…クレーならちゃんとあやまるかな   (2022/12/23 21:53:26)

桜衣乃> ……正攻法しかないですよね。…うん、それでぶつかります！ずん子さんもクレーちゃんもありがとうございます…♪   (2022/12/23 21:55:24)

クレー> うぅ……こんな単純なことしかいえなくてごめんね？クレーは衣乃お姉ちゃんが無事に事を済ませられるように祈るね…！(むむっ…ってお祈りポーズ)   (2022/12/23 21:56:55)

東北ずん子> いまからまにあわないかもっておもうと駄目ですよ！(こくこく   (2022/12/23 21:57:07)

東北ずん子> (ちょっとごそごそ   (2022/12/23 22:00:10)

クレー> ずん子お姉ちゃん？どうしたの？   (2022/12/23 22:00:35)

桜衣乃> いえ、もう今日間に合ってないんです……。明日は二日目……偶然にも同じ場所で待ち合わせをしてますが、来てくれるかな……連絡が……できなくて……。   (2022/12/23 22:01:08)

クレー> そうなんだ……   (2022/12/23 22:04:06)

桜衣乃> …ふふ、私の身の上話はこれ以上は無粋ですね……。さ、切り替え切り替え！　私はこのあとの待ち合わせがこのお部屋にあるので、ちょっと（30分くらい…？）待たせてもらいますが、ずん子さんは何を…？   (2022/12/23 22:04:07)

クレー> じゃあ、クレーも衣乃お姉ちゃんがいる間は衣乃お姉ちゃんのこと寂しくないようにぎゅうーってしてる…！(むぎゅうう……♡)   (2022/12/23 22:08:18)

桜衣乃> ありがとうございます、クレーちゃん…♪　本当はお部屋じゃなくても、ここで良さそうなものですが、はて。（ぎゅー…♡と、クレーちゃんのお腹に顔を埋めて…♡）   (2022/12/23 22:13:34)

桜衣乃> …ずん子さん晩いですね？   (2022/12/23 22:13:49)

2022年12月23日 02時29分 ～ 2022年12月23日 22時13分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
