/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月26日 12時07分 ～ 2022年12月26日 19時19分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クルル ◆> （やりとりにっこにこでココア啜ってる）   (2022/12/26 12:07:23)
桜衣乃> クレーちゃんは、みんなに育ててもらって、おいしくんぉぉっほぉぉおおおおおおっ♡♡♡♡♡……お゛っ……お…お゛ぉ……♡♡♡（きょとんとしてるずん姉様が一気に突きこんだら、油断して緩みきったおまんこ一気に割り広げられて…♡♡♡目を見開いて、口を尖らせて、部屋中に響くような声出ちゃいます…♡♡♡）
  (2022/12/26 18:07:39)

桜衣乃> （つづきます）   (2022/12/26 18:08:58)

桜衣乃> （入口きつきつ、ナカぬるぬる…♡愛液に満たされた腟内にずん姉様の挿入されて…♡まるでローション風呂…♡突然奥まで挿れられてびっくりした腟内が、ぎゅぅぅっ…♡♡♡と締まり…♡がっちりと…♡おちんぽ掴んで、離しません…♡♡膣襞も…♡一本残さず、絡みついて…♡）
  (2022/12/26 18:10:30)

東北ずん子> クレーはみんなと仲良くしてて何よりです…でもでも、衣乃は生意気だから…茶ぁんと躾けなきゃね♥(くすり、わざとらしく衣乃には強情で力強く……子宮口をぐ、ぐ…亀頭を無理やり叩きつけ。みちりっと音を響かせ)こーんな、激しいことはクレーはしないもんねぇ♥やさしくあまーく、しっかり蕩けさせてあげる方がすきですもん(締め付ける膣口をぐり、カリ首でむりやりひっかき、お尻にぱちゅ…腰を打ち叩き。奥底をぐ、ぐ、小突いて必死に押し込むくらい体重かけて)
  (2022/12/26 18:12:17)

クレー> 今したのも……お部屋でしてる時もずん子お姉ちゃんもどっちも好きだから難しく考えなくていいからね…♡……わぁっ…//ずぷっ…すぷっ…って音たてながら衣乃お姉ちゃんのおまんこに…ずん子お姉ちゃんのおちんぽが入ったり出たり……♡♡ずん子お姉ちゃんも気持ちよさそう……//(衣乃お姉ちゃんの手をきゅうう…ってにぎながら)
  (2022/12/26 18:12:52)

クレー> ………っ…//ずん子お姉ちゃんクレーのことやっぱりよくわかってるね…♡   (2022/12/26 18:13:29)

桜衣乃> ごめんなさぁいっ♡♡生意気でごめんなさぁっ♡♡んあっ♡♡あっ♡ひぁああっ♡♡♡（奥無理やりぐりってされるの…一番弱くて…♡♡カリ首で膣襞抉られて、おしりにぱちゅっ♡♡♡と打ち付けられて♡♡体重かけられるセックスに繋いだ手以外の四肢をぴーんっ…♡♡♡と張って…♡♡一発ごとに…）ん゛あ゛っ♡♡ん゛ぉおあっ♡♡ひっぎっ♡♡♡い゛ぃ゛ぃいっ♡♡♡こんなっ♡♡♡こんなの……つ…つよっ、すぎっ、ますぅぅぅぅっ♡♡♡♡
  (2022/12/26 18:16:43)

東北ずん子> で、衣乃はどっちがすきなんですか、甘いのと激しいの…やっぱりクレーと甘くする方がいいですよねぇ。こうして…乱暴に…衣乃が沢山種付けされた分上書きで…子宮犯されるの…きもちよくないですもんねぇ♥(わざとらしく悪戯するように衣乃に呟く。いつもはやさしくしているクレーにむりやり…強情な腰遣い…子宮の奥にごり、ごり…小突いて。亀頭を押し込み…ずぶっと。奥に入り込み…クレーの小さな膣内じゃ本気で壊れちゃいそうな激しい行為…見せつけるよう膣口を使って肉棒で蹂躙して…♥)
  (2022/12/26 18:20:05)

クレー> わぁっ……//普段みれないずん子お姉ちゃんだぁ……///はげしい……♡♡衣乃お姉ちゃんもこんなにえっち声だして……♡♡クレーとする時とこんなに違うんだぁ…♡(ずん子お姉ちゃんと衣乃お姉ちゃんのしてる所…しつけ♡をまじまじと見ちゃって……クレーもどきどき…♡自分じゃ絶対耐えられない…//なんて見ちゃって…とろっ…とおまたからせーえき入のお汁とろっと垂れちゃって…♡)
  (2022/12/26 18:24:55)

桜衣乃> はげしいほうっ♡♡♡どっちゅんどっちゅん力強くっ♡♡♡頭おかしくなるくらいっ♡♡子宮押し潰すようなわからせセックスがいいですっ♡♡♡お゛、ぉ…っ……♡♡一番奥犯されるのがいちばんきもちいいですぅぅっ♡♡♡♡♡（クレーちゃん隣で見てるのに…♡乱暴なセックスおねだりして…♡激しく乱れるところ…♡見せつけちゃいます…♡）クレーちゃんっ♡♡♡おねえちゃん、お部屋で、いつもっ♡♡こんな壊されちゃうようなセックスっ♡♡♡してましたぁっ♡♡♡ん゛あ゛♡♡♡こうやっ、て♡♡♡いつも♡♡♡愛されっ♡♡て、たんで……すぅゔぅうぅぅぅっ♡♡♡♡♡（眼の前がチカチカするような激しさ…♡頭の中ぼんやりするのに電気バチバチ走っててっ♡♡アヘ顔隠せませんっ…♡）
  (2022/12/26 18:24:59)

クレー> うん……♡クレーと全然ちがう…♡衣乃お姉ちゃんのどえむぅ……//えっち…♡(お手できゅうう…♡衣乃お姉ちゃんからも痛いくらい握られてて…♡)>衣乃お姉ちゃん   (2022/12/26 18:27:12)

東北ずん子> あ、でも…クレーのちっちゃな体も…ちょっと壊れるくらいしちゃおうかと考えてましたけど、衣乃におこられちゃいますもんねぇ♥(にこり…悪戯っぽく笑って。子宮奥にぐち…みちり…ただおちんぽで膣奥まで開発して膣肉を形づける欲情を表し)なので…衣乃にはこれからも沢山♥お腹いっぱい……貯めて…使って愛しちゃいますから♥(ねぇって小さく微笑みながら。子宮の奥…つぷ…先ほどの長く濃い精液より粘ついて荒いザーメン…衣乃の子宮に無理やり叩きつけ。つぷ…押し込む大きな音がしっかり響くようにつぎ込み)
  (2022/12/26 18:29:39)

桜衣乃> ひっ♡♡♡いっぎぃぃぃっ♡♡♡こ、んなっ♡のっ♡♡♡耐え、られないぃぃっ…♡♡♡♡（奥の奥までしっかり押し付けられて…♡♡みぢぃ…♡っていっぱいにされたら…♡）…く…クレーちゃっ…♡♡見てっ♡♡♡見ててくださいっ♡♡♡お姉ちゃんがずん姉様に孕まされるところ見ててぇぇぇぇっ♡♡♡♡♡あっ……あ゛ぁぁぁああ゛ぁあっあ゛あぁぁぁ゛あぁぁぁぁ゛ぁぁ♡♡♡♡♡♡♡（クレーちゃんに出すより後なのに…♡♡♡濃すぎるずん姉様の本気射精…♡腟内に叩きつけられる音…♡溜まっていく音…♡逆流して溢れる音…♡ぜんぶ、クレーちゃんに聴かせちゃいます…♡♡♡）
  (2022/12/26 18:33:06)

クレー> ………//く、クレーとする時はいつも奥のお部屋でしてるみたく優しく……甘く…らぶらぶで…♡…していいだけると助かります……//♡…(衣乃お姉ちゃんとのえっちを見ながら、顔真っ赤にして何故か敬語でお願い…♡)>ずん子お姉ちゃん  
(2022/12/26 18:33:40)

東北ずん子> はーい♥(くすくす、ちょっと残念そうにつぶやいて、しっかり膣奥までザーメンをそそぎ、くぷり……腰をうねり揺らしながら小さく引き抜いて)……じゃあ、してあげてもいいけどぉ。それならほら、ね？(こぷ……衣乃の愛液ととろけた混ぜあう精液。どろっと汚れた強い匂いのおちんぽ、衣乃の背中に乗せるようにみせて)
  (2022/12/26 18:37:16)

桜衣乃> はぉ゛お゛ぉぉぉっ……♡♡♡…お、ぉ゛っ……♡♡♡（引き抜かれて……ﾋﾞｸｯ…♡ﾋﾞｸｯ……♡♡全身くたり、とベッドに沈んで、おまんこから精液垂れ流し…♡♡♡）……ん、んん……♡背中に…おしりに……ぶっかけられてる……♡♡♡  
(2022/12/26 18:40:03)

クレー> (バックだったのかな……♡)ああっ……すごい……(引き抜かれたおちんぽとその抜かれたおまんこ見ながらどきっ…♡)においもする……♡   (2022/12/26 18:41:05)

桜衣乃> （バックでしたよ…♡私は今、うつぶせに倒れ込んでます…♡）   (2022/12/26 18:41:46)

クレー> (しつけだもんね…♡)   (2022/12/26 18:42:05)

クレー> 最後は……姉妹サンドウィッチとかしてみる…？♡   (2022/12/26 18:42:49)

桜衣乃> ずん姉様…♡もうちょっと詳細に教えてあげてくださいな…♡   (2022/12/26 18:43:37)

クレー> クレーが上で…衣乃お姉ちゃんは疲れてるから…下で……♡おまんこくっつけて…♡   (2022/12/26 18:43:56)

クレー> ありゃ…？ずん子お姉ちゃん…？(つんつん)……流石に3回もして疲れちゃったかな…？(あとご飯もあるって言ってたし…)   (2022/12/26 18:47:51)

東北ずん子> a,tyotto   (2022/12/26 18:48:06)

桜衣乃> いますね、大丈夫そうです…♪   (2022/12/26 18:48:21)

クレー> あ、ごめん！ゆっくり打っていいよ…   (2022/12/26 18:48:34)

東北ずん子> (こほん　ちょっと、不具合があって、もどってきましたよぉ(よいしょ。ぐり、ぐり、腰を揺らして、ぎゅっと二人をみつめ　……サンドイッチですか……今私テンション上がってクレーにがっついちゃいそうですけど、ふふ(じーっとクレー見ながら、衣乃のお尻に、ずり、おちんぽをくっつけ、ザーメンをぬりつけていくようにひろげて
  (2022/12/26 18:49:43)

桜衣乃> 大丈夫ですよ…♡おまんこサンドイッチしてても、クレーちゃんに挿入できますから…♡ほら…♡（くるり、仰向けになって…クレーちゃん抱きながら、白濁どろ〜り…♡とつながるふたりのおまんこ…♡）……このままクレーちゃんをバックから…♡で、いいんですよね、ずん姉様…♡
  (2022/12/26 18:52:08)

クレー> (じゃあ…クレーは衣乃お姉ちゃんの上に乗っかって…♡中出しされたばかりの衣乃お姉ちゃんのおまんの上にぴとっ……♡クレーのおまんこ…唇重ねるようにのせながら…♡)じゃあ……姉妹サンドイッチね…♡…えへへ…ずん子お姉ちゃんどお…？♡(腰を動かして…衣乃お姉ちゃんのおまんこにすり…♡)
  (2022/12/26 18:52:55)

東北ずん子> ん－、さっきは優しくしてっていったから、優しくがいいんじゃないんですかぁ……クレーのちっちゃなおまんこと…衣乃の柔らかくてどすけべなおまんこ…どっちもよくてがっついてほしがっちゃいそうですねぇ…(ぐ、ぐ、小さなクレーのおまんこに精液からんだ肉棒をずらし。そのままくちっと、衣乃のおまんこの方に腰をずらし、二人分ぬりつけ)
  (2022/12/26 18:54:51)

桜衣乃> あ゛ぁ゛〜〜〜……♡♡♡間、滑ってきたぁ……♡♡♡そうですよぉ……？クレーちゃん、まだ子供なんですから…♡壊さないように、大事に大事にしてくださいね……♡♡♡（白濁ごぷり…♡♡とろとろのぬるぬる…♡ふたりぶんのローションいらずの割れ目とクリトリス…♡滑っていきます…♡）
  (2022/12/26 18:57:32)

クレー> んんっ…♡♡あんっ……♡♡ずん子お姉ちゃんのおちんぽ…♡クレーたちのおまんこの間をずりゅ…ずりゅ…って…♡これ……これぇ…///あんっ……気持ちいい……んんっ…♡   (2022/12/26 18:57:34)

クレー> 好きなようにしていいよぉ…？間でふたりごとぱんぱんするのもいいし……♡どっちかに入れちゃってあんあん喘がせるのもいいし…♡でも、最後はふたりびゅーってして…クレーと衣乃お姉ちゃんがエッチな声で行く感じで…   (2022/12/26
19:00:03)

クレー> ね♡   (2022/12/26 19:00:08)

桜衣乃> 交互に抜き差し…♡どっちかを焦らせて…♡最後にどっちか…♡でも、私は構いませんよ…♡♡   (2022/12/26 19:00:51)

東北ずん子> すきなように……ですって、ふふ…ほら。すっかりクレーもおちんぽ…すきになっちゃって…でもぉ、こうやっておねだりは私のおちんぽにいっぱいしてほしいのはあります、けど♥(悪戯っぽくつぶやきながら。そのまま、衣乃の柔らかなおまんこ…ぱちゅ…小突いて、子宮にぐっと。小突いて、揺さぶり)
  (2022/12/26 19:01:35)

桜衣乃> ぉぉお゛ぉおおおおおおぉぉぉぉ……♡♡♡♡ま、た、私ぃ……です、かぁ………♡♡♡ん゛、ぁ、あ、ぁ……♡♡♡（白濁どろどろおまんこまた突かれて…♡今度は小突く感じ…♡甘い感じ…♡優しく、擦れて…♡）   (2022/12/26 19:03:19)

クレー> あぁああー♡♡いいなぁ…いいなぁ…♡♡(上に乗っかりながらぎゅう…♡ずん子お姉ちゃんに小突かれて動く衣乃お姉ちゃんと一緒にクレーも揺れて…♡ベッドギシッ…ギシッ♪)   (2022/12/26 19:05:14)

桜衣乃> あっ♡クレー、ちゃっ♡そんなに、ゆれる、とぉ……っ……♡♡（つんっ……♡と充血したクリトリス…♡クレーちゃんのと擦れちゃいます…♡）も、もぉ……♡いたずらしちゃって……♡えいっ♡（クレーちゃんとの身長差…私のおっぱいに、クレーちゃん抱きしめて…♡むにゅ、むにゅ♡）
  (2022/12/26 19:08:08)

東北ずん子> …ん、クレーにもしてほしいんですか…小さな子宮に、ぐりぐりって。小突いて…ほしがっちゃいますよ♥激しく……奥に、こつ、こつって、こうして♥(ぱちゅ…ぱちゅ…腰を押し込み、叩いて。衣乃のしきゅうにぐ、ぐ。先ほどよりは緩やかにぐり、小突き)…ほら、ここ、とろとろ…衣乃とはちがって柔らかくてちいさいのに(つーっと手のひらでクレーのおまんこくちゅ…くちゅ、液を掻き出して
  (2022/12/26 19:08:12)

桜衣乃> お゛っ♡お゛っ♡お゛っ♡お゛♡お゛っ、お゛おっお゛〜〜〜〜♡♡♡♡強くない、のに…、押し込まれて……♡♡♡クレーちゃんがされてるような…♡こんなの、じゃ……足りな……あ゛ぁ゛〜〜〜〜〜♡♡♡（奥緩やかに突かれて…♡ぢゅぷ、ぢゅぷぷ…♡と柔らかい水音…♡♡物足りなくて、切なくて…♡♡♡締め付けちゃいます…♡）
  (2022/12/26 19:10:56)

クレー> あんっ…♡はぁ……んんっ…♡♡ずん子お姉ちゃんと衣乃お姉ちゃんの3人でするの…♡とってもこーふんしちゃうもん…♡(クレーも揺れながらおっぱいにむにゅう…むにゅう♡クリトリスも擦れながら…♡ギシッ♪ギシッ♪)あんっ…♡♡ずん子お姉ちゃん…んんっ…あんっ…♡♡(ずん子お姉ちゃんに手でおまんこ弄り回されて…衣乃お姉ちゃんの上でびくっびくっ♡)
  (2022/12/26 19:12:36)

東北ずん子> 足りないんですって、クレー……とってもきもちいいのに♥(ぬぷ……衣乃の膣奥から一気に腰から抜いて。締め付ける膣口、みち、亀頭で抉りながら腰をひいて)クレーはこんなにかわいい顔してますよぉ♥もぉっと、衣乃は乱暴がすきですもんねぇ？(意地悪言いながら、小さくやわらかなおまんこ、手をどけると。脈打ったおちんぽで小さな中を、ぐちゅ…音ヒビカセ。奥に目指そうとクレーの小さな体小突いて)
  (2022/12/26 19:16:10)

桜衣乃> お゛……は、ぁぁぁ……♡♡♡抜け、ちゃいました……♡♡……お次は、クレーちゃんですね…♡（ぎゅ…♡と抱きしめて…♡逃げられないように…♡おっぱい押し付けて…♡）どうですか…？♡入ってますか…？♡   (2022/12/26 19:17:47)

桜衣乃> 【クレーちゃん、ずん姉様、６時間制限注意です…♡】   (2022/12/26 19:18:33)

東北ずん子> 【あれ、そんなにいましたっけ】   (2022/12/26 19:19:18)

おしらせ> 東北ずん子さんが退室しました。  (2022/12/26 19:19:21)

おしらせ> 東北ずん子さんが入室しました♪  (2022/12/26 19:19:23)

2022年12月26日 12時07分 ～ 2022年12月26日 19時19分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
