/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2019年04月28日 14時19分 ～ 2019年04月30日 15時34分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

星井美希> 謝らなくて良いのに…今のうちにってこと？   (2019/4/28 14:19:42)
渋谷凛> …うん、分かる気がする。（私の場合は生まれた年と今の歳で計算して何とか…でも色々な都合で年齢固定されてるから計算狂いそうな気がする。）うん、ほんとについうっかり…みたいな。（ふ、普段はこう言う事しないんだけど…って、さっきまでツンっとしてた表情は恥ずかしそうに。嫌じゃないなら良かったけど…とこっちも安堵したように息を吐いて表情を少し緩めて。）ほ、ほら…見た目は凄く若いし、話す限り内面も若々しい感じするし、えっとえっと…（名前、そう言えば名前聞いてない…！ってなんて呼べば良いか分からないのもあって余計におろおろ。しゃがみこんだその背中に近づいて肩辺りに手を伸ばそうとして…ってタイミングで振り向いた時雨と視線が合ってしまってピシッと硬直しちゃったり。）
  (2019/4/30 13:53:36)

時雨改二> 今年は…えー、と。2019だから…(下一桁から1引く感じ？…まだ計算しやすいかもね。アイドルが年齢を増やしちゃうのは…うん。若さが売りみたいなところあるし、分かってるよ。大人の事情、だね。)…うっかり。表情は硬いのに勝手に触っちゃう辺り、身体は正直なんだね…？(触るときくらいは優しい表情してて貰いたいな、って首を傾げつつお返しに頬っぺたを指先でつんつん。)
そうかな…？きっと、君たちよりはずっと達観してる部分もあると思うけど…(寧ろ違いはそれくらいかな、なんてくすっと。あと職業柄なんてのもありそうだね。)…時雨。しぐれだよ、し・ぐ・れ。(両手の間にするりと身体を潜り込ませて耳元で名前を教えてあげちゃう。覚えられるように、何回も。…ふふ、さっきのお返しだから。)
  (2019/4/30 14:00:37)

渋谷凛> そう…かな？うん、そうだね。（少し考える様に顎に手を当てながら視線を宙に向けて…考え終えればこくり。確かにこれならまだ…うん、私は15歳だから。実際に計算してどうなるかは…計算してはいけない。）その言い方は…何だか誤解を招く様な言い方な気がするな…。（体は正直って言葉は何だか恥ずかしい様な、複雑な表情で自分の頬を掻こう…とする前につんつんされれば思わず頬を赤く染めて視線だけ横に反らして。）………っ――…時雨…だね、うん…覚えた。（耳元で囁かれる様に名前を伝えられれば別な意味で暫く硬直するけど…何とか我に返れば頷いて。私は凛、渋谷凛だよ、って伝えて。）
  (2019/4/30 14:08:27)

時雨改二> けど、やっぱり二桁になると怪しいね…(よくよく考えたら平成も1989年からだったし…混乱しなかったかって言われると、怪しいね。容姿そのままに年齢だけ増えていくのは…まぁ、違和感感じるよね、普通は。)
誤解…ね。招かれたらそれは君の失態、だよ…？(くす。それ以上は何も言わないよ。実際招いてる訳でもないしね…聞いてる人がどう思うかは、僕の知るところではないから…なんて。お返しにしてはちょっとからかいすぎたかなって…赤い顔を見遣りつつ視線を外して。)ふふ、よろしくね、凜。(身体をゆっくり離してから正面で呼んであげて。名は体を現す、ってこの事かな…？って凜の顔をじー、と。…僕は雨になっちゃうね、それを言っちゃうと…。)
  (2019/4/30 14:16:22)

渋谷凛> 計算方法さえ分かれば…って言いたいけど、うん…結局分からなくなりそう。（多分そう言う時ってそんな計算方法も失念していそうだし…とか少し遠い目。書類仕事をこなしてるプロデューサーや事務の人とか大変そう。）確かに元はと言えば私が原因だから何も言えないかな…。（でも場所も相まって誤解は…する人は居るかもしれない。一応誰が見てるか分からないけど感じる視線に向かって「そう言うのじゃないから…！」って弁明。間近に感じる時雨の視線や体が離れれば少し、少しだけ…名残惜しい気はするけど、安堵するようにほっと息を吐いて。）うーん、どうかな…確かに愛想がないのは自覚してるけど。（凛としてるかは別な気がして、少し悩む様に。じっと見つめられる視線に気づけば自分も視線を向けて…少しして恥ずかしそうに頬を微かに染めながら目を反らして。）
  (2019/4/30 14:24:56)

時雨改二> そういうのは考える人に任せて…甘えちゃえばいいよ(そのせいでわからなくなっちゃってるんだけどね…！平成も、西暦もごちゃ混ぜになって。)
…ふふ。認めるのはいいけど…変に深堀されないように気を付けてね？(僕にそのつもりはないけど、それを餌に詰め寄ってくる人も居るかも…知れない。でも、身体が正直な反応を示すのは自然な事じゃない？ってフォローもしておくよ。お腹が空いたときにお腹がなるのも、脚を何かにぶつけて痛いのも…身体が正常に反応してるから、だしね？って片手で頭のてっぺんをぽんぽん、と弾ませつつ…にこりと笑いかけ。)
愛想が無いって言うことは…裏表の無い、って言うことと同じだと思うんだけど…違うかな？(目上の人には愛想振り撒いて、営業スマイル…なんてのもアイドルには必要な事だろうけど…それはそれで疲れるし、うっかり裏の部分を見た人はガッカリしちゃうかもしれない。そういう意味では悪くないんじゃないかな…？ってぼそり。視線を背けられちゃえば、見られて照れ臭い事も理解はしてるから…って、追いかけないように抱き締めちゃおうか。そしたら視線はどこ向いてるかわかんない、し)
  (2019/4/30 14:34:21)

渋谷凛> …そうだね、出来る事は自分でしたいけど、適材適所って言葉もあるし（私に出来る事は他にもっとあるだろうから、って。ま…甘え過ぎは良くないけど。）うーん…確かに、言われればその通り、なんだけど。…うん、そこまでガードが緩くはないつもりだけ…ど…（つまるところ当たり前の体の反応…ではあるのだけれど、体が正直と言うのは…うん、アレな意味合いもあるよね、って。詰め寄ってくる人が居るかはさておき…なんて言っていればさっきのお返しでもされる様に頭を撫でられてはあたふたと動揺する様を。）…そう言う事なのかな。裏表は…うん、確かに自分で思ってる限りはあまりない気はするけど…（好感度が高い相手には別として。少し考え込んで…ある程度年上には敬語を使う位かな、って。視線を合わせられれば当然恥ずかしかったり照れたりするけど、抱きしめられるのは更に上をいく気がする…ぷるぷる小刻みに震える、けれどちょっと落ち着けば私からも腕を回して…ぎゅっと）
  (2019/4/30 14:44:14)

おしらせ> 相葉夕美 ◆346.Rf.llEさんが入室しました♪  (2019/4/30 14:48:32)

時雨改二> …ふふ。アレな意味、ってどういう意味かな…？って、聞かれちゃったら困るだろうし…あんまり考えを拡げるのは良くない、かもね…(そういうところ、だよ？って自分の唇に人差し指を立てて添えてから、しーっと内緒事でも話すような…辺りに言い触らさないように…って仕草で首を傾げ。君も慣れてないんだね…似てるかな、僕と。なーんて、ね…自惚れすぎかな？ってくす、くす。)
裏表を作る子は色々デリケートだったりすることあるし…そういう脆さが無いのも、強みかな…？(お仕事を続ける為にもメンタルは大事だよ…？あはは、大丈夫、大丈夫…って慌てる凜の背中をぽんぽん、と。まるで妹をあやすような動きでなでなで。…そうやって力んでたら息苦しいよ？って耳もとでこそこそ)
  (2019/4/30 14:50:52)

相葉夕美
◆> （部屋の中へと入ってくれば先客を見かけて。その雰囲気に少しだけお邪魔かなと首を傾げて見せる）うん…お邪魔します（少しだけ小さく挨拶をしては少しこっそりと離れるままに壁伝いに動いてはキッチンの方へと。飲み物を小さく鼻歌交じりに入れて。そちらで少し壁に凭れて喉を潤すように飲み始めて）
  (2019/4/30 14:53:03)

おしらせ> ビワハヤヒデさんが入室しました♪  (2019/4/30 14:57:22)

時雨改二> あ、こんにちは。(…またアイドルの人だって、ぼそり。やっぱり此処って芸能関係のお部屋なのかな、って少しだけ場違い感を感じてならないよ。)ふふ、お気遣い無く。…特に何か起こるような、起こすような雰囲気でもないし…(女の子同士が抱き合ってるのは、まぁこういうお部屋じゃ自然とありそうだし…なんて自分に言い聞かせつつ、こくんこくんと頷いて一人で納得していたり。)
  (2019/4/30 14:58:02)

渋谷凛> ……難しいね。（時雨の指摘にそれだけぽつり、と呟いて悩まし気に眉の根を下げつつ肩を軽く竦めて。ついつい考え込む質だし…凛に落ち度でも？…うん、度々起こる気がする。慣れてない割には扱いが上手い気がする様な…って、間近で時雨の顔をじっと。…ワンコ的な意味で似てるのはあるかもしれない。）ま…そうだね、とは言え裏表やキャラ作り出来るのはそれも資質だと思うけど（こういう雰囲気の抱擁は…何だか好きかもしれない。促されるままにゆっくり力を抜――こうとしたらキィ、と少しだけ響くドアの音と気配、小さな声に気づけばびくぅっと跳ね上がるかの様に顔を持ち上げて。）ち、違うよ…！？これは違うから…！（見覚えのあり過ぎる顔が壁に凭れ掛かって様子を伺ってるのを見ればあたふたしながら必死に弁明。決してそう言う事じゃなくて単にくっつきあっていただけって言うか…！とか）
  (2019/4/30 14:58:53)

相葉夕美
◆> あ……うん、お邪魔してるね（こんにちわと挨拶を返してからみんなの分と言うことで紅茶を入れ直してトレイに入れては持っていく。そうしてふたりの側に近づいてとんと置いてから凛の横に腰を下ろして）大丈夫だよ､色々と理解はしてるからね？　そんなに焦らなくてもちゃんとひみつにはしておくね（多分と最後にさらっと付け加えてから横から眺め直して）相葉夕美、よろしくね（ふたりにぺこりと頭を下げてみせる）
  (2019/4/30 15:01:29)

ビワハヤヒデ> 今日も賑やかだな、お邪魔する。（会釈しながら入ると、平成最後だからだろうなと思いながら 眼鏡をかけたウマ耳の白髪の女の子である）くっ、レースで無理をしすぎたようだ。（来る前に、４回もレースをやってきたのか、足をくじいている様で引きずっている）
  (2019/4/30 15:04:53)

渋谷凛> （ふー…っと息を吐いて顔をふるり。時雨に抱きしめられるのは…こう、落ち着ける心地良さがあったけれど流石に人が増えてきたのもあるし…って一度離れてソファに腰を下ろして。）…うん、こんにちは、夕美。そう…？ま…それなら良いけ――待って、待って夕美。絶対勘違いしてると思う…！（しかも多分って…！それにその理解は多分絶対違うと思う…ってぷるぷる。）
  (2019/4/30 15:05:37)

時雨改二> 考えすぎなだけ、さ…(そういうのはシャットアウトしちゃえばいい。もっと簡単で分かりやすい世の中になる…ハズ。なんか宗教っぽいね。…落ち度でも？って言いながら半ギレしてる子を思い出しちゃった。…妹が多い分、こうやって慰めたり落ち着かせる場面も多いからね…って、ぼそぼそ。そうかな…？僕は凜を犬、だなんて思わないけど…そういう部分を見てないから、かな？)…本質あっての資質、じゃないかな。仮に凜が裏表あったとしたら…それはそれでイメージが崩れるって言うか…(ツンツンしてるけど、裏はない実直な娘…っていうイメージ。……あ、知り合いに見られるのは流石に誤解されちゃうね、って腕を解いてあげるよ。離れた方が良さそうだし…これ以上誤解されないためにも、ね？くすくす。慌てる凜の姿も、面白いね…)……はぁ。言っても直らないね、そういうところ…(早速墓穴掘ってるようにも見える凜にため息。…そういう風に表情がころころ変わるのは見てて楽しいけど、ちょっとだけ心配になったり。)
  (2019/4/30 15:06:06)

時雨改二> あ、ははは…何を理解されたのかは…すっごい不安だね…(けど、僕からは何も言わないよ、とノータッチ。そういう弁明は凜に任せるとして皆の対面の椅子へ姿勢を正しながら腰掛け、くすくす。やっぱり賑やかなお部屋はいいね…鎮守府みたいで落ち着くよ。)
うん、僕は時雨だよ。よろしくね…もう一人の競走馬の人(？)も、よろしくね。(くすり)   (2019/4/30 15:10:09)

相葉夕美
◆> 勘違いはしてないよ……みんなに教えたときに面白くなる方がいいし（誤解じゃなくて理解かなと小さく声を抑えて）ここに来てる時点でどこまで誤解かは色々とね……？　それとも凛ちゃんはもっときちんとした説明ができるのかな（時雨の代わりに軽く横から手を回して上げて。時雨の方へと視線を向ける）こんにちわ（おうまさんかなと少しだけ首を傾げて見せて）
  (2019/4/30 15:11:39)

渋谷凛> ま…大きな話になれば宗教になるんだろうけど、小さな規模での自分の考え方なんて誰にでもあるだろうし（シャットアウトしようにもふとした事で考え込むことって、よくあると思うんだ。…私が落ち着く様な心地良さを感じたのはきっとそのせいかな、なんて。落ち着いたお姉さん、みたいな印象があるよね。私が犬なのかは…私自身ではあまり分かってないけれど。）…うん、まぁ私が裏表を作っても…無理かな、すぐに鍍金が剥がれそう。（ツンっとしてるのは…ツンっとしてるつもりはないけど、やっぱり愛想はないかな。…既に誤解されて曲解されてる手遅れ感はあるけれど、離れれば座り直して一度気分を変える為に顔を軽くふるふる…っと振って。）
  (2019/4/30 15:16:31)

おしらせ> 九条カレンさんが入室しました♪  (2019/4/30 15:19:16)

九条カレン> 【こんにちはー失礼しますー。】   (2019/4/30 15:19:26)

渋谷凛> 待って、落ち着こう？ダメだからね、教えちゃ…！（多分、どころか教える気満々の夕美にふるふると切実な表情で首を振って。理解と言うか曲解じゃないかな…！）うっ……そこを突かれると何も言えない…。（私自身は何となく入った部屋が…みたいな感じだったけれど、後々気づいた様子。説明をしたら余計に事態が悪化しそうな気がして黙り込んで。）と…うん、そっちの人もこんにちは。賑やかになってきたね…。（更に登場した一人…二人かな、気づけばもうこんな人数。）
  (2019/4/30 15:19:58)

ビワハヤヒデ> ああ、私は競走馬だ。トレセン学園という学校に通っている。（足を引きずりながらも、時雨と夕美に自分のことを自己紹介して「宜しく頼む。」と握手をして）≫２人   (2019/4/30 15:21:12)

時雨改二> それを変えろ、とは言わないよ。それも君の魅力だから…。(飽くまで僕の考えだから、聞き流す程度に…ね？って首を傾げつつにこり。落ち着いてる、かな…？まぁ、確かに…姉妹が賑やかだから、そういう立場になりがちかな、うん。ふふ…人を犬扱いしてたクセに…。初対面なのにひどいね、凜は。)
無いのが君の魅力であり、強さでもあると思うから…自信もって、ね(愛想がない子に限って根は優しかったり、思い遣りがあったりするから…その辺の不安はないよ。何て言うか…妹を見る目、だよね。細めたままの瞳で、しみじみとしちゃってたり。)   (2019/4/30
15:22:21)

九条カレン> こんにちはーデース....(手を振ってみんなに挨拶)   (2019/4/30 15:22:29)

相葉夕美
◆> いらっしゃい（ぺこりと挨拶をしては新しい娘にも視線を向けて。顔を上げては。からかっているままの凛に視線を向けて）大体わかったみたいかな……迷子ってわけでもないと思うけど妖精さんにでも誑かされたかな（時雨ちゃんはどうなんだろうねと抱きしめてた彼女の方に向けて問いかけるように首を傾げて見せる）
  (2019/4/30 15:24:38)

時雨改二> …脚、大丈夫？(引きずる脚を指差しながら首をかくん、と)その調子じゃ私生活にも影響が出るんじゃ……そうなったら…(レース出来なくなった競走馬は、馬刺にされちゃう…なんて話も小耳に挟んでいたからぶるっと身体を震わせ)   (2019/4/30
15:25:29)

九条カレン> どうもデース(ぺこりとして夕美に挨拶)   (2019/4/30 15:26:42)

渋谷凛> 魅力…か。（魅力なのかな…ってううん、と。これのせいでツッコミ役になったり弄られたりしてる気がする様な…。時雨の姉妹…何だか大所帯な気がするね、長女が元気そうな雰囲気。いっちばーん…あれはついうっかりと言うか、体が正直だったと言うか…って目そらし。酷いって言われたらうぐっ、とまるで矢に射貫かれたように体がくの字に折れた。）…うん、悩んでいても私は私だからね。（他の子の真似したって無理だし…結局自分が出来る事をするしかない訳で。）
  (2019/4/30 15:28:44)

時雨改二> こんにちは。…金剛、さん？の娘さん？(ぼそ、ぼそ。聞き覚えのある声と口調に不思議げな表情で、ぼそり。)
…ん？どうしたの？(急に僕の方へ振られた話題にぱちくりと瞬きしつつ首をかくんと傾げ。)…そうだね。僕自身、やましいことをしてたって言う気がしなかったから……特に、なにも？(何も感じなかった訳じゃないけど…とりあえず隠れなきゃいけない、隠さなきゃいけない事は何もなかった、てアピールしておくよ。実際何も無かったし…ね？なんて凜に首をかしげて同意求めて見ようかな)
  (2019/4/30 15:29:02)

九条カレン> 私のお母さんはイギリス人なので多分違うと思うデスよー(多分違うデスねってごめんなさいと)   (2019/4/30 15:30:56)

渋谷凛> 私としても隠さなきゃいけないとか、隠れなきゃ…って思ってやっていた訳じゃないけど、傍から見たら勘違いされるだろうな、とは…今の夕美みたいに…！（知らない人に見られるならともかく、見知った相手に見られると…うん、この様子なら夜には他の皆に知られてそうだね…事務所に戻りたくないな……って頭を抱えながらソファの上で体育座りで蹲って。）……まぁでも、何だろう。うん、抱き合っていたのは確かだけどやましい事は何一つないから。（どっちかと言うと…姉妹のスキンシップみたいな、そんな雰囲気だった。だったから皆に言いふらすのはやめてね…って。）
  (2019/4/30 15:33:45)

時雨改二> そういう部分の君が好きな人が居ることも…忘れないでね(アイドルって見た目もそうだけど、言動や発言、仕草なんかも大事な要素だと思うから。あはは…いつも白露姉さんからは元気を貰ってるよ。そう、変な意味じゃなくて…元気になれそうな、元気を分けてもらってる、って言うか。冗談だよ。動物扱いは嫌いじゃないし、僕自身も犬は好き、だよ…？もふもふもしてて。)凜が他の子の真似をしていたら、僕は悲しいかな…(何か無理してそうな、追い詰められているような？そんなイメージだよ。訳あって自分を隠している、みたいな。見てて辛くなっちゃう、かもね)
  (2019/4/30 15:34:05)

2019年04月28日 14時19分 ～ 2019年04月30日 15時34分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
