/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年02月26日 19時47分 ～ 2023年02月27日 07時00分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おきたう！   (2023/2/26 19:47:04)
森久保乃々> そうですねぇ……一緒にいて楽しければいいのはそうですけど…4部屋もやっているのは普通に相性がいいからじゃないですか……ぁ、ふぅ（耳はむはむでびくり）   (2023/2/27 06:34:51)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> お互い楽しくが1番だとは思う。ほんとそれ大事よ。   (2023/2/27 06:35:05)

桜衣乃> えーっ、私のダッチワイフだなんて……♡…私のあらぬ姿がプリントされた抱きまくらでどうですか…♡あと、はい、イノちゃん人形（1/1）もどうぞ…♡   (2023/2/27 06:35:31)

ヴエコ> 楽しく……楽しく……結果4部屋ぁ……んへへ。えっち、えっち……（何言っても駄目な女の図）   (2023/2/27 06:35:44)

琴葉茜> すごいなアビス。もう何考えとるんやろな。なおうちは原作未読なくせにネタをほんのちょっと知ってるだけでジャブを打ちました。反省も後悔もしてへんで。　あと、行ってらっしゃい言うたほうがええ？   (2023/2/27 06:36:06)

東北ずん子> 私はそういう人形じゃなくて本物が欲しいので遠慮しておきます(乃々さんなでり   (2023/2/27 06:36:11)

森久保乃々> もりくぼが甘々好きなのは公言してるので認めますけど、勢いがすごいというのは…うぅ…あまり認めたくないというか……すごいのは特定の相手だけにですから…！まあ……割とヴエコさんとも遊びたいので…時間が合えば…   (2023/2/27
06:36:42)

ヴエコ> スポイラーかけといてよかったです（ぐっ、）ん、私あと1時間ところか30分……？くらいしかないので。いのちゃん的には皆とお喋りしながらいちゃいちゃしたい感じなのかなー……と？（こて、）   (2023/2/27 06:37:08)

森久保乃々> イノさんに   (2023/2/27 06:37:10)

森久保乃々> ああ、ミスミス…   (2023/2/27 06:37:23)

ヴエコ> あらあら。私もその特定のお相手になれるように頑張りますねっ。（んふ、   (2023/2/27 06:37:29)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> え、やだ。それならいの本体が欲しい……♡やっぱ生膣って違うじゃん？こう、暖かくて…やわらかくって。搾り取ろうって頑張ってくるその奥を無慈悲に叩くの好きなんだよね。   (2023/2/27 06:37:39)

桜衣乃> ぴゃっ♡♡♡……ん、あむぅ……♡（いきなり本当にキスされちゃったら、もうとろとろり…♡唇押し返しますが、ヴエコちゃんに押され気味に…♡）ちゅ、ぅぅ……♡あ……だめ……♡もう好きになっちゃった……♡ヴエコちゃんに私もうメロメロです……♡♡ちぅ……♡  
(2023/2/27 06:37:53)

東北ずん子> やっぱり本人がいいですよねー、わかるわかる(うんうん、仲間仲間   (2023/2/27 06:38:18)

森久保乃々> もりくぼ的にはイノさん人形あればログを見ながらひとりでするとき捗りそうなのでいいと思うんですけど…   (2023/2/27 06:38:25)

琴葉茜> まぁ、普通に遊んで普通に楽しんでって範囲だとだいたい１部屋あったら十分かと思うけどな…　ぶっちゃけ責め手側の手札が尽きると思うし（特殊性癖に突っ込んでくんであればまた別やけど）   (2023/2/27 06:39:01)

ヴエコ> んー……♡（くちゅ、はむ……♡唇同士の愛撫から、ほんのり舌の水音立てて。とんとん、お口舌でのっくして、深いのしよー♡っておねだり……♡♡）ぁー……♡かーわいいです……♡（なでなで、♡）私が部屋にいる時はいつでもちゅーしていいですからねー♡（えへ、  
(2023/2/27 06:39:25)

桜衣乃> …一週間、我慢ですよ……♡丸一日……シたいんですよね、ガヴリールちゃん……♡♡   (2023/2/27 06:40:21)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ん、1週間我慢する……♥だから、枯れるまで絞ってよ……♥   (2023/2/27 06:41:17)

森久保乃々> うーんえっちの波動が強い…   (2023/2/27 06:41:44)

ヴエコ> えー……♥私もイノちゃんと丸一日シたいです……♡（むぎゅぅ、♥）あ、勿論ｶﾞｳﾞさんともシたいんですけどね♥（二人ともむぎゅー、）   (2023/2/27 06:41:52)

東北ずん子> いつもどおりですねー(乃々さんに凭れて   (2023/2/27 06:41:57)

ヴエコ> 朝からお話ししてるだけで発情できるお部屋は貴重ですね……！（ぐっ、）   (2023/2/27 06:42:27)

桜衣乃> ん、ん…ん……♡♡♡はぷ…♡む、ちゅぅぅ……♡♡（ノックされたら、当然受け入れて…♡くちゅ、ちゅる…♡と、舌、もう絡めちゃいます…♡）ぷぁ……あ、ぅぅ……♡♡…いいんですか……♡嬉しすぎます…♡ヴエコちゃんも、脈略なく私にキスとか…してください……♡♡（にぱ…♡）
  (2023/2/27 06:42:45)

森久保乃々> …そうですね、もりくぼもこの雰囲気に当てられてる自覚はありますけど   (2023/2/27 06:43:06)

琴葉茜> とくに猥談とかしとる訳でもないのに、イチャイチャしてるだけですけべ空間になるの、稀有な才能やと思う。   (2023/2/27 06:43:08)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ヴエコちゃんもマゾの気質があるって感じ取ったなぁ。(こくんっ。いつか遊ぼっか。と   (2023/2/27 06:43:13)

東北ずん子> 羨ましい限りですね！私はスケベとかはあんまり雰囲気だせませんしねぇ(乃々さんのほっぺつんつん   (2023/2/27 06:44:45)

桜衣乃> ガヴリールちゃんもヴエコちゃんも丸一日私となんて……♡本当にもう…♡私のほうだって今日が休みならしてあげたいくらいなのに……♡今日も学校あるのに…♡おふたりと一日中いたい気分になっちゃうじゃないですかぁ……♡♡（目にハートぽわわわん）  
(2023/2/27 06:44:54)

ヴエコ> ……♡♡（くちゅ、れろっ……♡ぢゅる、♡ち、ぅっ♡唾液混ぜ合わせて、舌強く擦り合いながら、ぎゅーっ……♡体抱き寄せて♡♡）……♡♡キスだけですかー……？♡（ふに、服の上からお胸指先でとんとんってしながら。こてって首傾げて）   (2023/2/27
06:45:00)

琴葉茜> ずん子ちゃんは、ほら…ストロングスタイルやから。   (2023/2/27 06:45:17)

森久保乃々> ずん子さんが雰囲気も出せるようになったら……どうなるんでしょうね…（つつかれるだけなのも癪なのでつつき返します）   (2023/2/27 06:45:58)

ヴエコ> はいっ♡ぜひぜひー♡（ｶﾞｳﾞちゃんに抱き着いてほっぺにちゅー、♡）   (2023/2/27 06:46:19)

ヴエコ> 東北さんはきっと公開では落ち着いてるけどお部屋ではえっろいタイプだと予想します……（証言から。   (2023/2/27 06:46:38)

琴葉茜> 証言。   (2023/2/27 06:46:53)

森久保乃々> どこから出てきたんですかその証言は…   (2023/2/27 06:47:41)

東北ずん子> そういうのを全力で出すのめんどくさいですし(お手軽さはだいじなんです、ずんだもちはおてがる)　なんかこう…スイッチが大事なんです？(柔らかなほっぺがふにーっとゆれて)   (2023/2/27 06:47:53)

桜衣乃> 枯れるまで、っ…了解、れす……♡んっ、ぢゅる…っ……♡（舌すりながら、私もぎゅー…♡ふー…ふー……と鼻息荒く、抱き締めて…♡）……キスだけで、足りるわけ…ないじゃないですか……♡でも、これ以上したら…イくまでやめられなくなって…♡動けなくなっちゃいます、からぁ……♡♡♡（はー…はー…♡服の上に乳首の形浮かんじゃうほど…♡指に、胸を押し付けに行って…♡）
  (2023/2/27 06:48:13)

ヴエコ> ……♡♡はー……♡♡えっち大好きなの伝わってきて可愛いですねー、イノさん……♥（息荒くなっちゃってるの、唇でちゅ、ちゅ……♥塞ぎながら、唾液たっぷり流し込んで♥）……♥それは一回イカされたいってことですか～……♡（服の上に乳首浮かんじゃってるの分かれば、裾から中に手入れて♥下着と肌の隙間に指入れて、乳首くにくに、かりかり……っ♥柔く扱きながら勃起したふたなり太ももに押し付けて……♥）
  (2023/2/27 06:50:26)

ヴエコ> 茜さんと乃々さんから今聞きました！（証言とは言わない）   (2023/2/27 06:50:49)

森久保乃々> （生えてた…！）   (2023/2/27 06:50:52)

ヴエコ> スイッチ……私のスイッチは浅すぎるんでしょう……ぁ゛っ   (2023/2/27 06:51:00)

ヴエコ> やっべー……生やすのに確認いるの忘れてました……（冷や汗だらだら、）や、でもいのさんは……っ！多分大丈夫（こくこく、）……ですよね……？   (2023/2/27 06:51:32)

東北ずん子> 茜さんとはまだお話しかしてないんですけどね(なんかこう、お互いシンパシーでわかるんでしょう   (2023/2/27 06:51:46)

東北ずん子> どちらかというとあと1時間もしないうちだとヴエゴさんの方が悶々としたままになりそうかなってくらいじゃないです？   (2023/2/27 06:52:30)

ヴエコ> ……完リバなので。ヴエコは完全に雌雄同体なので、無い受けと有る責めが同居してます。ですから乃々さんとする時は完受けです。（ぶいっ   (2023/2/27 06:52:34)

桜衣乃> 生えてる……♡　……はい、いいですよ……♡…私も…ヴエコちゃんも……♡月曜日、お出かけ前のいっぱつ…♡……私のナカにキメちゃってください……♡（NGなしなので大丈夫ですよ、とフォロー入れつつ、するする…と糸引くしましまおぱんつ脱いで…♡）  
(2023/2/27 06:52:35)

琴葉茜> うちそんなクリティカルなこと言うた…！？　あーうん、ずん子ちゃんとはまだやったね。こんど行っとく？（親指ｸｲｯ）   (2023/2/27 06:52:35)

森久保乃々> よく考えたらイノさん以外みんな持ってましたね……   (2023/2/27 06:53:14)

桜衣乃> そしてヴエコちゃんのを咥えれば、はれて今このお部屋のみなさんが穴姉妹になるということですね……♡   (2023/2/27 06:53:57)

東北ずん子> ひとかりいこーぜー(茜さんにいえーって手を上げて　ま、お互いタイミングもありますしね。のんびり期待しておきます   (2023/2/27 06:54:11)

森久保乃々> なるほど…完リバ……いやそんな、もりくぼがそんな完攻めできるとでも…！？うぅ……   (2023/2/27 06:54:40)

ヴエコ> やたーっ♥朝一の射精膣にしちゃっていいんですかっ♥さいこー……♥♥（下着脱ぐの見ればぱぁって嬉しそうに笑って、露になった秘部に膨らみきった肉棒ぐ、ちゅぅ……っ♥押し当てて……♡♡）ぁ～……♥♥今それ言うのやっばいです……♥♥はぁ、まだ見ぬ皆さんと穴兄弟なんて……っ♥♥（ずぷ、ぅ……っ♥膨らんだ竿で膣内押し広げて♥カリでずりゅ、ぐちゅっ……♥肉襞かき分けながら、根元までぐっぽりハメて……♥♥腰しっかり支えて、体揺すって♥ずっちゅっ♥♥ぱんっ♥ぐちゅ、ぐちゅっ……♥腰打ち付けてセックス初めて……♥）
  (2023/2/27 06:55:42)

琴葉茜> いえー。でも前も言うたけど基本的にずん子ちゃん、基本的に誰かに抱きついとるからなぁ…いや別にそれが悪いとは言わんのやけど、うち「誰かと絡んでる子を誘うのは横取りするみたいでイヤ」って性分やから、うちからはなかなか。   (2023/2/27
06:55:59)

東北ずん子> あ、それに関しては同じですからね。茜ちゃんと同じタイプだからこそタイミングがあわないやつ(こくこく   (2023/2/27 06:56:51)

ヴエコ> 完攻めじゃなくてもよいですよ。（なで、）リバの良さは臨機応変さです。（こくこく、）   (2023/2/27 06:57:00)

ヴエコ> んー、確かに……？（こて、）いやでも一日中妄想漬けにされるのがご褒美ですからね……帰宅するころにはほどよくあったまるって寸法。   (2023/2/27 06:58:00)

琴葉茜> おっ待てい（江戸っ子ではない）うちはずん子ちゃんほど常時誰かしらとからんでまーせーんー。　自分で言うててちょっと悲しくなるなこれ。   (2023/2/27 06:58:24)

森久保乃々> まあなんだかんだやる時はやってるので大丈夫なんじゃないかなぁ……まあもりくぼはどっちもついててもありではありますけど…   (2023/2/27 06:58:27)

ヴエコ> この部屋にいたら精子も卵子も枯れちゃいそうです。くぁ～～最高……っ（歓喜の身もだえ）   (2023/2/27 06:58:48)

桜衣乃> ふぁっ……ああ……♡♡……出会って30分で即セックス…♡♡みんなが見てる前なのに……♡あ、っ……ふぁ…あ……♡♡（とっくにとろとろ、朝一で準備できてなくてきつきつのおまんこ、ヴエコちゃんに生ハメされちゃいます…♡）あ゛あ゛〜〜〜………おっ、きぃ……♡♡奥まで、入ってるぅぅ……♡♡♡（自分でしっかり脚を拡げて、手で固定して、ヴエコちゃんが打ち付けるのに集中できるように手伝っちゃいます…♡）
  (2023/2/27 06:59:09)

東北ずん子> 先週くらい茜ちゃん凄く楽しんでるところしか見てないのでダウト宣言したいです(はーい   (2023/2/27 06:59:48)

琴葉茜> そうそう、たとえちんちん生えてても、仮に相当な手練れが腰砕けになるレベルでじゅっぽじゅっぽしたらそれはしゃぶっとるほうが攻めと言える。   (2023/2/27 07:00:06)

2023年02月26日 19時47分 ～ 2023年02月27日 07時00分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
