チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年06月24日 22時20分 ～ 2023年06月29日 00時21分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

京町セイカ> う、うん…じゃ、じゃあ…//   (2023/6/24 22:20:49)
京町セイカ> わわ、ちょっとちょっと！(きくりちゃんがふらつく様子を見ると駆け寄って後ろから一緒に抱き抱えようと)   (2023/6/28 23:20:29)

廣井きくり
◆> えへへー、二人共ありがとー♪……私こんな酔っぱらいだけどさぁ…これからも見捨てないでねぇ…//（無名ちゃんに抱えられて後ろからはセイカちゃんに支えられると、泣き上戸になって無名ちゃんの服を掴み、セイカちゃんには手の平に頬ずりをしながら感謝を伝えて）  
(2023/6/28 23:24:57)

京町セイカ> あーもう、無名ちゃんはトイレ行くんだからそこまで！(後ろから抱きついたまま引き剥がすようにして2人で床に座り込む感じになって…)   (2023/6/28 23:26:03)

無名> 大丈夫だよ…酔っ払ってても見捨てないって…（酔っ払ってない通常の状態を見たことがないので最初から見捨てる気はさながらない）あ〜ありがとうっ（服を掴まれてまずい！となったがセイカが止めてくれたので急いでトイレに駆け込む）   (2023/6/28
23:26:58)

廣井きくり ◆> えー？もっと感謝を伝えたいのにぃ…。……えへへ……でもヤキモチ焼きなセイカちゃんも可愛いなぁ…♡（床に座って向き直って対面になれば、セイカちゃんの顔に手を当ててえへらーっ♪とした顔で見つめて）   (2023/6/28 23:30:47)

おしらせ> 小春六花さんが入室しました♪  (2023/6/28 23:32:07)

廣井きくり ◆> あ…行っちゃった…。寂しいよ〜…早く出てきてぇ…？//（無名ちゃんが入って行くとトイレの扉向かって張り付くようになって）   (2023/6/28 23:32:23)

小春六花> ちゃおー。（にょき   (2023/6/28 23:32:40)

無名> はぁ〜い（武具を外してすぐにじょろじょろじょろ…と出しては紙で拭いて再度武具を取り付け直す）六根清浄！（そうして水を流したんでトイレから出てくる）   (2023/6/28 23:32:49)

無名> こんばんは   (2023/6/28 23:32:53)

京町セイカ> こらこら、ねこじゃないんだからもうっ(トイレのドアに擦りつこうとするのを押し止めながら)それに今のはヤキモチとかそんなんでもないでしょうに   (2023/6/28 23:33:23)

京町セイカ> あれ？立花ちゃん。この時間は珍しいわね   (2023/6/28 23:33:43)

廣井きくり ◆> あははははっ、誰か生えてきた〜♪こんばんはー♪   (2023/6/28 23:34:20)

小春六花> 😡🦭🪨   (2023/6/28 23:34:29)

小春六花> どうもー、小春六花でーっす。   (2023/6/28 23:35:12)

京町セイカ> ひ、久しぶりにやらかしたー！   (2023/6/28 23:35:15)

廣井きくり ◆> 凄い早い…！やっぱり飲んでる水分の量の差かなぁ…//（すぐに扉から出てきたら無名ちゃんにおおーって感心して）   (2023/6/28 23:40:07)

廣井きくり ◆> えー？じゃあなんなのー？//私…これでもセイカちゃんが楽しめるように頑張ってるつもりなんだけどなぁ〜？//（ドアから剥がされると今度はセイカちゃんに張り付くみたいに体を寄せて）   (2023/6/28 23:42:52)

無名> そうだね…私、普段カバネと戦ってるのもあるけど水分補給は欠かさずに行っているから（常に飲み物は所持しているのでそれもあった）   (2023/6/28 23:43:33)

小春六花> セイカさんは普段体がないからね……。なんかいい感じに蒸発してるかもしれないよね……   (2023/6/28 23:44:22)

京町セイカ> た、楽しめるようにってなによ…あ、いやいやトイレは邪魔しちゃダメでしょ！？   (2023/6/28 23:44:45)

京町セイカ> 私たちってその辺ちょっと存在が不確かだものね…その分自由が効くところもあるんだけど   (2023/6/28 23:45:48)

小春六花> あ、いや。私達の界隈のセイカさん、頭しかない存在だから……   (2023/6/28 23:46:57)

京町セイカ> アレは私じゃない！私じゃないから！   (2023/6/28 23:47:27)

小春六花> あれもセイカさんだし、Tシャツとかもあるんですよ！   (2023/6/28 23:50:09)

小春六花> ところでお二人大丈夫？   (2023/6/28 23:52:32)

小春六花> ノキセイカ仮面いる？   (2023/6/28 23:52:39)

京町セイカ> えっなにそれ…   (2023/6/28 23:52:52)

廣井きくり ◆> えっと～、できるだけ楽しんで貰えるようにセイカちゃんにヤキモチ焼いてもらえるようにしてるんだよー♪//（偉いでしょって胸を張りながら）うーん、たしかにトイレの邪魔はしたくないけど…//   (2023/6/28 23:53:47)

無名> 大丈夫だよ   (2023/6/28 23:53:59)

京町セイカ> わ、私がヤキモチで楽しんでるみたいじゃない！？……まぁその、え、えらいえらい…(口を尖らせながらきくりちゃんをなでなで)   (2023/6/28 23:55:53)

小春六花> リアルに存在するあのセイカさんをプリントしたお面。基本的に敗者が持ち帰る呪いのアイテム…？   (2023/6/28 23:56:35)

廣井きくり ◆> 違うの…？//（じーっ）えへへぇ…♡じゃあもっと褒められたいから…私、今から誰かに犯してもらっちゃおうかな…？♡（お酒の勢いでの冗談なのか本気なのかわからない事をセイカちゃんに囁きながら、薄いワンピース越しに太ももをくっつけて）  
(2023/6/29 00:00:09)

京町セイカ> なんでもする感じになっちゃうのね…   (2023/6/29 00:00:11)

京町セイカ> こ、こらこら！そこまでしなくていいの！…きくりちゃんはそのままでも魅力的で大事な人だからそこまで自分を安売りしなくていいのよ…   (2023/6/29 00:00:58)

小春六花> （でもこの人、みんなに大事な人って言ってるのよね……）   (2023/6/29 00:01:27)

廣井きくり ◆> あっ、デレた〜♡うれしいなぁ……だけどね、これは安売りじゃないんだよ？//セイカちゃんの快楽につながるなら…私にとって十分な意味のあることだから…♡   (2023/6/29 00:05:48)

廣井きくり ◆> （だよねー？私は何番目の妾なんだろ〜//）   (2023/6/29 00:06:15)

京町セイカ> (ちょ、ちょっと！？人聞きの悪いこと言わないの！)   (2023/6/29 00:06:35)

京町セイカ> いやまぁ…実際嬉しいんだけど…自分を大事にしてってことよ？心配しちゃうしね   (2023/6/29 00:07:20)

廣井きくり ◆> 血も飲んで栄養補給してるし、無名ちゃんは熱中症とかにならなくて良さそうだよね〜♪   (2023/6/29 00:07:32)

小春六花> （千冬ちゃん一番目だったのにもう捨てられちゃった……（よよよ））   (2023/6/29 00:08:06)

無名> そうだね…私は特に熱中症になるのとかはないかな。だから日頃から気をつけているし。きくりも気をつけてね？熱中症は怖いよ   (2023/6/29 00:08:35)

京町セイカ> (捨ててないよ！？なかなか会えないだけで！)   (2023/6/29 00:10:19)

おしらせ> 堂領姫子さんが入室しました♪  (2023/6/29 00:12:15)

廣井きくり ◆> （かわいそう…私もいつか捨てられちゃうんだね…。それで心が弱ったところに他の誰かに声を掛けられて…いくらでも体を許しちゃうのかな…♡）   (2023/6/29 00:12:19)

堂領姫子> こんばんは   (2023/6/29 00:12:23)

京町セイカ> あ、こんばんは姫子ちゃん   (2023/6/29 00:12:54)

廣井きくり ◆> うん、わかったよ…//もう処女じゃなくなっちゃったけど…せめてセカンドバージンはセイカちゃんにあげたいから♡   (2023/6/29 00:14:45)

無名> こんばんは   (2023/6/29 00:14:53)

小春六花> 唐突なアナルじゃん……（   (2023/6/29 00:15:15)

堂領姫子> こんばんは、みなさんっ   (2023/6/29 00:15:19)

廣井きくり ◆> こんばんは〜♪シビトマギレは中古ショップに売ってなかったよぉ…。   (2023/6/29 00:16:12)

堂領姫子> なかったんですね…、よしよし…   (2023/6/29 00:17:43)

京町セイカ> うん、約束ね？…でも、きくりちゃんは案外そのままずるずる先輩と関係続けちゃいそうでもあるよねー？   (2023/6/29 00:17:44)

廣井きくり ◆> えー、それはないでしょ〜//だって先輩はぼっちちゃんと虹夏ちゃんの事しか見てないロリコンアンドシスコンだよ〜？//   (2023/6/29 00:20:30)

京町セイカ> えー？でもほら…よかったんでしょ？   (2023/6/29 00:21:00)

廣井きくり ◆> 早くプレイしたい……って、あれ？前と違う人だった//ごめんねー、お酒で視野がぶれまくっててさ〜//   (2023/6/29 00:21:54)

2023年06月24日 22時20分 ～ 2023年06月29日 00時21分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
