/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月21日 11時23分 ～ 2022年12月22日 05時41分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

紲星あかり> つまり、ひとりさんはサンドバックと…   (2022/12/21 11:23:31)
東北ずん子> 時間の問題だった(かたぽん   (2022/12/22 05:09:30)

結月ゆかり> 多分性欲だけならゆかりさんがダントツだと思ってますから(ふふん)覚悟の準備をしておいてくださいっ！   (2022/12/22 05:09:55)

森久保乃々> どんなところで自慢してるんですか…（呆れ）奥の部屋にも問答無用で来てもらいます！…となるわけですね   (2022/12/22 05:12:41)

東北ずん子> エロスはだいじなので？   (2022/12/22 05:13:21)

結月ゆかり> まぁ、ゆかりさんってその、波がかなりありまして…その波が一年くらい来てなかったんですけど、最近爆発しちゃってて(てへぺろ)   (2022/12/22 05:14:18)

東北ずん子> あー、波はなんとなくわかる、ありますあります。今はちょっと薄目なのかもしれない！   (2022/12/22 05:15:04)

森久保乃々> 一年越しってそれもう発情期では…？ゆかりさんのけだもの、淫獣…   (2022/12/22 05:15:23)

結月ゆかり> 避妊具の準備もしておいて下さい！貴方はオナホです！おまんこにぶち込まれる楽しみにしておいて下さい！いいですね！！   (2022/12/22 05:15:45)

結月ゆかり> …え、えぇ。此処にも2年ぶり…くらいでしたし。それくらい離れてました…(ぽり)   (2022/12/22 05:16:18)

東北ずん子> え、避妊具つけないほうがよくないです？(きょとこ   (2022/12/22 05:16:52)

おしらせ> 秋山 澪さんが入室しました♪  (2022/12/22 05:17:30)

結月ゆかり> ちっちっち。分かってないですね、ずん子さんは。こういう場所だからむしろ必要なんですよ、プレイのために   (2022/12/22 05:17:57)

森久保乃々> そういえばゆかりさんはついてる方なんですね…？ここ表記とかないので誰がついてるのとか把握しづらい…   (2022/12/22 05:18:04)

秋山 澪> こんば……（挨拶しようにも会話の内容が荒れすぎて真っ赤に固まるの図）   (2022/12/22 05:18:10)

結月ゆかり> …まぁ、そうですね。攻めっけある人は基本ぶら下がってる認識でいいかと。しぶりんもえっぐいのぶら下げてそうですし…(見ましたよね？ってちらり)   (2022/12/22 05:18:57)

東北ずん子> まぁ、ついているついてないは裏だからこそ必要ってのもありますしねー。あ、秋山さんもこんばんはー   (2022/12/22 05:19:18)

結月ゆかり> おはようございます♪深夜特有のひっどい流れですよ   (2022/12/22 05:19:25)

秋山 澪> あ、ああこんばんわ……？　さっきまで上で騒いでたんだけど、ずん子さんやゆかりさん、そして森久保さんのお声が聞こえたので、つい…（深夜テンションって怖いな……）   (2022/12/22 05:20:31)

東北ずん子> わたしとゆかりさんは平常運転ともいいますよ、よ！   (2022/12/22 05:21:04)

森久保乃々> 澪さんもこんばんは…もうほぼ朝ですけど。なるほど、ではもりくぼ視点からするとほとんどの人がついてる…と。いえ、もりくぼは見てないですね…   (2022/12/22 05:21:33)

結月ゆかり> 一緒にしないでくださいよ！！ずん子さんはやる気ないときとことん無いじゃないですか、ゆかりさんはやる気しかないですよ！！   (2022/12/22 05:21:52)

結月ゆかり> ……見ないで突っ込まれた、と。いいですよね目隠しプレイ   (2022/12/22 05:22:23)

秋山 澪> （いや知らないし///＞平常運転）　そう言えば六花はたしかついてるとか言ってた気がするな……（覚え違いだったかもしれないけど）   (2022/12/22 05:22:27)

森久保乃々> 目隠しプレイなんて高度なの最初からするわけないんですけど…！   (2022/12/22 05:23:04)

東北ずん子> そこ大事なんですね。なんかこう…ゆかりさんとシンパシー感じるような感じないような謎の感じ(でもゆかりさんとのこの感じはすき　いいですよね、目隠し！　でも目隠しするならやっぱりちっちゃい子にやりた(けふんけふん   (2022/12/22
05:23:18)

結月ゆかり> 高度でしょうか？確かに硬度は上がりますね…(ふむ)   (2022/12/22 05:23:27)

秋山 澪> でも森久保さんってそもそも目を合わさないですよね？（何故か森久保さんにだけは丁寧語）   (2022/12/22 05:23:44)

秋山 澪> 誰が上手いことを言えと＞高度   (2022/12/22 05:24:03)

森久保乃々> あぅ…もりくぼ目を合わせるの苦手なので…ふ、ふたりきりのときならば…が、頑張って…（きょろきょろ）   (2022/12/22 05:25:00)

結月ゆかり> …きりたんはオナホ、ハッキリ分かりましたね   (2022/12/22 05:25:12)

秋山 澪> じゃ、森久保さん　今度二人きりになっていただいても…？   (2022/12/22 05:25:42)

結月ゆかり> そうやって下の方ばっかり向いてると違うものがこんにちは♡してますよ   (2022/12/22 05:26:04)

東北ずん子> きりたんは私の大事な妹ですよ、いもうと(ばんばん　森久保さんと二人っきりわたしもなりたーい(はーい   (2022/12/22 05:26:33)

森久保乃々> うぅ…もりくぼ人生初のモテ期がこうなるとは…うまく連れ出してくれたら、いいですけど…   (2022/12/22 05:27:45)

秋山 澪> ぐ……上手く連れ出すだなんて……年齢＝相手いない歴の私にはハードルが高杉……っ！　でも、憧れの森久保さん相手だから頑張らないと……（声に出まくり）   (2022/12/22 05:30:03)

森久保乃々> なんでそんなにもりくぼが好きなのかよくわからないですけど…が、頑張ってください…？   (2022/12/22 05:31:59)

結月ゆかり> …そうですね、連れ出すのも流れとかありますからね。例えば、ゆかりさんが入ってすぐおまんこ！って森久保さんに迫ったら逃げられちゃいますね。……で　す　が。それは仲良くない場合のお話。ある程度仲良く慣れればおまんこ！ちんぽ！で連れ出せますよね♪  
(2022/12/22 05:32:23)

東北ずん子> すけべしようやっていえばいいんですね、わかります？   (2022/12/22 05:33:22)

秋山 澪> ひと目見たその時からずっと憧れてましたっ！（本当）　「むぅーりぃー……」　のあの一言に全て持っていかれましたしっ！　お願いします！　変な意味じゃなくてもいいので、お付き合いしてくださいっ！！（必死）   (2022/12/22 05:33:49)

森久保乃々> ゆかりさんはそれやりそうな気配があったり…？もりくぼも凛さんに「乃々、行くよ」って言われればついていっちゃいそうですけど…   (2022/12/22 05:34:23)

秋山 澪> （ゆかりさんとずん子さんは……うん、こう言う部屋なんだからむしろ私のほうがおかしいということで納得しよう　な？私　うん）   (2022/12/22 05:34:43)

結月ゆかり> ほら、人によっては雰囲気作ってから〜とかこっちの人が気になるから〜とかありますしね？奇襲して性交する確率って結構低いので、やっぱりたくさんお話して仲良くなるのって大事だと思うんですよ   (2022/12/22 05:36:44)

森久保乃々> あ、ありがとうございます…こんなもりくぼを好きになってくれて…。で、でも澪さんとはまだお付き合いというのははやいかと…？   (2022/12/22 05:37:09)

結月ゆかり> 気配ってなんですか…今度しますよ？覚悟の準備をｓ   (2022/12/22 05:37:11)

秋山 澪> そそそそんな！　憧れのアイドル森久保さんを名前でしかも呼び捨てだなんて……っ（でも、当たって砕けよう　駄目なら枕を涙で濡らせばいいだけだ……）　えっと……　（そう言いかけた瞬間性交の五時に吹き出しそうに）   (2022/12/22
05:37:46)

森久保乃々> や、やめてくださいぃ…（ぺこぺこ）   (2022/12/22 05:38:51)

東北ずん子> 気配りはずんだにおいてきました   (2022/12/22 05:38:53)

秋山 澪> そ、そうですよね、まだ早いですよね……　ゆかりさんの云うように雰囲気からって大事だと思いますし私もそうだったりであっはあ何言ってるんだろう私   (2022/12/22 05:39:10)

森久保乃々> あぅぅ…澪さんは自分を傷つけないで…。もりくぼ悲しくなってしまいます…   (2022/12/22 05:41:46)

2022年12月21日 11時23分 ～ 2022年12月22日 05時41分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
