/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年07月03日 02時21分 ～ 2018年07月09日 19時47分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

アティ> （おうちがありました。そのままひきづらーれー。（未来予測。））   (2018/7/3 02:21:10)
東北ずん子> せんせー、夏バテに聞く。もの、くだしゃい……(世界が回ってます、うー   (2018/7/8 01:20:52)

アティ> （もぞもぞ。マントの裏地の異空間（？）から…タッパーを取り出せばテーブルにどどんっ。）はい、夏バテにはこれですねっ。どーぞ？（昔ながらの製法の塩だけで漬け込んだ梅星です…！）   (2018/7/8 01:23:57)

アティ> （星ではなくて。干しですね！…予測変換…が！）   (2018/7/8 01:25:22)

東北ずん子> ……梅干し！……あ、あぁ、私、梅干し大好きなんですよねぇ。あぁ、梅干し、とてもいいものです(暑さで語源力がいつもいじょうにありません。梅干しって聞くと涎が出ちゃう日本人ならではの反応、です)   (2018/7/8 01:25:44)

アティ> 私も梅干しは大好きです。でも塩分的に日に食べる量は…2個までにしとかないとダメなのが辛いとこですね。（あくまで目安の量ですけど。）私はやはり肉厚の梅干しが大好きです♡   (2018/7/8 01:27:41)

おしらせ> 東北ずん子さんが部屋から追い出されました。  (2018/7/8 01:37:13)

おしらせ> 東北ずんこさんが入室しました♪  (2018/7/8 01:37:13)

東北ずんこ> ご、ごめんなさい、なぜかぱそこんがわるさしました(とたぱた   (2018/7/8 01:37:39)

アティ> いえいえお気になさらずにっ。（稀にありますよねっ。裏で勝手に何かが立ち上がったり、再起動かかったり。）   (2018/7/8 01:38:45)

東北ずんこ> 昔はそれこそ10個くらいたべちゃってたようなきがしますが、あはは(塩分とりすぎるのもよくないんですけどね。でも家に梅干しがよくあったので。朝ご飯のおともとか、そのままたべたりとか。いろいろやりやすいんですよ。はい)   (2018/7/8
01:43:12)

アティ> 10個！？塩分過多すぎませんか？（逆に体調に不具合がでそうな量。でも梅干し美味しいですから気持ちはわかりますっ。とこくん、と頷きつつ。）私は梅干しを、叩いて潰して、山葵を少し混ぜて…生のキュウリにつけながら食べるのが好きだったり。と、先生の簡単クッキングを晒したとこで…そろそろお仕事再開の準備に行ってきますねっ。お付き合いありがとうございました。（ぺこむぅ。軽くお辞儀したらパタパタと小走りに、お仕事に向かいますー。夜会話ではないですよ！）
  (2018/7/8 01:46:38)

おしらせ> アティさんが退室しました。  (2018/7/8 01:46:40)

東北ずんこ> アティさんの夜会話(意味深　いってらっしゃーい(ひらひら   (2018/7/8 01:47:35)

東北ずんこ> よし、ねますか(んにゅ、ぱた   (2018/7/8 01:54:57)

おしらせ> 東北ずんこさんが退室しました。  (2018/7/8 01:55:03)

おしらせ> アリス・カータレットさんが入室しました♪  (2018/7/8 06:01:01)

おしらせ> 無言時間が20分を超えたため、アリス・カータレットさんが自動退室しました。  (2018/7/8 06:24:26)

おしらせ> アティさんが入室しました♪  (2018/7/8 09:47:07)

アティ> お休みですっ。（たたんっと小さくジャンプしてリビングの入口に踏み込みながら両手をぱっと真上に上げる私です。）…こほん。うん、誰も見てないよね？（くるり…と見渡すと…誰もいない室内にほっと一息。…休日の嬉しさに先生ともあろうものが…身体で表現するぐらい喜んではしゃいでしまいました。）…はふっ。（落ち着け私…ということでソファにぽふんっ。）
  (2018/7/8 09:49:52)

おしらせ> 涼風青葉さんが入室しました♪  (2018/7/8 10:09:17)

涼風青葉> えっとまだいたりしますかね…(なんてそっと扉を開けて見ると人が一人いたので挨拶して)はじめまして…   (2018/7/8 10:10:25)

アティ> あ、はいはい。いますよ？（ぴくりっ。声がかかると一瞬肩を震わせば、声の主の方へと顔を向けて…小さく片手をふりふりと。）はい、はじめまして。（ぺこん。）   (2018/7/8 10:12:02)

涼風青葉> 涼風青葉です……(私からも手を振り返して)よろしくお願いします！   (2018/7/8 10:12:32)

アティ> はいはい。よろしくお願いしますね？私はアティといいます。（お名前名乗られれば…此方もお名前を名乗りましょう、そのついでにもう一度軽く会釈をしつつ。…なんだか先生頭さげてばっかですね！）   (2018/7/8 10:15:04)

涼風青葉> えっと普段はイーグルジャンプって会社でゲーム作ってます…(なんてよろくしお願いしますと)   (2018/7/8 10:16:47)

アティ> あら。社会人さんなんですね？私は…一応家庭教師かな…？うんっ。（ゲーム作る方…それはもはや私達の創造主なのでは…！（めめたぁ。））社会人な方はなんだか珍しい気がします。（なんといかこういう場所は学生さんが多いですよね？なんて首を傾げながら同意を求めつつ。　…まぁ学生なのか社会人なのかすらもわからない人たちもいっぱいいますけども！）
  (2018/7/8 10:19:26)

涼風青葉> 先生でしたか……お疲れ様です…(あ、なるほどそういう事ですかまあ私がサモンナイトを作ったわけではry)そうですね、ちなみに18歳です！(そうですね、面白い方もいるものです)   (2018/7/8 10:22:06)

アティ> ええ。まぁ今日は休日なので…疲れてはいないんですけどね。ありがとうございます。（ふふっと笑みを浮かべながら、労いの言葉にお礼を一言いいましょう。）…。わたし…はええっと…年齢は…。（…そっと目をそらした。）   (2018/7/8 10:24:35)

涼風青葉> ですね！明日から月～(これ以上のセリフは不適切なため見せられません。)ん？い、   (2018/7/8 10:26:43)

涼風青葉> 言えません？(なんとなく察し)   (2018/7/8 10:27:04)

アティ> 私は土曜にお休みない代わりに月曜も休みですからねっ。（なので、ゆったりとした休日ですと、少しだらんっとソファに背を埋めながら…ぁ、きもちいい…うつらうつら。）　ええ、そうですね秘密です、秘密。（というか３の時点の私の年齢って本当いくつなんでしょうね！軍学校を卒業してますから18以上ということは確定ですけど。　…５の私の年齢に触れてはいけません。）
  (2018/7/8 10:30:19)

涼風青葉> なるほどです！(私もソファーに腰掛けてごろりと)まあ年齢なんて関係ないのです…(原作だと19歳ですけどねなんね青葉の年齢についてなのです)   (2018/7/8 10:32:10)

アティ> まぁ年齢のお話をすると被害被る人がきっと少なからずいますのでこの辺りで。（…私の事ではありませんよ？なんてどこか遠い目。）っと、私一度そろそろ朝餉のほうをいただいてきますので失礼しますね？（このままでは朝餉の前に眠ってしまいそう…ふらぁっと立ち上がれば…それでは。と小さく手をふり退出ですっ。）
  (2018/7/8 10:36:45)

おしらせ> アティさんが退室しました。  (2018/7/8 10:36:48)

涼風青葉> あ、はい！   (2018/7/8 10:38:03)

おしらせ> 涼風青葉さんが退室しました。  (2018/7/8 10:38:05)

おしらせ> チトさんが入室しました♪  (2018/7/8 12:49:55)

チト> ………流石にあれだし、お風呂に入ろう（下着を脱いで温泉へ　そこで汚しまくった下着を洗い、自分の体も洗いながら）　ん……痛っ……　まだなにか入ってるみたい……   (2018/7/8 12:51:15)

チト> 【ここは温泉です】   (2018/7/8 12:51:26)

チト> （そのまま温めの温泉へちゃぽり、と）　……疲れが取れる……染み渡る……   (2018/7/8 12:52:15)

チト> （ゆーはどうしてるかな……ま、あたしの分の食料も浮いてるし、それなりに生きてるだろうと思うけど……）   (2018/7/8 12:53:37)

おしらせ> 無言時間が20分を超えたため、チトさんが自動退室しました。  (2018/7/8 13:15:19)

おしらせ> 渋谷凛さんが入室しました♪  (2018/7/8 19:12:24)

渋谷凛> うん、暑いかもね……いろいろと大変なところもあるけれど（ふうっとそのままお風呂に入って）   (2018/7/8 19:13:05)

おしらせ> 一ノ瀬花名さんが入室しました♪  (2018/7/8 19:20:30)

一ノ瀬花名> こんばんは…////(なんてそっと)   (2018/7/8 19:20:49)

渋谷凛> ん、こんばんわだね？（ぐっとお風呂の中で手を伸ばしながら挨拶を向けて）   (2018/7/8 19:21:38)

一ノ瀬花名> お久しぶりかな？(なんて近寄って)   (2018/7/8 19:22:25)

渋谷凛> （近づいて来たのに見上げるように視線向けて）そうだね…最近は暑くて大変だし   (2018/7/8 19:23:07)

一ノ瀬花名> 暑いよね…(分かるよって隣により)   (2018/7/8 19:24:40)

渋谷凛> 花名はのぼせちゃいそうだけどね？（近づいて来たのを引き入れては軽く抱きしめて）   (2018/7/8 19:25:47)

一ノ瀬花名> んん…/////(軽く抱きつかれれば嬉しそうに)   (2018/7/8 19:27:52)

渋谷凛> それとものぼせたかった？（抱きしめたまま見つめて、その肌を撫でて）   (2018/7/8 19:29:22)

一ノ瀬花名> ひゃい…///そ、そんなことは…////(なんてすりすりして)   (2018/7/8 19:31:02)

渋谷凛> 本当かな…すっかりその気に見えるけれど上がる方がいい？（キスをしては首を傾げて）   (2018/7/8 19:32:39)

一ノ瀬花名> どっちでもいいよ凛ちゃんは？…////(キスをされればぽけーっと)   (2018/7/8 19:33:35)

渋谷凛> じゃあ上がろうか…のぼせたら動けなくなるし（立ち上がっては手を差しだしてざばっと流れるお湯をふるって）   (2018/7/8 19:35:08)

一ノ瀬花名> そうだね…////(手を伸ばして立ち上がり)   (2018/7/8 19:36:08)

渋谷凛> それじゃあいこう？（手を引いてそのまま連れて行くままに）   (2018/7/8 19:36:52)

一ノ瀬花名> はーい…///(なんて手を引かれて)   (2018/7/8 19:40:29)

一ノ瀬花名> 【あ、今行くねー】   (2018/7/8 19:42:02)

おしらせ> 一ノ瀬花名さんが退室しました。  (2018/7/8 19:42:41)

おしらせ> 渋谷凛さんが退室しました。  (2018/7/8 19:43:13)

おしらせ> アティさんが入室しました♪  (2018/7/9 02:58:02)

アティ> こんな時間ですが。特に一人で話す話題もなく…お邪魔しますねっ。（…どこに向けていってるんでしょうか？といったあとで少しばかり首を傾げながら…リビングの窓際の椅子に座りながら、お外でもゆっくり眺めていましょうか。）   (2018/7/9
02:59:17)

アティ> んっ。そろそろ一度お風呂にでもいってきましょうか。（ひとけも無い事ですしねっ。…んーっ。っと一度伸びをして身体を伸ばせば…退出です。）   (2018/7/9 03:31:54)

おしらせ> アティさんが退室しました。  (2018/7/9 03:31:56)

おしらせ> 琴葉茜さんが入室しました♪  (2018/7/9 19:47:53)

2018年07月03日 02時21分 ～ 2018年07月09日 19時47分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
