/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年01月02日 00時22分 ～ 2023年01月03日 01時46分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

中野一花> おっぱい同盟…   (2023/1/2 00:22:22)
小春六花> 大丈夫よ大丈夫、コミュニケーション頑張ろうね……（震え声。とりあえず頭はなでなで、なでなで）   (2023/1/2 22:52:15)

ケオベ> う、うん…おいらがんばるよ？（あれっなんか声が震えてるよ何か我慢してるのおいら何かやっちゃったのかなぁあとで怒られるかなぁあとでごはん抜きってなったらおいら泣いちゃうかも…！　初対面のひと＜ごはん。　でも尻尾は全開。全開でぶんぶん振り回すよ！おいらペッロー（いぬ）だからね！）
  (2023/1/2 22:54:17)

小春六花> 大丈夫大丈夫、別に怒ったりとかはしてないから……うん。（どうしたらいいんだろうね。これ。）   (2023/1/2 22:57:04)

ケオベ> そう？かなしくない？　じゃあだいじょうぶだね！（とくになにごともなくかいけつするよ！おいらペッローだからね！　※無関係）   (2023/1/2 22:58:40)

小春六花> 大丈夫かなぁ……大丈夫なのかなぁ……（まぁ、大丈夫よりかなぁ……）   (2023/1/2 22:59:41)

ケオベ> だいじょうぶじゃないの？　おなかいたいの？（おいら、こまかいことよくわかんないよ！）   (2023/1/2 23:00:24)

小春六花> とりあえず感情の機微を察せるようになってほしいな！（ほっぺたむにむに   (2023/1/2 23:03:31)

ケオベ> かんじょう？おいらしってるよ、レバーのことだよね！レバ刺しおいひんむにゅむぐんむー。（すっごいむにられた。散歩拒否る柴犬みたいな顔になってる。）   (2023/1/2 23:06:32)

おしらせ> フィーさんが入室しました♪  (2023/1/2 23:07:21)

おしらせ> 無言時間が25分を超えたため、IAさんが自動退室しました。  (2023/1/2 23:07:28)

フィー> こんばんはです、と入れ替わりでお疲れ様です   (2023/1/2 23:07:47)

ケオベ> ほんばんむぁー！（むにむに。   (2023/1/2 23:08:26)

小春六花> それは肝臓ではなかろうか。あとレバ刺しはもう禁止なのよ。（ほっぺたむにょりむにょり）あ、なんか姫始め10連ガチャしてそうなエロカチュアさんちっす   (2023/1/2 23:14:56)

フィー> 姫初めは…まだですねぇ、フィーは。明日夜あたりが狙い目だと思っていますが。   (2023/1/2 23:16:13)

ケオベ> えーっおいしいのに…おいらのおなかならだいじょうぶだよ。　うん？ひめはじめってなぁんむぎゅむぶるー（むにょられた）   (2023/1/2 23:16:27)

フィー> レバ刺しは食中毒のリスクがあるから飲食店の提供がダメってだけなので自分で買ってきてっていうのはできるのでは？   (2023/1/2 23:17:08)

ケオベ> いいのー？じゃあこんど巣の食堂でおねがいしてみようかなぁ。（なお怒られるもよう）   (2023/1/2 23:19:22)

小春六花> まだだったんだ。エクストリームデス乱交に混じってたんだとばかり。（ネーミングセンス）美味しいけどねー。生肉の取り扱いはねー……（大変なんだよねー）   (2023/1/2 23:19:52)

ケオベ> 辛そう。（辛…？）　うぅ、ればさし…ゆっけ…おさしみ…　ちのしたたるれあすてーき。（じゅるり）   (2023/1/2 23:21:27)

フィー> タルタルステーキとかいうのを食べる国もあるんですけどね。   (2023/1/2 23:21:29)

フィー> 毒のないフグとかと違って畜肉で食中毒リスクを下げるのはかなり困難なので   (2023/1/2 23:22:36)

小春六花> ふぃきぺでぃあのお時間だ。   (2023/1/2 23:24:41)

ケオベ> たるたるすてーき…！（なんだかしらないがとてもおいしそう。）　　…おー。（おいらわかるよ、このひときっとあたまいいひとだ。たぶん。）   (2023/1/2 23:26:09)

フィー> エスキモーだと野菜が食べられないからビタミンを摂るために生肉を食べるとかいう文化もあったようですが、まぁ現代においては生で肉を食べるのは嗜好品の類ですね完全に。なので完全無菌での動物飼育とかもしてないのです   (2023/1/2 23:28:41)

フィー> タルタルステーキは生肉をひき肉状になるまで叩いて玉ねぎやニンニク、塩胡椒なんかと混ぜた料理ですね。要するにパン粉とか入れてない焼く前のハンバーグみたいなものです   (2023/1/2 23:29:56)

ケオベ> ほへー………（なんかむつかしいはなし。…こっくり、こっくり。ぐー…）　　はんばーぐ！（くわっ。かくせい。）   (2023/1/2 23:33:18)

小春六花> カナッペみたいにしたいねぇ……   (2023/1/2 23:33:54)

フィー> カナッペ食べたことないんですよね…(オシャレだ)   (2023/1/2 23:37:43)

小春六花> クラッカーに具材載せてるだけじゃん……？   (2023/1/2 23:38:33)

フィー> そもそもクラッカーをあまり食べないから…   (2023/1/2 23:38:55)

小春六花> 美味しいよ…？   (2023/1/2 23:40:02)

フィー> そうなんですか？ふむむ買ってみましょうかね   (2023/1/2 23:41:47)

小春六花> まぁ……スナックみたいなものだしねー。   (2023/1/2 23:46:55)

フィー> なるほどです(ふあぁ…眠い)   (2023/1/2 23:56:31)

小春六花> ねといでねといで。   (2023/1/2 23:58:14)

フィー> そうですね、おやすみなさい…ZZzz   (2023/1/3 00:04:37)

おしらせ> フィーさんが退室しました。  (2023/1/3 00:04:41)

小春六花> おやすっすー。   (2023/1/3 00:05:03)

ケオベ> おやすみー？（ぶんぶん。）   (2023/1/3 00:05:29)

ケオベ> んぁふ。おいらもそろそろ寝るねー？（くるり丸まって蹲り。巣にかえれ。）   (2023/1/3 00:14:25)

おしらせ> ケオベさんが退室しました。  (2023/1/3 00:14:26)

小春六花> お疲れ様ー。   (2023/1/3 00:16:22)

小春六花> さーて、私はどうしよっかなー…   (2023/1/3 00:49:47)

小春六花> ぼちぼち寝てもいいんだけど……   (2023/1/3 01:13:26)

小春六花> パンデモ神社すっごぉ……   (2023/1/3 01:18:10)

小春六花> 上に人が集まるあたりにこう……さもしい気持ちになるぅ……（ころん）   (2023/1/3 01:27:40)

おしらせ> 響さんが入室しました♪  (2023/1/3 01:29:08)

小春六花> おや、いらっしゃーい？   (2023/1/3 01:29:46)

おしらせ> クレーさんが入室しました♪  (2023/1/3 01:29:56)

クレー> えへへ、こんばんは♪   (2023/1/3 01:30:46)

響> やあ、今年もよろしくね。(なんだか退屈そうだったから新年の挨拶兼ねてひょこひょこやってきた鍋響さん)   (2023/1/3 01:31:00)

響> クレーも、今年もよろしく(おててひらひら   (2023/1/3 01:31:31)

クレー> 小春お姉ちゃん、響ちゃんも今年もよろしくお願いします♪(ふわもこパジャマでおふたりにごあいさつ♪)   (2023/1/3 01:32:06)

小春六花> ほいほい、謹賀新年ー（手をひらひらり、いらっしゃーいって目をこすりつつよいしょって生クリーム乗せココアでもつくりますかねー…ってキッチンへ）   (2023/1/3 01:33:35)

響> 新年早々機関部が故障してしまっていたものだから挨拶が遅くなって悪かったね。(もこもこ暖かそうにしてるね   (2023/1/3 01:36:10)

クレー> クレー寝る前だったけど、覗きにきちゃった♪そしたら2人に会えたー   (2023/1/3 01:36:29)

クレー> そうだったんだ…？うーうん、まだ新年始まったばかりだし、いつあいさつしたっていいんだよ♪>響ちゃん   (2023/1/3 01:37:17)

小春六花> 寝る前ならあんまり無理しないようにねー。（なんて、ココアの粉を入れたあとにゆっくりとお湯とミルクでネリネリしながら溶かしていきつつ。）私だって喉故障させてるし多少はね。   (2023/1/3 01:39:51)

響> 私もそんなに長くはいないかもしれないけどね…ん、スパシーバ…(ふわもこクレーをよしよししながらちゃっかり暖を   (2023/1/3 01:41:26)

クレー> ゆっくり休んで体調治してね…？>小春お姉ちゃん。みんなも今年も健康だいじに、ね♡   (2023/1/3 01:42:16)

クレー> あ…、えへへ//今年はじめて響ちゃん、ぎゅう…♪   (2023/1/3 01:43:21)

小春六花> 別にいいよいいよぉ？（そのまま塩をひとつまみ隠し味。その後ホイップした生クリームをこれでもかとこんもり乗せればいつもの生クリームのせここあ）   (2023/1/3 01:44:47)

クレー> 小春お姉ちゃん、こんな夜中に生クリームのせのせなんて…わるだね♡(にやり…といいねって意味を込めた顔で)   (2023/1/3 01:46:26)

2023年01月02日 00時22分 ～ 2023年01月03日 01時46分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
