/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年06月26日 15時18分 ～ 2018年06月27日 09時20分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

田井中律> まだこんにちはじゃね？(笑いながら背泳ぎぷかぷか～)   (2018/6/26 15:18:42)

霍青娥> はぁ…ふっ…でそうっ♥（そう言いながら咲夜の奥を突いて突いてたっぷり刺激していき）ふふ…よかった♥（嬉しそうにしつつ   (2018/6/27 07:07:41)

田井中律> 青娥はいっぱいいっぱいしてそう。ここ長いの？(ふと思いながら)   (2018/6/27 07:12:11)

霍青娥> そうねっ…半年…はいかないとおもうけどそれぐらい？   (2018/6/27 07:13:34)

田井中律> 長いね！私つい先週からかな？(はて)   (2018/6/27 07:14:34)

霍青娥> ふふ、いっぱいこれからも楽しんでね♥   (2018/6/27 07:16:16)

田井中律> うん、てか今が楽しいよ♪   (2018/6/27 07:19:04)

霍青娥> よかったわ…♥   (2018/6/27 07:19:29)

田井中律> でも、なんでか皆私を受けにしたがる(むぅ)   (2018/6/27 07:21:00)

霍青娥> おちんぽ生やせば攻めにも行けるとおもうわよ。まぁそれでも受けの人は受けだけど   (2018/6/27 07:21:36)

田井中律> なんかそうしても結局相手も生やして私は受けるみたいな感じになりそうだな(笑)   (2018/6/27 07:23:12)

霍青娥> 律ちゃんはどっちがいいの？好きな方を楽しむといいのよ   (2018/6/27 07:24:23)

おしらせ> 無言時間が20分を超えたため、十六夜咲夜さんが自動退室しました。  (2018/6/27 07:25:14)

霍青娥> お疲れ様、咲夜ちゃん（そう言いながら出せなかったちんぽを握るとしこしこしつつ座って   (2018/6/27 07:27:20)

田井中律> どっちもどっちだから、相手の気分に任せちゃう感じになるかな？と、咲夜さん寝ちゃったね？   (2018/6/27 07:27:23)

田井中律> 青娥、目の前でシコシコしないでよ//////   (2018/6/27 07:28:09)

霍青娥> んふふ…だって出そうだったから♥あぁっでる…♥（そう律に伝えながらビクンッと震えるとドビュッ！！ドビュッ！！と床にたっぷり精液を射精して   (2018/6/27 07:30:34)

田井中律> やらしいなぁ//////(目の前で射精する青娥みて頬染めて)   (2018/6/27 07:33:16)

霍青娥> ふふ、いやらしいの大好きだもの（そう言いながらちんぽをなくすと下着を履き直して   (2018/6/27 07:33:58)

田井中律> 青娥は毎日えっちしてツヤツヤなんだね？(時計チラッと見て)そろそろ仕事始まるかな(背伸びしながら)   (2018/6/27 07:35:27)

霍青娥> ええ、若さの秘訣ね（そう言いながら相手に微笑みかけて言って）はぁい、暇な時に続きしましょうね♥   (2018/6/27 07:37:15)

田井中律> そろそろ行くね♪多分夕方にまた来るかな？明日休みだから(ニカッと笑って青娥に近付くとチュッと唇にキスして)それじゃ、またね♪(手をヒラヒラしながら出ていき)【お邪魔しました♪】   (2018/6/27 07:39:27)

おしらせ> 田井中律さんが退室しました。  (2018/6/27 07:39:32)

霍青娥> またね♥   (2018/6/27 07:40:31)

おしらせ> 霍青娥さんが退室しました。  (2018/6/27 07:40:34)

おしらせ> アティさんが入室しました♪  (2018/6/27 07:48:52)

アティ> んっん～。久々のいい天気って気がするなーっ。（お部屋に入ったら窓際に近づいて、ぐいーっと伸びを一つ。お日様の光が眩しくてちょっと目を細めながらお外を見ながら気持ちい朝と風景で笑みを一つ。）何処か知らない世界のこのお部屋でちょっとだけお暇を潰そうかなっ。（ぽふんっ。そのまま窓際付近のソファに座れば、光に目が慣れてきたのか目をしっかり開きちょっとご機嫌に鼻歌でも歌いながら外をぽーっと眺める私っ。）
  (2018/6/27 07:53:29)

アティ> ぽかぽかあったかくてちょっとうとうとしてきちゃうかも。（いや？少し暑いぐらい？もう6月も終わりだもんね。…ぢんわりちょっと身体が汗ばんできてる感覚。でも日差しがきもちよくて…時折首がかくんっと沈んだりもたげたり…。うとうと。）  
(2018/6/27 08:10:40)

アティ> （首を左右にふるふるっ。…っと。帽子が落ちそうにぱっと片手で押さえながら…苦笑い）いけないっ…本当に寝ちゃうとこだった…。こんな時間から寝ちゃったら生徒に示しがつかないよねっ。これからますます暑くなってきそうだし…そろそろ海の季節かなぁ…。（…水着とかいいよね…？あ、でも私って…いっつも同じ格好しかしてないような…水着あったっけ…？（めたぁ。））
  (2018/6/27 08:39:10)

おしらせ> 結月ゆかりさんが入室しました♪  (2018/6/27 08:43:12)

結月ゆかり> (いつもの格好でフラりと部屋を訪れるゆかりさん)…おやおや。先生が居眠りだなんて、教え子に示しがつきませんよ？(なんて背後から顔を覗かせて生存確認。意識ありますかー、生きてますかー、って身振り手振り加えつつ)   (2018/6/27
08:45:35)

アティ> わひゃぁっ！？（唐突に後ろから…首横ぐらいから顔伸ばしてるのかな？ゆかりさんがお顔だしたら肩をびくんっと跳ね上げて。）び、びっくりしたなー…う、うん。ちょっとだけ危うい感じだったけどお、起きてるよ？（目くしくし。…少し瞼が落ちそうな本当ぎりぎりな感じだったけど、驚いたから目冴えちゃった。）
  (2018/6/27 08:47:31)

おしらせ> 源内あおさんが入室しました♪  (2018/6/27 08:49:22)

結月ゆかり> ふふ…お疲れのようですね。それともまた夜更かしでしょうか？(くすくすと肩を上下に揺らしながら面白そうに眺めてみたり。)まぁ、どっちでも構いませんが…せめて寝るならお布団で、でしょうか？(お布団しこう！な？的なノリで。…生憎じめじめしてるのでさっぱりしたところで寝たいゆかりさんです)
  (2018/6/27 08:50:26)

源内あお> 海……祭り、バーベキュー！！この暑ささえなければ…いい季節だよね、夏（そんなゆかりの後ろからひょっこり顔がもう一つ）先生の寝坊の危機と聞いて？   (2018/6/27 08:50:49)

結月ゆかり> 夏……ツラい…(げっそり。引きこもりにはツラい時期。ただでさえ暑いのにpcの熱とかで更にヒートアップするやつ。勘弁してください…)   (2018/6/27 08:52:06)

アティ> 夜更かしっていうか私実はさっき帰ってきたばっかなんだよっ。（べ、べつに夜会話してて起きてたとかじゃないからね！ほ、ほら家庭教師でもあるけど冒険者的な事もしてるから…！）お布団…？ゆかりさんの？（なんで。　…さっぱりしたところで…？ビーチチェアとかかなぁ？）
  (2018/6/27 08:52:53)

アティ> …わわわっ！？増えた―！？…ってなんで二人とも背後からなのかなっ！？（びくんっ。パート２）寝、寝坊はしてないよー…しいていうならまだ寝てないですよっ！   (2018/6/27 08:53:45)

結月ゆかり> ふむふむ。…かく言う私も今戻ってきたばかりだったりします(…朝帰り…先生…なにもないハズがなく？冒険的なプレイですか…興味深いですね)
相変わらずぐいぐい来ますね。…いえ、そういう積極的なのは良いことです。あ、先生はムッツリでもすごい似合うと思います(ぐっ、と握りこぶし作りつつ。…そうですねぇ。ですが、あえてじめじめしたところで汗だくックスなんてのも…割と好きだったり)  
(2018/6/27 08:56:25)

源内あお> いやぁ…入ろうかなって思った時にゆかりの後ろ姿が見えたから、ついていく感じになっちゃって？（そういや、このゆかりは二人目だとかなんとかなんだっけ？挨拶…いるかな？って気にしたり。）二人共朝帰り、ボイロや先生の夜は遅い？（私はちゃんと寝起きですって元気さをアピールしたい。残ってる寝癖とかで…）
  (2018/6/27 08:58:25)

アティ> なんか凄くよこしまな想像されてる気がするんですけどっ。（…たはーっと苦笑い…冒険的なプレイってどんなプレイですか！？）うん、ゆかりさんの中の私っていったいどんなイメージなんだろ。（なんだか全部えっちに繋げられてるような気がするっ。――…うん。汗だくになるのは…私も好きかも。（ぽそぽそぉ。））
  (2018/6/27 08:58:55)

アティ> 私はなんだろ、今は基本夜にお仕事って感じなんですよ？（決して…その…夜更かし的な意味で起きてるわけでは…！（たまにそういうときもあるけど。））うん、あおさんみたいにきっちり夜寝て朝起きるっていうのが一番だとおもいますよ？（こくんっ。つっ、寝ぐせを指差し髪の毛乱れてますよ？なんてクスっと小さく笑み零しつつ。）
  (2018/6/27 09:01:24)

結月ゆかり> なるほど。…私もつけられていたんですね。(迂闊でしたって別に警戒してたわけじゃないけど顔を背けてボソボソ。ええ、私は二人目です。きっとこのあと第2第3の私が…)んー…出来ることなら規則正しい生活したいですけど、ねぇ？(夜は楽しい事がいっぱい。ネトゲにソシャゲに…深夜放送！)
  (2018/6/27 09:01:51)

結月ゆかり> よこしまだなんてとんでもない。至って正常な反応ですよ…？(たぶん。正常ってなんだっけ。…冒険的って言ったら…ほら、外で？とか)夜会話しないと生命維持に支障を来すレベルで、夜会話(意味深)が大好きな家庭教師、ですかね…？(ああ、イベントの都合で夜会話無いときもありましたけど。何て言うか…スポーツしたあとの汗みたいで、すごいさっぱりするんですよねぇ。……運動苦手ですけど(ぼそ))
  (2018/6/27 09:05:12)

おしらせ> クロエさんが入室しました♪  (2018/6/27 09:06:24)

源内あお> 確か家庭教師なんだっけ…。一晩かけて勉強を教え込む…うへぇ（一体毎晩どれだけの事を教え込まれてるのか…）轟雷達が充電する夜じゃないとまともに寝られないしね…（後やろうとしたゲームがメンテだったのが理由だとかなんとｋ…）あ……あはは、ま、まだ寝ぼけてたって事で（指摘されれば…ぽふっと赤くなりつつ手櫛で直して）
  (2018/6/27 09:06:32)

結月ゆかり> …なんですか、その子守りするお母さんみたいな。うちの子は夜泣きがひどいんです！…って感じなんでしょうか？(◯◯がおとなしくしてくれないと～、ってそういうイメージが…。面倒見はいいんですね、って優しい顔を向けておきます)   (2018/6/27
09:08:11)

アティ> う、うん。多分ゆかりさんと私での正常って違いがあるとおもうんだ？（多分。…そ、そんなお外でなんて今のじき虫に食われちゃいますっ。（つっこむとこそこじゃない。））ゆかりさんはどれだけ私の事夜会話好きだとおもってるんですか！？…いえ、別に嫌いじゃないですけど。（むきゅぅ。顔を赤くしながら…もじり。）ゆ、ゆかりさんもでも夜会話好きですよねっ。（むにぃぃー。っと必死の抵抗とばかり頬を緩く両サイド抓ってあげましょう。あ、やわこい。）
  (2018/6/27 09:08:24)

アティ> そ、そぉ…一晩かけてみっちりと…。（ということにしておこう。　わ、わたしそんなスパルタじゃないですけどねっ！）ごーらい？（はて？召喚獣みたいなお名前が。）   (2018/6/27 09:09:24)

クロエ> くあぁぁ～　おはよぉございまーす…　ここはいつ来ても賑わってるのねえ♪(扉開けて入ってきたのは綺麗に日焼けした１０歳前後の少女、ピンクがかった長い銀髪はくせっ毛ぎみで跳ねていて前髪は片側だけヘアピンで止めている。
袖が大胆に露出した夏らしい涼やかな黄色と白ストライプのキャミソールはあまりにだらしなく着ているせいか裏の黒いブラがみえちゃいつつ、活発そうなデニムのショートパンツという出で立ちで)　おぉー、初めましてね。わたしはクロエ、クロエ・フォン・アインツベルン。クロエでいいわ、よろしくね♪(手をひらり)
  (2018/6/27 09:10:45)

アティ> っと。また朝から新しい子がっ。はい、おはようございますっ。（片手で帽子を押さえつつぺこりっ。）…。（ど、どうしよう…すっごく見えちゃダメなものがみえまくってるけど…これは先生として教えるべき？いや、でもみんなにばれるように教えたら傷ついちゃうかも。（ううん。ってちょっと頭抱えちゃう。））
  (2018/6/27 09:12:42)

結月ゆかり> なら、お互いの正常をぶつけあっても不毛ですね。なのでここは平等に半分くらいでいきましょう(先生はすけべとすけべしゃないの中間辺り、という意味。すけべの比率が多いのですけべでした(結論)…じゃあ、テントとか張って、それの中、とか？人目には付かないですが音はモロばれです)
中毒レベルで好きだと思ってますよ(ふふん。でなきゃ飽きもせずにお気に入りのキャラにアタックしたりしません。しかも夜中に)
ええ、好きですよ。きっと全章で同じキャラを選んだらご褒美シーンがーーあふほ、ほほって…(あると思って。カノンにひたすらダイレクトアタックする程度には、と。頬っぺた引っ張られてるのでうまく話せません…)   (2018/6/27 09:13:12)

おしらせ> 渋谷凛さんが入室しました♪  (2018/6/27 09:14:47)

源内あお> みっちり…（想像する先生の授業風景…眠たそうにしてる生徒を優しく応援しつつ隣で教えてくれる先生。…これは、確かに眠れなくなりそうだ。色んな意味で）あっ…えっと。ウチで飼ってる……ぷ、プラモデルの事？（凄く説明しづらかった。というか傍から聞いたら痛い子発言だった）
  (2018/6/27 09:15:13)

結月ゆかり> おはようございます。…ふふ、私はまだ寝ていませんが！(なのでこんばんはですね！なんて小学生レベルの屁理屈を並べ。10歳程度のレベルにゆかりさんが合わせただけなんですからね…？)
お名前長いんですねぇ。クロちゃんにしておきましょう。(甲高い声で話す大柄のお笑い芸人みたいですね)   (2018/6/27 09:15:55)

渋谷凛> なんていうか…賑やかに集まってるね確かに……（ふぅんと色々と見渡してはふっと気を抜いて）……変に遊んでる訳でもなさそうだけれどね……   (2018/6/27 09:16:36)

アティ> （結局すけべになった。（がびんっ。））う、うん…まぁ…夜にお話しするのは否定しないけど。（もにょ、もにょ。結局好きだって事で折れた。）ゆかりさんは私達の世界の事くわしすぎませんっ…！？（むーに、むに…ちょっと触り心地よくて癖になりますね。こー離すの忘れて…上にひっぱり、横にひっぱり。（いい加減怒られそう。））
  (2018/6/27 09:16:45)

アティ> あぁなるほど。（機界の子達かな？（プラモデルっぽいし。）…なんか凄く違う納得の仕方した、私でした。）   (2018/6/27 09:18:01)

おしらせ> フカ次郎さんが入室しました♪  (2018/6/27 09:18:53)

源内あお> ん、初めましてー。源内あお。普通の高校一年生だよ。く、クルェ…ふぉ、…クロエ！（フルネームで呼ぶのはすぐに諦めたのだった。うん。ややこしいのとかめんどいのは嫌だしね。）凛もおはよー（やっほーと手をふりふり）   (2018/6/27
09:19:02)

フカ次郎> ぬ、ぬー……右太、左子、少し太ったんじゃないかね？両肩痛いよわたしはもう……（がしょがしょ。なぜかフル武装状態で入ってくる娘。戦争の予定はないですよフカちゃん）   (2018/6/27 09:20:03)

2018年06月26日 15時18分 ～ 2018年06月27日 09時20分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
