/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月20日 06時41分 ～ 2022年12月20日 12時32分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

小春六花> 話は聞かせてもらいました！ヨーグルト食べましょう！（バ　ァ　ン   (2022/12/20 06:41:24)
フィー> ふたりでお楽しみするんでしょうね―…   (2022/12/20 11:59:38)

クレー> まあ、同じバンドマン同士で語り合うこともあると思うんだー、音楽以外に♡   (2022/12/20 12:00:22)

小春六花> ｳﾗﾔﾏｼｶｷﾞﾘﾈｰ   (2022/12/20 12:00:23)

小春六花> おかしいなぁ、軽音部のくくりなら絶対私のほうが近いのにね。やっぱCevioの認知度低すぎる……   (2022/12/20 12:00:58)

フィー> 年季の問題でしょうか…？   (2022/12/20 12:01:18)

クレー> (甘えてきた小春お姉ちゃんのあたま、お団子くずさないようになでなで……)、フィーちゃんはお時間大丈夫なの？   (2022/12/20 12:01:46)

小春六花> いうてIAさんもアスノヨゾラ哨戒班は知っててもIAさんは知らない人って多そうだよね。（いかっぱらつんつんしつつ）   (2022/12/20 12:03:33)

おしらせ> ヤクさんが入室しました♪  (2022/12/20 12:04:09)

フィー> アスノヨゾラ哨戒班よりプロセカのほうが知名度高くないですか？   (2022/12/20 12:04:11)

ヤク> あら、私なんてパークの外のことなんにも知らないわよ？   (2022/12/20 12:04:25)

フィー> 間違えたカゲプロです   (2022/12/20 12:04:39)

クレー> (プロセカは知ってるけど…それ以外のこと全く知らないっていうきょど顔)   (2022/12/20 12:04:45)

フィー> フィーはあと1時間弱ですね…   (2022/12/20 12:04:53)

小春六花> ヤクちゃんやっほー。   (2022/12/20 12:05:16)

クレー> (間違えた…プロセカ・ガケプロの名前は知ってるけど、それ以外のことは全く知らないって言うきょど顔)   (2022/12/20 12:05:25)

フィー> カゲプロ、アニメ化やラノベ化までしてましたし。   (2022/12/20 12:05:40)

フィー> こんにちはですー   (2022/12/20 12:05:44)

クレー> クレーもそんな感じ♪>フィーお姉ちゃん   (2022/12/20 12:05:49)

クレー> あっ…♡ヤクお姉ちゃんこんにちは…！   (2022/12/20 12:06:04)

ヤク> こんにちは。こんなに寒い日にみんな裸んぼだなんて、なにか我慢比べでもしてるの？（いつの間にかソファに座ってみんなににこにこ手をふるウシのお姉さん。）   (2022/12/20 12:06:41)

小春六花> プロセカのほうがまぁ……認知度高いよね。うん…なんなら私フィーちゃんのオリ曲全く知らないんだけどフィーちゃん本当にシンセあるっけ（？）   (2022/12/20 12:08:17)

小春六花> うーん…おしくらまんじゅうしてた感じー？   (2022/12/20 12:08:33)

クレー> そ…そうだったんだ…//(さっきリビングきて雰囲気で脱いでまだ状況飲み込めてなかった感じで…)…   (2022/12/20 12:10:37)

クレー> フィーちゃんもはだかなんだよね…？(ちらっ…♡)   (2022/12/20 12:11:12)

フィー> そうですよー（すっぽんぽん）   (2022/12/20 12:12:02)

クレー> 小春お姉ちゃんもフィーお姉ちゃんもキレイで素敵なんだけどね♡   (2022/12/20 12:12:45)

フィー> たしかに私の歌ってあんまり見ないですね。多分ずんだもんさんのほうがオリ曲再生数伸びてる気がします…   (2022/12/20 12:12:48)

小春六花> でもここでこれだけ暴れてもみんな私のこと公式サイトしか見ないんだよね。知ってる。（悲しい）   (2022/12/20 12:16:00)

ヤク> お昼から楽しそう。私も混ざりたいけど、今はごはん休憩であんまり時間がないから…。   (2022/12/20 12:16:08)

小春六花> 実際もうみんな時間はね……無いのよね……   (2022/12/20 12:16:29)

小春六花> 毎回フィーちゃん気づいたらタイムアップしてるから誘えないんだよねぇ……   (2022/12/20 12:17:05)

クレー> ヤクお姉ちゃん何食べてるのー？(にこーっ)   (2022/12/20 12:17:41)

クレー> フィーお姉ちゃんも忙しいんだよ…(よしよしとなでなで…)>小春お姉ちゃん   (2022/12/20 12:18:54)

ヤク> 私？これはね、ジャパまんって言って、本当はパークのおみやげだったんだけど、いつからか私達の主食になってるの。（虹色まんまるおまんじゅう。）クレーもはんぶん、食べる？   (2022/12/20 12:20:18)

小春六花> 仕方ないよねぇ……クレーちゃんのちくびでもつまんでよ……（おつまみ感覚）   (2022/12/20 12:20:26)

クレー> 虹色のおまんじゅう………ごくり……、いただきます……あむっ……>ヤクお姉ちゃん   (2022/12/20 12:21:32)

クレー> んっ……こらぁ……めっ♡>小春お姉ちゃん   (2022/12/20 12:21:52)

ヤク> 六花とフィーは仲がいいのね。そんなに狙ってるなら、周りがちょっと気を利かせてあげたりしてあげないといけないわね。　あ、私も。（反対側からクレーの乳首を優しくきゅ…）   (2022/12/20 12:22:35)

ヤク> （おまんじゅう自体は普通のあんまんみたいな味。具はないけど、甘くて普通においしい…かも？）   (2022/12/20 12:23:10)

小春六花> えー……傷心中の住人を慰めると思ってさー。（片方の乳首をくりくりといじりつつ。　あんはほしいなァ……って思ったり）そそ、私とフィーちゃんは同じ会社に所属してるから。親近感はあるよね。   (2022/12/20 12:24:03)

フィー> 時間あるときは暇になるんですけどね…（ひょこ   (2022/12/20 12:24:21)

フィー> 今日の14時から21時くらいとかはガラっと空いてます（出発準備中・・・）   (2022/12/20 12:24:57)

おしらせ> 秋山 澪さんが入室しました♪  (2022/12/20 12:25:30)

クレー> あむあむ……すごいクレーの知らない味だけど…甘くて…色んな味が混ざってる感じー…♡嫌いじゃないよ(にこりと笑顔でもぐもぐ)   (2022/12/20 12:26:09)

ヤク> だって、このジャパまん今じゃアニマルガールの基本栄養食になっちゃって。あんまり変なもの混ぜて、健康管理できなくなっちゃったら困るでしょ？　…とはいいつつ、犬の子もチョコが食べられるようになってるあたり心配いらなさそうだけどね…。（あんこは…けものは食べるのかしら？）
  (2022/12/20 12:26:41)

クレー> もぉー……ふたりとも…えっち♡♡>ヤクお姉ちゃん・小春お姉ちゃん   (2022/12/20 12:26:41)

小春六花> 秋山ちゃんおかえりー。（おててふりふり。）あれ、用事ってそんな短いの？   (2022/12/20 12:27:08)

フィー> 2時間しないくらいですね。   (2022/12/20 12:27:36)

秋山 澪> ただいま　幼児？　あんなのは嘘だ（きっぱり）   (2022/12/20 12:27:55)

ヤク> まぁもっというと私達の経験値アイテムだから、これいっこでレベルが何個か上がるかもしれないけど（めたぁ〜）　せっかくクレーがいるところに来れたのに、何もしてあげないなんてかわいそうでしょ？   (2022/12/20 12:28:06)

ヤク> ねぇ、六花♪   (2022/12/20 12:28:15)

秋山 澪> って変換！！！   (2022/12/20 12:28:18)

フィー> 澪さんはバブちゃんだったんですね…（あらぬ誤解）   (2022/12/20 12:28:47)

小春六花> そうねー。せっかく脱いでくれたんだから、ご褒美はあげないとかわいそうだよねぇ……♪（乳首しこしこーって……）   (2022/12/20 12:29:10)

ヤク> なぁに、こんなお昼から奥のお部屋？あなたもお疲れ様。（ぺこり。ごあいさつのつもり。）   (2022/12/20 12:29:26)

秋山 澪> 誤解にも程がある！　たしかに私の変換ミスが原因だけど……度し難い……   (2022/12/20 12:29:31)

小春六花> 実際、澪さんか、フィーちゃんお誘いしたかったけど二人に袖にされたので、クレーちゃんの乳首に甘えるしかないのだ……（責任転嫁　   (2022/12/20 12:29:58)

クレー> んにゃ……もう//…んっ…♡(ふたりにちくびつままれちゃって…少しずつちくび膨らんできちゃって…)   (2022/12/20 12:30:08)

フィー> ジャパリまんじゃなくて？って思ったら公式の方でも表記ゆれあるんですね   (2022/12/20 12:30:16)

フィー> …14時からならいいんですけど（六花さんじぃ）   (2022/12/20 12:30:29)

秋山 澪> すまない、整理させてくれ　ログを読みつつ初見の方にも挨拶しなければならないので   (2022/12/20 12:30:40)

ヤク> それじゃあ、お昼の間に……クレー…♪　……イきたい？（ぼそり。人差し指を優しく載せて、くに…くに…♡）   (2022/12/20 12:31:02)

小春六花> フィーちゃんから怨嗟みたいな視線を受けてる。（めっちゃ見つめられてる）   (2022/12/20 12:31:16)

ヤク> ジャパリまんは2000年後での呼び方ね。今のパークではもっぱらジャパまん呼びが主流よ。語呂的にもジャパリまんのほうがしっくり来るのはわかるけどね。（もぐもぐ）   (2022/12/20 12:32:11)

2022年12月20日 06時41分 ～ 2022年12月20日 12時32分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
