/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年06月05日 23時19分 ～ 2018年06月06日 18時38分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

白金燐子 ◆> 私も・・・あと少しだけ・・・   (2018/6/5 23:19:20)
フカ次郎> さっきは現実って……（ツッコミは霧散。うなじになんかあったかいのが。ぞわぞわと身体を震わせ、思わずへたり込みそうになりつつ)しの……あ、いや、フカ次郎。フカで、いいけど（そのまま流れで名前も教えてしまう。本名出しそうになったよ……危な)  
(2018/6/6 10:25:09)

霍青娥> フカちゃんね、わたしは青娥よ…霍青娥（相手に微笑みかけながらなまえを伝えて、いらっしゃい…と言いながら相手を連れて部屋の中に入っていき、覗き見していた二人の情事がよく見えていて二人の絡まっているソファのテーブルを挟んで真正面のソファにフカと一緒に座って優しく頭を撫でて
  (2018/6/6 10:28:23)

アンヘル> で、結局これはソ……ソフトなのかなぁ？(唇を啄まれ、秘部やクリトリスを弄り回すのはソフトな行為、らしい)あ……ぁあ…！んあ♥まいった、まいったけどやめないでぇ……ん…イッ……く…あ、ぁ♥ンンー♥(指がざらついた部分を擦りあげて、一気に指で愛液を掻き出すように引き抜かれて、腰を大きく震わせる。クリトリスを撫でられた拍子にびくびくと痙攣しながら絶頂に昇らされる)
  (2018/6/6 10:32:40)

フカ次郎> せーがさん、か……ゎ、ちょ（振り回されっぱなしのまま、中に連れ込まれる。座らされた先は、体を重ね合う二人の目の前であり……し、正面を直視できない。こう見えて私は健全な大学生、エロゲなんてやったことも無いし。……処女だし！)……ぬぅ…(とはいえ、部屋を出るのも隣のせーがさんに申し訳ない。結果、目を逸らしながらも聞こえる声に落ち着かないまま)
  (2018/6/6 10:34:05)

リグル・ナイトバグ> ええ、と……客観的に見たら、ソフトじゃ…無いかなぁ…(あくまでいつもと比べたらソフトではあるかもしれないけど、客観的に見たらの結果そうなった)　大丈夫――やめないよ。(アンヘルさんが気持ち良くなったら止めちゃうけどと。絶頂を迎えるアンヘルさんのお腹を優しく濡れた指で撫でながら顔を離せば頬に口付けて)
  (2018/6/6 10:35:11)

霍青娥> んふふ…こういうお部屋（そう言いながら二人の情事を見せながら微笑みかけていて相手が目を逸らしてあるとクスクス微笑みながら優しく抱きしめてあげて頭を撫でながらゆったりとしていて何か飲む？と聞いてみて   (2018/6/6 10:35:50)

フカ次郎> だ、だから抱きしめるのやめぇ（こうやって抱き寄せられる度に、変に甘い匂いでクラクラしてしまう。もじもじと太ももを擦り合わせつつ、視線をどこにやればいいのかも分からなくなってあっちこっち)……コーヒー、ブラックのやつ……（一旦冷静になろう。そう思いながら)
  (2018/6/6 10:38:14)

アンヘル> はぁ……ハァ…♥(リグルにしがみつきながら絶頂の余韻を味わう。労るように撫でる手の感触が心地よく感じる)……朝から、いかされた……ぁ♥やっぱり、リグルが盛ってたんじゃないのさぁ   (2018/6/6 10:38:29)

リグル・ナイトバグ> (濡れた指から今度は五指でしっかりと撫で摩って)…ん、んん。…まあ、…結果的に盛ってた――けど。(…ちょっぴり煽られたからでもあるもんって、認めはしつつも少しそんな言い訳)   (2018/6/6 10:39:58)

霍青娥> ん、わかったわ（そう言いながら微笑みかけてテーブルの上でコーヒーを作っていきしばらくするとはい…と相手の前にコーヒーを置いてあげて   (2018/6/6 10:40:42)

アンヘル> ん……ぁ、じゃあ、今度からも煽ろう(懲りない様子を見せると頬に口づけて)あ、そろそろ時間だから……今度は濃厚なの、ね   (2018/6/6 10:43:08)

フカ次郎> （差し出されたそれをぐいっ、と一口に。こと、とカップを置けば)にっが！！（当たり前だ。けどまあ、おかげで思考も落ち着いて。改めて室内を見回し)なんというか、ふつうにリビングっぽい空間だなぁ……これからどうしよ、私(何が起きたかもさっぱりわからないし。ため息ひとつ、困り顔
  (2018/6/6 10:43:24)

リグル・ナイトバグ> …アンヘルさんは流石だった…！(そして煽られて色々してしまう未来も見えた…)…ん、うん。今度は、ね。(ありがとうね、ってアンヘルさんにもう一度頬にキスをしてから。私もそろそろ行かないとだ。…心配してくれたのもありがと、って)  
(2018/6/6 10:44:33)

霍青娥> もし、居場所がないならわたしの家にでもくる？（いきなり誘う邪仙、疑いを知らぬのかなんなのか…と思われても仕方ないが相手が困っているようなのでそう聞きつつ優しく頭をなでなでしてあげていて   (2018/6/6 10:44:43)

フカ次郎> へ？せーがさんの家……ていうか良いの？こんなどこから来たのかもわかんないような怪しい奴(自分で言うのはアレだけどさー、なんて。予想外の言葉にどちらかといえばきょとん、としていた)   (2018/6/6 10:46:39)

アンヘル> と言うわけで失礼しまーす。残ったお二人も仲良くね……んふふ(と意味深に笑い部屋を後にする)   (2018/6/6 10:47:03)

おしらせ> アンヘルさんが退室しました。  (2018/6/6 10:47:07)

霍青娥> お疲れ様〜、アンヘルちゃん   (2018/6/6 10:48:09)

リグル・ナイトバグ> 私も慌ただしくなっちゃうけどこれで…そっちの人は今度また時間があるときにお話しようね…っ！(青娥さんも、って手を振って)   (2018/6/6 10:48:55)

霍青娥> 別に構わないわよ…フカちゃんかわいいしね（そう言いながら優しく微笑みかけながら言って相手を見つめながらどうする？と聞きながら優しく優しく頭を撫でてあげて相手を安心させるように見つめていて   (2018/6/6 10:48:59)

おしらせ> リグル・ナイトバグさんが退室しました。  (2018/6/6 10:49:00)

霍青娥> ええ。またねリグルちゃん（そう言いながら手を振ってって見送って   (2018/6/6 10:49:15)

フカ次郎> は、はぃ？お、おつかれ……（去って行く二人に手を振りつつ、あれほんとだせーがさんと私しか居ないよコレ)か、かわいいって……やっぱり、その。まさかアレ目当て、とか……？（真っ赤になりながら聞いてみるのであった。……し、視線外したい……！！  
(2018/6/6 10:50:57)

霍青娥> んふふ、どうかしら？そういう経験ならたっぷりしたことあるってことだけ伝えておくわ（そう言いながら微笑みかけつつ優しく頭を撫でていて、優しい笑みから少しいやらしくドキッとするような淫靡な笑みを見せつけつつ自分の体を見せつけるように相手の前で胸を軽く揺らして見せてみたりして
  (2018/6/6 10:53:04)

フカ次郎> 【ぁ、ちょっと反応遅れまーす   (2018/6/6 10:54:14)

霍青娥> 【はーい   (2018/6/6 10:55:26)

フカ次郎> (どきり、としつつ確信。……かといって断ることもできない。なにせ現状私に居場所がないのは確かなのだ。艶かしい視線に釘付けにされつつ、頬が熱くなって行くのを感じ)   (2018/6/6 11:10:11)

霍青娥> どうする？（そう言いながら相手を見つめながらまた優しい笑みに戻って相手を見つめていてそのまま優しく相手の手を取ると自分の胸を触らせてみて柔らかくマシュマロのような胸、一緒に住めばこれを…と相手に教えるように触らせていき   (2018/6/6
11:12:25)

フカ次郎> ど、どうもなにも……（ぁ、柔らかい……なんて若干現実逃避気味な思考。マシュマロみたいだなこれ、コヒーのよりでかい。私のことは聞くな。ふに、ふに……ちょっとクセになりそう)   (2018/6/6 11:17:35)

霍青娥> どこも行くあてないのでしょう？（そう言いながら相手に微笑みかけつつ優しく相手に触らせながら相手が刺激してくるとちょっとだけ甘く…あん♥と甘い声が出てその声が相手の耳をくすぐってきて   (2018/6/6 11:19:26)

フカ次郎> い、いちいち声が！（さらに真っ赤になりつつ、動かすのはやめて。問いかけにはこくり、と頷いた。否定したってしょうがない、事実だし   (2018/6/6 11:21:31)

霍青娥> ふふ…（相手に微笑みかけつつ優しく撫でてあげて）あんまり困らしちゃいけないわね（そう言いながら微笑みかけて安心して…襲ったりとかはしないわとそう言いながら今までも誘うような仕草はあるが無理やりな感じはないのでそう言って   (2018/6/6
11:22:46)

フカ次郎> むぅ……わたしがからかわれるとは（バツの悪そうな顔。相変わらず落ち着かないまま、ソファにぐったりと沈む)   (2018/6/6 11:25:25)

霍青娥> あら、ちょっとやりすぎたかしら（そう言いながら相手がぐったりとしてしまうとちょっと焦ってごめんなさいねと伝えながら相手に甘い飴玉を胸元から取り出して渡してあげて、ちゃんと紙袋に入っている飴玉で   (2018/6/6 11:27:58)

フカ次郎> 大丈夫です、多分（ぁ゛〜……とか外見的に出しちゃいけない声出しつつまったりと。まあともあれ……右太、左子、どうやらここでは出番はなさそうだぜ……とかグレラン叩きつつ。差し出された飴玉を受け取りながら   (2018/6/6 11:30:27)

霍青娥> まぁ、ここではあんまり考え込まずに雑談とかエッチとかそんなことを楽しめばいいわよ（そんなことを言いながら相手に微笑みかけつつ自分も紅茶をゆっくりと飲みながら相手に微笑みかけていて   (2018/6/6 11:32:51)

フカ次郎> エ、エッチはちょっと考えるけどね？（雑談なら……うん)   (2018/6/6 11:36:17)

霍青娥> ふふ、わかったわ（そう言いながら微笑みかけつつ、ちなみにわたしは大歓迎だから…突っ込むのも突っ込まれるのもとそんなことを言いながらゆったりとお茶を飲みつつクッキーを取り出してかじっていて   (2018/6/6 11:37:06)

フカ次郎> 突っ込むって何！？（私達女だよね！？ってがびーん。あ、わかった器具かあはははは……はぅあ   (2018/6/6 11:38:09)

フカ次郎> 【そしてそろそろ時間が迫ってきているのです……   (2018/6/6 11:40:28)

霍青娥> あ、なるほど（そう言いながらわかっていないようなので術で生やすとこんな感じ？とスカートを捲り上げて見せてあげて下着の中でもっこりしていてしばらくすると消してなくなって   (2018/6/6 11:41:07)

霍青娥> 【はぁい   (2018/6/6 11:41:11)

霍青娥> 【暇なときにでも遊びましょうねっ   (2018/6/6 11:41:21)

フカ次郎> ーーーーはい？（ぺら、とめくられるスカート。下着の中に、なんかある。膨らんでる。女の子に無いもの。)………………（ぴー、なんて煙の抜ける音が聞こえたような気がした。キャパオーバーになってぶっ倒れた金髪チビのまき   (2018/6/6
11:42:28)

フカ次郎> 【はーい。このまま多分連れ去られた……(ぇ   (2018/6/6 11:42:57)

霍青娥> あらあら（相手が倒れると仕方なさそうに相手を抱き上げてとりあえず家に連れて帰って…なお、襲わずお部屋に寝かせてあげて   (2018/6/6 11:43:24)

霍青娥> 【連れ帰りましたっ   (2018/6/6 11:43:33)

霍青娥> 【また遊びましょうね〜（手をフリフリ   (2018/6/6 11:43:46)

フカ次郎> 【ではまた(ぺこり   (2018/6/6 11:44:34)

おしらせ> フカ次郎さんが退室しました。  (2018/6/6 11:44:37)

おしらせ> 霍青娥さんが退室しました。  (2018/6/6 11:45:23)

おしらせ> 結月ゆかりさんが入室しました♪  (2018/6/6 11:56:12)

結月ゆかり> （こそりと。多分最後最後でぷつん、と寝落ちしました…。申し訳ないです。と足跡だけ。）   (2018/6/6 11:57:07)

おしらせ> 結月ゆかりさんが退室しました。  (2018/6/6 11:57:10)

おしらせ> 紲星あかりさんが入室しました♪  (2018/6/6 12:29:10)

紲星あかり> （大丈夫です、ゆかり姉さん！気にしないでくださいねって足跡だけですが失礼します！）   (2018/6/6 12:30:02)

おしらせ> 紲星あかりさんが退室しました。  (2018/6/6 12:30:07)

おしらせ> 東北きりたんさんが入室しました♪  (2018/6/6 13:04:12)

東北きりたん> （ずん姉様の太もも最高です！！ずん姉様の太ももにペロペロ！！と、足跡だけ残しましょう。   (2018/6/6 13:04:53)

おしらせ> 東北きりたんさんが退室しました。  (2018/6/6 13:05:04)

おしらせ> 常陸茉子さんが入室しました♪  (2018/6/6 14:59:38)

常陸茉子> ふぅ…ずっとじめじめしてて、嫌な時期になりましたね(流石に制服だと暑いので腕捲りつつ胸元をばっさばっさ)…気温はそんなに高くないハズなんですけど、じわじわと…真綿で首を絞められるような感覚と言いますか、そんな感じで精神的に参らされるような…。(じんわりと滲んだ額の汗を拭いつつとりあえずソファへ腰を下ろし)
  (2018/6/6 15:03:08)

常陸茉子> あー……これは、ちょっと…マズイですね…(ソファに腰掛けているだけじゃ汗は引かなくて、瞳を半開きのまま口許をヒクヒクと引き釣らせ)…お風呂、いきましょうか。ヘンに匂っちゃったら、それはそれで嫌ですし…！(ってことで、上着を脱ぎながらソファから立ち上がると一目散で出口へ)
  (2018/6/6 15:22:29)

おしらせ> 常陸茉子さんが退室しました。  (2018/6/6 15:22:38)

おしらせ> 京町セイカさんが入室しました♪  (2018/6/6 18:10:26)

京町セイカ> はあ……一息入れましょうか。もう黒騎士何人斃したか判りませんし……（PS4をスリープモードにし、軽く伸びを。ゲーム機あるぐらいですからリビングなのでしょうね。ちょっと首動かしただけでこきりと音響く有様です。おのれ黒騎士どもめ……とほんのり黒い立ち絵になる私です。）
  (2018/6/6 18:17:08)

京町セイカ> 気分転換に他ゲーもいいですけど、操作わやくちゃになるんですよねー……（目を細めて小さくため息漏らします。色んなソフト、特にアクションゲーム遊んでるとあると思うんです。ダッシュしようとしてNPC殴って「嫉妬？嫉妬ですかあ？」とか煽られたり、攻撃しようとしてガードしたり、逆にガードしようとして攻撃したり。少なくとも私はやりました。）
  (2018/6/6 18:24:27)

おしらせ> 九条カレンさんが入室しました♪  (2018/6/6 18:31:22)

九条カレン> こんばんはデースー！失礼しますデース！(勢いよく扉を開けて中に入る金髪ロングの女の子)   (2018/6/6 18:32:23)

京町セイカ> あ、フリプの更新来てたんでした。DL中はPS4には休んでもらって、他のハード使いましょうか。Lobotomy
Corporationも途中で止まってますし。（6月分のフリプ、もうDLできるんですね。SSDの空きはまだありますし、内容チェックは後にして片っ端からDLしておきましょう。スリープ中もDLしてくれるPS4はいい子です。）   (2018/6/6
18:38:27)

2018年06月05日 23時19分 ～ 2018年06月06日 18時38分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
