/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年06月19日 23時57分 ～ 2023年06月22日 23時44分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

零余子> 途中までは見てたけど、ついてけなくなっちゃった(汗)ひとりちゃん   (2023/6/19 23:57:20)
グリムアロエ> やだぁ…おこんないでぇ…♪（怒ったみたいな顔になった雷電お姉ちゃんに怯えてるような動作をするけど顔は相変わらず余裕たっぷりにからかってるような表情で）あー♡それってあたしをお嫁さんにしたいってこと？こんな小さな子を貰いたいなんて…むっつりじゃなくてがっつりさんになっちゃった…？♡（クスクス）うん、おやすみ…優しい雷電お姉ちゃん…♡
  (2023/6/22 22:26:33)

グリムアロエ> 【あっ、いいんだよ？あたしも返しきれない時あるし、返したい時だけ返してね♡】   (2023/6/22 22:28:19)

後藤ひとり> ま、前髪を上げる私がストレスで死んでしまいますね……後ついでにここにいる人ももれなく死んでしまいます………(ギリギリのところで押えて)   (2023/6/22 22:28:33)

後藤ひとり> 【普通に見てなかったですね……】   (2023/6/22 22:28:42)

桜衣乃> 【♪】   (2023/6/22 22:29:17)

グリムアロエ> え…？その前髪で何かを封印でもしてるの？（怖くなって前髪から手を離すとお姉ちゃん髪や肩を撫で下ろすみたいに手を下ろしていって）   (2023/6/22 22:32:19)

桜衣乃> うへへへへ………♡♡そもそもこのお部屋自体法律なんてあってないようなものですけど、ね……♪このお部屋では、どんな幼女でも、グラマラスなお姉さんもみんな18歳扱いと知ってください……♡（自分から押し付けるグリアロちゃんににまぁ…♡と笑みを浮かべれば…♪）大丈夫ですよ……♡お姉ちゃんは女の子の壊れる限界、ちゃ〜んと知ってますから……♡任せてください……♪（ふに…♡と、手のひらいっぱいにグリアロちゃんのお胸を覆ってしまいます……♡）
  (2023/6/22 22:32:34)

桜衣乃> ひとりちゃんは人間の枠組みを超越してますからね〜♪下手にいじると、何が起こるかわかりませんよ♪（ワンポイントアドバイス♪……でも私もその設定はじめて聞きましたってかお。）   (2023/6/22 22:33:28)

後藤ひとり> いや私が顔を見られたストレスでシナシナになるだけですよ……   (2023/6/22 22:35:45)

後藤ひとり> https://youtube.com/shorts/KFnaggQ98Ao?feature=share
[/JumpUrl2/?url=https%3A%2F%2Fyoutube.com%2Fshorts%2FKFnaggQ98Ao%3Ffeature%3Dshare]   (2023/6/22 22:35:48)

後藤ひとり> こうなりますね……   (2023/6/22 22:35:51)

桜衣乃> 私ときどきひとりちゃんがほんとに人間なのか自分でもにわかに信じられなくなってきましたよ。　……私の前では裸になってはくれるくせに……♪（改めて不思議な体質です……と感心しちゃいます）   (2023/6/22 22:40:01)

後藤ひとり> 作者から人外言われてるので……じゃなきゃ変形しないし……(うんうん)   (2023/6/22 22:43:46)

グリムアロエ> えー？ロリコンが許されてるなんて、変態さんが喜んじゃうよ…♡はぅ…ん…♡♡えっちなお姉ちゃん……お部屋にきたみんなにこんなことしてるんだぁ？♡（まだブラジャーもしてない胸を手で覆われると薄い学生服にポチッと小さな突起を作りながら体を小さく震わせて）
  (2023/6/22 22:43:50)

桜衣乃> そうなんです……♡このお部屋を見つけてはや2年……♡いろ〜んな女の子に出会っては、こうやって……♡いじり、いじられ……♡えっちなことしちゃいました…♡……グリアロちゃんこそ、このお部屋がどんなお部屋か知ってて来てるんじゃありませんか……？♡（突起みっけ…♡と、位置を確認したら……♡………そこだけを避けるように、突起の周りに指の腹をつつ〜……♡と、一周……♡二周……♡）
  (2023/6/22 22:47:00)

桜衣乃> ツチノコやメンダコにもなっちゃいますもんね♡　私は変身ひとりちゃんも結構好きですよ♡   (2023/6/22 22:47:50)

後藤ひとり> あ、ありがとうございます……///機会があればまた変身しますね……   (2023/6/22 22:48:58)

グリムアロエ> えー♪そんな奥義を隠してるなんて、ひとりお姉ちゃんってすごいんだ〜♪作者さんの大好きなアーティストがモデルみたいだし、きっと人外って言うより神なんだよ//（ひときしり感心した後でひとりお姉ちゃんが落ち込まないようフォローして）  
(2023/6/22 22:50:15)

後藤ひとり> 奥義という訳では……いやそもそも作者さんが私は人の体してないって言うので……無理にフォローせずとも……(フォローが余計に心に刺さりダンボールへ…)   (2023/6/22 22:55:01)

グリムアロエ> もうそんなになるんだね…このお部屋…♪うん…ここに来ればエッチなお姉ちゃん達をたくさんからかえるんだもん♡やぁっ♡もう…いじわるしてぇ〜…//（なかなか突起に触れてくれない指をもどかしそうに睨みながら、すらっとしてるけど小さな足をもじもじって擦り合わせてて♡）
  (2023/6/22 22:56:46)

グリムアロエ> あわわ…大丈夫だよぉ…！あたし達の中で一番お胸も大きいし、女の子らしい体型してるもん…！（ダンボールの中に入っちゃったお姉ちゃんに出て来てほしくて天岩戸状態…）   (2023/6/22 22:59:51)

桜衣乃> いえいえ、私もまだここでは若輩者のほうですよ〜。歴史あるこのお部屋の利用者の方々に倣って、グリアロちゃんもえっちしましょうね……♪（もじもじしてるグリアロちゃん……♡どうしようかな〜、って、突起の前で指がつまみに……いかずに、宙でつまむマネ……♡きゅ…きゅ……♡って、突起つまんだら絶対に気持ちいいのに……♡つまむフリした指を見せつけるだけ……♡）いじわる……してあげてもいいですが……♡それなら…おねだりしてほしいですね〜…？♡どこを触ってほしいのか……ほら、お姉ちゃんはグリアロちゃんのお口から聞きたいですよ……♡（ふー……♡ってお耳に息をかけながら…♡お胸から手が離れていっちゃう……♡）
  (2023/6/22 23:01:17)

後藤ひとり> え……いやまあ………イノちゃんも大きいと思いますけど…ここには私より大きい人がざらにいますし……(少しだけダンボールから顔を出して)   (2023/6/22 23:02:32)

桜衣乃> ほら、グリアロちゃん……ひとりちゃんに出てきてもらうには裸踊りでもしてあげないと……♪（顔出しひとりちゃんににまにま♡）   (2023/6/22 23:06:45)

グリムアロエ> やだぁ♡お姉ちゃん、自分がエッチしたいからって…お部屋のルールを利用してあたしを犯そうとしちゃって…♡あっ♡触られてないのに…むずむずしちゃう…っ//（触られたら気持ちよさそうなお指を見せつけられるとお胸の先端は期待してプクーってしてきちゃう♡）あっ♡あぁっ♡♡じゃあね…アタシのお豆さん、触って欲しいなぁ…？//（お耳にかかる息に足をぴーん♡ってさせながら反応しちゃって、そのままスカートを捲っていくと黒い下着の下の割れ目やお豆さんをピクッ♡てさせておねだりしちゃう♡）
  (2023/6/22 23:11:36)

グリムアロエ> あたしはお姉ちゃんの体型は羨ましいって思うけどなぁ//ほら…出てきてあたしのここ…触って…？//（裸踊りはできないけど、露になった下着を見せつけるようにしながら誘い出そうとして）   (2023/6/22 23:13:37)

桜衣乃> そうなんです……♡これから……グリアロちゃん……♡出会ったその日のばかりのお姉ちゃんに、犯されちゃいますからね〜……♡（ひとりちゃんもいかがですか……♡って、グリアロちゃんの下着をゆっくり指をかけて下ろしながら……♡ぷっくりクリトリス、優しくなで…なで…♡）…よくできました……♡それでは……♡グリアロちゃんのクリちゃん、失礼しますね……♡（片手でクリトリス……♡もう片手はお預けしていた乳首を……一緒に、きゅー………♡♡♡）
  (2023/6/22 23:18:34)

後藤ひとり> あ、は、はいでは少しだけ……///(おずおずとクロエちゃんのセクシーな下着をつんつん)   (2023/6/22 23:20:20)

グリムアロエ> い、いえーい…♪アロエちゃん見てる〜？♡んにゃぁ♡（衣乃お姉ちゃんの言い回しを聞いて恥じらいながらもノリノリでダブルピースしてみたり。お豆をいじりながら脱がされた下着はもうシミができちゃってて♡）いいよ…エッチなヘンタイお姉ちゃん…♡あっ♡//同時になんて…だめぇっ///（２つのお豆に同時に強い刺激を受けると、その２点を結ぶ電流が身体に流れたように腰をぴくん♡って動かしちゃう♡）
  (2023/6/22 23:26:45)

グリムアロエ> あっ♡//えへへ…やっと触ってくれたね…？臆病なお姉ちゃん…♡（脱がされて足にかかってる下着をツンツンされるとくすぐったそうに身を捩りながら、もっと触って♡って言うように幼いたてすじをヒクヒクさせちゃう派〜？）   (2023/6/22
23:29:39)

グリムアロエ> 【派〜？ってなに…//ごめんね、失敗しちゃった//】   (2023/6/22 23:30:15)

桜衣乃> ……♪ひとりちゃん…♡カメラのご用意を……♡グリアロちゃんのえっちな動画をアロエちゃんに見せてあげるために、今のグリアロちゃんを撮ってあげてください……♡（糸引く下着を膝までおろしてあげて……♡乳首も露出させて……♡乳首には親指と人差し指です〜り、す〜り…♡と潰すように擦って……♡クリちゃんには人差し指と中指をくっつけた二本指で、円を描くように…くり、くり……♡とこね回しちゃいます……♡）こんな格好をしておいて……♡グリアロちゃんこそ、露出魔の素養があるんじゃないですか〜……♡♡……同じ変態なら、楽しみましょうね……♡♡
  (2023/6/22 23:31:24)

後藤ひとり> あ、いえは、はい…触りますね……♡(ひくひくさせて興奮してる様にこちらもドキドキが止まらず…下着をつんつんしながらもスマホでカメラを起動させて)   (2023/6/22 23:34:35)

グリムアロエ> 冗談だってばぁ//ひゃっ…あんっ♡だめぇ…♡こんなじっくり焦らすような触り方…♡んんっ♡♡切なく…なっちゃう…♡（可愛らしい子供乳首はもっと擦られたいっておねだりするみたいに指の間でちょっとだけ大きくなりながらプルプル震えて、下のお豆さんはこね回されて赤みを増しちゃって、快感を蓄えるみたいにぷっくり♡コリコリ♡成長を見せていっちゃう♡）もう…とことんヘンタイさん♡露出するなら…もっと人が通りそうなところでやるもん…♡//
  (2023/6/22 23:40:44)

グリムアロエ> 本当に撮ってるの？//いいけど…ネットにだけは上げないでよね〜？//ねえお姉ちゃん…下着以外も触ってぇ…？♡ほら……ここはフリーだよ…？♡（お姉ちゃんのために足をぐーって開くと、もうお汁が漏れ始めてる秘部の入り口がちょっとだけ開いてその左右に糸を引いて）
  (2023/6/22 23:44:20)

2023年06月19日 23時57分 ～ 2023年06月22日 23時44分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
