/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2020年08月22日 23時57分 ～ 2020年08月30日 20時44分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

東北きりたん> サービス業……ああぁ。世間は欲しすぎてますよ……   (2020/8/22 23:57:23)
東北きりたん> ふにゃァァァ(転びそうになってイタコ姉様の水着の下をぐい。と掴んでしまって   (2020/8/28 15:27:32)

東北イタコ> セイカさんっ、ほんとにウチの三女をなんとかして下さいましっ　公衆の面前で胸にパクつきましたのよ！？   (2020/8/28 15:28:19)

東北イタコ> ってひゃわーっ！？(シャツ越しに水着を引っかけられてパニック)   (2020/8/28 15:29:22)

京町セイカ> んー、女の子しか居ないわけでし大丈夫だと思うよ？（一種の男性いないからデリカシーの無くなる女学院生徒みたいなことを口にしつつも少しお酒で顔を染めつつ）   (2020/8/28 15:31:19)

東北きりたん> んふふぅ(わざと寝転がって指でゆっくり下ろしちゃおうとして   (2020/8/28 15:31:27)

東北イタコ> きりちゃんー！(ズリ下ろされた水着を直ぐに引っ張り上げて)   (2020/8/28 15:32:37)

東北きりたん> 姉様、どうしたんですか？(なんて引っ張る手に力入れちゃって   (2020/8/28 15:35:04)

京町セイカ> おー、きりたん大胆！！（その様子を見てそれをつまみに飲みながらもぽりぽり   (2020/8/28 15:35:57)

東北イタコ> 引っ張るのを！　お止めなさいなさいと！　言ってますの！   (2020/8/28 15:36:01)

おしらせ> 無言時間が20分を超えたため、霍青娥さんが自動退室しました。  (2020/8/28 15:37:14)

東北きりたん> セイカさんが止めないんですもの〜(引っ張るの辞めるも、指で割れ目をゆっくりなぞりあげて   (2020/8/28 15:37:49)

東北イタコ> にゃーもー！　(ちゅわわわわわっ。と川から逃げてセイカさんの後ろに隠れる)   (2020/8/28 15:38:53)

京町セイカ> うぁっとっと…（急に後ろに隠れられてバランスを崩しかけつつも何とか転ばずにすみつつ   (2020/8/28 15:39:50)

東北きりたん> 姉様〜っ、可愛い妹なんですよ〜？(ニヤニヤと笑いながら、片手には水色の水着の下が。ピラピラ。と揺らしちゃって   (2020/8/28 15:40:47)

東北イタコ> セイカさんガードッですわ(なんじゃそりゃ　　後ろからセイカさんの背中にむぎゅーっ。おっぱいむにゅー)   (2020/8/28 15:41:17)

東北イタコ> っていつの間に、ですわ！？   (2020/8/28 15:41:29)

京町セイカ> んっ…イタコちゃん、わざとやってない？（押し付けられてはビクッとなりつつもイタコちゃんに聞きつつ、苦笑いしては   (2020/8/28 15:42:49)

東北きりたん> 〜♪(鼻に押し当ててくんくん、と   (2020/8/28 15:43:44)

東北イタコ> 割りとマジですわっ(調子に乗ったきりちゃんはニャルラトホテップ並に何するか分かりませんもの)   (2020/8/28 15:43:53)

東北イタコ> あーもー、あんな破廉恥な事を…(ちゅわぁぁ…って顔を赤くして)   (2020/8/28 15:47:35)

東北きりたん> んっ…はぁ〜…♡(ほわほわ。って幸せな香りに包まれてぽわ。ってしちゃって   (2020/8/28 15:50:05)

東北イタコ> ちゅ、ちゅっ、ちゅわぁぁぁ…っ(終には恥ずかしさで泣き始めて)   (2020/8/28 15:53:24)

東北きりたん> あ、あわわわ……姉様っ(泣いちゃったのを見てごめんなさぁい。って焦ったように   (2020/8/28 15:53:52)

東北イタコ> えくっ…えくっ…(えっちな事は好きでも公衆の面前だと恥ずかしさ100倍なイタコちゃんでした)   (2020/8/28 15:55:01)

京町セイカ> ……そうみたいだ……（臭いを嗅ぐ1部始終をみてどういしつつも   (2020/8/28 15:55:46)

東北きりたん> な、なんでもしていいですからぁ(お許しをー。って土下座まで   (2020/8/28 15:55:53)

京町セイカ> 【後、意識落ちかけてた暑くて   (2020/8/28 15:56:36)

東北きりたん> 【それはやばいですぞよ   (2020/8/28 15:56:55)

東北イタコ> (めそめそ…)　取りあえず、水着を返して貰えまして…？   (2020/8/28 15:57:09)

東北イタコ> 【セイカさん大丈夫ですのー！？】   (2020/8/28 15:57:26)

東北きりたん> んぅ〜(ちゅ、って口付けしてからははぁ。って土下座して返して   (2020/8/28 15:59:02)

京町セイカ> 【大丈夫、熱中症とかじゃなくてダシ。、（熱くて、と言うより暖かくてぼーっとしてる感じ   (2020/8/28 15:59:15)

東北イタコ> 【本当に大丈夫なのかしらー…】   (2020/8/28 15:59:41)

京町セイカ> …（口付けしたのを苦笑いしてみつつも   (2020/8/28 15:59:59)

東北イタコ> ちゅわわぁ…(返して貰ったキス付きの水着を取りあえず着けて、もぞもぞ…)   (2020/8/28 16:00:31)

京町セイカ> 【なんなら今から3pされても問題ないぐらいには元気だよ？（暑くて少しだるいだけで   (2020/8/28 16:00:41)

東北きりたん> んふぁぁ♡(またお股に顔近づけて、水着にキス。これはお股にキスじゃないからセーフ？？(てへ   (2020/8/28 16:01:45)

京町セイカ> …ほんときりたんは容赦ないね…（苦笑いしつつもさて。私は混ざるべきかどうかと考えつつ   (2020/8/28 16:02:32)

東北イタコ> っと…　そろそろお出掛けする準備を致しませんと…　セイカさん、またお会いしましょうですわ　　……きりちゃーん。(足で首挟んでぐいぃぃ　ぉ)   (2020/8/28 16:02:32)

東北イタコ> ではではー(ちゅわわー)   (2020/8/28 16:03:13)

京町セイカ> あ、いってらっしゃい。私も夜十時頃はちょっと用事あるし   (2020/8/28 16:03:20)

おしらせ> 東北イタコさんが退室しました。  (2020/8/28 16:03:21)

東北きりたん> イタコ姉様、今日は泣かせちゃったお詫びですし。次あったらなんでも甘んじてお受けしますよ？(首挟まれうガガガァ   (2020/8/28 16:03:24)

東北きりたん> 行ってらっしゃいませ   (2020/8/28 16:03:29)

東北きりたん> セイカさんはどうしましょう？私はまぁ、暇ですが   (2020/8/28 16:03:42)

京町セイカ> んー、といっても私も暇なんだよね、さっき言ってた夜十時頃は予定入ってるけど…（なんてんーっと伸びつつも   (2020/8/28 16:04:45)

東北きりたん> ん、夜十時までは暇ってことですかね？(ぐでー。と伸びをしてしれっと近づきながら   (2020/8/28 16:05:33)

京町セイカ> うん。割とそんな感じ…（近づかれてはそっと頭を撫でつつ   (2020/8/28 16:06:03)

東北きりたん> 姉様には焦らされっぱなしです…ずん姉様には会えてませんしぃ(頭撫でられながらももぞもぞ。と   (2020/8/28 16:07:54)

京町セイカ> 結構きりたんグイグイ行ってるけどもしかして溜まってるからだったり？（欲求不満な意味で   (2020/8/28 16:11:20)

東北きりたん> ご名答です。(ぐでぇ。ってしながらも、もそもそ。うずうずと   (2020/8/28 16:13:14)

京町セイカ> ……んー。私で良かったらかなー（なんて苦笑いしつつもそう口にしては抱きしめてなでなでしつつ、   (2020/8/28 16:14:01)

東北きりたん> いいんですか〜…？(こっそりマスカーにプラグイン申請しつつ、にっこりと   (2020/8/28 16:17:36)

京町セイカ> …私ってどちらかと言えば入れるよりもさせてあげるのが好きな方だしね…（なんてくすっとしては   (2020/8/28 16:18:48)

東北きりたん> でも、さっきのを見てわかる通り……容赦は致しませんよ？(首傾げてふへ。と笑ってみて   (2020/8/28 16:20:43)

京町セイカ> まぁそれは何となく理解してる…（個室借りとく？   (2020/8/28 16:21:31)

東北きりたん> それでもいいのであれば……(鍵はかけます？   (2020/8/28 16:22:01)

京町セイカ> 【おねがいしていいかな？   (2020/8/28 16:23:13)

東北きりたん> 【了解しましたよ   (2020/8/28 16:25:26)

東北きりたん> 【立てましたよー   (2020/8/28 16:26:33)

京町セイカ> 【入ったからこっち抜けるね？   (2020/8/28 16:32:47)

おしらせ> 京町セイカさんが退室しました。  (2020/8/28 16:32:51)

おしらせ> 東北きりたんさんが退室しました。  (2020/8/28 16:34:51)

おしらせ> 東北イタコさんが入室しました♪  (2020/8/29 16:11:14)

東北イタコ> 漠然と暇ですわー…(ソファーに寄り掛かり)   (2020/8/29 16:11:36)

東北イタコ> そして暑い外を出歩いたので疲れましたわぁ…   (2020/8/29 16:14:24)

東北イタコ> 麦茶が美味しいですわー…　自動で氷を作ってくれるお利口さんな   (2020/8/29 16:18:28)

東北イタコ> 冷蔵庫が欲しいですわぁ…   (2020/8/29 16:18:39)

おしらせ> 東北きりたんさんが入室しました♪  (2020/8/29 16:27:32)

東北きりたん> ふゃぁ〜。   (2020/8/29 16:27:37)

東北イタコ> ぁ～…きりちゃんいらっひゃいですわ～   (2020/8/29 16:27:56)

東北きりたん> こんにちはです(そっとソファに寝転がりつつ   (2020/8/29 16:28:15)

東北イタコ> ん～、…(寝転がるきりちゃんのあたまなでなで)   (2020/8/29 16:28:58)

東北きりたん> んぅ(少しスリスリ。と   (2020/8/29 16:29:16)

東北イタコ> あっっっっついですわねぇ…もう8月も終わりですのに   (2020/8/29 16:30:00)

東北きりたん> ん。そうですねぇ。暑いですねぇ(   (2020/8/29 16:30:21)

東北イタコ> おねーちゃん、少し外出しただけで気が滅入りそうでしたわー…   (2020/8/29 16:31:15)

東北きりたん> ん、私は外働きなのでだめですぅ   (2020/8/29 16:31:36)

東北イタコ> たいへんですわねぇ～…   (2020/8/29 16:32:39)

東北きりたん> 大変ですよぉ。   (2020/8/29 16:33:24)

東北イタコ> おねーちゃんは生きる事が大事なお仕事のドロップアウト組ですわぁ   (2020/8/29 16:34:39)

東北きりたん> 生きることがお仕事。ですか(ふむふむ   (2020/8/29 16:36:07)

東北イタコ> 詳しくは言えないんでちゅけど、体がゴニョゴニョなのですわー   (2020/8/29 16:37:29)

東北きりたん> あらま。そんな所でしたか。私もまぁそういうのは持ってますけど、ねぇ   (2020/8/29 16:38:05)

東北イタコ> だから、アレですわ。口にしちゃいけない事しない様に日々穏やかに、出来るだけ楽しく生きるのがお仕事なのですわ   (2020/8/29 16:42:37)

東北きりたん> 楽しく生きる。ふふ、お仕事頑張りましょうね   (2020/8/29 16:44:33)

東北イタコ> ですわ～…　まぁ、陰鬱な日々がどうしても多いのですけども、ね。   (2020/8/29 16:45:51)

東北きりたん> まぁ、そうですよねぇ……   (2020/8/29 16:46:06)

東北イタコ> 色々と世知辛いのですわぁ～…   (2020/8/29 16:47:24)

東北きりたん> そういうもんですよ〜   (2020/8/29 16:47:47)

東北イタコ> きりちゃ～ん。ハグさせて頂戴な～(お手々広げて)   (2020/8/29 16:49:14)

東北きりたん> んぅ〜(腕広げてイタコ姉様待って   (2020/8/29 16:50:28)

東北イタコ> ぎゅぅ～、ですわぁ(優しくハグして)   (2020/8/29 16:51:05)

東北きりたん> んぅ〜(ぎゅむ。って抱き返して   (2020/8/29 16:52:53)

東北イタコ> ちゅわ～…(よしよし。って背中撫でて)   (2020/8/29 16:54:37)

東北きりたん> んぁぁ(すりすり。ってちょっと甘えてみて   (2020/8/29 16:55:40)

東北イタコ> よしよし、ですわぁ   (2020/8/29 16:57:21)

東北きりたん> はぅぅっ   (2020/8/29 16:57:29)

東北イタコ> きりちゃんは可愛いですわねぇ…(オデコにちゅっ)   (2020/8/29 16:58:31)

東北きりたん> んぅ、そんなことないです(頬を赤く染めながら   (2020/8/29 16:58:49)

東北イタコ> 照れるところがまた良いのですわぁ(ほっぺたすりすり。ちゅわわ)   (2020/8/29 16:59:52)

東北きりたん> ふぁぁぁ……は、はずかし……ぃ(スリスリしながら、でも頬真っ赤で   (2020/8/29 17:00:56)

東北イタコ> んふふ…(なでなで。すりすり。ちゅわちゅわ)   (2020/8/29 17:02:44)

東北きりたん> はぁぅ…(ぴくぴく、はむ、あむぅ   (2020/8/29 17:04:50)

東北イタコ> んひゃんっ　きりちゃん何をしてますの？   (2020/8/29 17:05:19)

東北きりたん> んぅ、なにって、スキンシップですよ〜…？(はむはむ。ってしながら   (2020/8/29 17:07:02)

東北イタコ> もしかして…エッチな気分になっちゃいましたの…？(耳元で囁いて)   (2020/8/29 17:08:32)

東北きりたん> んぅ。元からなってます……(じぃ。って見つめ返して   (2020/8/29 17:08:58)

東北イタコ> あらあら…気持ちいい事、しちゃいます…？   (2020/8/29 17:09:57)

東北きりたん> でも、姉様が時間では？(首傾げてみながら   (2020/8/29 17:10:21)

東北イタコ> あまり沢山は出来ませんけれど、今日はまだ時間に余裕がありますわぁ   (2020/8/29 17:13:14)

東北きりたん> ん……どのくらい出来るんです……？   (2020/8/29 17:14:05)

東北イタコ> そうですわねぇ…ざっくり二時間ほど…？   (2020/8/29 17:14:44)

東北きりたん> じゃあ、行っちゃいましょうか(ぼそぼそ   (2020/8/29 17:15:20)

東北イタコ> はぁい、行きましょうねぇ(お手々繋いで)   (2020/8/29 17:15:44)

おしらせ> 東北イタコさんが退室しました。  (2020/8/29 17:15:48)

おしらせ> 東北きりたんさんが退室しました。  (2020/8/29 17:15:56)

おしらせ> 東北きりたんさんが入室しました♪  (2020/8/29 19:23:24)

東北きりたん> お邪魔します、ぅ(帰ってきて、ぼふ。と   (2020/8/29 19:23:39)

おしらせ> 東北きりたんさんが退室しました。  (2020/8/29 19:30:43)

おしらせ> 月読アイさんが入室しました♪  (2020/8/30 09:35:49)

月読アイ> 誰も来てないみたいかな？（そう言いつつもお部屋に入っては   (2020/8/30 09:36:57)

月読アイ> ふあー…寝起きなのもあってちょっと眠いかも…   (2020/8/30 09:43:23)

月読アイ> ん...ほかの人くるまで寝てようかな？（悪戯し放題の看板置きつつもうとうと   (2020/8/30 09:57:17)

おしらせ> 無言時間が20分を超えたため、月読アイさんが自動退室しました。  (2020/8/30 10:18:01)

おしらせ> 霍青娥さんが入室しました♪  (2020/8/30 20:44:37)

2020年08月22日 23時57分 ～ 2020年08月30日 20時44分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
