/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年01月26日 19時37分 ～ 2023年01月27日 18時57分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

八重神子 ◆> 妾もそんなに深く考えておらんのぅ（火サスにつられただけ）   (2023/1/26 19:37:12)
おしらせ> 緒山まひろさんが入室しました♪  (2023/1/27 13:18:22)

緒山まひろ> こんにちはだ〜…（ちら   (2023/1/27 13:18:32)

クレー> 小春お姉ちゃんが空からふってきた……！？(って上は2階だけどそんなメタはぽいーっ♪)…お仕事お疲れ様なの♪>小春お姉ちゃん   (2023/1/27 13:18:36)

クレー> まひろお姉ちゃんもこんばんは♪   (2023/1/27 13:19:09)

緒山まひろ> 運動つかれたぁ……(だらん)   (2023/1/27 13:20:11)

小春六花> いや別に屋根を突き破って二階を突き破ることもあるよね（この小春六花は特殊な訓練を受けてますって説明文を画面左下にセット）。いやー……まだ折返しなのよー。ここからほんばーん。　   (2023/1/27 13:21:43)

小春六花> まひろさんもらっしゃーい   (2023/1/27 13:21:52)

クレー> 運動…？おつかれさまっ…！(お水のむ？とキッチンからコップ持ってきて)   (2023/1/27 13:22:07)

小春六花> 昨晩はお楽しみでしたね   (2023/1/27 13:22:08)

緒山まひろ> 飲む〜……ありがとなぁ…(ごくごく)お楽しみって……わ、忘れてくれ〜…(ぷい)   (2023/1/27 13:23:47)

緒山まひろ> 風呂入りながらだから色々遅くなるかも〜…   (2023/1/27 13:24:05)

クレー> 何それカッコイイ…！(ぱぁあ…♪)…って、午後はこれからだもんね。がんばって…♪(ファイト！と小春お姉ちゃんを応援してあげて)   (2023/1/27 13:24:56)

小春六花> そうそう……休みじゃないのよ……（へな   (2023/1/27 13:30:36)

クレー> ノート(過去ログ)で見かけたけど、明日夜勤なんでしょ…？大変だね……(へなへなの小春お姉ちゃんにもお水持ってきてあげて…あ、牛乳の方が良かったかな？とか思いつつ、お水をはいっ♪と手渡し～)>小春お姉ちゃん   (2023/1/27 13:33:41)

おしらせ> 無言時間が25分を超えたため、緒山まひろさんが自動退室しました。  (2023/1/27 13:49:08)

クレー> まひろお姉ちゃんはお風呂ごゆっくり♪   (2023/1/27 13:49:34)

小春六花> おみずありがとー。（こくこく。）そそ、あしたもしごとー…   (2023/1/27 13:50:26)

クレー> ちょうど見てたアニメ見終わった～(テレビぽちーと切って)、あらら……クレーも明日明後日の今頃はお用事でいないけど、小春お姉ちゃんもがんばってねっ！(お肩もみもみとマッサージしてあげて…♪)   (2023/1/27 13:56:32)

小春六花> あー……意外ときくーーー……（ごりごりに硬いかた）楽しいお用事なら羨ましいよー。（ぬわーってなりつつありがとーって、ビブラートの響くそれ）   (2023/1/27 13:59:36)

クレー> 楽しくないお用事だよ……(目線逸らしてあはは…)   (2023/1/27 14:00:38)

クレー> (お肩もみもみ…、くびまわりとかの当たりクレーの指でくにくに…と押すようにマッサージ♪)   (2023/1/27 14:01:46)

小春六花> それは……うん、どんまい……（かたぽむ）   (2023/1/27 14:03:16)

クレー> だから、明日は小春お姉ちゃんもお仕事頑張ってるから、クレーもやらなきゃ…！って思いながら明日行ってくるから、お互いがんばろうね♪(えへへ)   (2023/1/27 14:05:45)

クレー> (肩たたきぽむぽむ…優しく、でもちょっと力を入れてトントン♪)   (2023/1/27 14:08:24)

小春六花> これがファンタジパワー……（いつも爆弾を放り投げる腕力……って目を細めてきもちいー……って）   (2023/1/27 14:14:07)

クレー> ボンボンあんな見た目でも、火薬とかつめてるからちょっと重いんだよね…！(軽量化ももちろん研究中！のはず…、だってよいしょー！っていいなから投げてるもん。軽くはないよね…？わからないけどっ)   (2023/1/27 14:20:28)

小春六花> 爆弾を軽々背負ってるパワー系ではある……？エルフってムキムキ？（ってお耳の上のラインを人差し指でお礼につつー……って這わせつつ。そのへんはクレーちゃんの趣味で決めちゃっていいんだよーぅ。公式から出てないところはふんわり妄想で埋めてこ埋めてこ）  
(2023/1/27 14:22:45)

クレー> ひゃわ……///(いきなりクレーのお耳なぞられて、ぴくっ…)、げ…元気になった？このあとも頑張れそう…？   (2023/1/27 14:24:08)

小春六花> 大丈夫大丈夫。今日はきっと何かしら夜は遊べるしゆっくり寝れるだけね！（うんうんって頷きつつ。日勤のときは早寝しないとだからなおさらさーみたいなやつ）心配してくれるのは嬉しいし、クレーちゃんの肩揉みもとっても効いた！   (2023/1/27
14:26:12)

クレー> (お肩揉んであげたら振り向いてクレーのみみなぞってありがとう…♪ってしてくれた小春お姉ちゃんにちょっとドキっとしてもじもじ…//)、小春お姉ちゃん忙しそうだったからね…？クレーにできることならね、応援してあげちゃうの…♪えへへ  
(2023/1/27 14:30:01)

小春六花> わー、うれしみ！まぁ、ほらー…忙しいからねぇ…ほんと。（なんて、おー？ってお耳の上側つまんで、被膜をマッサージするようにぷにぷにとして）   (2023/1/27 14:33:27)

クレー> にゃっ……//小春お姉ちゃん…っ(クレーのお耳摘まれてぷにぷにされながら、くすぐったいけど気持ちよくてふるっ…//)、うん…無理のないようにねっ   (2023/1/27 14:37:08)

小春六花> んふふ…ありがとー。私も頑張るけど、クレーちゃんもねー？（お耳をお指挟んだままー。するる、ずり、って指を擦らせて、時折押し込むようにマッサージのお返しを？）   (2023/1/27 14:43:10)

クレー> んんっ…小春お姉ちゃん……//おみみっ…(マッサージのお返しされて、クレーも気持ちよくなっちゃって…//顔近づけてんー？どおー？とかされちゃって)   (2023/1/27 14:48:29)

クレー> うん……♪クレーもがんばる…♡   (2023/1/27 14:49:07)

小春六花> おみみどうかしたー？（なんて、首を傾げながら、お目々を覗き込んで。ゆっくりとさすって、ぷにふにして。指先でじりり…と気持ちよさを炙るように触れ回って…）   (2023/1/27 14:59:50)

クレー> 小春お姉ちゃんのおみみマッサージ…クレーきもちいい…//ふぁ……♡(小春お姉ちゃんに目をのぞき込まれたら近くてドキドキしちゃって…、小春お姉ちゃんの細くてきれいな指がクレーのおみみをマッサージしちゃって…)   (2023/1/27
15:02:33)

小春六花> マッサージしてるだけなんだけどなぁー？(ギターのタコを押付けては。こんなこともー、って指のゴリゴリとかたい部分を押し付けて……ずーり、ずーり……目は見つめ合ったままー）   (2023/1/27 15:08:30)

クレー> お肩とんとんするのと、おみみのこのマッサージちょっと…ちがっ//(ぴくっ……♡おうとつがクレーのおみみをぷにぷにって……小春お姉ちゃんに見つめられながらできゅんきゅん止まらなくて…)って、このあとお仕事もどらなくて大丈夫…？   (2023/1/27
15:14:34)

小春六花> なにか違うのー…？（んー？ってクレーちゃんを見つめたまま。どっちも、マッサージ、だよね？って。）もう戻りながら返信してるからここまでなのよ…（マッサージだけー）   (2023/1/27 15:17:51)

クレー> クレーがびんかんなだけかもっ……//(違くないかもってうなづいちゃって…)、あ、そうなんだね…！付き合わせちゃってごめんね…？クレーがマッサージして送り出すつもりだったのにおみみのマッサージにクレーがついさらに触れちゃって…//付き合ってくれてありがと……(えへへ)
  (2023/1/27 15:21:26)

おしらせ> 響さんが入室しました♪  (2023/1/27 15:24:06)

響> (どこからとも無く現れて二人のほっぺにキスして去っていく謎の不死鳥さん。六花お仕事頑張ってね♡)   (2023/1/27 15:25:41)

おしらせ> 響さんが退室しました。  (2023/1/27 15:25:50)

小春六花> 謎のフェニックス…！？   (2023/1/27 15:26:51)

クレー> あにゃ……！響ちゃん…♡クレー今日は特になにもないけど、ありがとう♪(また会えたらお返しのキスしてあげるから♡)   (2023/1/27 15:26:52)

クレー> じゃあ、クレーも小春お姉ちゃんに…(響ちゃんがした小春お姉ちゃんのほっぺの反対のほっぺにクレーから…ちゅっ…♡とキスしてあげて)、えへへ…これで2倍だね♪   (2023/1/27 15:28:08)

小春六花> んーん、平気平気ー。最近あえてなかったしそそいどこっかなーってだけだからねぇ。（なら、おでこにちゅー…ってキスを返してこれでみんなでしあって3倍？）   (2023/1/27 15:29:04)

クレー> そそいどく……？//(勝手に意味深に捉えてドキドキ…♡)   (2023/1/27 15:30:41)

クレー> うん…、クレーもなんか元気もらっちゃった♪えへへ   (2023/1/27 15:31:05)

小春六花> そーそー、私からも注入しといたのよー。（んふー）   (2023/1/27 15:40:02)

クレー> ありがとう…♪小春お姉ちゃん大好き…♡(ぎゅっ)   (2023/1/27 15:42:20)

小春六花> んふふー、わたしもだいすきだよーっ（はぐはぐもっふもっふ   (2023/1/27 15:46:09)

クレー> 小春お姉ちゃん応援してあげたつもりなのに、クレーの方がきゅんきゅんさせられて…えへへ//   (2023/1/27 15:48:33)

小春六花> これがこはるまじっくよー。（てきとうなあれやそれ）クレーちゃん可愛いからついねー？（もふもふ）   (2023/1/27 15:50:40)

クレー> もおー……ずるいずるいー//(ぽかぽか…軽く叩いて♪)むー…♡(ぷくっ)   (2023/1/27 15:53:49)

小春六花> 正々堂々してるよー？（なになにーってわきばらつんつむつんつむ。ほっぺたのぷくーも空気を抜くようにぷすー、）   (2023/1/27 15:57:16)

クレー> きゃっ……♪(くすぐられて、ふー…って息を吐いて…)えへへ…こうされるのクレー好きっ…♪(にこにこ)   (2023/1/27 16:00:43)

小春六花> そー？そう言ってもらえるなら嬉しいよー（んふー）   (2023/1/27 16:14:02)

クレー> えへへ、じゃあクレーもそろそろ別作業とかするからお部屋抜けちゃうね…？またね♪(ぎゅっ♡)   (2023/1/27 16:19:50)

おしらせ> クレーさんが退室しました。  (2023/1/27 16:20:09)

おしらせ> 小春六花さんが退室しました。  (2023/1/27 16:33:29)

おしらせ> 小春六花さんが入室しました♪  (2023/1/27 18:13:20)

小春六花> The working Liberated,Rikka   (2023/1/27 18:14:18)

小春六花> フルスポ出たけど今日は帰ります。プレリ出たいけど欲しいカードもないのよね……。いや……うん……（ないわけじゃないけど。）   (2023/1/27 18:16:04)

小春六花> あー……返信とかしなきゃ……   (2023/1/27 18:25:28)

小春六花> よし。別の方面の脳みそを使う完了   (2023/1/27 18:31:15)

小春六花> 外国の人に送る日本語メッセージってなんかこう、頭使うよね。（あ゛ーー……ってこめかみをマッサージしながら、ヨーグルトをぢゅー……って吸い上げて少し休憩）   (2023/1/27 18:35:00)

小春六花> はー……意外と暇なこの時間。上の階は盛り上がってるからなおさらちょっとこう…へにょりぎみ。（レーザーで来た人をすべて薙ぎ払うやつ）   (2023/1/27 18:44:21)

小春六花> 久しぶりにプラチナの原曲聞いたなぁ……。そういえばこんな感じだぁ……。不朽の名作よね。プラチナ。とっても前向きな曲で魔法少女のOPの一つのテンプレって感じある。   (2023/1/27 18:57:31)

2023年01月26日 19時37分 ～ 2023年01月27日 18時57分 の過去ログ
「版権百合部屋」
現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

▲このページの先頭に戻る


×


クッキーの使用について [/ExtCom/] | 広告掲載募集 [Luvul_AdInfo/]

(C)2009-2025 チャット ルブル [/] <info@chat.luvul.net [info@chat.luvul.net]>


[https://ana.luvul.net/?u=luvul&m=c]
